Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
TNF-alpha Signaling via NF-kB	67/200	1.61292071181495e-33	7.90331148789328e-32	0	0	8.6555023923445	653.553281917266	BTG2;CDKN1A;TNFAIP8;CD83;TNFAIP3;IRS2;SLC2A3;AREG;ICAM1;ZFP36;MYC;ZC3H12A;NAMPT;PDE4B;DENND5A;CCNL1;JUNB;IER5;IER2;KDM6B;KLF10;DUSP1;RIPK2;IFNGR2;PLAUR;FOS;TRAF1;TUBB2A;IL23A;IRF1;NINJ1;SGK1;IL6ST;HBEGF;BIRC3;PPP1R15A;RELB;SOCS3;SNN;DNAJB4;ABCA1;EGR1;JUN;EGR3;GADD45B;CCL20;PLK2;ZBTB10;SOD2;KLF4;NFKB1;KLF2;EIF1;NFKB2;FOSL1;NFKBIA;NR4A2;PER1;NR4A1;YRDC;GPR183;MAFF;KLF9;F2RL1;FOSB;NFKBIE;IL7R
Myc Targets V1	39/200	1.70488047723011e-11	4.17695716921377e-10	0	0	4.05165232960959	100.460480529958	HSP90AB1;RPL34;RPLP0;ODC1;NOLC1;DDX21;PHB2;RPL6;HSPD1;EEF1B2;FBL;LDHA;MYC;C1QBP;TRA2B;POLD2;RPS3;RPL14;RPS2;RPL18;HNRNPA1;RPS10;NPM1;RRM1;PABPC4;RPS5;RPL22;IFRD1;RPS6;NAP1L1;HSPE1;GNL3;RSL1D1;APEX1;IMPDH2;TCP1;PABPC1;ABCE1;EIF3D
Inflammatory Response	36/200	1.03786371215521e-09	1.69517739652018e-08	0	0	3.66114982578397	75.7349163878417	CDKN1A;BTG2;PTGER2;RGS16;KCNA3;ICAM1;GPR132;GNA15;MYC;NAMPT;TNFSF10;PDE4B;CCR7;TIMP1;CD55;ABCA1;GABBR1;IL4R;RIPK2;CCL20;IFNGR2;TPBG;OSM;PLAUR;NFKB1;ACVR2A;TLR1;NFKBIA;P2RX4;SELL;GPR183;IRF1;LTA;IL7R;HBEGF;IFNAR1
IL-2/STAT5 Signaling	35/199	3.33318113624399e-09	4.08314689189888e-08	0	0	3.55627597310763	69.4161552041182	AHCY;CD83;PTGER2;RGS16;ODC1;SLC2A3;IGF1R;SOCS2;NT5E;SOCS1;MYC;NFKBIZ;TNFSF10;PIM1;LRRC8C;LRIG1;DENND5A;SLC39A8;ICOS;CCR4;XBP1;IL4R;GADD45B;FLT3LG;TRAF1;CKAP4;ADAM19;TIAM1;ARL4A;P2RX4;SELL;MAFF;BCL2;ITGA6;LTB
p53 Pathway	33/200	4.66567628462114e-08	4.57236275892872e-07	0	0	3.28643336657051	55.4764673863653	PPP1R15A;APP;CDKN1A;BTG2;PVT1;DGKA;RGS16;TOB1;LDHB;HINT1;SERTAD3;SOCS1;RPL36;UPP1;RPL18;NUDT15;IER5;RPS12;TSPYL2;PLK3;JUN;PLK2;ZBTB16;WWP1;AEN;FOS;KLF4;TRAF4;DDIT3;DDIT4;NINJ1;CCNG1;HBEGF
Apoptosis	27/161	5.46795756765113e-07	4.46549868024842e-06	0	0	3.3391721639808	48.1481595188547	APP;CDKN1A;BTG2;SATB1;LEF1;HSPB1;BCL10;GNA15;CASP6;LMNA;TNFSF10;SC5D;TIMP1;JUN;EGR3;ANXA1;GADD45B;SOD2;CDC25B;DNAJA1;CYLD;KRT18;DDIT3;IRF1;CTH;RARA;BIRC3
Estrogen Response Early	30/200	1.52012845174882e-06	1.06408991622417e-05	0	0	2.92665343224323	39.2075440396437	NXT1;ASB13;ADD3;AQP3;AREG;TOB1;AFF1;IGF1R;UGCG;ABLIM1;FAM102A;MYC;LRIG1;SH3BP5;RRP12;KLF10;SVIL;XBP1;EGR3;BCL11B;TPBG;FOS;KLF4;TIAM1;KRT18;RARA;BCL2;FKBP4;IL6ST;GLA
Allograft Rejection	27/200	3.5118160239469e-05	0.000215098731466748	0	0	2.58101957330903	26.4729813644586	ITK;DYRK3;BCL10;CFP;RPL9;ICAM1;IL27RA;SOCS1;RPS19;TIMP1;RPL39;EIF5A;NPM1;RPS9;IL4R;RIPK2;TRAT1;IFNGR2;RPS3A;ACVR2A;TLR1;CD4;CD40LG;CD28;LTB;ABCE1;EIF3D
Hypoxia	25/200	0.000232417865465593	0.0011388475407814	0	0	2.35809018567639	19.730078476564	PPP1R15A;CDKN1A;TNFAIP3;IRS2;SLC2A3;PLAC8;LDHA;ZFP36;UGP2;CASP6;MXI1;PIM1;JUN;MAP3K1;DUSP1;TPBG;PLAUR;PRKCA;FOS;AMPD3;KLF7;DDIT3;DDIT4;MAFF;BCL2
Interferon Gamma Response	25/200	0.000232417865465593	0.0011388475407814	0	0	2.35809018567639	19.730078476564	LGALS3BP;CDKN1A;TNFAIP3;SAMHD1;IFI44L;ICAM1;SOCS3;SOCS1;NAMPT;TNFSF10;PIM1;PDE4B;UPP1;IL4R;RIPK2;MX2;STAT3;SOD2;NFKB1;NFKBIA;ARL4A;MTHFD2;IRF1;PELI1;RAPGEF6
