Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Ribosome	67/158	1.87221930804066e-71	4.58693730469962e-69	0	0	41.9799498746867	6836.70422577488	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL37;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPSA;RPS3A;RPL24;RPL27;RPL26;RPL29;RPL28;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS27;RPS29;RPL27A;FAU;RPS21;RPS24;RPS23
Coronavirus disease	71/232	8.49592490316922e-64	1.04075080063823e-61	0	0	25.3506192803852	3681.56546944626	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL37;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPSA;RPS3A;RPL24;RPL27;RPL26;RPL29;RPL28;RPL10;RPL12;RPL11;RPL36A;PIK3R1;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;JUN;RPL41;RPL35A;RPL23A;NFKB1;NFKBIA;RPS25;RPS27;RPS29;RPL27A;FAU;RPS21;RPS24;RPS23
Parkinson disease	21/249	4.82906488094013e-08	3.94373631943444e-06	0	0	4.5964799240369	77.4324290488385	ND6;XBP1;HSPA5;DUSP1;ATP8;ATP6;ND4L;TUBB4B;ERN1;TUBB2A;DDIT3;COX3;COX2;CYCS;ND1;CYTB;RPS27A;ND3;ND2;ND4;NFE2L2
Inflammatory bowel disease	11/65	7.59907969142218e-08	4.65443631099608e-06	0	0	9.99939512376698	163.916620445707	JUN;IL18RAP;SMAD3;IFNGR1;IL23A;IL23R;TBX21;RORC;RORA;NFKB1;IL18R1
MAPK signaling pathway	21/294	7.80720261940827e-07	3.82552928351005e-05	0	0	3.8298969072165	53.8600276053445	DUSP5;JUN;DUSP2;GADD45B;DUSP1;MAX;FLT4;RASGRF2;FLT3LG;TGFA;RRAS2;RASGRP2;AREG;NFKB1;CDC25B;NR4A1;FGF9;MYC;DDIT3;FLNA;MAP3K8
Diabetic cardiomyopathy	16/203	4.64622345964043e-06	0.000189720791268651	0	0	4.22451728783116	51.8747734286952	ND6;SMAD3;ATP8;GFPT2;ATP6;ND4L;PIK3R1;NFKB1;COX3;COX2;ND1;CYTB;PLCB1;ND3;ND2;ND4
Osteoclast differentiation	12/127	1.17849910191317e-05	0.00041247468566961	0	0	5.11908881831125	58.0949202593598	NFKBIA;SOCS3;JUN;TYROBP;IFNGR1;CAMK4;FOSB;FYN;PIK3R1;JUNB;NFKB1;FOSL2
Prion disease	18/273	1.44038954216923e-05	0.000441119297289325	0	0	3.49077779449376	38.9152322975191	ND6;HSPA5;ATP8;ATP6;ND4L;PIK3R1;TUBB4B;TUBB2A;DDIT3;COX3;COX2;CYCS;ND1;FYN;CYTB;ND3;ND2;ND4
Pathways in cancer	26/531	4.04214343007565e-05	0.00110036126707615	0	0	2.56565416332756	25.9545432923206	MAX;FLT4;IL23R;PTGER2;TCF7;TGFA;PIK3R1;RASGRP2;ETS1;HSP90B1;FGF9;MYC;JUN;SMAD3;GADD45B;IFNGR1;ZBTB16;FLT3LG;NFKB1;NFKBIA;IL23A;CYCS;ITGA6;PLCB1;IL7R;NFE2L2
Huntington disease	18/306	6.47672158952336e-05	0.0012998440594101	0	0	3.0855179028133	29.7589284893501	ND6;ATP8;ATP6;ND4L;TUBB4B;SOD2;ERN1;TUBB2A;COX3;COX2;CYCS;TAF4B;ND1;CYTB;PLCB1;ND3;ND2;ND4
Colorectal cancer	9/86	6.56196308820822e-05	0.0012998440594101	0	0	5.70214285714286	54.9209624557812	JUN;SMAD3;GADD45B;MYC;TCF7;TGFA;CYCS;PIK3R1;AREG
Amyotrophic lateral sclerosis	20/364	6.67747321216452e-05	0.0012998440594101	0	0	2.87663657559634	27.6565185474453	ND6;XBP1;HSPA5;ATP8;ATP6;ND4L;TUBB4B;ERN1;TUBB2A;DDIT3;COX3;COX2;SRSF3;CYCS;ND1;CYTB;ND3;HNRNPA1;ND2;ND4
Th17 cell differentiation	10/107	6.89713174380867e-05	0.0012998440594101	0	0	5.03681885125184	48.2618907444736	NFKBIA;JUN;SMAD3;IL23A;IFNGR1;IL23R;TBX21;RORC;RORA;NFKB1
Alzheimer disease	20/369	8.05071269918737e-05	0.00140887472235779	0	0	2.83468742864298	26.7230656693258	ND6;XBP1;ATP8;ATP6;ND4L;PIK3R1;TUBB4B;NFKB1;ERN1;TUBB2A;DDIT3;COX3;COX2;CYCS;ND1;CYTB;PLCB1;ND3;ND2;ND4
Oxidative phosphorylation	11/133	9.25778606890073e-05	0.00151210505792045	0	0	4.41055688277453	40.9628729655416	ND6;ATP8;ATP6;COX3;COX2;ND1;ND4L;CYTB;ND3;ND2;ND4
Non-alcoholic fatty liver disease	11/155	0.000355790416424602	0.00544804075150172	0	0	3.73249930206588	29.6404066989523	ERN1;SOCS3;JUN;XBP1;DDIT3;COX3;COX2;CYCS;PIK3R1;CYTB;NFKB1
Circadian rhythm	5/31	0.000382477082588018	0.00551216971965085	0	0	9.31311881188119	73.2834587936219	PER1;RORC;RORA;NR1D1;ARNTL
TNF signaling pathway	9/112	0.000492318753363574	0.00655007821621073	0	0	4.25708737864078	32.42361295743	NFKBIA;SOCS3;JUN;TNFAIP3;MAP3K8;PIK3R1;JUNB;NFKB1;IL18R1
Lipid and atherosclerosis	13/215	0.000507965249420424	0.00655007821621073	0	0	3.15102760276028	23.9008516531897	JUN;XBP1;HSPA5;PIK3R1;SOD2;NFKB1;HSP90B1;ERN1;NFKBIA;DDIT3;CYCS;PLCB1;NFE2L2
Small cell lung cancer	8/92	0.000594785036423107	0.00728611669618306	0	0	4.6329414558841	34.4102947258975	NFKBIA;GADD45B;MAX;MYC;CYCS;ITGA6;PIK3R1;NFKB1
Apoptosis	10/142	0.000693788357048468	0.0080941974988988	0	0	3.69465329991646	26.8724829516129	ERN1;NFKBIA;JUN;GADD45B;DDIT3;PRF1;CYCS;CTSW;PIK3R1;NFKB1
Pathways of neurodegeneration	21/475	0.000839572268938182	0.00934978208590248	0	0	2.28142172669059	16.1584385858182	ND6;XBP1;HSPA5;ATP8;ATP6;ND4L;TUBB4B;NFKB1;ERN1;TUBB2A;DDIT3;COX3;COX2;CYCS;ND1;CYTB;PLCB1;RPS27A;ND3;ND2;ND4
Thermogenesis	13/232	0.00102963235984445	0.0109678229635604	0	0	2.90387897237212	19.9744867895537	ND6;ATP8;RPS6;ATP6;ACSL6;ND4L;COX3;COX2;ND1;CYTB;ND3;ND2;ND4
FoxO signaling pathway	9/131	0.00151001463127392	0.0154147326942546	0	0	3.59059426229508	23.3231931311555	SMAD3;GADD45B;PLK2;S1PR1;PIK3R1;IL7R;SOD2;S1PR4;KLF2
Salmonella infection	13/249	0.00193976312367263	0.0190096786119918	0	0	2.69233650059921	16.8141514139798	JUN;TCF7;TUBB4B;NFKB1;HSP90B1;NFKBIA;CYTH3;TUBB2A;MYC;RPS3;FLNA;CYCS;CYTH1
Transcriptional misregulation in cancer	11/192	0.00206300060482726	0.0194398133916415	0	0	2.96385241122741	18.3272592510699	NR4A3;GADD45B;HPGD;MAX;MYC;IGFBP3;DDIT3;ZBTB16;NFKBIZ;KLF3;NFKB1
PI3K-Akt signaling pathway	16/354	0.00271506695857944	0.0246367186982208	0	0	2.31904482286162	13.7030936160577	FLT4;RPS6;OSM;FLT3LG;TGFA;PPP2R5A;PIK3R1;AREG;NFKB1;HSP90B1;NR4A1;FGF9;MYC;COL6A2;ITGA6;IL7R
Sphingolipid signaling pathway	8/119	0.00311563276067303	0.027261786655889	0	0	3.50115701736649	20.2063080697067	S1PR1;PPP2R5A;FYN;PIK3R1;PLCB1;S1PR5;S1PR4;NFKB1
Chronic myeloid leukemia	6/76	0.00462237862037563	0.0389521400206197	0	0	4.15193193902871	22.3242980303169	NFKBIA;SMAD3;GADD45B;MYC;PIK3R1;NFKB1
Cellular senescence	9/156	0.00488812639693216	0.0389521400206197	0	0	2.97612244897959	15.8357874321436	SMAD3;GADD45B;MYC;IGFBP3;RRAS2;PIK3R1;ETS1;ZFP36L2;NFKB1
Leishmaniasis	6/77	0.004928638125058	0.0389521400206197	0	0	4.09324432950058	21.7461487425545	EEF1A1;NFKBIA;JUN;MARCKSL1;IFNGR1;NFKB1
Legionellosis	5/57	0.00611159570179568	0.0467919045918732	0	0	4.65037128712871	23.7055809668659	EEF1A1;EEF1G;NFKBIA;CYCS;NFKB1
Kaposi sarcoma-associated herpesvirus infection	10/193	0.00654199339343403	0.0485693448906466	0	0	2.6580111480888	13.3685025796396	NFKBIA;JUN;ZFP36;IFNGR1;MYC;TCF7;CYCS;PIK3R1;RPS27A;NFKB1
Pathogenic Escherichia coli infection	10/197	0.00751693132617662	0.0541661227915668	0	0	2.60061919504644	12.718581194457	NFKBIA;CYTH3;JUN;TUBB2A;RPS3;CYCS;FYN;TUBB4B;NFKB1;CYTH1
Ras signaling pathway	11/232	0.00849099080606309	0.0594369356424416	0	0	2.422406148389	11.551848309385	FGF9;RASA3;FLT4;RASGRF2;FLT3LG;TGFA;RRAS2;PIK3R1;RASGRP2;ETS1;NFKB1
Acute myeloid leukemia	5/67	0.0119525715372731	0.0813438896286641	0	0	3.89831523474928	17.257096312478	MYC;ZBTB16;TCF7;PIK3R1;NFKB1
IL-17 signaling pathway	6/94	0.0126982117529251	0.0840827534990988	0	0	3.29962779156328	14.4071453660486	NFKBIA;JUN;TNFAIP3;FOSB;NFKB1;HSP90B1
cAMP signaling pathway	10/216	0.0137596516633556	0.0887135436190029	0	0	2.35844465532764	10.1083286080011	NFKBIA;JUN;PTGER2;CAMK4;PDE3B;PDE4B;RRAS2;PIK3R1;ADRB2;NFKB1
Prostate cancer	6/97	0.0146525086736701	0.0920478108986967	0	0	3.19035802906771	13.473340467529	NFKBIA;TCF7;TGFA;PIK3R1;NFKB1;HSP90B1
Natural killer cell mediated cytotoxicity	7/131	0.0182551126660552	0.10654913631751	0	0	2.73369041887338	10.9438104425583	NCR3;TYROBP;IFNGR1;ICAM2;PRF1;FYN;PIK3R1
Chagas disease	6/102	0.0183582822376963	0.10654913631751	0	0	3.02341811414392	12.0866413713879	NFKBIA;JUN;IFNGR1;PIK3R1;PLCB1;NFKB1
JAK-STAT signaling pathway	8/162	0.0185377706671545	0.10654913631751	0	0	2.51799073744211	10.0416084973101	SOCS3;IL23A;IFNGR1;IL23R;MYC;OSM;PIK3R1;IL7R
Pancreatic cancer	5/76	0.0197261845156451	0.10654913631751	0	0	3.40259378050481	13.3579311179105	SMAD3;GADD45B;TGFA;PIK3R1;NFKB1
C-type lectin receptor signaling pathway	6/104	0.0200051439616549	0.10654913631751	0	0	2.96141186002937	11.5843497534632	NFKBIA;JUN;IL23A;RRAS2;PIK3R1;NFKB1
NF-kappa B signaling pathway	6/104	0.0200051439616549	0.10654913631751	0	0	2.96141186002937	11.5843497534632	NFKBIA;EDA;GADD45B;TNFAIP3;LTB;NFKB1
T cell receptor signaling pathway	6/104	0.0200051439616549	0.10654913631751	0	0	2.96141186002937	11.5843497534632	NFKBIA;JUN;MAP3K8;FYN;PIK3R1;NFKB1
Wnt signaling pathway	8/166	0.0211167294090249	0.110076568195981	0	0	2.4537390700464	9.46576391164122	TLE4;JUN;TLE1;SMAD3;MYC;RUVBL1;TCF7;PLCB1
