p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.00972766933376	0.834	0.671	0	c4	IL7R
0	0.408626283034179	0.981	0.993	0	c4	RPL34
0	0.434185729988805	0.985	0.994	0	c4	RPL11
0	0.445291450633074	0.985	0.994	0	c4	RPL32
0	0.421749397528787	0.99	0.997	0	c4	RPL13
0	0.444348363556817	0.991	0.996	0	c4	RPL39
2.91941383858277e-303	0.464906202125926	0.99	0.996	8.97048290181328e-299	c4	RPS12
4.15067831848387e-274	0.358906049412543	0.974	0.989	1.27537892692054e-269	c4	RPS21
2.97166735676658e-272	0.451143962303323	0.964	0.985	9.13104228713668e-268	c4	RPS8
2.14492144923018e-267	0.37479964195461	0.995	0.998	6.59070013704958e-263	c4	RPLP1
3.0838142951043e-257	0.320475194497166	0.995	0.998	9.47563618456698e-253	c4	RPL10
1.12802236165487e-249	0.386279052075652	0.976	0.991	3.46607431065691e-245	c4	RPL18A
1.6835955335533e-249	0.39984275106096	0.959	0.982	5.17318399594923e-245	c4	RPL36
5.42880363522832e-244	0.4037111878183	0.961	0.982	1.66810849299661e-239	c4	RPL37
1.35163032321467e-219	0.456959799181091	0.989	0.991	4.15315449414173e-215	c4	ND3
6.63684176484372e-214	0.299781137391747	0.985	0.995	2.03930236908353e-209	c4	RPL30
2.15969325665506e-209	0.258326370025869	0.995	0.998	6.636089469724e-205	c4	RPL28
5.25936664473717e-208	0.301405908435448	0.98	0.992	1.61604558892839e-203	c4	RPS27A
1.54393332789708e-206	0.255322188947839	0.996	0.998	4.74404393662935e-202	c4	RPS27
1.73036553416419e-195	0.366603888022704	0.964	0.986	5.31689417682632e-191	c4	RPL12
2.04201819971143e-188	0.322179645716719	0.958	0.982	6.2745093222533e-184	c4	RPS25
1.74010256199477e-187	0.303158873789707	0.98	0.992	5.34681314224132e-183	c4	RPL19
1.16481451254337e-185	0.364048694843984	0.953	0.979	3.57912555269203e-181	c4	RPL29
5.35963241221608e-184	0.400806532279016	0.932	0.967	1.64685425130163e-179	c4	RPS6
2.71996949896921e-181	0.894520766122336	0.597	0.479	8.3576502794827e-177	c4	LTB
1.50232213553267e-172	0.350158939226912	0.95	0.981	4.61618522585124e-168	c4	RPL18
1.19183583555917e-171	0.353434371026931	0.953	0.983	3.66215397192266e-167	c4	RPS3A
1.96515333377008e-168	0.434199991232732	0.915	0.957	6.03832664867532e-164	c4	RPLP0
3.72098885749313e-160	0.348801737038229	0.938	0.969	1.14334824624192e-155	c4	RPLP2
9.64008814361277e-159	0.303526007553628	0.977	0.992	2.9621098838879e-154	c4	RPS18
2.61644134815447e-156	0.444586489392756	0.845	0.909	8.03953933047425e-152	c4	RPL22
3.72806461790449e-152	0.289740392299958	0.953	0.981	1.14552241514351e-147	c4	RPL35A
9.76934084043169e-151	0.295334582688136	0.984	0.994	3.00182536003945e-146	c4	RPS19
1.49820033773577e-141	0.332016114736674	0.965	0.984	4.60352017776069e-137	c4	RPS29
