p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
0	4.95430155885794	0.525	0.032	0	FOXP3	c7
0	4.65650933965176	0.119	0.004	0	CCR8	c7
0	4.35103825138411	0.235	0.025	0	AC017002.3	c7
0	4.28002031844017	0.271	0.021	0	ZC2HC1A	c7
0	4.11607677149576	0.404	0.037	0	ICA1	c7
0	4.01504188149104	0.168	0.012	0	IL21	c7
0	3.99791776725599	0.2	0.014	0	POU2AF1	c7
0	3.8429480148885	0.178	0.013	0	F5	c7
0	-3.50240870893681	0.17	0.703	0	CCL5	c7
0	3.47225104781583	0.468	0.074	0	TOX2	c7
0	3.43688818547386	0.335	0.069	0	LINC01943	c7
0	-3.38970268199222	0.123	0.654	0	ANXA1	c7
0	3.37143705474111	0.657	0.165	0	TNFRSF4	c7
0	3.28584239313213	0.541	0.073	0	TBC1D4	c7
0	3.27881737320059	0.216	0.025	0	ADTRP	c7
0	3.19355067902705	0.337	0.068	0	IL2RA	c7
0	2.98030290706297	0.479	0.081	0	GK	c7
0	2.82959101644532	0.333	0.052	0	CCR4	c7
0	2.59164814614606	0.318	0.058	0	TIAM1	c7
0	2.45057418693382	0.583	0.204	0	TNFRSF18	c7
0	2.41974510152258	0.884	0.277	0	CTLA4	c7
0	2.38813243879642	0.738	0.302	0	BATF	c7
0	2.221628330375	0.463	0.102	0	IL6R	c7
0	2.16323575367486	0.551	0.141	0	MAF	c7
0	1.72554464850709	0.778	0.378	0	TIGIT	c7
1.44197063894136e-307	1.9203396611622	0.679	0.285	4.83608112888152e-303	MIR4435-2HG	c7
1.24720235806002e-298	3.84053136192755	0.132	0.008	4.18286726846168e-294	LINC01281	c7
2.13557869037114e-295	3.48706523807426	0.22	0.029	7.16230381176674e-291	LAIR2	c7
1.09714770633227e-294	4.171553740679	0.133	0.008	3.67961397749716e-290	XXYLT1-AS2	c7
1.62311300473272e-286	1.6984530588984	0.701	0.316	5.44359639527258e-282	ARID5B	c7
3.3217921500452e-282	1.77633047020561	0.793	0.477	1.11406265128216e-277	PIM2	c7
1.27933108139478e-281	2.55297881045023	0.188	0.021	4.29062058078182e-277	LGMN	c7
2.40820642722212e-277	3.13044812271482	0.255	0.043	8.07664271561754e-273	TRIB1	c7
7.9192332342522e-276	3.88063133601749	0.178	0.019	2.6559524421035e-271	CD200	c7
3.21694943944001e-258	3.96477147148752	0.138	0.012	1.07890050299939e-253	HACD1	c7
3.10736989109565e-256	1.48104132801678	0.823	0.513	1.04214971407566e-251	PBXIP1	c7
2.61998897967071e-250	1.83888960712317	0.767	0.46	8.78691904001962e-246	TNFRSF1B	c7
8.03272673840674e-249	1.02207606788482	0.993	0.912	2.69401589352685e-244	SRGN	c7
1.21570850881378e-245	4.72264747487736	0.097	0.005	4.07724319685965e-241	TNFRSF13B	c7
2.65710067365327e-244	2.56989303982922	0.26	0.049	8.91138423929835e-240	CXCR5	c7
3.3527975869241e-244	3.24313866686228	0.122	0.009	1.12446125470261e-239	CLEC7A	c7
7.06445303015345e-236	5.11613508786011	0.089	0.004	2.36927625725287e-231	FANK1	c7
9.49129875537174e-236	3.89332619905627	0.116	0.008	3.18319177657658e-231	IL1R1	c7
2.31805146770156e-229	1.10048976012134	0.92	0.693	7.7742810123775e-225	SPOCK2	c7
3.06594370474086e-228	-3.50896284903954	0.102	0.525	1.02825619969599e-223	NKG7	c7
2.30028143470091e-226	0.733360659724648	0.999	0.961	7.71468387569992e-222	HLA-A	c7
5.0329337010478e-225	2.78772097674526	0.348	0.097	1.68794530465741e-220	MAGEH1	c7
7.31875759786236e-221	1.77418685816604	0.5	0.187	2.45456492317108e-216	TOX	c7
2.21268486830876e-219	1.71199942068227	0.417	0.131	7.42090251133392e-215	ZC3H12D	c7
3.54978720083525e-218	1.24075531069513	0.84	0.538	1.19052763141613e-213	CD27	c7
2.22385115083788e-217	1.66086887648241	0.639	0.327	7.45835198968008e-213	DNPH1	c7
4.54111195742471e-217	1.58799141092008	0.59	0.257	1.5229981282811e-212	IL6ST	c7
2.10329886990644e-216	2.07930438749504	0.33	0.086	7.05404374989221e-212	CD79B	c7
6.68126903542797e-215	1.66115291888319	0.706	0.415	2.24076400910183e-210	CORO1B	c7
8.09852167503518e-214	4.29230059427124	0.095	0.006	2.7160821993733e-209	EBI3	c7
1.87355064074396e-210	1.33273874870669	0.62	0.266	6.2835141389271e-206	CD4	c7
1.03360776511313e-207	-4.19817938871891	0.047	0.449	3.46651372263642e-203	CTSW	c7
7.94423092764426e-206	-4.63289180441937	0.046	0.441	2.66433616851333e-201	HOPX	c7
1.69644880501416e-205	3.07942204464517	0.151	0.019	5.68955000225649e-201	SGPP2	c7
1.47352810816724e-204	2.99622180318181	0.19	0.031	4.94191856917128e-200	RTKN2	c7
4.3193168967485e-198	1.3311743992691	0.889	0.649	1.44861250083151e-193	LTB	c7
1.16795357512882e-194	-2.06634054783163	0.254	0.626	3.91708270026703e-190	SCML4	c7
1.19758784932803e-194	1.28956794822746	0.682	0.355	4.01647012907635e-190	CD28	c7
6.08129966441981e-194	3.7656978352604	0.113	0.01	2.03954628145312e-189	IL1R2	c7
3.20087368527804e-193	2.98383644051326	0.121	0.012	1.07350901656855e-188	AC012368.1	c7
1.11117230806383e-189	1.24345093418287	0.822	0.564	3.72664968678448e-185	UCP2	c7
9.3614277809813e-189	1.24161875829875	0.774	0.462	3.13963564918551e-184	ICOS	c7
6.78671408925487e-185	-4.52775011568138	0.044	0.411	2.2761281712543e-180	ITGA1	c7
1.48444974421382e-182	6.36416143179445	0.052	0.001	4.97854755214431e-178	SLC7A10	c7
8.32519020256233e-178	1.32088031475695	0.724	0.43	2.79210229013535e-173	GBP2	c7
3.83198379583551e-175	1.99233641684066	0.495	0.215	1.28517072544731e-170	PDCD1	c7
4.15068883720577e-174	1.38471247240088	0.562	0.269	1.39205802222207e-169	PHTF2	c7
1.41975116212703e-172	1.66387351029009	0.456	0.184	4.76156144754162e-168	PELI1	c7
4.8885521280882e-172	2.19158442638427	0.292	0.083	1.63952261271822e-167	NINJ2	c7
5.20082128970977e-172	1.24451246361558	0.801	0.567	1.74425144414286e-167	FCMR	c7
1.09864220346154e-171	1.49976200577199	0.584	0.288	3.6846262219693e-167	CD82	c7
8.38996582520168e-170	1.7719740709352	0.282	0.076	2.81382673845614e-165	FAAH2	c7
4.54405762887248e-166	2.55107037695934	0.198	0.041	1.52398604757125e-161	CAMK1	c7
2.19422788464198e-164	-2.92588838053885	0.073	0.424	7.35900147951226e-160	CD8A	c7
6.96008683352823e-164	1.79421409603939	0.351	0.119	2.3342739222287e-159	PHACTR2	c7
4.64427959526684e-162	3.21014449790166	0.164	0.03	1.55759849066059e-157	ETV7	c7
1.96597089928201e-156	-3.32516344418867	0.132	0.463	6.59347320201201e-152	GZMA	c7
4.80300978256576e-156	5.13825831103208	0.072	0.005	1.6108334208769e-151	IGKV3OR2-268	c7
3.40672615174007e-155	1.79734099304939	0.44	0.187	1.14254781677058e-150	CD59	c7
3.28100530530093e-153	1.6590040103492	0.35	0.12	1.10038355929183e-148	FBLN7	c7
1.59425110126375e-152	2.35013883208923	0.169	0.032	5.34679934341835e-148	FAM184A	c7
2.17423671201589e-151	1.85287180995087	0.348	0.124	7.29195508475888e-147	LIMA1	c7
4.55865047617672e-150	1.49059278392276	0.67	0.437	1.52888019670015e-145	CARD16	c7
1.7058265842626e-149	1.79900919701407	0.394	0.156	5.72100119829991e-145	STAM	c7
2.08744275540876e-149	1.0401723954871	0.778	0.556	7.00086551308991e-145	NDUFV2	c7
1.69248444885246e-148	3.85872459753992	0.053	0.002	5.67625434456137e-144	KSR2	c7
2.04425751140454e-148	4.04570178617451	0.143	0.024	6.85603084174856e-144	IL10	c7
3.11704584231082e-148	1.19096155750047	0.695	0.438	1.0453948345942e-143	LIMS1	c7
2.28282580747248e-146	3.52268374874092	0.102	0.012	7.6561411931012e-142	SMAD1	c7
3.073611546084e-143	3.22010784160347	0.104	0.013	1.03082784032565e-138	FAM174B	c7
1.90190101287672e-141	1.09736703233587	0.802	0.635	6.37859561698594e-137	C9orf16	c7
9.5272172944141e-141	0.688126630892524	0.945	0.843	3.1952381362006e-136	ARPC1B	c7
2.52404986083388e-140	3.69461494831492	0.087	0.009	8.46515842326468e-136	CEBPA	c7
2.73100495479226e-138	1.59595463103863	0.348	0.128	9.15924441738228e-134	SESN3	c7
5.08187908132984e-138	2.00817976923674	0.286	0.094	1.7043606062964e-133	ZNRF1	c7
6.48140239669691e-138	-2.74145674652022	0.091	0.405	2.17373273580421e-133	CCL4	c7
1.66360911038955e-137	2.12025513437142	0.258	0.078	5.57941223442447e-133	CCNG2	c7
2.55997086024111e-137	1.44470577685288	0.34	0.12	8.58563027107664e-133	ITGB2-AS1	c7
1.09928996126911e-136	1.3347975376198	0.532	0.275	3.68679867210434e-132	NAMPT	c7
7.21617729126617e-136	0.640608812213329	0.993	0.935	2.42016153994485e-131	UBC	c7
2.7756207874471e-135	1.81595171017257	0.271	0.085	9.30887699694008e-131	MAST4	c7
5.39377996087186e-135	-1.76567492242593	0.189	0.509	1.8089659232772e-130	STOM	c7
1.08854836354267e-134	-0.886016640961423	0.903	0.934	3.6507735016494e-130	ZFP36L2	c7
1.43778793396855e-134	1.52182281906827	0.362	0.141	4.82205317294372e-130	DUSP16	c7
4.24069897132445e-134	-3.4891287590408	0.055	0.353	1.42224562100279e-129	MATK	c7
4.54548023651636e-133	2.13386344883679	0.226	0.063	1.52446316172286e-128	INPP1	c7
3.68647973712732e-131	3.61181753696485	0.072	0.006	1.23637157423776e-126	TBC1D8	c7
5.12290339362562e-131	1.08244813827292	0.586	0.323	1.71811934015416e-126	CTSB	c7
2.75835620258493e-130	0.938800123232237	0.879	0.746	9.25097503222934e-126	SOD1	c7
1.06916014339796e-129	1.44830217112525	0.473	0.229	3.58574928892809e-125	EPSTI1	c7
9.44700370432958e-129	2.06333282668767	0.233	0.067	3.16833610235806e-124	GADD45G	c7
1.00887773098591e-128	0.788020642254975	0.976	0.899	3.38357413418054e-124	IL32	c7
1.02718527765254e-128	-3.09453117590775	0.071	0.365	3.44497398419108e-124	CD8B	c7
1.08450692982498e-128	-1.87553413824421	0.178	0.488	3.63721934124701e-124	LINC01871	c7
