p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	5.78242130999634	0.922	0.03	0	Cycling T cells	GINS2
0	5.08683705638444	0.922	0.036	0	Cycling T cells	CDT1
0	4.26843862900029	0.926	0.044	0	Cycling T cells	TYMS
0	4.08980064977319	0.971	0.102	0	Cycling T cells	MCM7
0	4.816774100328	0.877	0.04	0	Cycling T cells	MCM2
0	4.08052847433214	0.898	0.063	0	Cycling T cells	PCLAF
0	4.65894769146941	0.832	0.035	0	Cycling T cells	CLSPN
0	4.62563272036731	0.82	0.039	0	Cycling T cells	MCM4
0	3.84603505013357	0.848	0.079	0	Cycling T cells	CDCA7
0	3.66027333257099	0.82	0.062	0	Cycling T cells	HELLS
0	3.67291010964888	0.828	0.075	0	Cycling T cells	FEN1
0	3.69154265999705	0.828	0.077	0	Cycling T cells	DHFR
0	3.86483972641069	0.754	0.042	0	Cycling T cells	ZWINT
0	3.70955414306663	0.75	0.05	0	Cycling T cells	WDR34
0	5.47464625216671	0.725	0.025	0	Cycling T cells	UHRF1
0	3.8598372450324	0.725	0.047	0	Cycling T cells	CENPU
0	5.90851815681171	0.684	0.017	0	Cycling T cells	DTL
0	3.87790016381852	0.713	0.046	0	Cycling T cells	ASF1B
0	5.70115920251679	0.668	0.015	0	Cycling T cells	E2F1
0	4.20937102007691	0.689	0.04	0	Cycling T cells	TK1
0	3.93802240542948	0.648	0.033	0	Cycling T cells	RMI2
0	5.40216886971382	0.623	0.016	0	Cycling T cells	CDC6
0	3.346221231187	0.656	0.05	0	Cycling T cells	TCF19
0	5.39011055555207	0.623	0.019	0	Cycling T cells	CDC45
0	4.32820043542363	0.623	0.026	0	Cycling T cells	CHEK1
0	4.06322195462067	0.574	0.028	0	Cycling T cells	ORC6
0	3.54839072616803	0.582	0.038	0	Cycling T cells	RRM2
0	4.12898756712471	0.561	0.022	0	Cycling T cells	CHAF1B
0	5.30976966428781	0.5	0.015	0	Cycling T cells	MCM10
0	4.03809227899104	0.504	0.025	0	Cycling T cells	PKMYT1
0	4.80633394600022	0.459	0.012	0	Cycling T cells	FAM111B
0	3.82921040597443	0.463	0.021	0	Cycling T cells	CCNE2
0	4.58741089889459	0.447	0.014	0	Cycling T cells	CCNE1
0	4.2251921485016	0.393	0.016	0	Cycling T cells	E2F2
2.44585747057932e-306	4.02273696344795	0.443	0.021	8.20291678482891e-302	Cycling T cells	MYBL2
4.8870221000556e-301	3.64171068883206	0.963	0.147	1.63900947191665e-296	Cycling T cells	MCM5
1.41656268617822e-300	3.37363360676666	0.598	0.042	4.75086793690453e-296	Cycling T cells	PAQR4
3.29002160651724e-299	3.41863994680797	0.611	0.045	1.10340744639375e-294	Cycling T cells	CHAF1A
2.33286747967378e-283	3.78908663966561	0.512	0.033	7.82397095332992e-279	Cycling T cells	BRCA1
2.79185060197039e-283	2.20373641342977	0.713	0.064	9.3633085488883e-279	Cycling T cells	MKI67
7.86572821616155e-278	4.32954936476695	0.373	0.016	2.63800792913626e-273	Cycling T cells	DSCC1
1.36739535641381e-275	4.61538300316028	0.32	0.011	4.58597054634063e-271	Cycling T cells	ORC1
3.56028149467134e-271	4.78360270199946	0.299	0.01	1.19404720768287e-266	Cycling T cells	TEDC2
3.25615846054438e-267	4.07374621320461	0.357	0.015	1.09205042449737e-262	Cycling T cells	POLE2
4.12686702005795e-267	3.14164491398998	0.574	0.044	1.38406866118704e-262	Cycling T cells	TIMELESS
8.64389144721909e-260	3.24096807347079	0.504	0.034	2.89898831356834e-255	Cycling T cells	CTNNAL1
5.11492319176286e-249	3.0458137445124	0.549	0.043	1.71544294005343e-244	Cycling T cells	CDCA7L
9.13532821498021e-247	3.00898268151956	0.775	0.093	3.06380637674006e-242	Cycling T cells	GMNN
2.43402107801578e-243	2.98043107667168	0.689	0.072	8.16321989144931e-239	Cycling T cells	RBBP8
8.14753279169016e-242	3.07251489848008	0.385	0.021	2.73251954767705e-237	Cycling T cells	SLC29A1
9.5715502181761e-240	3.16288861256682	0.504	0.038	3.2101065121719e-235	Cycling T cells	WDHD1
3.48027178090699e-239	2.94607422379316	0.877	0.128	1.16721354988059e-234	Cycling T cells	MCM6
3.77820316230542e-239	4.61363760629014	0.283	0.01	1.26713377657399e-234	Cycling T cells	EXO1
4.90160024204574e-238	3.15943835471567	0.541	0.044	1.6438986891773e-233	Cycling T cells	PHGDH
5.16960663768608e-236	4.00206502473683	0.316	0.014	1.73378267414716e-231	Cycling T cells	PSMC3IP
3.01826830950557e-235	3.02058276298249	0.537	0.044	1.01226682564198e-230	Cycling T cells	ATAD5
4.22563018071731e-233	3.55820850061141	0.418	0.026	1.41719185000897e-228	Cycling T cells	RAD51AP1
1.4540387732622e-231	3.16805521880979	0.902	0.156	4.87655523776675e-227	Cycling T cells	PCNA
7.65615404885904e-230	3.45909013520509	0.398	0.024	2.56772094490635e-225	Cycling T cells	ZNF367
1.78658568788991e-226	2.67305624655152	0.615	0.059	5.99185108004518e-222	Cycling T cells	WDR76
5.11392130583277e-224	2.96172563018997	0.971	0.212	1.71510692755019e-219	Cycling T cells	STMN1
9.88044012455253e-218	2.97467452017223	0.537	0.048	3.31370200897243e-213	Cycling T cells	CENPW
1.09904665776265e-215	4.22767979838537	0.303	0.014	3.68598268080436e-211	Cycling T cells	RAD54L
1.49873282269909e-215	2.62502197388396	0.582	0.056	5.0264501407682e-211	Cycling T cells	DSN1
1.02711767905483e-213	2.59437244598608	0.672	0.075	3.44474727201409e-209	Cycling T cells	UBE2T
1.41305054448516e-208	2.58756769607654	0.775	0.104	4.73908891609433e-204	Cycling T cells	SMC2
3.35763639453381e-207	2.67212706289965	0.598	0.062	1.12608409399875e-202	Cycling T cells	CENPH
5.76692721524631e-205	2.49039366618545	0.791	0.108	1.93411204944931e-200	Cycling T cells	RNASEH2A
2.64209530177197e-204	3.35975688006169	0.332	0.018	8.86105922308282e-200	Cycling T cells	GINS3
8.86518722456989e-202	2.54345493489663	0.742	0.097	2.97320649137625e-197	Cycling T cells	RFC2
1.10802399010695e-198	2.75133638947154	0.475	0.04	3.71609085802068e-194	Cycling T cells	NCAPG2
2.91888897870123e-198	2.62939714297764	0.598	0.064	9.7893698567682e-194	Cycling T cells	CENPN
5.73703571182379e-197	2.73624185222856	0.939	0.19	1.92408703703146e-192	Cycling T cells	MCM3
3.86392089860069e-195	2.84655308324162	0.516	0.049	1.2958817909727e-190	Cycling T cells	FANCI
7.8186567124292e-195	2.88719407735596	0.426	0.033	2.62222108821451e-190	Cycling T cells	DHCR24
1.25273920522076e-194	2.95585993108597	0.385	0.027	4.20143674646938e-190	Cycling T cells	TMEM97
4.00988818377727e-194	2.64398834978742	0.602	0.067	1.34483629907522e-189	Cycling T cells	UCK2
8.41236736457942e-193	2.55003432209515	0.795	0.119	2.82133976673265e-188	Cycling T cells	RFC4
1.90216012633921e-190	4.95379481403841	0.209	0.007	6.37946463171645e-186	Cycling T cells	CDC25A
2.37130925244938e-190	2.46424758570209	0.623	0.072	7.95289697086474e-186	Cycling T cells	IFI27L1
4.76501651954888e-190	2.43171978191789	0.537	0.054	1.5980912403263e-185	Cycling T cells	HMGB3
1.95664818791475e-189	2.41291230052438	0.553	0.057	6.56220669262848e-185	Cycling T cells	TIPIN
2.45095061651856e-188	2.98272199231355	0.402	0.03	8.21999817767994e-184	Cycling T cells	CENPP
2.58594938777814e-187	2.81733223324295	0.459	0.04	8.67275705673032e-183	Cycling T cells	BRCA2
1.40113161525519e-186	2.7791019559187	0.422	0.034	4.69911521124287e-182	Cycling T cells	RFC3
4.94641537591207e-185	2.21376814904699	0.451	0.039	1.65892878877339e-180	Cycling T cells	CDK1
7.68512213386915e-184	3.35017137535567	0.369	0.026	2.57743626125703e-179	Cycling T cells	MND1
6.86806966942831e-182	2.40742864839172	0.746	0.107	2.30341320573287e-177	Cycling T cells	CENPK
1.37836953661415e-181	2.4830807678525	0.689	0.093	4.62277575189652e-177	Cycling T cells	EZH2
2.0696447701761e-179	3.40195553929124	0.369	0.027	6.94117463021661e-175	Cycling T cells	POC1A
2.4485527439455e-175	3.39022911577687	0.246	0.011	8.21195619264443e-171	Cycling T cells	TONSL
1.90311510206126e-174	2.16669309009263	0.68	0.09	6.38266742929305e-170	Cycling T cells	MSH6
6.27731192034386e-174	2.31269417809138	0.537	0.058	2.10528487184492e-169	Cycling T cells	POLD1
2.40415302792076e-172	3.20828209072614	0.361	0.027	8.06304842504064e-168	Cycling T cells	OIP5
9.36655003245741e-172	2.27472864451027	0.623	0.079	3.14135354988556e-167	Cycling T cells	POLD3
3.97788401435716e-171	2.39322849745302	0.783	0.128	1.3341027407351e-166	Cycling T cells	SNRNP25
1.40438392604145e-169	2.51279787339536	0.717	0.109	4.71002281115781e-165	Cycling T cells	PAICS
3.34216875224319e-169	2.5074987265999	0.459	0.044	1.12089655612732e-164	Cycling T cells	NCAPH
1.79593782768702e-167	2.56887314014171	0.717	0.112	6.02321628649673e-163	Cycling T cells	C19orf48
3.25532062781086e-167	2.27679440102875	0.545	0.062	1.0917694321552e-162	Cycling T cells	CDK2
2.9713677120426e-166	2.54616152028826	0.725	0.117	9.96537303264846e-162	Cycling T cells	CENPM
5.24389115645891e-166	2.34679578368784	0.799	0.134	1.75869621605319e-161	Cycling T cells	UNG
