p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
4.43845070659939e-241	2.98865336144775	0.852	0.353	1.36380274861679e-236	Regulatory T cells.2	CXCL13
5.87226742156303e-229	3.01027115423255	0.37	0.039	1.80437161062367e-224	Regulatory T cells.2	PTPN13
7.43974643420055e-225	4.3148387980104	0.276	0.018	2.2860108868368e-220	Regulatory T cells.2	IL21
1.34475007736455e-196	3.02617271490892	0.348	0.042	4.13201356271805e-192	Regulatory T cells.2	BHLHE40-AS1
1.35209334669701e-185	3.65528914354969	0.351	0.048	4.15457722639591e-181	Regulatory T cells.2	NMB
3.13726173112412e-157	3.05902238272418	0.308	0.042	9.63986412122508e-153	Regulatory T cells.2	CD200
5.4928914067581e-148	1.6080825864913	0.838	0.398	1.68780074255456e-143	Regulatory T cells.2	DUSP4
6.96645250802642e-134	2.37436669452434	0.327	0.057	2.14058186214128e-129	Regulatory T cells.2	ZBED2
4.93398285498239e-133	1.97296672772398	0.409	0.088	1.51606491185044e-128	Regulatory T cells.2	CD40LG
6.85086258987458e-132	1.65884878515238	0.621	0.206	2.10506454799076e-127	Regulatory T cells.2	SNX9
8.0447582477826e-130	0.995415963337	0.646	0.209	2.47191286679616e-125	Regulatory T cells.2	TNFRSF4
3.57339042739083e-129	1.68283593225327	0.553	0.165	1.09799567662438e-124	Regulatory T cells.2	CD4
6.21275262217593e-128	1.10755842578017	0.978	0.886	1.908992498216e-123	Regulatory T cells.2	SRGN
5.28663739759287e-124	2.16533525197339	0.336	0.064	1.62442507315836e-119	Regulatory T cells.2	CHN1
1.38934515350236e-123	1.8147956016226	0.403	0.091	4.2690408531667e-119	Regulatory T cells.2	NPDC1
3.05236128340087e-122	1.2808708872583	0.866	0.479	9.37899051550586e-118	Regulatory T cells.2	NR3C1
2.24663077866356e-119	1.17285598331999	0.787	0.33	6.90322239359951e-115	Regulatory T cells.2	TNFRSF18
4.05753856149249e-117	2.50115658206694	0.281	0.048	1.2467598737898e-112	Regulatory T cells.2	IGFBP4
1.29171103525411e-116	1.39772031668461	0.738	0.329	3.96904049802529e-112	Regulatory T cells.2	FKBP5
