Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Th17 cell differentiation	27/107	3.30019795317451e-11	9.60357604373782e-09	0	0	5.72196525270758	138.096504723203	IL21;AHR;CD3D;IL27RA;IL21R;IL6R;JAK3;JAK1;STAT5B;IL1R1;IFNGR2;STAT3;NFATC1;FOXP3;NFKB1;RUNX1;MAPK13;IL4;NFKBIA;CD4;LCK;IL2RA;IL2RB;IL17F;CD247;IL6ST;LAT
Cytokine-cytokine receptor interaction	45/295	1.31573993834165e-09	1.9144016102871e-07	0	0	3.07403669724771	62.8605664648375	IL21;TNFRSF13B;CSF1;IL26;EBI3;CXCR5;CSF2RB;CXCL13;IL27RA;IL21R;CCR8;TNFRSF8;CCR7;TNFRSF14;CCR6;CCR4;IL6R;TNFRSF4;IL10;IL32;IFNAR2;IL1R1;CCL20;IL1R2;IFNGR2;IL10RA;TNFRSF9;TNFRSF18;LIF;TNFRSF10A;TNFRSF1B;IL4;CD4;IL7;IL2RA;IL2RB;LTA;CD27;FAS;TNFSF8;IL17F;TNFRSF25;LTB;IL6ST;CRLF2
T cell receptor signaling pathway	24/104	2.86987716694536e-09	2.26987974447812e-07	0	0	5.07245724572457	99.7701443556365	IL10;VAV3;PIK3R3;NFATC1;CD3D;NFKB1;RHOA;MALT1;MAPK13;IL4;NFKBIA;CD4;PTPRC;LCK;CD28;CTLA4;GRB2;LCP2;CD247;PDCD1;ICOS;PAK3;PAK2;LAT
Epstein-Barr virus infection	35/202	3.12010961440292e-09	2.26987974447812e-07	0	0	3.56249319542733	69.7728460463931	CDKN1A;PIK3R3;RBPJ;CD3D;PSMD8;E2F3;HES1;RAC1;CD58;BAK1;B2M;JAK3;JAK1;IFNAR2;MAP2K3;ENTPD1;GADD45A;STAT3;ADRM1;HLA-A;NFKB1;HLA-E;GADD45G;NFKB2;MAPK13;NFKBIA;SEM1;PSMC5;TRAF3;BCL2;FAS;BAX;TAB2;CD247;CD44
JAK-STAT signaling pathway	30/162	8.46347499747368e-09	4.74601795118735e-07	0	0	3.85294117647059	71.6165672024014	IL21;CDKN1A;PDGFA;PIK3R3;CSF2RB;IL27RA;SOCS3;IL21R;IL6R;JAK3;JAK1;IFNAR2;IL10;STAT5B;IFNGR2;IL10RA;STAT3;LIF;PTPN11;STAM;IL4;IL7;IL2RA;IL2RB;BCL2;GRB2;IL6ST;PTPN2;BCL2L1;CRLF2
Pathways in cancer	64/531	9.78560402306669e-09	4.74601795118735e-07	0	0	2.35420477969917	43.4170767786428	CDKN1A;ELK1;ETS1;BBC3;RAC2;ELOB;PIM2;RAC1;JAK3;IL6R;JAK1;SKP1;IFNAR2;ARHGEF12;IFNGR2;NCOA3;TRAF1;RHOA;RUNX1;EML4;TRAF3;IL6ST;BIRC3;CEBPA;PDGFA;MGST2;PIK3R3;CSF2RB;RASGRP4;GNG10;GNG5;GNG4;TPR;CTNNA1;HMOX1;PMAIP1;GNG8;E2F3;HES1;BAK1;RALGDS;STAT5B;FZD3;WNT10A;CDKN2A;GADD45A;STAT3;NFKB1;NFKB2;GADD45G;IL4;NFKBIA;HEYL;IL7;IL2RA;IL2RB;BCL2;FAS;BAX;CALM3;GRB2;FGFR2;BCL2L1;FGFR1
Viral carcinogenesis	34/203	1.27153746923296e-08	5.2859629078113e-07	0	0	3.41628105702723	62.1095405057942	CDKN1A;YWHAB;PIK3R3;RBPJ;HDAC9;HDAC7;YWHAQ;CCR8;PMAIP1;RAC1;BAK1;CCR4;JAK3;JAK1;YWHAH;STAT5B;CDKN2A;ACTN1;STAT3;HLA-A;TRAF1;RHOA;NFKB1;HLA-E;NFKB2;NFKBIA;KAT2B;HNRNPK;PKM;TRAF3;BAX;GRB2;IL6ST;MAD1L1
NF-kappa B signaling pathway	22/104	6.98294033094871e-08	2.54004454538259e-06	0	0	4.52771020971665	74.6040349556952	PARP1;IL1R1;GADD45A;LY96;TRAF1;CFLAR;NFKB1;MALT1;GADD45G;NFKB2;NFKBIA;CYLD;LCK;TRAF3;BCL2;LTA;TAB3;TAB2;LTB;LAT;BCL2L1;BIRC3
Osteoclast differentiation	24/127	1.7304693114851e-07	5.59518410713514e-06	0	0	3.93494883468929	61.2659846799398	IFNAR2;CSF1;IL1R1;IFNGR2;NCF4;SIRPG;PIK3R3;NFATC1;NFKB1;SIRPB1;NFKB2;MAPK13;NFKBIA;SOCS3;CYLD;LCK;ACP5;GRB2;TAB2;LCP2;RAC1;JUNB;SQSTM1;JAK1
Yersinia infection	25/137	1.95265609026353e-07	5.68222922266686e-06	0	0	3.77111486486486	58.2595956972514	ARPC1B;PIK3R3;ACTB;RPS6KA2;CASP1;RAC2;PIP5K1B;RAC1;MAP2K3;IL10;VAV3;ARHGEF12;ITGA4;RHOG;NFATC1;NFKB1;RHOA;MAPK13;NFKBIA;CD4;LCK;ELMO1;TAB2;LCP2;LAT
