p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	5.30238663586382	0.569	0.034	0	Regulatory T cells	FOXP3
0	2.38397688291001	0.87	0.357	0	Regulatory T cells	CTLA4
0	3.8881816899345	0.557	0.075	0	Regulatory T cells	TBC1D4
0	3.47431012171364	0.656	0.182	0	Regulatory T cells	TNFRSF4
0	4.23222031832855	0.401	0.042	0	Regulatory T cells	ICA1
0	4.73284436646628	0.287	0.022	0	Regulatory T cells	ZC2HC1A
1.62184856620238e-306	3.25007536654408	0.471	0.086	5.43935572132954e-302	Regulatory T cells	GK
1.07312340380409e-288	3.20883775595476	0.48	0.096	3.59904127167815e-284	Regulatory T cells	TOX2
3.15963874063544e-279	3.07360837281065	0.594	0.167	1.05967964083431e-274	Regulatory T cells	TNFRSF18
3.41881614452387e-245	2.61543554053192	0.533	0.142	1.14660255855041e-240	Regulatory T cells	MAF
1.06596426655271e-235	4.30989204305034	0.19	0.011	3.57503095716449e-231	Regulatory T cells	POU2AF1
2.46835990666894e-230	3.53559592645478	0.356	0.062	8.27838545498628e-226	Regulatory T cells	IL2RA
2.46570759625675e-229	6.17869106376954	0.135	0.003	8.26949013632588e-225	Regulatory T cells	CCR8
6.70853094471448e-227	5.42097876038815	0.138	0.004	2.24990710823834e-222	Regulatory T cells	CLEC7A
5.27586461908175e-224	4.64609272483202	0.199	0.015	1.76941947594764e-219	Regulatory T cells	LGMN
2.62222075571158e-215	1.93013656433073	0.771	0.373	8.79440397050549e-211	Regulatory T cells	TIGIT
2.74321652884445e-215	2.31305940533287	0.732	0.352	9.20019959443852e-211	Regulatory T cells	BATF
8.19791123086258e-213	2.81803457947298	0.356	0.065	2.74941546860669e-208	Regulatory T cells	CCR4
1.87457881402292e-210	4.12894051086099	0.26	0.034	6.28696242647008e-206	Regulatory T cells	AC017002.3
2.50412147437917e-204	7.60054648644688	0.103	0.001	8.39832260077285e-200	Regulatory T cells	TNFRSF13B
6.38545645983087e-202	4.20648690522366	0.183	0.014	2.14155438749808e-197	Regulatory T cells	F5
8.0767861575984e-198	2.13383157849827	0.472	0.121	2.70879254153535e-193	Regulatory T cells	IL6R
3.23231900242554e-180	3.24322126590057	0.234	0.031	1.08405514703348e-175	Regulatory T cells	ADTRP
3.30854604570655e-175	2.65848172026893	0.327	0.066	1.10962017280906e-170	Regulatory T cells	IKZF2
4.60406949106458e-173	5.04883642908632	0.126	0.006	1.54411282591324e-168	Regulatory T cells	IL1R1
