p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
3.31795064884879e-97	0.934026048027569	0.998	0.771	1.01950669587177e-92	Tem/Trm cytotoxic T cells.1	CCL5
2.88822675280621e-86	3.99658703053999	0.13	0.011	8.87465434334763e-82	Tem/Trm cytotoxic T cells.1	KIR2DS5
8.14841449762229e-77	1.84293921588886	0.527	0.233	2.5037633226844e-72	Tem/Trm cytotoxic T cells.1	KLRC2
7.14905867445533e-75	3.03217495888189	0.189	0.032	2.19669125889989e-70	Tem/Trm cytotoxic T cells.1	TYROBP
4.45189261241342e-74	1.8029152866285	0.517	0.228	1.36793304301627e-69	Tem/Trm cytotoxic T cells.1	KLRC3
6.0555983292441e-59	1.18718694987962	0.708	0.45	1.86070369862683e-54	Tem/Trm cytotoxic T cells.1	GNLY
1.26443694861964e-50	0.848505018452399	0.855	0.606	3.88523541202357e-46	Tem/Trm cytotoxic T cells.1	NKG7
9.6235378697871e-44	1.08589407437258	0.614	0.374	2.95702448124948e-39	Tem/Trm cytotoxic T cells.1	KLRD1
1.62086257532946e-42	0.612111759249177	0.791	0.574	4.98042443521482e-38	Tem/Trm cytotoxic T cells.1	CCL4
6.11493357784664e-42	0.679672315765253	0.975	0.979	1.87893564046494e-37	Tem/Trm cytotoxic T cells.1	ND3
6.29318337066387e-40	1.11052458920144	0.584	0.374	1.93370645430389e-35	Tem/Trm cytotoxic T cells.1	HOPX
3.52550960888984e-39	1.02072829498521	0.614	0.388	1.08328333752358e-34	Tem/Trm cytotoxic T cells.1	GZMH
5.54045789912555e-38	0.905336716775889	0.677	0.464	1.70241649866431e-33	Tem/Trm cytotoxic T cells.1	CTSW
1.36208887550815e-36	1.11294890187907	0.527	0.296	4.18529048777388e-32	Tem/Trm cytotoxic T cells.1	LOC101060038
7.05636466062523e-36	0.478252597078112	0.989	0.994	2.16820916927032e-31	Tem/Trm cytotoxic T cells.1	COX2
1.27098360872832e-35	0.824887054794849	0.503	0.298	3.90535133453951e-31	Tem/Trm cytotoxic T cells.1	CCL4L1
3.17514142062979e-33	2.06128002410256	0.192	0.064	9.75625704316914e-29	Tem/Trm cytotoxic T cells.1	PTGDR
4.45269193802927e-30	1.51526032421705	0.322	0.16	1.36817865179825e-25	Tem/Trm cytotoxic T cells.1	KLRC4
4.89399386272052e-27	1.09367042120871	0.364	0.199	1.50377749419813e-22	Tem/Trm cytotoxic T cells.1	XCL2
2.99567093847443e-26	2.44050227419174	0.095	0.022	9.20479809265038e-22	Tem/Trm cytotoxic T cells.1	KLRAP1
1.09384374127369e-25	0.451240174429478	0.989	0.996	3.36105366381166e-21	Tem/Trm cytotoxic T cells.1	COX1
1.24651833404182e-24	1.91658624266343	0.152	0.052	3.8301768850103e-20	Tem/Trm cytotoxic T cells.1	FCRL6
1.77222333091914e-24	0.519920664785836	0.869	0.86	5.44551062891524e-20	Tem/Trm cytotoxic T cells.1	HCST
1.80647273117455e-24	0.217527288961017	0.995	1	5.55074876108005e-20	Tem/Trm cytotoxic T cells.1	RPL41
2.14973283354262e-24	1.36009333561472	0.327	0.176	6.60548407762641e-20	Tem/Trm cytotoxic T cells.1	XCL1
2.88438724322445e-24	0.559998652858557	0.911	0.932	8.86285668225576e-20	Tem/Trm cytotoxic T cells.1	COX3
5.59196021392155e-24	0.707273975846494	0.75	0.708	1.71824161493167e-19	Tem/Trm cytotoxic T cells.1	CST7
6.27236984206687e-24	0.249773343910701	0.997	0.999	1.92731108137189e-19	Tem/Trm cytotoxic T cells.1	RPS27
2.12729712654561e-23	3.28174561689665	0.047	0.006	6.5365458807367e-19	Tem/Trm cytotoxic T cells.1	NCAM1
3.08876185678911e-23	1.72292353844082	0.152	0.054	9.4908385573559e-19	Tem/Trm cytotoxic T cells.1	KIR3DL2
8.06259500019384e-23	1.60852997238437	0.286	0.156	2.47739356570956e-18	Tem/Trm cytotoxic T cells.1	LYAR
6.08542761628661e-22	1.16140629937568	0.394	0.245	1.86986934365639e-17	Tem/Trm cytotoxic T cells.1	KLRK1
1.35381626984497e-21	2.24000414916005	0.095	0.026	4.15987125235264e-17	Tem/Trm cytotoxic T cells.1	SPRY2
1.11192505642904e-20	0.310580550398304	0.992	0.997	3.41661212088952e-16	Tem/Trm cytotoxic T cells.1	RPS12
2.90163232608519e-20	0.94376627623248	0.681	0.71	8.91584564836195e-16	Tem/Trm cytotoxic T cells.1	ND2
6.23224381759063e-18	1.38328238656292	0.284	0.167	1.91498155783107e-13	Tem/Trm cytotoxic T cells.1	AOAH
1.34222099850862e-17	1.5485246110935	0.253	0.14	4.12424246211744e-13	Tem/Trm cytotoxic T cells.1	GeneID:102723863
1.9535227101139e-16	0.685529580952136	0.566	0.437	6.00258923136697e-12	Tem/Trm cytotoxic T cells.1	CD8B
2.16812218734743e-16	3.24309101096213	0.041	0.007	6.66198904506246e-12	Tem/Trm cytotoxic T cells.1	SIGLEC17P
2.07919203332666e-15	2.47802063496541	0.05	0.011	6.38873336080284e-11	Tem/Trm cytotoxic T cells.1	MS4A1
1.34348625269409e-14	0.767717190303985	0.811	0.851	4.12813020865312e-10	Tem/Trm cytotoxic T cells.1	CYTB
3.52004089434533e-14	1.41159479686322	0.197	0.105	1.08160296560549e-09	Tem/Trm cytotoxic T cells.1	TARP
4.18359991793126e-14	0.538872724748823	0.859	0.91	1.28549474678274e-09	Tem/Trm cytotoxic T cells.1	ND4L
2.72275172425858e-13	1.78577866091164	0.106	0.043	8.36619922312935e-09	Tem/Trm cytotoxic T cells.1	EOMES
4.80447985855757e-13	0.449077644336613	0.827	0.822	1.47627252613898e-08	Tem/Trm cytotoxic T cells.1	IFITM2
9.36627265443912e-13	0.199361483551447	0.991	0.996	2.87797459852951e-08	Tem/Trm cytotoxic T cells.1	RPL30
