p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
2.9010363265911e-226	1.86097829326815	0.936	0.529	8.91401432071646e-222	Tem/Trm cytotoxic T cells	GZMA
1.88353950390506e-203	1.59471745571446	0.954	0.51	5.78755183364909e-199	Tem/Trm cytotoxic T cells	GZMB
4.53134675593355e-184	1.37798138027293	0.953	0.584	1.3923469176957e-179	Tem/Trm cytotoxic T cells	NKG7
2.49249768402504e-157	1.09906346117522	0.994	0.763	7.65869763370375e-153	Tem/Trm cytotoxic T cells	CCL5
1.22371692126772e-153	1.50398860220988	0.792	0.357	3.76011498397932e-149	Tem/Trm cytotoxic T cells	GZMH
1.74307808860163e-126	1.58446934725907	0.799	0.429	5.35595604284624e-122	Tem/Trm cytotoxic T cells	GNLY
2.02393469738132e-126	1.25013391297135	0.915	0.549	6.21894414464359e-122	Tem/Trm cytotoxic T cells	LOC101929531
1.44431668812628e-124	1.83638249103702	0.478	0.145	4.43795188760563e-120	Tem/Trm cytotoxic T cells	KIR2DL4
4.22586407623566e-121	1.35396121424117	0.794	0.441	1.29848125470493e-116	Tem/Trm cytotoxic T cells	CTSW
6.05714360861415e-119	1.4188962218073	0.783	0.472	1.86117851661887e-114	Tem/Trm cytotoxic T cells	PRF1
1.13910462273616e-98	1.07629343993318	0.732	0.35	3.50012677428139e-94	Tem/Trm cytotoxic T cells	KLRD1
9.34719085010814e-98	1.09270198725018	0.804	0.475	2.87211133251273e-93	Tem/Trm cytotoxic T cells	CD8A
8.91071012077661e-85	1.27280722827033	0.535	0.222	2.73799389881103e-80	Tem/Trm cytotoxic T cells	KLRC2
2.77035057816363e-81	1.06529724344155	0.717	0.381	8.51245622152339e-77	Tem/Trm cytotoxic T cells	ZNF683
8.2711555640302e-79	1.17671639638738	0.523	0.217	2.54147797015956e-74	Tem/Trm cytotoxic T cells	KLRC3
2.98645714192468e-77	0.517683231566934	0.998	0.98	9.17648685999195e-73	Tem/Trm cytotoxic T cells	SH3BGRL3
3.17998629433826e-76	1.01460351058915	0.745	0.473	9.77114388661316e-72	Tem/Trm cytotoxic T cells	CD63
6.46559356836629e-74	0.648141213249134	0.98	0.89	1.98668293575191e-69	Tem/Trm cytotoxic T cells	CD7
4.1197569726236e-71	0.348643199038534	1	0.999	1.26587772497806e-66	Tem/Trm cytotoxic T cells	TMSB4X
6.54659355196563e-70	0.845386361952958	0.731	0.427	2.01157180071248e-65	Tem/Trm cytotoxic T cells	LAG3
3.12326338714766e-67	1.05266008984958	0.64	0.347	9.59685140968861e-63	Tem/Trm cytotoxic T cells	PTMS
4.20055338853369e-65	1.19341691201731	0.603	0.344	1.29070403969475e-60	Tem/Trm cytotoxic T cells	ACP5
1.20175889160205e-64	1.01220873568502	0.571	0.282	3.69264454622562e-60	Tem/Trm cytotoxic T cells	LOC101060038
5.71199925274565e-64	1.15367089867525	0.612	0.331	1.75512601039116e-59	Tem/Trm cytotoxic T cells	LOC100996809
9.0521876938781e-64	0.703519060835305	0.93	0.73	2.78146571269792e-59	Tem/Trm cytotoxic T cells	ALOX5AP
1.86791513126001e-62	0.558054441090772	0.952	0.884	5.73954282382263e-58	Tem/Trm cytotoxic T cells	PTPRCAP
3.68172138069746e-59	0.540270286834206	0.964	0.902	1.13128252864691e-54	Tem/Trm cytotoxic T cells	CD3D
4.13148377411966e-59	1.06758804680034	0.606	0.343	1.26948101927375e-54	Tem/Trm cytotoxic T cells	HLA-DRB4
9.65557747526285e-58	0.752096691684441	0.86	0.69	2.96686929082401e-53	Tem/Trm cytotoxic T cells	RARRES3
8.7167995336443e-57	1.8873962345936	0.234	0.07	2.67841099270289e-52	Tem/Trm cytotoxic T cells	KRT86
1.79753064359921e-55	1.28924266364062	0.43	0.203	5.52327240858731e-51	Tem/Trm cytotoxic T cells	HAVCR2
8.49958182946704e-55	0.679646570552182	0.729	0.411	2.61166650874034e-50	Tem/Trm cytotoxic T cells	CD8B
6.75755441346367e-54	0.566096746390725	0.952	0.848	2.07639374462498e-49	Tem/Trm cytotoxic T cells	HCST
3.99769891225522e-49	0.674444743544769	0.818	0.661	1.22837294476866e-44	Tem/Trm cytotoxic T cells	CTSD
8.354737290411e-46	1.11351265744238	0.352	0.151	2.56716012722459e-41	Tem/Trm cytotoxic T cells	KLRC4
9.30630472690534e-46	1.11957664721228	0.479	0.266	2.8595482534362e-41	Tem/Trm cytotoxic T cells	ABI3
1.11944139354741e-43	0.790335786267496	0.7	0.494	3.43970756995312e-39	Tem/Trm cytotoxic T cells	GSTP1
2.40089449892425e-43	0.732344511122337	0.796	0.628	7.37722852684454e-39	Tem/Trm cytotoxic T cells	CKLF
5.08313010709517e-43	1.35176771927613	0.238	0.084	1.56189338800713e-38	Tem/Trm cytotoxic T cells	CD244
6.75999135724525e-42	1.19044591982652	0.355	0.165	2.07714254434075e-37	Tem/Trm cytotoxic T cells	KLRC1
2.16124885521829e-40	0.786910692462893	0.602	0.365	6.64086935742924e-36	Tem/Trm cytotoxic T cells	HOPX
2.50855275655133e-40	1.38287502126379	0.3	0.13	7.70803005505527e-36	Tem/Trm cytotoxic T cells	CLIC3
4.07810548372086e-40	0.859607293593483	0.634	0.45	1.25307947198291e-35	Tem/Trm cytotoxic T cells	ITGAE
8.69642196598485e-40	0.394026287340915	0.989	0.962	2.67214957748817e-35	Tem/Trm cytotoxic T cells	CFL1
1.28278556060993e-39	0.524563218942228	0.957	0.89	3.94161519208615e-35	Tem/Trm cytotoxic T cells	CD74
3.73727916213327e-39	1.50210364000483	0.189	0.062	1.14835376814869e-34	Tem/Trm cytotoxic T cells	AFAP1L2
6.73415071085824e-39	0.9751169370498	0.43	0.227	2.06920248892541e-34	Tem/Trm cytotoxic T cells	ENTPD1
9.74579771484616e-39	0.544554724910551	0.889	0.794	2.99459126384078e-34	Tem/Trm cytotoxic T cells	EVL
5.80880547024881e-37	0.291786567784638	1	1	1.78487165684335e-32	Tem/Trm cytotoxic T cells	ACTB
1.05348716728223e-36	0.37006984909641	0.999	0.978	3.2370500189081e-32	Tem/Trm cytotoxic T cells	ACTG1
4.81674632185185e-36	1.16935708264985	0.352	0.177	1.48004164231542e-31	Tem/Trm cytotoxic T cells	CSF1
5.74026609261361e-36	0.415810013198212	0.937	0.873	1.76381156227738e-31	Tem/Trm cytotoxic T cells	RAC2
2.95302757827496e-34	1.00877606588238	0.322	0.152	9.07376783976548e-30	Tem/Trm cytotoxic T cells	FASLG
