Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Salmonella infection	28/249	1.06251267723982e-09	2.80503346791312e-07	0	0	4.39025107404806	90.7141304053388	CYFIP2;AHNAK;TXN;TNF;ACTB;MYL12A;RELA;MYL12B;ACTG1;HSP90B1;TUBA1C;TUBA1A;FLNA;S100A10;ACTR3;JUN;ANXA2;DYNLT3;M6PR;TNFRSF10A;FOS;TUBB4B;TUBA4A;TNFRSF1A;NFKBIA;TUBB2A;BCL2;ARF6
Pathogenic Escherichia coli infection	24/197	3.38026528129531e-09	3.72565975335791e-07	0	0	4.78463546522469	93.3258058566447	CYFIP2;ACTR3;JUN;TNFRSF10A;FOS;TUBB4B;TNF;ACTB;RELA;TUBA4A;ACTG1;TNFRSF1A;NFKBIA;MYO1D;TUBA1C;SLC9A3R1;TUBA1A;TUBB2A;CLDN7;MYH9;EZR;MYO1F;ARF6;MYO1G
Parkinson disease	27/249	4.68947181512155e-09	3.72565975335791e-07	0	0	4.20657414170928	80.6734512307801	ND6;ATP8;ATP6;TXN;TUBA1C;TUBA1A;COX3;COX2;COX1;PLCG1;RPS27A;XBP1;HSPA5;DUSP1;ND4L;TUBB4B;TUBA4A;TUBB2A;ND1;CYTB;CALM1;ND3;ND2;SLC25A4;ND5;ND4;BCL2L1
Apoptosis	20/142	5.64493902023926e-09	3.72565975335791e-07	0	0	5.62860976605799	106.901407240465	JUN;GADD45B;TNFRSF10A;CTSW;PIK3R1;FOS;TNF;ACTB;TUBA4A;RELA;ACTG1;TNFRSF1A;NFKBIA;TUBA1C;TUBA1A;LMNA;CAPN2;BCL2;MCL1;BCL2L1
Prion disease	28/273	8.40050689213528e-09	4.43546763904743e-07	0	0	3.95523465703971	73.5474847754789	ND6;NCF1;ATP8;ATP6;PIK3R1;TNF;PPP3CA;TUBA1C;TUBA1A;CCL5;COX3;COX2;COX1;EGR1;PRNP;HSPA5;ND4L;CYBA;TUBB4B;TUBA4A;TUBB2A;ND1;CYTB;ND3;ND2;SLC25A4;ND5;ND4
Shigellosis	26/246	1.54485559373855e-08	6.79736461244962e-07	0	0	4.08067364290386	73.3939772166753	PXN;PIK3R1;TNF;ACTB;MYL12A;RELA;MYL12B;ACTG1;CCL5;CAPN2;PLCG1;RPS27A;CAST;ACTR3;GABARAPL1;JUN;BNIP3;TNFRSF1A;NFKBIA;DIAPH1;HKDC1;BCL2;PLCB1;CD44;ARF6;BCL2L1
Pathways of neurodegeneration	38/475	2.01921013101824e-08	7.61530677984023e-07	0	0	3.03404731457801	53.7571724455821	ND6;ATP8;ATP6;ATP2A3;TNF;RELA;TUBA1C;PPP3CA;TUBA1A;COX3;CAPN2;COX2;COX1;PLCG1;RPS27A;WNT1;PRNP;GABARAPL1;WNT10A;XBP1;HSPA5;ND4L;TUBB4B;TUBA4A;TNFRSF1A;TUBB2A;BCL2;ND1;CYTB;PLCB1;ND3;CALM1;ND2;SLC25A4;ND5;STX1A;ND4;BCL2L1
Diabetic cardiomyopathy	23/203	2.86825828972744e-08	8.66942342267637e-07	0	0	4.39747565096402	76.3708530622646	ND6;TGFB1;NCF1;ATP8;ATP6;ATP2A3;ND4L;CYBA;PIK3R1;RELA;TGFBR1;MPC1;COX3;COX2;COX1;ND1;CYTB;PLCB1;ND3;ND2;SLC25A4;ND5;ND4
Osteoclast differentiation	18/127	2.95548525773058e-08	8.66942342267637e-07	0	0	5.65362092523912	98.016927128458	JUN;TGFB1;NCF1;IFNGR1;CYBA;PIK3R1;FOS;TNF;TGFBR1;RELA;FOSL2;TNFRSF1A;FOSL1;NFKBIA;PPP3CA;SOCS1;FOSB;JUNB
Leukocyte transendothelial migration	17/114	3.31266292894933e-08	8.74543013242623e-07	0	0	5.99319405163762	103.22035184539	VASP;NCF1;ITGA4;PXN;ITGB2;CXCR4;CYBA;PIK3R1;F11R;ACTB;MYL12A;ACTG1;MYL12B;CLDN7;PLCG1;EZR;CD99
