p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
2.22464952296689e-162	1.17696747238317	0.996	0.875	6.83568058922035e-158	Trm cytotoxic T cells.1	VIM
2.19327590329837e-161	1.54192212298943	0.892	0.448	6.73927886806491e-157	Trm cytotoxic T cells.1	ANXA1
2.80970690112407e-154	1.68946567647931	0.845	0.393	8.63338639508394e-150	Trm cytotoxic T cells.1	LGALS1
1.29186221512548e-153	1.17665480509492	0.984	0.855	3.96950502841606e-149	Trm cytotoxic T cells.1	S100A6
1.47995140650462e-146	1.35735677029446	0.959	0.665	4.54744668676676e-142	Trm cytotoxic T cells.1	S100A10
4.4643222884907e-129	2.2376043732719	0.33	0.063	1.37175230958454e-124	Trm cytotoxic T cells.1	FXYD2
1.8458459443741e-117	1.58744312066517	0.633	0.239	5.67173083327829e-113	Trm cytotoxic T cells.1	ITM2C
1.09134727535941e-112	1.06546142750592	0.879	0.423	3.35338277299685e-108	Trm cytotoxic T cells.1	ZNF683
1.02622009614156e-105	0.713961697433564	0.999	0.948	3.15326648941417e-101	Trm cytotoxic T cells.1	S100A4
2.45603808950152e-105	1.42613754216397	0.582	0.207	7.54666823761132e-101	Trm cytotoxic T cells.1	MATK
1.1313354962135e-102	1.3627486482909	0.594	0.218	3.47625457921522e-98	Trm cytotoxic T cells.1	XCL2
9.16798279235347e-100	2.01311336496676	0.383	0.104	2.81704607260645e-95	Trm cytotoxic T cells.1	PTGER2
8.20596310258264e-98	0.804300982147599	0.985	0.884	2.52144628253057e-93	Trm cytotoxic T cells.1	ZFP36L2
1.53930528108346e-97	0.973017793395827	0.997	0.863	4.72982333718515e-93	Trm cytotoxic T cells.1	CD69
2.5734273715904e-96	1.07900161372755	0.885	0.546	7.90737028468583e-92	Trm cytotoxic T cells.1	EMP3
4.83611850346369e-95	1.67306692999196	0.518	0.185	1.48599413255929e-90	Trm cytotoxic T cells.1	XCL1
4.96047452648972e-91	1.00308384647336	0.826	0.412	1.5242050077545e-86	Trm cytotoxic T cells.1	HOPX
2.60797906624685e-89	0.962737266028597	0.968	0.81	8.01353727685671e-85	Trm cytotoxic T cells.1	KLF6
2.29613549240058e-86	1.01951290928449	0.835	0.459	7.05533552749925e-82	Trm cytotoxic T cells.1	CD8B
1.55053501012536e-84	0.921664869379583	0.889	0.537	4.7643289256122e-80	Trm cytotoxic T cells.1	CD8A
6.33924765723025e-78	1.05819420874161	0.769	0.431	1.94786062763714e-73	Trm cytotoxic T cells.1	ANXA2
1.6866076064297e-73	1.6214499825494	0.497	0.218	5.18243919227654e-69	Trm cytotoxic T cells.1	TOB1
1.1588573280813e-70	0.598255089668299	0.981	0.91	3.56082091199541e-66	Trm cytotoxic T cells.1	MYL12A
1.97936268203649e-69	0.985394514634309	0.795	0.488	6.08198771309352e-65	Trm cytotoxic T cells.1	PLP2
3.49909149026215e-68	0.682865190978825	0.975	0.874	1.07516584221285e-63	Trm cytotoxic T cells.1	CYTB
4.99411876748668e-68	1.12000548814788	0.623	0.306	1.53454287368563e-63	Trm cytotoxic T cells.1	GLIPR2
6.14078035548917e-68	1.65395055482421	0.301	0.088	1.88687757983116e-63	Trm cytotoxic T cells.1	LAIR1
