Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Prion disease	28/273	6.981391812571e-11	1.80818047945589e-08	0	0	4.98642533936652	116.60849264255	ND6;NCF1;ATP8;ATP6;PIK3R1;TNF;PPP3CA;TUBA1B;TUBA1A;CCL5;COX3;COX2;COX1;EGR1;PRNP;TUBB;ND4L;CYBA;TUBB4B;TUBA4A;TUBB2A;ND1;CYTB;ND3;ND2;SLC25A4;ND5;ND4
Parkinson disease	25/249	1.16095808527632e-09	1.50344072043283e-07	0	0	4.84199438202247	99.6192904038592	ND6;ATP8;ATP6;TUBA1B;TUBA1A;COX3;COX2;COX1;RPS27A;SNCA;XBP1;DUSP1;TUBB;ND4L;TUBB4B;TUBA4A;TUBB2A;ND1;CYTB;CALM1;ND3;ND2;SLC25A4;ND5;ND4
Coronavirus disease	23/232	6.88527580117233e-09	5.94428810834544e-07	0	0	4.75667662138874	89.3964127001846	RPL30;JUN;RPL3;RPL23A;PIK3R1;FOS;TNF;IL2;NFKBIA;RPS14;RPS25;RPS27;RPS18;RPS29;RPL27A;RPL14;RPS3;RPL35;RPLP2;RPL38;RPS27A;RPS21;RPS12
Alzheimer disease	29/369	1.57268189863527e-08	1.01831152936633e-06	0	0	3.71155128718154	66.6887763091723	ND6;ATP8;ATP6;PIK3R1;TNF;PPP3CA;TUBA1B;TUBA1A;COX3;CAPN2;COX2;COX1;WNT1;SNCA;XBP1;TUBB;ND4L;TUBB4B;TUBA4A;TUBB2A;ND1;CYTB;CALM1;PLCB1;ND3;ND2;SLC25A4;ND5;ND4
Osteoclast differentiation	16/127	5.00891396669445e-08	2.59461743474772e-06	0	0	6.16549589236814	103.63866660475	JUN;TGFB1;NCF1;IFNGR1;CYBA;PIK3R1;FOS;TNF;TGFBR1;FOSL2;NFKBIA;PPP3CA;SOCS1;CAMK4;FOSB;JUNB
Diabetic cardiomyopathy	20/203	7.39807345603767e-08	2.9330162632496e-06	0	0	4.69872495446266	77.150531710028	ND6;TGFB1;NCF1;ATP8;ATP6;ND4L;CYBA;PIK3R1;TGFBR1;COX3;COX2;COX1;ND1;CYTB;PLCB1;ND3;ND2;SLC25A4;ND5;ND4
Hematopoietic cell lineage	14/99	7.92707098175568e-08	2.9330162632496e-06	0	0	7.0234778121775	114.836651502941	ITGAM;ITGA1;IL5RA;FLT3LG;TNF;CD8B;CD8A;CD9;ITGA6;IL7R;MS4A1;CD44;IL9R;CD55
Ribosome	17/158	1.99435106148061e-07	6.45671156154349e-06	0	0	5.16044337983185	79.6141693548943	RPL30;RPL3;RPL23A;RPS14;RPS25;RPS27;RPS18;RPS29;RPL27A;RPL14;RPS3;RPL35;RPLP2;RPL38;RPS27A;RPS21;RPS12
Pathways of neurodegeneration	31/475	3.39175493698113e-07	9.76071698531237e-06	0	0	3.0354922120298	45.2189630940379	ND6;ATP8;ATP6;TNF;PPP3CA;TUBA1B;TUBA1A;COX3;CAPN2;COX2;COX1;RPS27A;WNT1;SNCA;PRNP;GABARAPL1;XBP1;TUBB;ND4L;TUBB4B;TUBA4A;TUBB2A;ND1;CYTB;PLCB1;ND3;CALM1;ND2;SLC25A4;ND5;ND4
Leishmaniasis	10/77	1.25250656160936e-05	0.000280987403284116	0	0	6.31505515898767	71.2829449373699	NFKBIA;JUN;ITGAM;TGFB1;NCF1;IFNGR1;ITGB2;CYBA;FOS;TNF
Huntington disease	21/306	1.27564574401505e-05	0.000280987403284116	0	0	3.15824639549877	35.5917723193276	ND6;ATP8;TUBB;ATP6;ND4L;TUBB4B;TUBA4A;TUBA1B;TUBA1A;TUBB2A;COX3;COX2;COX1;ND1;CYTB;PLCB1;ND3;ND2;SLC25A4;ND5;ND4
Chemokine signaling pathway	16/192	1.3018721387681e-05	0.000280987403284116	0	0	3.87545054064878	43.595416439437	NCF1;PXN;CXCR4;PIK3R1;ARRB2;FOXO3;RASGRP2;NFKBIA;GNG2;CCL5;CXCR3;CCL4;XCL2;XCL1;PLCB1;CCR2
Oxidative phosphorylation	13/133	1.55727962084927e-05	0.000310258016769201	0	0	4.60120350109409	50.9352537332802	ND6;ATP8;ATP6;ND4L;COX3;COX2;ND1;COX1;CYTB;ND3;ND2;ND5;ND4
Amyotrophic lateral sclerosis	23/364	1.89082376341325e-05	0.000349802396231452	0	0	2.89546471425666	31.490821971255	ND6;GABARAPL1;XBP1;ATP8;TUBB;ATP6;ND4L;TUBB4B;TNF;TUBA4A;PPP3CA;TUBA1B;TUBA1A;TUBB2A;COX3;COX2;COX1;ND1;CYTB;ND3;ND2;ND5;ND4
Viral protein interaction with cytokine and cytokine receptor	11/100	2.31697182526217e-05	0.000400063801828601	0	0	5.23490245036841	55.8703569127362	TNFSF14;CCL5;CXCR3;IL10RA;CCL4;XCL2;XCL1;CXCR4;TNF;IL2;CCR2
Salmonella infection	18/249	2.65715239159353e-05	0.000425739138936252	0	0	3.32703137570394	35.0525061348535	JUN;ANXA2;AHNAK;TUBB;DYNLT3;TCF7;FOS;TUBB4B;TNF;MYL12A;TUBA4A;NFKBIA;TUBA1B;TUBA1A;TUBB2A;RPS3;S100A10;ARF6
Chagas disease	11/102	2.79442678066266e-05	0.000425739138936252	0	0	5.11932294285235	53.6776290038253	NFKBIA;JUN;TGFB1;IFNGR1;CCL5;PIK3R1;FOS;PLCB1;TNF;IL2;TGFBR1
JAK-STAT signaling pathway	14/162	2.99806944086868e-05	0.000431388880658327	0	0	4.02068515884305	41.8752626505264	CISH;IFNGR1;IL10RA;OSM;IL5RA;PIK3R1;IL2;CCND3;SOCS1;IFNL1;STAT4;IL7R;IL9R;MCL1
