p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.56803883618457	0.671	0.079	0	Trm cytotoxic T cells	XCL2
0	3.64570345531925	0.649	0.075	0	Trm cytotoxic T cells	XCL1
0	3.15756239734139	0.591	0.072	0	Trm cytotoxic T cells	CD160
2.76623184727109e-244	3.05816139857549	0.594	0.13	9.27738836937777e-240	Trm cytotoxic T cells	CCL4L2
7.02579000257978e-223	1.79620229668192	0.774	0.226	2.35630945106521e-218	Trm cytotoxic T cells	KLRD1
1.46351612841831e-211	1.57994636095705	0.913	0.332	4.90834039148933e-207	Trm cytotoxic T cells	CD8B
2.10575529434591e-205	1.73746517956157	0.868	0.343	7.06228210617733e-201	Trm cytotoxic T cells	HOPX
7.6129193782252e-191	1.38727633942744	0.955	0.368	2.55322090106917e-186	Trm cytotoxic T cells	CD8A
1.8613255762253e-184	1.82910716454469	0.824	0.353	6.24251371754441e-180	Trm cytotoxic T cells	CTSW
5.95505608730635e-145	1.03176089875926	0.996	0.612	1.9972067105608e-140	Trm cytotoxic T cells	CCL5
8.85318693789599e-137	1.80941413396126	0.67	0.264	2.96918183523156e-132	Trm cytotoxic T cells	CAPG
9.26747915540215e-133	1.5359499586842	0.741	0.341	3.10812715913877e-128	Trm cytotoxic T cells	ITM2C
6.90508522019108e-132	1.59417498625862	0.68	0.268	2.31582748114769e-127	Trm cytotoxic T cells	AOAH
5.27603626872756e-127	2.31982617487244	0.368	0.086	1.76947704380585e-122	Trm cytotoxic T cells	CD248
5.62575512687974e-127	1.76454596038958	0.761	0.335	1.88676575445293e-122	Trm cytotoxic T cells	CCL4
7.1770921881687e-118	2.31235701647444	0.346	0.079	2.40705317806802e-113	Trm cytotoxic T cells	SPINK2
3.49721227986624e-116	2.11878939824604	0.504	0.168	1.17289505442154e-111	Trm cytotoxic T cells	SPRY1
8.17876643410015e-101	1.62373782831075	0.534	0.202	2.74299468666851e-96	Trm cytotoxic T cells	TMIGD2
3.68343059568126e-96	1.83302061430473	0.345	0.093	1.23534895317958e-91	Trm cytotoxic T cells	CRTAM
3.86040249435746e-94	2.29346058873095	0.284	0.067	1.29470178855761e-89	Trm cytotoxic T cells	CD9
6.30353879004799e-90	1.18850632010736	0.737	0.384	2.11408083940629e-85	Trm cytotoxic T cells	ITGAE
2.79034216957388e-89	1.31203146493627	0.659	0.32	9.35824956831686e-85	Trm cytotoxic T cells	ITGA1
4.75140895343707e-85	3.50884428105411	0.116	0.012	1.59352753480372e-80	Trm cytotoxic T cells	CD8B2
1.52276873636098e-84	0.896502575146214	0.92	0.719	5.10706178800747e-80	Trm cytotoxic T cells	CD96
1.85045409769024e-82	0.244695871500334	0.952	0.448	6.20605295283351e-78	Trm cytotoxic T cells	NKG7
5.17598065395542e-80	1.82980901995283	0.378	0.128	1.73592039172357e-75	Trm cytotoxic T cells	CD244
5.45088959037123e-79	2.13592340966948	0.284	0.076	1.8281193508187e-74	Trm cytotoxic T cells	CD101
2.82656808894142e-75	2.93699833790568	0.226	0.052	9.47974405669174e-71	Trm cytotoxic T cells	CCL3L1
5.3999217268735e-74	2.10279345588237	0.304	0.093	1.81102574875884e-69	Trm cytotoxic T cells	KLRK1
4.13039954435898e-70	1.51857375430993	0.236	0.057	1.38525339918712e-65	Trm cytotoxic T cells	KLRC2
2.89068599093401e-68	0.807824346665344	0.555	0.23	9.69478267639449e-64	Trm cytotoxic T cells	LINC02446
5.22030664840208e-68	1.66709178866154	0.405	0.159	1.75078644374109e-63	Trm cytotoxic T cells	PECAM1
1.71996398584071e-67	2.61705288023461	0.166	0.032	5.76841521571256e-63	Trm cytotoxic T cells	TRGV8
4.83680247726359e-66	0.869949068140978	0.866	0.67	1.62216681482466e-61	Trm cytotoxic T cells	PDCD4
2.72817793382831e-63	1.09257017169367	0.703	0.44	9.14976315447337e-59	Trm cytotoxic T cells	CD63
1.3507782834571e-62	1.42229317465311	0.424	0.169	4.53024020705842e-58	Trm cytotoxic T cells	MYBL1
1.08307727651131e-58	2.21009690744248	0.172	0.038	3.63242456996365e-54	Trm cytotoxic T cells	NT5E
2.04991799055011e-58	2.23727767956868	0.202	0.052	6.87501495670695e-54	Trm cytotoxic T cells	CHN2
2.05489905397973e-57	0.759244278192376	0.892	0.72	6.89172044723723e-53	Trm cytotoxic T cells	OSTF1
3.93532342495483e-57	2.49892840690456	0.134	0.024	1.31982877026135e-52	Trm cytotoxic T cells	CA10
3.08053220264415e-56	1.56002540651121	0.383	0.157	1.0331488901228e-51	Trm cytotoxic T cells	AUTS2
1.5886173152059e-52	0.769685099020397	0.745	0.441	5.32790475173753e-48	Trm cytotoxic T cells	LINC01871
1.14726923319088e-51	0.578581542589196	0.988	0.918	3.84771155427559e-47	Trm cytotoxic T cells	VIM
2.33523352628157e-51	1.26773763559445	0.509	0.272	7.83190620044314e-47	Trm cytotoxic T cells	LDLRAD4
5.09081464797418e-51	1.76980666480592	0.333	0.135	1.70735741663758e-46	Trm cytotoxic T cells	TRGV3
9.31301927274327e-50	0.752686780012789	0.824	0.605	3.12340040369264e-45	Trm cytotoxic T cells	GZMM
8.02951379398187e-49	1.09801431107334	0.55	0.304	2.69293833622564e-44	Trm cytotoxic T cells	MATK
4.97673665031315e-48	0.864584410325495	0.731	0.479	1.66909793778202e-43	Trm cytotoxic T cells	STOM
7.77743551092223e-48	1.2008954547103	0.402	0.178	2.6083963216531e-43	Trm cytotoxic T cells	AC020571.1
1.0720835906136e-46	2.0436359953418	0.159	0.039	3.5955539461999e-42	Trm cytotoxic T cells	TRBV27
2.29609150396052e-46	1.60530535347352	0.281	0.103	7.70063168598278e-42	Trm cytotoxic T cells	SMIM3
5.13761244111362e-46	1.11110772568242	0.606	0.366	1.72305246050069e-41	Trm cytotoxic T cells	MAP3K8
9.99499281473844e-46	0.54123061673	0.881	0.646	3.35212069020698e-41	Trm cytotoxic T cells	ALOX5AP
2.46972371668474e-45	1.26234957309546	0.323	0.129	8.28295940101729e-41	Trm cytotoxic T cells	LRRN3
3.83063267179652e-44	2.03960528775038	0.18	0.052	1.28471758546712e-39	Trm cytotoxic T cells	NMUR1
9.76236095452607e-44	1.28354926117842	0.488	0.261	3.27410061692895e-39	Trm cytotoxic T cells	FASLG
1.93641291359577e-43	0.951932220000694	0.604	0.372	6.49434162961748e-39	Trm cytotoxic T cells	JAML
9.03743311196785e-43	0.747401815131914	0.783	0.591	3.03097431709178e-38	Trm cytotoxic T cells	SCML4
9.14021597487708e-43	1.65748117517118	0.29	0.119	3.06544563365428e-38	Trm cytotoxic T cells	DAPK2
9.54009554823e-43	1.75637020226849	0.261	0.1	3.19955724496538e-38	Trm cytotoxic T cells	TRGC2
1.47576707024164e-42	1.12157214098513	0.482	0.261	4.94942760017642e-38	Trm cytotoxic T cells	GABARAPL1
2.10572237011502e-42	0.578138768995155	0.948	0.834	7.06217168489176e-38	Trm cytotoxic T cells	FOS
1.76723405666795e-41	0.882616972483706	0.566	0.322	5.92694957925298e-37	Trm cytotoxic T cells	PTGER2
1.93779979324161e-41	0.470993777629	0.983	0.951	6.4989929465737e-37	Trm cytotoxic T cells	MT-ND4
3.43749492251111e-41	0.782284807617399	0.849	0.693	1.15286704711178e-36	Trm cytotoxic T cells	CKLF
5.11180545714009e-41	0.344017115272635	0.99	0.904	1.71439731421564e-36	Trm cytotoxic T cells	CD7
1.97680168547179e-40	0.785297924491684	0.729	0.52	6.62979749273528e-36	Trm cytotoxic T cells	THEMIS
3.00530228559268e-40	0.772557819692397	0.745	0.52	1.00791828054207e-35	Trm cytotoxic T cells	ABI3
6.07117288465051e-40	2.72211512357058	0.082	0.013	2.03614996205409e-35	Trm cytotoxic T cells	AC243829.1
6.40566347953609e-39	1.02643042003046	0.419	0.206	2.14833141776681e-34	Trm cytotoxic T cells	CISH
1.53945761500258e-38	0.863009210247222	0.537	0.306	5.16303294919565e-34	Trm cytotoxic T cells	RHOC
