Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Coronavirus disease	38/232	2.50045087538878e-16	6.82623088981136e-14	0	0	6.0393611899663	216.963388969241	RPL3;CSF2;RPL32;RPL10;RPL34;RPLP1;RPLP0;RPL36A;RPL10A;RPL9;TNF;RPS14;RPS19;RPS18;C3AR1;RPL35;RPL13;NLRP3;RPL38;RPS27A;RPS10;RPL17;RPS12;JUN;RPS5;RPS6;RPSA;RPS3A;FOS;IL2;NFKB1;NFKBIA;RPS25;RPL27A;RPL27;RPS20;RPL22L1;TLR2
Ribosome	28/158	3.00995824407029e-13	4.10859300315594e-11	0	0	6.55745458978422	189.062432364632	RPL3;RPL32;RPL10;RPL34;RPLP1;RPLP0;RPL36A;RPL10A;RPL9;RPS14;RPS19;RPS18;RPL35;RPL13;RPL38;RPS27A;RPS10;RPL17;RPS12;RPS5;RPS6;RPSA;RPS3A;RPS25;RPL27A;RPL27;RPS20;RPL22L1
Inflammatory bowel disease	17/65	2.21745187016316e-11	2.01788120184848e-09	0	0	10.6432048286604	261.09992349679	IL22;JUN;SMAD3;TGFB1;IFNGR1;IL23R;RORC;RORA;TNF;IL2;NFKB1;IL18RAP;IL23A;STAT4;IL18R1;TLR2;IL17A
Th17 cell differentiation	20/107	2.793657915446e-10	1.90667152729189e-08	0	0	6.92677135610598	152.37857352645	IL22;JUN;HSP90AA1;SMAD3;TGFB1;HSP90AB1;IFNGR1;IL23R;RORC;RORA;AHR;FOS;IL2;NFKB1;NFKBIA;PPP3CA;CD4;IL23A;RARA;IL17A
Protein processing in endoplasmic reticulum	24/171	2.17185984755139e-09	1.18583547676306e-07	0	0	4.93498312710911	98.441473916621	PDIA3;PPP1R15A;BCAP31;HSPA8;XBP1;TRAM1;HSP90AA1;HSP90AB1;RPN2;HSPA5;SSR4;PDIA4;HSP90B1;ERN1;DNAJA1;SEC61A1;DNAJB1;DAD1;CANX;BCL2;SEC61B;P4HB;HSPA1B;HSPA1A
Lipid and atherosclerosis	27/215	2.65118833452237e-09	1.20629069220768e-07	0	0	4.35236836789658	85.9516928715822	HSP90AB1;NCF1;NCF4;VLDLR;TNF;HSP90B1;PPP3CA;NLRP3;ABCA1;HSPA8;JUN;XBP1;HSP90AA1;HSPA5;FOS;NFKB1;ERN1;NFKBIA;PLCB3;CD40LG;BCL2;CYCS;CALM1;PLCB1;HSPA1B;TLR2;HSPA1A
Salmonella infection	28/249	1.60385009752122e-08	6.25501538033277e-07	0	0	3.83905457831066	68.9044022988214	CYFIP1;HSP90AB1;AHNAK;TRADD;TXN;TNF;MYL12A;HSP90B1;CYTH3;TUBA1C;TUBA1A;KIF5C;MYC;NLRP3;S100A10;JUN;HSP90AA1;ANXA2;DYNLT3;M6PR;FOS;TUBB4B;NFKB1;NFKBIA;TUBB2A;BCL2;CYCS;TLR2
IL-17 signaling pathway	16/94	6.78382510620776e-08	2.3149803174934e-06	0	0	6.14523268333533	101.434068706191	HSP90AA1;JUN;CSF2;HSP90AB1;JUND;CCL20;TRADD;TNFAIP3;FOS;IL17RE;TNF;NFKB1;HSP90B1;NFKBIA;FOSB;IL17A
MAPK signaling pathway	28/294	5.35172226514804e-07	1.62335575376157e-05	0	0	3.18208357661189	45.9514418268941	RASGRF2;TRADD;HSPB1;AREG;TNF;PPP3CA;CACNA1I;RPS6KA5;ERBB3;MYC;MKNK1;MAP3K8;HSPA8;JUN;JUND;TGFB1;GADD45B;DUSP1;FLT3LG;CACNA2D4;FOS;DUSP6;NFKB1;NR4A1;CACNB3;KIT;HSPA1B;HSPA1A
Apoptosis	18/142	1.0297750044277e-06	2.81128576208763e-05	0	0	4.35189472095013	59.9959614107539	JUN;GADD45B;BCL2A1;TRADD;FOS;PTPN13;TNF;NFKB1;ERN1;NFKBIA;TUBA1C;TUBA1A;LMNA;BCL2;CYCS;CTSH;MCL1;CTSB
JAK-STAT signaling pathway	19/162	1.71722460307386e-06	4.26183924217421e-05	0	0	3.98559877622378	52.9080313107678	IL22;CDKN1A;CSF2;CISH;IFNGR1;IL23R;FHL1;OSM;IL5RA;IL2;SOCS2;CCND2;IL23A;MYC;BCL2;STAT4;IL7R;IL9R;MCL1
Pathways in cancer	39/531	2.84738143885708e-06	6.47779277339986e-05	0	0	2.40988394964595	30.772075118567	PTGER4;CDKN1A;HSP90AB1;EPAS1;IL23R;MGST3;PTGER2;IL5RA;PLD1;HSP90B1;RPS6KA5;CCND2;MYC;STAT4;WNT1;GSTM2;JUN;EGLN3;HSP90AA1;SMAD3;TGFB1;GADD45B;IFNGR1;ZBTB16;FLT3LG;FOS;NFKB1;IL2;NFKBIA;PLCB3;CDK6;IL23A;KIT;RARA;BCL2;CYCS;PLCB1;CALM1;IL7R
Cytokine-cytokine receptor interaction	26/295	5.66727575149455e-06	0.000119012790781386	0	0	2.91214902776065	35.1810958652498	IL22;CSF2;IL23R;IL5RA;TNF;TNFSF13B;IL18RAP;CCR6;CCR2;TGFB1;TNFSF14;IFNGR1;CCL20;TNFSF12;OSM;IL17RE;IL2;CD4;CD40LG;IL23A;TNFRSF25;LTB;IL7R;IL18R1;IL9R;IL17A
Protein export	7/23	6.31641033453524e-06	0.000123170001523437	0	0	12.9673121165644	155.249322359095	SEC61A1;SPCS3;SPCS2;HSPA5;SRPRB;SEC61B;SEC11C
Measles	16/139	1.41815159789367e-05	0.000256307024677147	0	0	3.88787315555893	43.4025485278433	HSPA8;JUN;TRADD;TNFAIP3;FOS;IL2;NFKB1;NFKBIA;CCND2;CDK6;BCL2;CYCS;HSPA1B;SLAMF1;TLR2;HSPA1A
Legionellosis	10/57	1.50216571239354e-05	0.000256307024677147	0	0	6.32527948070682	70.2486651736919	EEF1A1;EEF1G;NFKBIA;HSPA8;CYCS;TNF;NFKB1;HSPA1B;TLR2;HSPA1A
PI3K-Akt signaling pathway	28/354	1.91154525842116e-05	0.000306971679734692	0	0	2.58825702701914	28.1214475767399	CDKN1A;HSP90AB1;AREG;HSP90B1;CCND2;YWHAQ;ERBB3;MYC;THEM4;MCL1;YWHAH;HSP90AA1;RPS6;OSM;FLT3LG;IL2;NFKB1;RBL2;NR4A1;CDK6;PPP2R2B;KIT;COL6A1;BCL2;SGK3;ITGA5;IL7R;TLR2
Hepatitis B	17/162	2.6196854470123e-05	0.000397318959463532	0	0	3.50555376517349	36.9831407521161	EGR2;JUN;CDKN1A;EGR3;SMAD3;TGFB1;DDX3X;FOS;TNF;NFKB1;NFKBIA;YWHAQ;MYC;BCL2;STAT4;CYCS;TLR2
Chagas disease	13/102	3.03473003357132e-05	0.000436042789034195	0	0	4.35308032142484	45.2842370072072	JUN;TGFB1;IFNGR1;FOS;TNF;IL2;NFKB1;NFKBIA;PLCB3;GNA15;PPP2R2B;PLCB1;TLR2
Leishmaniasis	11/77	4.23382027500578e-05	0.000577916467538289	0	0	4.95756172839506	49.9217579183561	EEF1A1;NFKBIA;JUN;TGFB1;NCF1;IFNGR1;NCF4;FOS;TNF;NFKB1;TLR2
Parathyroid hormone synthesis, secretion and action	13/106	4.57819735423265e-05	0.000593700841251148	0	0	4.16498551882553	41.6149531722979	EGR1;CDKN1A;JUND;PDE4D;FOS;PLD1;RUNX2;NR4A2;CYP27B1;MMP25;PLCB3;BCL2;PLCB1
Antigen processing and presentation	11/78	4.78440238370889e-05	0.000593700841251148	0	0	4.88331490694675	48.5770892369124	PDIA3;HSPA8;HSP90AA1;CD4;HSP90AB1;HSPA5;CANX;TNF;HSPA1B;CTSB;HSPA1A
Transcriptional misregulation in cancer	18/192	6.89672496573666e-05	0.000818611267672221	0	0	3.09328097261821	29.6394434008617	DDX5;CDKN1A;CSF2;GADD45B;BCL2A1;IGFBP3;ZBTB16;RUNX2;NFKB1;DUSP6;MLF1;CCND2;NR4A3;SPINT1;MYC;ID2;NFKBIZ;RARA
TNF signaling pathway	13/112	8.16252888327764e-05	0.000928487660472832	0	0	3.9113425274416	36.8189200079623	JUN;CSF2;CCL20;TRADD;TNFAIP3;FOS;TNF;NFKB1;NFKBIA;RPS6KA5;MAP3K8;JUNB;IL18R1
Pathogenic Escherichia coli infection	18/197	9.6112135464648e-05	0.00104954451927396	0	0	3.00609208725891	27.8063366877394	CYFIP1;JUN;TMED10;TRADD;FOS;TUBB4B;BAIAP2;TNF;NFKB1;NFKBIA;CYTH3;MYO1D;TUBA1C;TUBA1A;TUBB2A;NCL;NLRP3;CYCS
