p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.06021565321979	0.979	0.596	0	Type 1 helper T cells.1	FOSB
8.40652484135201e-302	1.59655336194628	0.998	0.824	2.81938030129264e-297	Type 1 helper T cells.1	FOS
4.55037587829472e-276	3.44759823603869	0.282	0.027	1.52610506206248e-271	Type 1 helper T cells.1	IL23R
4.36441374577429e-268	3.48836826770177	0.299	0.034	1.46373708205778e-263	Type 1 helper T cells.1	IL4I1
1.63352714725313e-261	1.37113565262293	0.992	0.628	5.47852334645755e-257	Type 1 helper T cells.1	IL7R
2.43529831523644e-247	1.93512198092023	0.972	0.785	8.16750348963998e-243	Type 1 helper T cells.1	JUN
1.12049892189357e-245	1.2261735871229	0.994	0.927	3.75792928424664e-241	Type 1 helper T cells.1	DUSP1
9.95773217503283e-243	1.91974389210759	0.866	0.468	3.33962421686251e-238	Type 1 helper T cells.1	NR4A1
8.78562613496875e-241	1.41237770145186	0.98	0.611	2.94652329314582e-236	Type 1 helper T cells.1	ANXA1
3.4213399858384e-238	1.72841913877416	0.801	0.361	1.14744900445048e-233	Type 1 helper T cells.1	LGALS3
1.23360015501743e-229	2.74744695878388	0.622	0.202	4.13724819989745e-225	Type 1 helper T cells.1	TNF
5.29398028498356e-223	2.54281303156455	0.392	0.076	1.77549510797779e-218	Type 1 helper T cells.1	TNFSF13B
2.31438365464029e-216	1.59034027249409	0.779	0.312	7.76197990093262e-212	Type 1 helper T cells.1	CD40LG
9.09980796994707e-214	2.70329263847475	0.604	0.218	3.05189359696085e-209	Type 1 helper T cells.1	EGR1
6.80433664400972e-211	1.00669790735166	0.998	0.914	2.28203842366798e-206	Type 1 helper T cells.1	VIM
2.34936763650895e-210	0.526666263644369	1	1	7.87930917932373e-206	Type 1 helper T cells.1	RPLP1
3.12221687410294e-207	2.28798618617348	0.531	0.155	1.04712909523664e-202	Type 1 helper T cells.1	AC020571.1
1.36242424629765e-206	1.14607782487205	0.957	0.531	4.56929843723305e-202	Type 1 helper T cells.1	KLRB1
6.53164532153241e-203	4.30240222430041	0.153	0.008	2.19058320793554e-198	Type 1 helper T cells.1	SLC4A10
5.50594585558867e-199	1.26528474692606	0.991	0.871	1.84658412104733e-194	Type 1 helper T cells.1	TNFAIP3
3.87033605016938e-192	0.944973967143206	0.996	0.845	1.29803330450581e-187	Type 1 helper T cells.1	S100A4
6.28062128378653e-191	1.5828411873474	0.843	0.47	2.10639476615633e-186	Type 1 helper T cells.1	MYADM
6.95549994775547e-189	1.1630574091144	0.974	0.749	2.33273557247823e-184	Type 1 helper T cells.1	PPP1R15A
1.06480086834797e-174	1.62341682503402	0.566	0.186	3.57112915226543e-170	Type 1 helper T cells.1	CCR6
1.37556696748311e-173	2.52622877190041	0.397	0.098	4.61337649554486e-169	Type 1 helper T cells.1	IL2
7.93362192532934e-168	5.02275312866553	0.109	0.004	2.66077812131695e-163	Type 1 helper T cells.1	CA2
3.19320206741192e-162	5.12216014010696	0.098	0.003	1.07093610936861e-157	Type 1 helper T cells.1	THY1
1.5998356575443e-155	1.35723140406215	0.766	0.393	5.36552882827207e-151	Type 1 helper T cells.1	AC020916.1
2.14931732296734e-155	0.445966339078279	1	1	7.20838043776788e-151	Type 1 helper T cells.1	TPT1
1.11241327383291e-149	1.12935847607605	0.988	0.955	3.7308116377808e-145	Type 1 helper T cells.1	CD69
2.03495492110623e-143	3.64380128783136	0.14	0.012	6.82483181440608e-139	Type 1 helper T cells.1	IL17RE
4.67681802175253e-143	1.69856057005928	0.473	0.154	1.56851122813536e-138	Type 1 helper T cells.1	MYBL1
2.838699967134e-134	1.8930897724351	0.409	0.125	9.520431949774e-130	Type 1 helper T cells.1	DPP4
4.88236996470617e-133	4.95275005672974	0.083	0.002	1.63744923876316e-128	Type 1 helper T cells.1	KIT
1.81768597462626e-127	2.12857881863857	0.272	0.06	6.09615522170154e-123	Type 1 helper T cells.1	PLCB1
1.96809231323254e-127	2.96367248196057	0.155	0.019	6.6005880001193e-123	Type 1 helper T cells.1	COLQ
4.78470498077487e-127	1.01847434830367	0.982	0.883	1.60469435645228e-122	Type 1 helper T cells.1	KLF6
6.65062847201652e-126	1.89862959361766	0.325	0.085	2.2304877769449e-121	Type 1 helper T cells.1	CCR2
1.75418602189957e-124	1.28440245269163	0.787	0.519	5.88318908024679e-120	Type 1 helper T cells.1	TTC39C
3.8364550537689e-122	1.36493147975444	0.588	0.257	1.28667029593301e-117	Type 1 helper T cells.1	CAPG
7.69056291051901e-122	0.877295893659772	0.935	0.723	2.57926098892987e-117	Type 1 helper T cells.1	S100A11
1.05510422775994e-119	1.13685373708986	0.811	0.495	3.53860855906127e-115	Type 1 helper T cells.1	AHNAK
1.91282784284076e-117	2.39787615731296	0.238	0.05	6.41524201931935e-113	Type 1 helper T cells.1	EGR3
1.3148351999625e-116	1.03069142269122	0.734	0.384	4.40969429363423e-112	Type 1 helper T cells.1	AQP3
6.51703350735639e-111	0.444091602230658	1	0.998	2.18568269769719e-106	Type 1 helper T cells.1	RPLP0
1.72087316978432e-109	0.973714533128393	0.962	0.883	5.77146443682265e-105	Type 1 helper T cells.1	TSC22D3
1.18513284607388e-106	3.76863887683153	0.095	0.007	3.97469853916259e-102	Type 1 helper T cells.1	TSPAN15
4.71125198325325e-104	3.03579067212433	0.117	0.012	1.58005969014347e-99	Type 1 helper T cells.1	TPBG
5.81947999720778e-102	2.54450138121984	0.183	0.034	1.95173720146355e-97	Type 1 helper T cells.1	RORC
4.68690546235588e-101	1.18577864978218	0.62	0.306	1.57189435396491e-96	Type 1 helper T cells.1	PTGER2
4.78908192681968e-101	1.59941450452255	0.726	0.452	1.60616229661678e-96	Type 1 helper T cells.1	HSPA1B
8.8370244984532e-101	0.939313079746532	0.845	0.602	2.96376127629123e-96	Type 1 helper T cells.1	CSRNP1
3.98822114526242e-100	3.46482154244549	0.102	0.009	1.33756960769811e-95	Type 1 helper T cells.1	LTK
1.31578748864069e-98	1.48402262212966	0.446	0.181	4.41288807940316e-94	Type 1 helper T cells.1	PERP
3.04324813604511e-98	0.522752511059295	0.993	0.963	1.02064455986681e-93	Type 1 helper T cells.1	ITM2B
3.88389942444323e-92	1.17582684093046	0.591	0.298	1.30258218896977e-87	Type 1 helper T cells.1	ERN1
4.47350089248796e-92	0.632613488543752	0.979	0.878	1.50032272932261e-87	Type 1 helper T cells.1	S100A6
1.03573613184342e-91	1.48411241239235	0.421	0.169	3.47365183897647e-87	Type 1 helper T cells.1	ANKRD28
3.16167531641483e-91	0.315979470709891	1	1	1.0603626676192e-86	Type 1 helper T cells.1	EEF1A1
8.60472014817731e-91	2.78846431770157	0.118	0.015	2.88585104329571e-86	Type 1 helper T cells.1	CFH
1.92012581832718e-90	1.39203504986047	0.646	0.387	6.4397179695057e-86	Type 1 helper T cells.1	PNP
8.02318410097569e-90	1.57158708515539	0.309	0.096	2.69081548378523e-85	Type 1 helper T cells.1	SPART
9.88085326817842e-90	0.628300805054718	0.989	0.907	3.31384056908168e-85	Type 1 helper T cells.1	HSP90AB1
1.38330613771092e-89	0.673330627920207	0.972	0.872	4.63933212465487e-85	Type 1 helper T cells.1	IFITM2
1.59839910410277e-88	1.30559326728232	0.49	0.222	5.36071091533988e-84	Type 1 helper T cells.1	TIMP1
2.72761485874813e-88	0.993897995838603	0.97	0.92	9.14787471326947e-84	Type 1 helper T cells.1	ZFP36
4.6494564055882e-88	1.20536478182504	0.532	0.248	1.55933468930617e-83	Type 1 helper T cells.1	DYNLT3
6.46090336767787e-88	1.41200146713242	0.495	0.236	2.1668577714518e-83	Type 1 helper T cells.1	IFNGR1
1.66399798547098e-86	2.33710704291563	0.218	0.055	5.58071644367259e-82	Type 1 helper T cells.1	CCL20
6.03534824284491e-79	2.42275605706297	0.134	0.023	2.02413509368533e-74	Type 1 helper T cells.1	IFI44L
5.38421077542676e-77	0.605536339063764	0.964	0.808	1.80575660986263e-72	Type 1 helper T cells.1	S100A10
6.74443422187752e-77	3.27837534003394	0.114	0.017	2.26194834933328e-72	Type 1 helper T cells.1	IL22
7.45292065606242e-77	3.65744108590002	0.105	0.015	2.49956052963021e-72	Type 1 helper T cells.1	IL17A
1.9168843406851e-73	6.00278425184974	0.04	0.001	6.42884670178968e-69	Type 1 helper T cells.1	SRPX
2.11358240167733e-73	2.19546621779058	0.194	0.05	7.08853265874541e-69	Type 1 helper T cells.1	AC004832.6
1.67855905232949e-69	1.39126513580639	0.86	0.698	5.62955134970264e-65	Type 1 helper T cells.1	NFKBIA
4.90165410805814e-68	1.38768881134581	0.496	0.265	1.64391675476054e-63	Type 1 helper T cells.1	NR4A3
6.38120375177938e-68	0.855386934501195	0.7	0.442	2.14012811427177e-63	Type 1 helper T cells.1	ANXA2
6.06495947240845e-67	1.44917349556163	0.295	0.108	2.03406610785635e-62	Type 1 helper T cells.1	SORBS3
1.21588127207471e-66	1.58394343486267	0.27	0.096	4.07782261028417e-62	Type 1 helper T cells.1	TMEM273
1.8207392416906e-66	0.637078350056387	0.946	0.866	6.10639526878194e-62	Type 1 helper T cells.1	MCL1
6.24826570314078e-66	0.803634822274041	0.599	0.305	2.09554335151936e-61	Type 1 helper T cells.1	CD4
1.07000606202744e-65	1.79237989135772	0.202	0.058	3.58858633082763e-61	Type 1 helper T cells.1	IFI44
1.16906730459997e-65	0.407183152932111	0.993	0.973	3.92081792616737e-61	Type 1 helper T cells.1	CALM1
2.71496477170549e-65	0.963668669945769	0.889	0.828	9.10544885134587e-61	Type 1 helper T cells.1	BTG2
1.32262442221704e-62	0.8232739621641	0.793	0.583	4.4358177872315e-58	Type 1 helper T cells.1	SCML4
3.65958991658135e-62	1.75867645460956	0.357	0.164	1.22735326622305e-57	Type 1 helper T cells.1	CDKN1A
5.74823429021894e-61	2.95012668642788	0.075	0.009	1.92784281625363e-56	Type 1 helper T cells.1	RAB6B
2.06925255088272e-60	1.08713251992735	0.491	0.264	6.93985920515048e-56	Type 1 helper T cells.1	ARL4A
3.95255675371773e-60	2.97744337634579	0.142	0.034	1.32560848406185e-55	Type 1 helper T cells.1	CSF2
4.07256738837366e-60	0.615750723155743	0.971	0.877	1.36585765071276e-55	Type 1 helper T cells.1	CRIP1
5.05973501139747e-60	3.49715382113137	0.056	0.005	1.69693392812248e-55	Type 1 helper T cells.1	TRIQK
3.85947320700356e-59	0.907560036173777	0.521	0.275	1.29439012416485e-54	Type 1 helper T cells.1	BCL2
1.86173580045044e-58	1.09128312811283	0.426	0.215	6.2438895275507e-54	Type 1 helper T cells.1	NFKBID
2.13538798272756e-57	2.64704573113945	0.084	0.012	7.16166421647169e-53	Type 1 helper T cells.1	AP002884.1
9.05556784230749e-57	1.01738763314573	0.411	0.199	3.03705634295308e-52	Type 1 helper T cells.1	SESN1
1.06716457348114e-56	1.38995168747811	0.255	0.093	3.57905654654105e-52	Type 1 helper T cells.1	DHRS3
1.11599192839538e-56	2.26107358875598	0.112	0.023	3.74281372945241e-52	Type 1 helper T cells.1	CA10
3.28514245331134e-56	1.78031812193871	0.258	0.099	1.10177107599156e-51	Type 1 helper T cells.1	LMNA
5.13314956348258e-56	0.518647827112504	0.953	0.873	1.72155570060079e-51	Type 1 helper T cells.1	TAGLN2
7.35915819912015e-56	1.24874566864292	0.397	0.198	2.46811447682092e-51	Type 1 helper T cells.1	AHR
1.47226772260934e-55	0.26364878319806	1	0.997	4.93769148808721e-51	Type 1 helper T cells.1	MT-CYB
1.73430807310184e-55	0.955544823554602	0.81	0.685	5.81652241556893e-51	Type 1 helper T cells.1	IER2
9.35288486932774e-55	0.554411822455426	0.989	0.96	3.13677052747514e-50	Type 1 helper T cells.1	HSP90AA1
1.62472071483965e-54	0.578688613013832	0.876	0.69	5.44898833342922e-50	Type 1 helper T cells.1	EMP3
1.49917528013714e-53	1.05623818735183	0.331	0.14	5.02793405452395e-49	Type 1 helper T cells.1	SSBP2
2.78223357832871e-52	2.19008156963468	0.094	0.017	9.33105497499884e-48	Type 1 helper T cells.1	PTPN13
1.07973322400812e-51	0.725315039348872	0.758	0.562	3.62120928667842e-47	Type 1 helper T cells.1	RORA
1.23809406320854e-51	1.76357550031555	0.169	0.051	4.15231986918881e-47	Type 1 helper T cells.1	CCDC184
2.06120906624241e-51	0.752968904840116	0.718	0.532	6.9128829663638e-47	Type 1 helper T cells.1	JUND
3.6671387489403e-51	0.300322290858971	1	0.982	1.2298849936196e-46	Type 1 helper T cells.1	EEF1B2
6.51287733107307e-51	0.223199486857193	1	1	2.18428879929529e-46	Type 1 helper T cells.1	RPL10
1.0841280241378e-50	2.29048058966053	0.134	0.035	3.63594856735334e-46	Type 1 helper T cells.1	NLRP3
5.94532044147189e-50	3.06383719819994	0.059	0.007	1.99394156966084e-45	Type 1 helper T cells.1	LZTS1
7.73859696544808e-50	1.4346913972239	0.238	0.092	2.59537065027198e-45	Type 1 helper T cells.1	C3AR1
5.77029992074866e-49	3.33160203110913	0.052	0.005	1.93524318742068e-44	Type 1 helper T cells.1	MATN2
1.6240002774725e-48	0.788900987630527	0.847	0.719	5.44657213058726e-44	Type 1 helper T cells.1	DNAJA1
2.09840178144732e-48	0.731728895775994	0.748	0.566	7.03761989461801e-44	Type 1 helper T cells.1	ADGRE5
2.71815402457366e-48	1.35662511181487	0.179	0.058	9.11614496761514e-44	Type 1 helper T cells.1	CTSH
3.06727004384179e-48	0.320286874810674	0.994	0.98	1.02870102730366e-43	Type 1 helper T cells.1	MYL12A
1.53889130550344e-47	0.973915595180843	0.791	0.634	5.16113366039744e-43	Type 1 helper T cells.1	CITED2
2.45771932548793e-47	1.14109643135316	0.373	0.195	8.24269907382141e-43	Type 1 helper T cells.1	CD200R1
1.28581566755749e-46	2.54122360635925	0.076	0.013	4.31236858585429e-42	Type 1 helper T cells.1	MPZL2
1.84187690989261e-46	1.81297714496377	0.185	0.064	6.17728678039784e-42	Type 1 helper T cells.1	MZF1-AS1
2.43227656168379e-46	0.875384464980847	0.782	0.636	8.1573691325751e-42	Type 1 helper T cells.1	TUBA1A
3.07479923147341e-46	1.59981276577207	0.188	0.065	1.03122616625155e-41	Type 1 helper T cells.1	DSE
7.0732727193802e-46	2.02325679814728	0.114	0.028	2.37223420462573e-41	Type 1 helper T cells.1	PLAUR
8.5778116692767e-46	1.05255460985372	0.385	0.201	2.87682647764202e-41	Type 1 helper T cells.1	CISH
1.96278098189737e-45	1.36988500064325	0.196	0.069	6.58277485708739e-41	Type 1 helper T cells.1	FHL1
4.00870255813765e-45	0.616006306080284	0.755	0.578	1.3444386639482e-40	Type 1 helper T cells.1	FLT3LG
8.44607152156273e-45	0.350261288801343	0.985	0.947	2.83264346690171e-40	Type 1 helper T cells.1	MT-ND2
1.84906060750772e-44	1.28095469051607	0.444	0.259	6.20137946545938e-40	Type 1 helper T cells.1	RBKS
2.83156538556461e-44	1.49388254693038	0.17	0.056	9.49650399010659e-40	Type 1 helper T cells.1	TTC39C-AS1
4.88040005337482e-43	0.890250909368318	0.387	0.2	1.63678856990085e-38	Type 1 helper T cells.1	NCF4
6.56627834143146e-43	0.293306114766914	0.996	0.986	2.20219843014928e-38	Type 1 helper T cells.1	MT-ND5
9.77753270977192e-43	1.25063981782619	0.56	0.377	3.27918892020331e-38	Type 1 helper T cells.1	PHLDA1
4.10729587600745e-42	1.4410471878245	0.188	0.069	1.37750489089538e-37	Type 1 helper T cells.1	CYB561
6.0341985723881e-42	1.15140835718788	0.66	0.502	2.02374951720752e-37	Type 1 helper T cells.1	GADD45B
1.24663364109041e-41	0.281199026522471	0.996	0.979	4.18095990548903e-37	Type 1 helper T cells.1	EEF1G
2.07321093257614e-41	3.50502105621589	0.036	0.003	6.95313482567385e-37	Type 1 helper T cells.1	NECTIN2
2.3752348933475e-41	0.808458228391452	0.684	0.502	7.96606278530885e-37	Type 1 helper T cells.1	RGS2
3.60659792163452e-41	0.189125255301271	1	0.999	1.20958081095778e-36	Type 1 helper T cells.1	RPS14
5.51768687539065e-41	0.221123905347727	0.999	0.999	1.85052182426852e-36	Type 1 helper T cells.1	EIF1
1.20052498746232e-40	2.2850570971284	0.077	0.015	4.02632070295113e-36	Type 1 helper T cells.1	NEO1
1.67825620204396e-40	1.64986613660489	0.122	0.034	5.62853565041505e-36	Type 1 helper T cells.1	ABCA1
3.21094351757627e-40	0.377834409647645	1	0.99	1.07688623692473e-35	Type 1 helper T cells.1	HSPA8
3.58608208666748e-40	0.654856655457706	0.857	0.728	1.20270021022654e-35	Type 1 helper T cells.1	PTGER4
3.78738400180131e-40	0.204229899961569	1	0.998	1.27021284652412e-35	Type 1 helper T cells.1	MT-ND4L
6.72731769455254e-40	0.928856904038782	0.467	0.287	2.25620780839903e-35	Type 1 helper T cells.1	MDFIC
7.72078299484471e-40	3.7901623453726	0.038	0.003	2.58939620081102e-35	Type 1 helper T cells.1	ME1
1.22191496659207e-38	0.572521451942216	0.704	0.511	4.09805841495647e-34	Type 1 helper T cells.1	YWHAH
1.31097520912792e-38	1.23504623942556	0.406	0.248	4.3967486563732e-34	Type 1 helper T cells.1	NEU1
2.786484741148e-38	0.204137558523729	0.999	0.998	9.34531252486217e-34	Type 1 helper T cells.1	RPL3
3.13244970196256e-38	0.720660323748595	0.542	0.352	1.0505609810442e-33	Type 1 helper T cells.1	CDC42EP3
7.01978005205976e-38	0.886983226584526	0.452	0.275	2.3542938338598e-33	Type 1 helper T cells.1	PRNP
2.41861335764882e-37	0.171346346416697	1	1	8.11154547888261e-33	Type 1 helper T cells.1	RPS27A
4.50579249853374e-37	1.63569370862127	0.146	0.05	1.51115268815825e-32	Type 1 helper T cells.1	SPON1
4.8539865830151e-37	0.234537484966373	0.999	0.993	1.62793002021161e-32	Type 1 helper T cells.1	RPL35
9.7256501542869e-37	1.08215622488853	0.268	0.128	3.26178854874474e-32	Type 1 helper T cells.1	LRRN3
2.24349442958648e-36	0.838712967173843	0.494	0.327	7.52423161794712e-32	Type 1 helper T cells.1	GLO1
2.9572876205665e-36	0.717687747421375	0.47	0.291	9.91815122185592e-32	Type 1 helper T cells.1	TUBA1C
1.7185749170588e-35	3.60292418689706	0.037	0.004	5.7637565568318e-31	Type 1 helper T cells.1	SCART1
1.84192919943223e-35	0.44747114360547	0.812	0.655	6.17746214905581e-31	Type 1 helper T cells.1	HSPA5
2.61227671167055e-35	0.205141619642539	1	1	8.76105363560068e-31	Type 1 helper T cells.1	RPS19
