p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
6.48841833337666e-163	1.73822355460409	0.923	0.605	1.99369630129665e-158	gamma-delta T cells	GZMA
2.28996155479797e-137	1.3508339800527	0.945	0.593	7.03636486942774e-133	gamma-delta T cells	GZMB
5.08069803010991e-130	1.22335197255576	0.941	0.655	1.56114608371187e-125	gamma-delta T cells	NKG7
3.31539077561409e-121	1.00733787768753	0.993	0.811	1.01872012362294e-116	gamma-delta T cells	CCL5
2.67306974007636e-105	1.40270011258235	0.764	0.422	8.21354139033264e-101	gamma-delta T cells	GZMH
3.16790418481227e-105	1.28292442823058	0.915	0.623	9.73401918867268e-101	gamma-delta T cells	LOC101929531
3.50859870868637e-101	1.61327556475338	0.78	0.444	1.07808712521806e-96	gamma-delta T cells	GNLY
8.26110679283501e-74	1.6491228614348	0.461	0.192	2.53839028423441e-69	gamma-delta T cells	KIR2DL4
2.36930876891218e-71	1.22951434925881	0.753	0.558	7.28017505423644e-67	gamma-delta T cells	PRF1
1.16589032240859e-68	1.0469520754521	0.785	0.54	3.58243119366487e-64	gamma-delta T cells	CTSW
6.42860478168346e-67	1.06614847475795	0.704	0.408	1.97531739126788e-62	gamma-delta T cells	KLRD1
5.11339912533743e-62	0.630573364518082	0.977	0.922	1.57119414924243e-57	gamma-delta T cells	CD7
3.60106659787824e-61	0.87736471873638	0.809	0.542	1.10649973353005e-56	gamma-delta T cells	CD8A
1.2491361894673e-56	0.947723533548939	0.751	0.55	3.83822076937617e-52	gamma-delta T cells	CD63
5.24094574632399e-56	0.329127230421617	1	1	1.61038539947297e-51	gamma-delta T cells	TMSB4X
6.16191546729707e-56	0.57557640553948	0.963	0.93	1.89337176563637e-51	gamma-delta T cells	CD3D
1.13273128002989e-55	1.31107721055117	0.581	0.325	3.48054340414783e-51	gamma-delta T cells	LOC100996809
5.99745136306608e-54	0.548390768906982	0.949	0.909	1.84283688032932e-49	gamma-delta T cells	PTPRCAP
8.7396993113747e-54	1.24069087972969	0.501	0.251	2.6854474074061e-49	gamma-delta T cells	KLRC2
8.84688080459194e-54	1.23363653177924	0.492	0.241	2.71838106482697e-49	gamma-delta T cells	KLRC3
2.13595110390708e-52	0.94525635558071	0.704	0.436	6.56313695697528e-48	gamma-delta T cells	ZNF683
5.54482253638156e-51	0.847142590809819	0.722	0.492	1.70375762075396e-46	gamma-delta T cells	LAG3
1.01182252472508e-49	0.434576533231873	0.997	0.986	3.10902707172275e-45	gamma-delta T cells	SH3BGRL3
4.08478130741613e-48	0.662964318776379	0.927	0.789	1.25513075232975e-43	gamma-delta T cells	ALOX5AP
1.03801926691242e-46	1.1995866625877	0.594	0.397	3.1895218014418e-42	gamma-delta T cells	ACP5
4.08482175138738e-46	0.779787803607422	0.846	0.735	1.2551431795488e-41	gamma-delta T cells	RARRES3
2.27911715316509e-41	0.546221144083492	0.948	0.878	7.00304327653038e-37	gamma-delta T cells	HCST
4.32567601355462e-41	1.03223275723429	0.53	0.307	1.32915046868493e-36	gamma-delta T cells	LOC101060038
2.0527633750057e-40	0.649417166465236	0.731	0.466	6.30752602238001e-36	gamma-delta T cells	CD8B
3.31755899201402e-39	1.10418816276717	0.57	0.375	1.01938635147615e-34	gamma-delta T cells	HLA-DRB4
9.84015961696361e-39	0.964419779384556	0.61	0.408	3.02358584550441e-34	gamma-delta T cells	PTMS
1.43029294806881e-34	1.11665583413302	0.438	0.25	4.39486114153103e-30	gamma-delta T cells	ENTPD1
2.80474520561242e-34	0.599006659032032	0.818	0.734	8.61814059328528e-30	gamma-delta T cells	CTSD
3.21257016400635e-34	1.24350316538163	0.43	0.257	9.8712643429423e-30	gamma-delta T cells	HAVCR2
2.26529954976615e-33	0.548927567991215	0.89	0.84	6.96058592656646e-29	gamma-delta T cells	EVL
5.06866107791571e-32	0.519176128914158	0.95	0.914	1.55744748941116e-27	gamma-delta T cells	CD74
3.58536863802337e-31	0.613352728221075	0.843	0.786	1.10167622140544e-26	gamma-delta T cells	PSMB9
4.25754770849798e-28	1.39563881846191	0.247	0.112	1.30821668439017e-23	gamma-delta T cells	KRT86
5.23415136431832e-27	0.34439621134014	0.989	0.973	1.60829768971409e-22	gamma-delta T cells	CFL1
8.75735618104984e-26	1.12594638007398	0.329	0.179	2.69087283375118e-21	gamma-delta T cells	KLRC4
