p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_ref_annotations
2.65328685747922e-190	5.19482079941886	1	0.029	8.8985934626138e-186	CD72	B intermediate
1.33890498419945e-89	12.6542524180562	0.036	0	4.49041953600811e-85	CD22	B intermediate
1.33890498419945e-89	11.9761805129435	0.036	0	4.49041953600811e-85	AC023590.1	B intermediate
1.33890498419945e-89	11.4616073401138	0.036	0	4.49041953600811e-85	VPREB3	B intermediate
1.33890498419945e-89	10.6542524180562	0.036	0	4.49041953600811e-85	SH3RF1	B intermediate
1.33890498419945e-89	10.6542524180562	0.036	0	4.49041953600811e-85	EBF1	B intermediate
1.33890498419945e-89	10.6542524180562	0.036	0	4.49041953600811e-85	IGHG1	B intermediate
1.33890498419945e-89	10.2392149187773	0.036	0	4.49041953600811e-85	FCRLA	B intermediate
1.33890498419945e-89	10.2392149187773	0.036	0	4.49041953600811e-85	KHDRBS2	B intermediate
1.33890498419945e-89	9.65425241805616	0.036	0	4.49041953600811e-85	AL591846.2	B intermediate
1.33890498419945e-89	9.65425241805616	0.036	0	4.49041953600811e-85	CYS1	B intermediate
1.33890498419945e-89	9.65425241805616	0.036	0	4.49041953600811e-85	KCNH8	B intermediate
1.33890498419945e-89	9.65425241805616	0.036	0	4.49041953600811e-85	KLF15	B intermediate
1.33890498419945e-89	9.65425241805616	0.036	0	4.49041953600811e-85	CRHBP	B intermediate
1.33890498419945e-89	9.65425241805616	0.036	0	4.49041953600811e-85	LINC02202	B intermediate
1.33890498419945e-89	9.65425241805616	0.036	0	4.49041953600811e-85	SHANK2	B intermediate
1.33890498419945e-89	9.65425241805616	0.036	0	4.49041953600811e-85	HTR3A	B intermediate
1.33890498419945e-89	9.65425241805616	0.036	0	4.49041953600811e-85	MYL2	B intermediate
1.33890498419945e-89	9.65425241805616	0.036	0	4.49041953600811e-85	SERPINA9	B intermediate
1.33890498419945e-89	9.65425241805616	0.036	0	4.49041953600811e-85	AL139020.1	B intermediate
1.33890498419945e-89	9.65425241805616	0.036	0	4.49041953600811e-85	CD19	B intermediate
1.33890498419945e-89	9.65425241805616	0.036	0	4.49041953600811e-85	FHOD3	B intermediate
1.33890498419945e-89	9.65425241805616	0.036	0	4.49041953600811e-85	AP001059.2	B intermediate
1.65299940860502e-45	10.2392149187773	0.036	0	5.54382941657951e-41	TCL1A	B intermediate
1.65299940860502e-45	9.23921491877732	0.036	0	5.54382941657951e-41	LINC02576	B intermediate
1.65299940860502e-45	9.23921491877732	0.036	0	5.54382941657951e-41	DHRS9	B intermediate
1.65299940860502e-45	9.23921491877732	0.036	0	5.54382941657951e-41	BLNK	B intermediate
1.68285721003281e-45	8.65425241805616	0.036	0	5.64396651100803e-41	SLC2A5	B intermediate
1.68285721003281e-45	8.65425241805616	0.036	0	5.64396651100803e-41	COL4A4	B intermediate
1.68285721003281e-45	8.65425241805616	0.036	0	5.64396651100803e-41	AC099541.1	B intermediate
1.68285721003281e-45	8.65425241805616	0.036	0	5.64396651100803e-41	AC026347.1	B intermediate
1.68285721003281e-45	8.65425241805616	0.036	0	5.64396651100803e-41	TLR10	B intermediate
1.68285721003281e-45	8.65425241805616	0.036	0	5.64396651100803e-41	ABCB4	B intermediate
1.68285721003281e-45	8.65425241805616	0.036	0	5.64396651100803e-41	CPED1	B intermediate
1.68285721003281e-45	8.65425241805616	0.036	0	5.64396651100803e-41	SLC1A1	B intermediate
8.97397791341336e-31	9.39121801222237	0.036	0	3.00969271260057e-26	ZNF608	B intermediate
8.97397791341336e-31	8.65425241805616	0.036	0	3.00969271260057e-26	CYBB	B intermediate
9.19077723581162e-31	8.069289917335	0.036	0	3.0824028693465e-26	KCNN3	B intermediate
9.19077723581162e-31	8.069289917335	0.036	0	3.0824028693465e-26	CD180	B intermediate
9.19077723581162e-31	8.069289917335	0.036	0	3.0824028693465e-26	TFEC	B intermediate
9.19077723581162e-31	8.069289917335	0.036	0	3.0824028693465e-26	AC024084.1	B intermediate
9.19077723581162e-31	8.069289917335	0.036	0	3.0824028693465e-26	LINC02312	B intermediate
9.19077723581162e-31	8.069289917335	0.036	0	3.0824028693465e-26	AC009093.1	B intermediate
9.19077723581162e-31	8.069289917335	0.036	0	3.0824028693465e-26	AC010319.3	B intermediate
9.30111366090338e-31	7.65425241805616	0.036	0	3.11940749959378e-26	IGKV5-2	B intermediate
9.30111366090338e-31	7.65425241805616	0.036	0	3.11940749959378e-26	IGHV5-78	B intermediate
2.35359579829042e-30	6.77978330014002	0.071	0.001	7.89348958830641e-26	NRTN	B intermediate
2.18041640567097e-23	8.65425241805616	0.036	0	7.31268054133929e-19	LTBP1	B intermediate
2.18041768824691e-23	11.5417776887977	0.036	0	7.31268484284249e-19	IGHV2-26	B intermediate
2.18041768824691e-23	8.91728682388995	0.036	0	7.31268484284249e-19	SCIMP	B intermediate
2.23977168075506e-23	7.65425241805616	0.036	0	7.51174626291631e-19	SRGAP3-AS4	B intermediate
2.23977168075506e-23	7.65425241805616	0.036	0	7.51174626291631e-19	BTK	B intermediate
2.23977168075506e-23	7.65425241805616	0.036	0	7.51174626291631e-19	SLCO5A1	B intermediate
2.23977168075506e-23	7.65425241805616	0.036	0	7.51174626291631e-19	AC046130.1	B intermediate
2.23977168075506e-23	7.65425241805616	0.036	0	7.51174626291631e-19	TNFRSF17	B intermediate
2.2599077781622e-23	6.84689749599856	0.036	0	7.57927870640037e-19	IGLC3	B intermediate
1.68220988738134e-20	6.15175207752698	0.071	0.001	5.64179552029954e-16	SEMA3F-AS1	B intermediate
8.88891587922788e-20	5.15782659193666	0.143	0.006	2.98116460757544e-15	SEMA4A	B intermediate
6.21001663034121e-19	7.3323243231688	0.036	0	2.08271537748383e-14	PCDHGA7	B intermediate
6.21001663034121e-19	7.3323243231688	0.036	0	2.08271537748383e-14	ADAM11	B intermediate
1.49844433145605e-18	6.65425241805616	0.071	0.002	5.0254825988373e-14	CLIC4	B intermediate
5.78289782868645e-16	7.069289917335	0.036	0	1.93946827378486e-11	GPR153	B intermediate
5.78289782868645e-16	7.069289917335	0.036	0	1.93946827378486e-11	OSGIN1	B intermediate
5.78289782868645e-16	7.069289917335	0.036	0	1.93946827378486e-11	AC015813.2	B intermediate
