p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_ref_annotations
0	11.8121773055144	0.333	0	0	Z97198.1	CD4 Proliferating
0	11.8121773055144	0.333	0	0	LCMT1-AS2	CD4 Proliferating
3.88615606402291e-197	10.2272148047933	0.333	0	1.30333902075201e-192	HAGLR	CD4 Proliferating
4.16346582546778e-158	10.4902492106271	0.333	0	1.39634316854538e-153	AC009554.1	CD4 Proliferating
3.75150675473607e-132	11.2272148047933	0.333	0	1.25818033540338e-127	C1QL3	CD4 Proliferating
4.95400335182131e-132	10.2272148047933	0.333	0	1.66147364413383e-127	AC073283.1	CD4 Proliferating
4.95400335182131e-132	10.2272148047933	0.333	0	1.66147364413383e-127	AC005520.1	CD4 Proliferating
2.11590503830687e-113	10.0048223834568	0.333	0.001	7.09632231747357e-109	GPT	CD4 Proliferating
2.00576958198432e-99	9.81217730551445	0.333	0.001	6.72695002405901e-95	ARHGEF28	CD4 Proliferating
2.00576958198432e-99	9.81217730551445	0.333	0.001	6.72695002405901e-95	AL358933.1	CD4 Proliferating
1.5001263225085e-88	9.64225230407214	0.333	0.001	5.03112366042902e-84	FHAD1	CD4 Proliferating
1.5001263225085e-88	9.64225230407214	0.333	0.001	5.03112366042902e-84	AC022400.7	CD4 Proliferating
1.55672876020406e-88	9.49024921062709	0.333	0.001	5.22095691597238e-84	TERT	CD4 Proliferating
7.54421878278591e-80	9.49024921062709	0.333	0.001	2.53018009537074e-75	AC023794.3	CD4 Proliferating
7.54421878278591e-80	9.49024921062709	0.333	0.001	2.53018009537074e-75	AL132639.3	CD4 Proliferating
7.54421878278591e-80	9.49024921062709	0.333	0.001	2.53018009537074e-75	IGLON5	CD4 Proliferating
9.97658095177028e-73	9.35274568687715	0.333	0.001	3.34594571960472e-68	AC105411.1	CD4 Proliferating
9.97658095177028e-73	9.35274568687715	0.333	0.001	3.34594571960472e-68	AC011448.1	CD4 Proliferating
1.02834246381953e-72	9.22721480479329	0.333	0.001	3.44885495515795e-68	SH3RF2	CD4 Proliferating
1.86149352696793e-50	8.81217730551445	0.333	0.001	6.24307699074505e-46	AC069224.1	CD4 Proliferating
1.86149352696793e-50	8.81217730551445	0.333	0.001	6.24307699074505e-46	TRAV15	CD4 Proliferating
