p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_ref_annotations
0	2.33332766178407	0.993	0.282	0	CD28	CD4 TCM
4.19794660915551e-71	-0.866084474430211	0.533	0.67	1.40790733377857e-66	CCL5	CD4 TCM
5.05057014271416e-69	0.702399538812932	0.498	0.311	1.69386021446348e-64	CD40LG	CD4 TCM
5.28406051433358e-63	-0.860787904920221	0.349	0.523	1.7721682152972e-58	NKG7	CD4 TCM
1.30416145472738e-61	-1.08666701903994	0.288	0.452	4.37389668686468e-57	TIGIT	CD4 TCM
3.83361591229409e-58	-0.654673456075533	0.228	0.416	1.28571810466519e-53	CD8B	CD4 TCM
4.76319927154291e-58	-0.616019624403646	0.263	0.452	1.59748177169006e-53	CD8A	CD4 TCM
2.80376098003228e-56	0.567692425194634	0.674	0.505	9.40325357483226e-52	GPR183	CD4 TCM
1.21275722057232e-54	-0.78244993829903	0.143	0.3	4.06734516635546e-50	KLRD1	CD4 TCM
1.33926644700636e-52	0.702567066135355	0.451	0.295	4.49163180996992e-48	CD4	CD4 TCM
4.7212828999856e-52	0.553172315986921	0.76	0.632	1.58342385899717e-47	IL7R	CD4 TCM
7.5493631677818e-52	0.789058264662285	0.529	0.381	2.53190541921066e-47	AQP3	CD4 TCM
9.25062390796331e-50	-2.40308976178976	0.029	0.13	3.10247424625274e-45	CD160	CD4 TCM
2.05573528256654e-49	-0.761754340596898	0.24	0.402	6.89452499067166e-45	CCL4	CD4 TCM
3.310211056401e-49	-2.1763320999173	0.038	0.143	1.11017858409577e-44	XCL2	CD4 TCM
1.30925027769411e-46	-1.00313134044616	0.19	0.329	4.3909635813305e-42	AOAH	CD4 TCM
1.55508176731736e-43	0.543276662569772	0.819	0.706	5.21543323122898e-39	LTB	CD4 TCM
2.6829350228164e-43	-1.025960623924	0.175	0.309	8.99802747952163e-39	FASLG	CD4 TCM
8.12478950843275e-43	0.318295998922523	0.969	0.95	2.72489190533817e-38	FXYD5	CD4 TCM
3.22600788047678e-41	-0.706702251960214	0.334	0.473	1.0819385229543e-36	GZMA	CD4 TCM
1.27735978698101e-40	0.936597586907912	0.313	0.194	4.28400925357691e-36	CCR6	CD4 TCM
6.51697750888038e-40	-0.569857897019007	0.889	0.916	2.1856639169283e-35	CD7	CD4 TCM
7.68340104830993e-40	-0.56635487356372	0.181	0.321	2.57685904358218e-35	GZMB	CD4 TCM
1.95795124303677e-39	-2.58296398166703	0.024	0.105	6.56657687889673e-35	KLRC3	CD4 TCM
1.98967555053667e-39	-3.25774272446421	0.013	0.087	6.67297386138988e-35	KLRC2	CD4 TCM
2.01571278582161e-38	-0.800285885812327	0.284	0.416	6.76029754108853e-34	CTSW	CD4 TCM
2.27808937639641e-38	-5.13885994321141	0.003	0.067	7.64025615055829e-34	KIR2DL4	CD4 TCM
9.74954667911668e-38	-0.59514255651579	0.369	0.503	3.26980296524215e-33	PRF1	CD4 TCM
1.5408370358295e-37	0.315327596774432	0.968	0.922	5.16765925076497e-33	DUSP1	CD4 TCM
3.75660933558123e-37	-1.95666871739005	0.045	0.134	1.25989163896723e-32	XCL1	CD4 TCM
1.45879942503787e-34	0.251697333157529	0.99	0.982	4.892521511692e-30	EEF1B2	CD4 TCM
2.34034903184525e-34	-0.522497617095753	0.616	0.707	7.8490625830026e-30	CST7	CD4 TCM
7.26772134536149e-34	-0.593430157315081	0.159	0.281	2.43744838480734e-29	LINC02446	CD4 TCM
5.26817596384125e-33	-1.12449521431076	0.073	0.167	1.76684085475308e-28	CD244	CD4 TCM
6.32371034833288e-33	0.377881699511172	0.871	0.788	2.12084597662388e-28	SPOCK2	CD4 TCM
1.22773948374352e-32	0.187987536875453	1	1	4.11759268057903e-28	EEF1A1	CD4 TCM
1.984184789417e-32	0.21461746354636	1	1	6.65455894674675e-28	RPS8	CD4 TCM
2.5532368696252e-32	0.515586420243621	0.644	0.537	8.563045813349e-28	ICOS	CD4 TCM
3.88919149031598e-32	-1.58368897850783	0.089	0.184	1.30435704202217e-27	CCL4L2	CD4 TCM
1.22037557980783e-31	-1.88439340627417	0.032	0.105	4.09289561955951e-27	LAYN	CD4 TCM
1.60572861873208e-30	0.305474995253171	0.946	0.919	5.38529264150365e-26	LDHB	CD4 TCM
9.80634818992968e-30	0.240921000294127	0.987	0.979	3.28885305593862e-25	EEF1G	CD4 TCM
