Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Allograft Rejection	8/200	1.39297773852857e-05	0.000431823098943856	8.1266501650165	90.867990518974	CD7;RPS19;LYN;CAPG;CRTAM;KLRD1;CD96;CCL5	1	MSigDB_Hallmark_2020
IL-2/STAT5 Signaling	6/199	0.000779259161302571	0.0120785170001899	5.94536948538659	42.5520015869484	PTGER2;CAPG;MAP3K8;HOPX;ITGAE;ABCB1	2	MSigDB_Hallmark_2020
Reactive Oxygen Species Pathway	3/49	0.00241782814119695	0.0249842241257018	12.2098031173093	73.5626670302409	FES;FTL;HHEX	3	MSigDB_Hallmark_2020
Adipogenesis	4/200	0.0239423281294426	0.0929716528428791	3.82798833819242	14.2864633555147	STOM;MGST3;MGLL;PDCD4	4	MSigDB_Hallmark_2020
Complement	4/200	0.0239423281294426	0.0929716528428791	3.82798833819242	14.2864633555147	LYN;FCER1G;LTF;CCL5	4	MSigDB_Hallmark_2020
Inflammatory Response	4/200	0.0239423281294426	0.0929716528428791	3.82798833819242	14.2864633555147	LYN;PTGER2;NMUR1;CCL5	4	MSigDB_Hallmark_2020
KRAS Signaling Up	4/200	0.0239423281294426	0.0929716528428791	3.82798833819242	14.2864633555147	LAT2;FCER1G;ABCB1;SPRY2	4	MSigDB_Hallmark_2020
Apical Surface	2/44	0.023992684604614	0.0929716528428791	8.83355585224744	32.9492190088942	LYN;CD160	8	MSigDB_Hallmark_2020
Interferon Gamma Response	3/200	0.0961587325310791	0.331213412051495	2.82932669284551	6.62558989880811	AUTS2;XCL1;CCL5	9	MSigDB_Hallmark_2020
Pperoxisome	2/104	0.110342958343588	0.342063170865123	3.62635147516951	7.99306597637519	PABPC1;ABCB1	10	MSigDB_Hallmark_2020
UV Response Up	2/158	0.212968034088095	0.485477410305934	2.36460579918524	3.65713054001657	LYN;ABCB1	11	MSigDB_Hallmark_2020
Apoptosis	2/161	0.218962307029417	0.485477410305934	2.31963792394052	3.5231952316809	PDCD4;NEDD9	12	MSigDB_Hallmark_2020
Mitotic Spindle	2/199	0.295536751449654	0.485477410305934	1.8685895915366	2.27773985419664	NEDD9;TBCD	13	MSigDB_Hallmark_2020
TNF-alpha Signaling via NF-kB	2/200	0.297550670832669	0.485477410305934	1.85905786840366	2.25349556389347	MAP3K8;CCL5	14	MSigDB_Hallmark_2020
Hypoxia	2/200	0.297550670832669	0.485477410305934	1.85905786840366	2.25349556389347	GPI;AK4	14	MSigDB_Hallmark_2020
Estrogen Response Late	2/200	0.297550670832669	0.485477410305934	1.85905786840366	2.25349556389347	PDCD4;LTF	14	MSigDB_Hallmark_2020
mTORC1 Signaling	2/200	0.297550670832669	0.485477410305934	1.85905786840366	2.25349556389347	GPI;AK4	14	MSigDB_Hallmark_2020
Oxidative Phosphorylation	2/200	0.297550670832669	0.485477410305934	1.85905786840366	2.25349556389347	MGST3;GPI	14	MSigDB_Hallmark_2020
heme Metabolism	2/200	0.297550670832669	0.485477410305934	1.85905786840366	2.25349556389347	MGST3;ARL2BP	14	MSigDB_Hallmark_2020
IL-6/JAK/STAT3 Signaling	1/87	0.379031395391799	0.587498662857289	2.13232127476314	2.06864214372584	MAP3K8	20	MSigDB_Hallmark_2020
Protein Secretion	1/96	0.408967536451945	0.603713982381443	1.92943469785575	1.72514518553056	CD63	21	MSigDB_Hallmark_2020
Coagulation	1/138	0.530815394723028	0.666619295527739	1.33509056501757	0.845567558927044	APOC2	22	MSigDB_Hallmark_2020
UV Response Dn	1/144	0.546055811387338	0.666619295527739	1.27868427868428	0.773647578699243	MGLL	23	MSigDB_Hallmark_2020
Fatty Acid Metabolism	1/158	0.579735663618748	0.666619295527739	1.16383581033263	0.6345035354896	MGLL	24	MSigDB_Hallmark_2020
Myogenesis	1/200	0.666619295527739	0.666619295527739	0.916247906197655	0.3715716642138	DAPK2	25	MSigDB_Hallmark_2020
Apical Junction	1/200	0.666619295527739	0.666619295527739	0.916247906197655	0.3715716642138	VASP	25	MSigDB_Hallmark_2020
Myc Targets V1	1/200	0.666619295527739	0.666619295527739	0.916247906197655	0.3715716642138	PABPC1	25	MSigDB_Hallmark_2020
Epithelial Mesenchymal Transition	1/200	0.666619295527739	0.666619295527739	0.916247906197655	0.3715716642138	CAPG	25	MSigDB_Hallmark_2020
Xenobiotic Metabolism	1/200	0.666619295527739	0.666619295527739	0.916247906197655	0.3715716642138	CYP2J2	25	MSigDB_Hallmark_2020
Glycolysis	1/200	0.666619295527739	0.666619295527739	0.916247906197655	0.3715716642138	AK4	25	MSigDB_Hallmark_2020
p53 Pathway	1/200	0.666619295527739	0.666619295527739	0.916247906197655	0.3715716642138	STOM	25	MSigDB_Hallmark_2020
