p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_ref_annotations
0	12.0749442236232	0.2	0	0	SLC38A11	CD8 Naive
5.5336131913262e-119	10.0749442236232	0.2	0	1.85586319210698e-114	IL18	CD8 Naive
1.69077565282643e-95	9.75301612873584	0.2	0	5.67052338444928e-91	AC123912.4	CD8 Naive
1.69077565282643e-95	9.75301612873584	0.2	0	5.67052338444928e-91	AL008719.1	CD8 Naive
7.79945382481304e-80	9.48998172290204	0.2	0	2.6157808237658e-75	AL359636.1	CD8 Naive
7.79945382481304e-80	9.48998172290204	0.2	0	2.6157808237658e-75	TRDJ1	CD8 Naive
1.2184036691165e-68	9.26758930156559	0.2	0.001	4.08628222548291e-64	RGMA	CD8 Naive
3.0546195426862e-60	9.0749442236232	0.2	0.001	1.0244583022261e-55	SRRM5	CD8 Naive
1.04869122657841e-53	8.90501922218089	0.2	0.001	3.51710063569866e-49	AL020998.1	CD8 Naive
1.04869122657841e-53	8.90501922218089	0.2	0.001	3.51710063569866e-49	CYP2J2	CD8 Naive
1.78484986550486e-48	8.75301612873584	0.2	0.001	5.98602947893021e-44	JMJD1C-AS1	CD8 Naive
1.33435491414347e-37	8.37450450548211	0.2	0.001	4.47515951105438e-33	TSPAN33	CD8 Naive
5.20889106087825e-35	8.26758930156559	0.2	0.001	1.74695788399735e-30	NPBWR1	CD8 Naive
5.20889106087825e-35	8.26758930156559	0.2	0.001	1.74695788399735e-30	FGF11	CD8 Naive
9.19843013467618e-33	8.16805362801468	0.2	0.001	3.0849694985677e-28	ANKRD53	CD8 Naive
9.19843013467618e-33	8.16805362801468	0.2	0.001	3.0849694985677e-28	SLC4A11	CD8 Naive
1.84551275626701e-32	6.77726367498251	0.4	0.005	6.1894806819683e-28	NANOS3	CD8 Naive
4.08078810097201e-29	7.78954200476095	0.2	0.001	1.36861471330399e-24	TRBV5-3	CD8 Naive
4.64599121064329e-29	7.98748138237286	0.2	0.001	1.55817253222555e-24	PROSER2	CD8 Naive
3.92147792931065e-26	7.82701671017961	0.2	0.002	1.31518526793221e-21	AP001496.1	CD8 Naive
8.58472429584887e-23	7.80192572921678	0.2	0.002	2.87914483434179e-18	MME	CD8 Naive
1.01152231845793e-22	7.37450450548211	0.2	0.002	3.39244355164421e-18	PHGR1	CD8 Naive
8.41575131135584e-22	7.55138226756619	0.2	0.002	2.82247467480252e-17	AC012467.2	CD8 Naive
7.0822671540292e-21	6.4025188816517	0.4	0.009	2.37525075811831e-16	IGHM	CD8 Naive
2.00904282799278e-19	7.37450450548211	0.2	0.002	6.7379278365222e-15	AL441883.1	CD8 Naive
2.02445193393777e-19	7.32005672145973	0.2	0.002	6.78960689604049e-15	PODXL	CD8 Naive
7.84922880841167e-19	7.90501922218089	0.2	0.002	2.6324743577651e-14	TBC1D8B	CD8 Naive
1.56468234892666e-17	7.16805362801468	0.2	0.003	5.24763166183024e-13	DYSF	CD8 Naive
5.46407302184828e-17	7.16805362801468	0.2	0.003	1.83254081006748e-12	OCRL	CD8 Naive
1.51700737878586e-15	6.98748138237286	0.2	0.003	5.08773934697201e-11	GPM6B	CD8 Naive
1.53287944611083e-15	5.50003538756596	0.4	0.012	5.14097108636649e-11	ANK1	CD8 Naive
4.00460580299264e-15	6.98748138237286	0.2	0.003	1.34306469420767e-10	ZNF285	CD8 Naive
2.40283377463796e-14	6.90501922218089	0.2	0.003	8.0586239133808e-10	AC023509.3	CD8 Naive
5.2171903143e-14	3.7414693749078	1	0.08	1.74974128760993e-09	CD9	CD8 Naive
5.50566305511413e-14	6.82701671017961	0.2	0.003	1.84648927542418e-09	AC118553.1	CD8 Naive
5.50566305511413e-14	6.82701671017961	0.2	0.003	1.84648927542418e-09	APLP1	CD8 Naive
5.62655313941838e-14	6.58309112729352	0.2	0.003	1.88703339189814e-09	GAS7	CD8 Naive
1.72298431212048e-13	5.35612597616725	0.4	0.014	5.77854478598966e-09	ZNF665	CD8 Naive
5.07384480725143e-13	6.75301612873584	0.2	0.004	1.70166607145598e-08	LRP11	CD8 Naive
5.1762376538796e-13	6.6155126049859	0.2	0.004	1.73600658435814e-08	ZNF300	CD8 Naive
7.25101428335538e-13	5.36528597545273	0.4	0.014	2.43184517035173e-08	MYO15B	CD8 Naive
9.91829183695076e-13	6.71739221900511	0.2	0.004	3.32639671627655e-08	ZNF571-AS1	CD8 Naive
1.25246996493719e-12	5.2762024318703	0.4	0.015	4.20053376840636e-08	TMEM241	CD8 Naive
1.11198937796893e-11	6.29358451009854	0.2	0.004	3.7293899758322e-07	C15orf48	CD8 Naive
1.83533372840408e-11	6.55138226756618	0.2	0.004	6.15534225832159e-07	ACER2	CD8 Naive
2.57482780911681e-11	6.84228346683292	0.2	0.004	8.63545750621594e-07	KIR3DL3	CD8 Naive
1.25428224203333e-10	6.4025188816517	0.2	0.005	4.20661178333139e-06	OXT	CD8 Naive
1.2901082258801e-10	6.19230117426136	0.2	0.005	4.32676496795668e-06	C9orf135	CD8 Naive
2.95543554769206e-10	6.29358451009854	0.2	0.005	9.91193973984963e-06	AL139289.2	CD8 Naive
4.34365488891676e-10	4.98748138237286	0.4	0.019	1.4567749766449e-05	AC026471.1	CD8 Naive
4.36301016283895e-10	6.34702376906	0.2	0.005	1.46326634841293e-05	AL603839.3	CD8 Naive
4.36301016283895e-10	6.34702376906	0.2	0.005	1.46326634841293e-05	AC129492.1	CD8 Naive
5.80237241897071e-10	4.12463134772355	0.4	0.019	1.9459996618744e-05	KLF4	CD8 Naive
6.44315354573104e-10	6.29358451009854	0.2	0.005	2.16090483616728e-05	FOXN3-AS1	CD8 Naive
9.45304048360093e-10	6.19230117426136	0.2	0.005	3.17036071739008e-05	ZNF629	CD8 Naive
1.33447239186289e-09	6.26758930156559	0.2	0.005	4.47555350782975e-05	TBX1	CD8 Naive
1.3390536241717e-09	6.24205420945846	0.2	0.005	4.49091804474705e-05	LOXL1	CD8 Naive
1.3390536241717e-09	6.21696322849563	0.2	0.005	4.49091804474705e-05	KCNAB3	CD8 Naive
1.92751732137259e-09	4.07623291959177	0.6	0.045	6.46450759241939e-05	TRDV1	CD8 Naive
2.64755454893755e-09	6.19230117426136	0.2	0.005	8.87936844622676e-05	AP001462.1	CD8 Naive
2.99170480214228e-09	6.77726367498251	0.2	0.005	0.000100335795654248	SH2B2	CD8 Naive
3.65960284449704e-09	6.14420688606031	0.2	0.005	0.000122735760198742	AC100812.1	CD8 Naive
3.70992003168829e-09	6.05257641059474	0.2	0.005	0.000124423298022762	MBOAT2	CD8 Naive
4.40243032017442e-09	4.71153949275968	0.4	0.021	0.00014764870807801	FAM13A	CD8 Naive
4.98902883197088e-09	6.16805362801468	0.2	0.005	0.000167322048966639	AL359258.2	CD8 Naive
5.02173979166555e-09	6.12074791323632	0.2	0.005	0.000168419109132879	FCGBP	CD8 Naive
5.14110381751791e-09	5.90501922218089	0.2	0.005	0.000172422339831916	ITGAX	CD8 Naive
6.77574035950003e-09	6.0749442236232	0.2	0.006	0.000227244780176912	VGF	CD8 Naive
8.00297219159701e-09	3.91759728826036	0.6	0.047	0.00026840368136178	YPEL1	CD8 Naive
9.08508666824218e-09	6.09766430012328	0.2	0.006	0.000304695636679506	DNAJC6	CD8 Naive
1.20338448458281e-08	6.09766430012328	0.2	0.006	0.000403591088439384	AL137779.2	CD8 Naive
1.20338448458281e-08	6.09766430012328	0.2	0.006	0.000403591088439384	ITGB4	CD8 Naive
1.20701099539684e-08	6.05257641059474	0.2	0.006	0.000404807347636194	AL034397.3	CD8 Naive
1.9087989584444e-08	4.6430984366578	0.4	0.023	0.000640172994683081	GSTCD	CD8 Naive
2.08250161573522e-08	6.00885503316542	0.2	0.006	0.000698429391885279	DSCR9	CD8 Naive
2.68214307263037e-08	6.03055010426474	0.2	0.006	0.000899537143698774	CARD9	CD8 Naive
3.51098213869485e-08	5.88511966474318	0.2	0.006	0.00117751318967548	ARHGAP5-AS1	CD8 Naive
8.79275157299582e-08	5.92519710411852	0.2	0.006	0.00294891302255134	AC145285.6	CD8 Naive
8.84326839359464e-08	4.47999763432942	0.4	0.025	0.00296585535384377	CRIM1	CD8 Naive
8.96740086915794e-08	5.78954200476095	0.2	0.006	0.00300748690349819	PAWR	CD8 Naive
1.09624193534308e-07	5.88511966474318	0.2	0.007	0.00367657620275363	AC074117.1	CD8 Naive
1.10240250824864e-07	5.84612553312732	0.2	0.007	0.00369723753216427	PYCARD-AS1	CD8 Naive
1.10549494086646e-07	5.82701671017961	0.2	0.007	0.00370760893267793	FAM201A	CD8 Naive
1.14540384161722e-07	4.43108803384847	0.4	0.025	0.00384145540401582	SPECC1	CD8 Naive
1.35516943454131e-07	5.86549085799425	0.2	0.007	0.00454496724956463	AC110769.2	CD8 Naive
1.66166254467588e-07	5.86549085799425	0.2	0.007	0.00557288384233397	RNASE4	CD8 Naive
1.66582864333722e-07	5.84612553312732	0.2	0.007	0.00558685610402436	VWA7	CD8 Naive
1.68319861326714e-07	2.7199078169239	0.8	0.1	0.00564511150917532	TRGV5	CD8 Naive
2.03162495173645e-07	5.84612553312732	0.2	0.007	0.00681366376313369	AC040162.1	CD8 Naive
6.84710368075413e-07	3.26223209139609	0.8	0.112	0.0229638163245132	ITPRIP	CD8 Naive
8.58393009059658e-07	5.6655532874855	0.2	0.008	0.0287887847378428	ZNF442	CD8 Naive
8.62580143035856e-07	5.63200072777447	0.2	0.008	0.0289292128371365	NCKAP1	CD8 Naive
8.76666708246675e-07	3.57908919673603	0.6	0.063	0.029401648061177	ADARB1	CD8 Naive
9.73629986132741e-07	4.13634476828734	0.4	0.029	0.0326536024749199	MGST2	CD8 Naive
1.19034571251283e-06	5.55138226756618	0.2	0.008	0.0399218145062554	PADI4	CD8 Naive
1.35478504410384e-06	3.81352086769539	0.6	0.069	0.0454367808091547	EGR3	CD8 Naive
