Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Allograft Rejection	8/200	1.95687031296662e-08	3.52236656333992e-07	21.1121794871795	374.727132068871	CD2;PRF1;RPS19;CD3G;CD3E;CXCR3;CD96;CCL5	1	MSigDB_Hallmark_2020
Apoptosis	3/161	0.00640555661119043	0.0576500095007138	8.54214614499425	43.1428731558761	CD2;PRF1;LGALS3	2	MSigDB_Hallmark_2020
DNA Repair	2/150	0.0484915851372007	0.206411750666177	5.94744744744745	17.9991467848838	RBX1;DAD1	3	MSigDB_Hallmark_2020
Notch Signaling	1/32	0.0725783638895918	0.206411750666177	13.9705469845722	36.6459800109507	RBX1	4	MSigDB_Hallmark_2020
Apical Junction	2/200	0.0802712363701801	0.206411750666177	4.43434343434343	11.1849392199376	MYL12B;CD99	5	MSigDB_Hallmark_2020
Complement	2/200	0.0802712363701801	0.206411750666177	4.43434343434343	11.1849392199376	LGALS3;CCL5	5	MSigDB_Hallmark_2020
Epithelial Mesenchymal Transition	2/200	0.0802712363701801	0.206411750666177	4.43434343434343	11.1849392199376	LGALS1;PPIB	5	MSigDB_Hallmark_2020
Cholesterol Homeostasis	1/74	0.160058935332207	0.360132604497466	5.92019058963669	10.8470512604539	LGALS3	8	MSigDB_Hallmark_2020
PI3K/AKT/mTOR  Signaling	1/105	0.219394750217878	0.376815462826938	4.14903846153846	6.29360449520595	FGF22	9	MSigDB_Hallmark_2020
Fatty Acid Metabolism	1/158	0.3114762536292	0.376815462826938	2.74106895596788	3.19727102684955	LGALS1	10	MSigDB_Hallmark_2020
TNF-alpha Signaling via NF-kB	1/200	0.376815462826938	0.376815462826938	2.15796373170199	2.10617195452641	CCL5	11	MSigDB_Hallmark_2020
Hypoxia	1/200	0.376815462826938	0.376815462826938	2.15796373170199	2.10617195452641	GAPDH	11	MSigDB_Hallmark_2020
Interferon Gamma Response	1/200	0.376815462826938	0.376815462826938	2.15796373170199	2.10617195452641	CCL5	11	MSigDB_Hallmark_2020
mTORC1 Signaling	1/200	0.376815462826938	0.376815462826938	2.15796373170199	2.10617195452641	GAPDH	11	MSigDB_Hallmark_2020
Inflammatory Response	1/200	0.376815462826938	0.376815462826938	2.15796373170199	2.10617195452641	CCL5	11	MSigDB_Hallmark_2020
Glycolysis	1/200	0.376815462826938	0.376815462826938	2.15796373170199	2.10617195452641	CHST12	11	MSigDB_Hallmark_2020
KRAS Signaling Up	1/200	0.376815462826938	0.376815462826938	2.15796373170199	2.10617195452641	LCP1	11	MSigDB_Hallmark_2020
KRAS Signaling Dn	1/200	0.376815462826938	0.376815462826938	2.15796373170199	2.10617195452641	FGF22	11	MSigDB_Hallmark_2020
