p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_ref_annotations
0	11.8794556170174	0.167	0	0	CAP2	Doublet
0	11.8794556170174	0.167	0	0	AC100793.3	Doublet
1.25535577837968e-229	9.13402844410301	0.833	0.004	4.21021220952976e-225	CCR10	Doublet
1.30410541700925e-206	10.8794556170174	0.167	0	4.37370874756563e-202	CCDC27	Doublet
1.30410541700925e-206	10.8794556170174	0.167	0	4.37370874756563e-202	RHBDF1	Doublet
2.7274756508755e-138	10.2944931162963	0.167	0	9.14740783790625e-134	AC093535.1	Doublet
2.7274756508755e-138	10.2944931162963	0.167	0	9.14740783790625e-134	CU633967.1	Doublet
6.58392893264019e-70	9.29449311629625	0.167	0	2.20811808542887e-65	CXorf58	Doublet
7.66524170676718e-53	9.29449311629625	0.167	0.001	2.57076876361558e-48	CNTNAP1	Doublet
8.68734286236546e-53	8.87945561701741	0.167	0.001	2.91356104918013e-48	AP001350.1	Doublet
4.47104457380931e-47	8.7095306155751	0.167	0.001	1.49949892916417e-42	AC006116.8	Doublet
9.21295854312532e-39	8.42002399838011	0.167	0.001	3.08984203619337e-34	ZNF541	Doublet
1.21527769096902e-35	8.29449311629625	0.167	0.001	4.0757983199719e-31	AC008115.1	Doublet
1.23226933675456e-35	8.17901589887632	0.167	0.001	4.13278490160745e-31	HIST2H3PS2	Doublet
5.32461979216469e-33	8.17901589887632	0.167	0.001	1.78577098589619e-28	C17orf113	Doublet
9.9283112490518e-31	7.97256502140889	0.167	0.001	3.32975702670699e-26	DLG2	Doublet
6.51926676862875e-29	6.60643712261099	0.333	0.005	2.18643168886271e-24	SLC3A1	Doublet
7.73350816579485e-29	8.55752752213004	0.167	0.001	2.59366396864428e-24	TMEM38A	Doublet
1.57862363859605e-25	7.7095306155751	0.167	0.001	5.29438795912344e-21	ANO7	Doublet
6.99770267170045e-22	7.48713819423865	0.167	0.002	2.3468895220349e-17	AL136368.1	Doublet
1.95971262033155e-18	7.29449311629625	0.167	0.002	6.57248418606794e-14	AC020978.5	Doublet
1.95971262033155e-18	7.29449311629625	0.167	0.002	6.57248418606794e-14	AC005920.1	Doublet
1.98709245533653e-18	7.17901589887632	0.167	0.002	6.66431067670766e-14	CDK18	Doublet
2.01496277412487e-18	7.02147462188984	0.167	0.002	6.75778215186e-14	CCR3	Doublet
9.53187450089218e-18	5.0721006949598	0.5	0.019	3.19680007010922e-13	NBPF9	Doublet
9.62253894597229e-18	7.23559942724268	0.167	0.002	3.22720711170019e-13	AC090948.1	Doublet
9.62253894597229e-18	7.23559942724268	0.167	0.002	3.22720711170019e-13	AC087289.5	Doublet
1.64248828909174e-16	7.0721006949598	0.167	0.002	5.50857722395586e-12	DEPDC4	Doublet
5.21023800919116e-15	5.18298480107926	0.5	0.023	1.74740962352253e-10	SLC4A10	Doublet
4.15396095125428e-14	6.87945561701741	0.167	0.003	1.39315542383166e-09	RCN3	Doublet
4.26365325191225e-14	6.63152810357382	0.167	0.003	1.42994402762633e-09	AL121748.1	Doublet
2.45690679191232e-13	6.67000225138846	0.167	0.003	8.23997399871553e-09	ANKRD18A	Doublet
1.17817511178447e-12	6.59405339815516	0.167	0.003	3.95136368990276e-08	KIAA1217	Doublet
2.10250556767046e-12	5.2452495972764	0.333	0.012	7.05138317285318e-08	CD40	Doublet
2.43345862878874e-12	6.52190361239932	0.167	0.003	8.16133354923166e-08	FEZ1	Doublet
8.06511169501917e-12	4.48713819423865	0.5	0.029	2.70487716027553e-07	TDRD7	Doublet
1.67849170765912e-11	6.55752752213004	0.167	0.003	5.62932548914714e-07	NPIPB12	Doublet
5.28094514024654e-11	6.48713819423865	0.167	0.004	1.77112338113588e-06	ZNF571-AS1	Doublet
5.3015158693141e-11	6.45319086231531	0.167	0.004	1.77802239225056e-06	CFAP70	Doublet
9.14411534110126e-11	6.29449311629625	0.167	0.004	3.06675340309854e-06	FGFR2	Doublet
1.27214169540485e-10	7.38760252068773	0.167	0.004	4.26650881804879e-06	CSF2RB	Doublet
1.49866696999075e-10	6.42002399838011	0.167	0.004	5.02622928395498e-06	RGS5	Doublet
1.49866696999075e-10	6.42002399838011	0.167	0.004	5.02622928395498e-06	TBX6	Doublet
2.43928364937431e-10	6.38760252068773	0.167	0.004	8.18086950327155e-06	CCDC17	Doublet
2.44811960809995e-10	6.35589366096039	0.167	0.004	8.21050354164561e-06	AC011462.1	Doublet
3.79590048175471e-10	4.88698928970282	0.333	0.015	1.2730691035709e-05	TSPAN15	Doublet
3.88796745296813e-10	6.35589366096039	0.167	0.004	1.30394652437645e-05	C2orf92	Doublet
3.94459911767133e-10	6.23559942724268	0.167	0.004	1.32293965208461e-05	RHOBTB3	Doublet
4.24142827455923e-10	4.90982926606093	0.333	0.016	1.42249021472167e-05	B3GNT8	Doublet
9.79639358116742e-10	4.81336642655963	0.333	0.016	3.28551447925193e-05	LATS2	Doublet
3.04952028633381e-09	6.20703027504591	0.167	0.004	0.000102274811363063	AC108463.3	Doublet
3.05918877414359e-09	6.17901589887632	0.167	0.004	0.000102599073107228	AC011416.3	Doublet
4.40636157973927e-09	6.15153516245421	0.167	0.005	0.000147780554661296	FP671120.3	Doublet
5.94060714197467e-09	4.79199277576707	0.333	0.018	0.000199236082327546	QPCTL	Doublet
1.77041675038668e-08	4.43983247946029	0.167	0.005	0.000593762369744684	TRBV10-2	Doublet
2.25347037320161e-08	6.04656560285267	0.167	0.005	0.000755768893764355	MORF4L2-AS1	Doublet
2.27314622618815e-08	5.94871827945452	0.167	0.005	0.000762367781338983	AC104695.3	Doublet
3.03090993788845e-08	5.99681256765557	0.167	0.005	0.00101650657496903	AL031728.1	Doublet
5.28266023706451e-08	5.97256502140889	0.167	0.005	0.0017716985903067	CTBP1-AS	Doublet
1.17072363924536e-07	5.65063692652153	0.167	0.005	0.00392637294130108	ITGAX	Doublet
1.28316624206281e-07	6.12456811485394	0.167	0.006	0.00430348294263024	DLGAP1	Doublet
1.45539746013817e-07	5.87945561701741	0.167	0.006	0.00488111200181138	AC104653.1	Doublet
1.45539746013817e-07	5.87945561701741	0.167	0.006	0.00488111200181138	AC009690.2	Doublet
1.83940077592032e-07	5.85708780398895	0.167	0.006	0.00616898232228156	AC034231.1	Doublet
1.84864142482858e-07	5.81336642655963	0.167	0.006	0.00619997361059008	KCNMB4	Doublet
3.56527060283179e-07	5.79199277576707	0.167	0.006	0.0119572045477772	AC023509.2	Doublet
4.38968054004862e-07	5.77093116023924	0.167	0.006	0.0147221105952151	ADCY9	Doublet
5.37322370193231e-07	5.75017260007244	0.167	0.006	0.0180207176515406	AP000766.1	Doublet
5.39817403219887e-07	5.70953061557509	0.167	0.006	0.0181043960691886	CLDND2	Doublet
5.42413929555634e-07	5.67000225138846	0.167	0.006	0.0181914783694368	GPRC5D-AS1	Doublet
7.95420403001061e-07	5.67000225138846	0.167	0.006	0.0266768094758496	AL139274.2	Doublet
8.78286851379836e-07	4.71958428023902	0.333	0.025	0.0294559844215769	SERPINI1	Doublet
1.14555233636431e-06	5.65063692652153	0.167	0.006	0.0384195342569864	AC005498.3	Doublet
1.40176898327281e-06	4.5986848468868	0.333	0.025	0.0470125281610034	PLAG1	Doublet
