Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Myc Targets V1	10/200	3.28895332864143e-09	8.22238332160358e-08	16.2302631578947	317.020803728698	RPL22;RPL18;RPL34;LDHA;COX5A;RPS6;PPIA;RPS5;RPS3;EEF1B2	1	MSigDB_Hallmark_2020
Glycolysis	5/200	0.000876087200194205	0.0109510900024276	7.33221850613155	51.6191477078751	TXN;ENO1;TPI1;LDHA;PPIA	2	MSigDB_Hallmark_2020
Hypoxia	4/200	0.00647344292462845	0.0323672146231423	5.75218658892128	28.991291769154	ENO1;PLAC8;TPI1;LDHA	3	MSigDB_Hallmark_2020
mTORC1 Signaling	4/200	0.00647344292462845	0.0323672146231423	5.75218658892128	28.991291769154	ENO1;TPI1;LDHA;PPIA	3	MSigDB_Hallmark_2020
Allograft Rejection	4/200	0.00647344292462845	0.0323672146231423	5.75218658892128	28.991291769154	RPL9;IFNGR2;RPS3A;LTB	3	MSigDB_Hallmark_2020
Wnt-beta Catenin Signaling	2/42	0.0105679194408554	0.0412719252832913	13.8097222222222	62.833301672433	TCF7;LEF1	6	MSigDB_Hallmark_2020
Apical Surface	2/44	0.0115561390793216	0.0412719252832913	13.1507936507937	58.6596208747086	MAL;LYPD3	7	MSigDB_Hallmark_2020
Reactive Oxygen Species Pathway	2/49	0.0141962000582638	0.0443631251820744	11.7488179669031	49.9886468907734	TXN;JUNB	8	MSigDB_Hallmark_2020
TGF-beta Signaling	2/54	0.0170708324054992	0.0474189789041644	10.616452991453	43.2130401715893	IFNGR2;JUNB	9	MSigDB_Hallmark_2020
IL-2/STAT5 Signaling	3/199	0.0375821269931039	0.0731843524975292	4.25337740730095	13.9562954609606	SELL;ITGA6;LTB	10	MSigDB_Hallmark_2020
TNF-alpha Signaling via NF-kB	3/200	0.0380558632987152	0.0731843524975292	4.23157217416172	13.8317404394797	JUNB;IFNGR2;KLF2	11	MSigDB_Hallmark_2020
Inflammatory Response	3/200	0.0380558632987152	0.0731843524975292	4.23157217416172	13.8317404394797	CCR7;IFNGR2;SELL	11	MSigDB_Hallmark_2020
Oxidative Phosphorylation	3/200	0.0380558632987152	0.0731843524975292	4.23157217416172	13.8317404394797	LDHA;COX5A;ATP5MC3	11	MSigDB_Hallmark_2020
IL-6/JAK/STAT3 Signaling	2/87	0.0412852284024372	0.0737236221472093	6.48398692810458	20.6660906356109	IFNGR2;LTB	14	MSigDB_Hallmark_2020
Fatty Acid Metabolism	2/158	0.11605975780991	0.193432929683183	3.52029914529915	7.58149249009164	HSP90AA1;LDHA	15	MSigDB_Hallmark_2020
Apical Junction	2/200	0.169177406135491	0.248790303140427	2.76767676767677	4.91762849022281	ACTN1;LDLRAP1	16	MSigDB_Hallmark_2020
p53 Pathway	2/200	0.169177406135491	0.248790303140427	2.76767676767677	4.91762849022281	RPL18;RPS12	16	MSigDB_Hallmark_2020
Interferon Alpha Response	1/97	0.302625676238478	0.403880227902391	2.82962328767123	3.38213165183478	SELL	18	MSigDB_Hallmark_2020
Androgen Response	1/100	0.31037576013287	0.403880227902391	2.74346201743462	3.20977260788242	ACTN1	19	MSigDB_Hallmark_2020
PI3K/AKT/mTOR  Signaling	1/105	0.323104182321913	0.403880227902391	2.6109062170706	2.94975083184203	THEM4	20	MSigDB_Hallmark_2020
Unfolded Protein Response	1/113	0.342989224206678	0.40832050500795	2.42343444227006	2.59321116806415	RPS14	21	MSigDB_Hallmark_2020
UV Response Up	1/158	0.444562644294336	0.489950278517242	1.72489311578396	1.39830927358054	JUNB	22	MSigDB_Hallmark_2020
Apoptosis	1/161	0.450754256235863	0.489950278517242	1.69229452054795	1.34847607633347	LEF1	23	MSigDB_Hallmark_2020
heme Metabolism	1/200	0.525309545886837	0.525309545886837	1.35795415433331	0.874206858232938	KLF3	24	MSigDB_Hallmark_2020
KRAS Signaling Dn	1/200	0.525309545886837	0.525309545886837	1.35795415433331	0.874206858232938	LYPD3	24	MSigDB_Hallmark_2020
