Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
KRAS Signaling Up	3/200	0.0961587325310791	0.666619295527739	2.82932669284551	6.62558989880811	PLEK2;MTMR10;CXCL10	1	MSigDB_Hallmark_2020
IL-2/STAT5 Signaling	2/199	0.295536751449654	0.666619295527739	1.8685895915366	2.27773985419664	CXCL10;COCH	2	MSigDB_Hallmark_2020
Glycolysis	2/200	0.297550670832669	0.666619295527739	1.85905786840366	2.25349556389347	ALDH7A1;MIOX	3	MSigDB_Hallmark_2020
IL-6/JAK/STAT3 Signaling	1/87	0.379031395391799	0.666619295527739	2.13232127476314	2.06864214372584	CXCL10	4	MSigDB_Hallmark_2020
Interferon Alpha Response	1/97	0.412204199360242	0.666619295527739	1.9092399691358	1.69203800070691	CXCL10	5	MSigDB_Hallmark_2020
Pperoxisome	1/104	0.4343743239848	0.666619295527739	1.77885652642934	1.48329705788802	DLG4	6	MSigDB_Hallmark_2020
Spermatogenesis	1/135	0.523006159065021	0.666619295527739	1.36518794914317	0.884863004150023	OAZ3	7	MSigDB_Hallmark_2020
UV Response Up	1/158	0.579735663618748	0.666619295527739	1.16383581033263	0.6345035354896	DLG4	8	MSigDB_Hallmark_2020
TNF-alpha Signaling via NF-kB	1/200	0.666619295527739	0.666619295527739	0.916247906197655	0.3715716642138	CXCL10	9	MSigDB_Hallmark_2020
Hypoxia	1/200	0.666619295527739	0.666619295527739	0.916247906197655	0.3715716642138	CAVIN1	9	MSigDB_Hallmark_2020
Adipogenesis	1/200	0.666619295527739	0.666619295527739	0.916247906197655	0.3715716642138	CAVIN1	9	MSigDB_Hallmark_2020
Estrogen Response Late	1/200	0.666619295527739	0.666619295527739	0.916247906197655	0.3715716642138	CKB	9	MSigDB_Hallmark_2020
Myogenesis	1/200	0.666619295527739	0.666619295527739	0.916247906197655	0.3715716642138	CKB	9	MSigDB_Hallmark_2020
Interferon Gamma Response	1/200	0.666619295527739	0.666619295527739	0.916247906197655	0.3715716642138	CXCL10	9	MSigDB_Hallmark_2020
Apical Junction	1/200	0.666619295527739	0.666619295527739	0.916247906197655	0.3715716642138	NFASC	9	MSigDB_Hallmark_2020
Inflammatory Response	1/200	0.666619295527739	0.666619295527739	0.916247906197655	0.3715716642138	CXCL10	9	MSigDB_Hallmark_2020
