Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
KRAS Signaling Up	5/200	0.00461662391062736	0.0784826064806651	4.90341050535225	26.3709908320232	LAT2;FCER1G;TMEM176B;SPRY2;EPHB2	1	MSigDB_Hallmark_2020
UV Response Up	2/158	0.21007701620838	0.663233344842462	2.3870343492985	3.72444451258721	CDO1;LYN	2	MSigDB_Hallmark_2020
Apical Surface	1/44	0.212192115003854	0.663233344842462	4.31406216039991	6.687931860754	LYN	3	MSigDB_Hallmark_2020
Estrogen Response Late	2/200	0.293855405909704	0.663233344842462	1.87669144272918	2.29832292221255	ASCL1;IL17RB	4	MSigDB_Hallmark_2020
Complement	2/200	0.293855405909704	0.663233344842462	1.87669144272918	2.29832292221255	LYN;FCER1G	4	MSigDB_Hallmark_2020
Xenobiotic Metabolism	2/200	0.293855405909704	0.663233344842462	1.87669144272918	2.29832292221255	CDO1;TMEM176B	4	MSigDB_Hallmark_2020
Allograft Rejection	2/200	0.293855405909704	0.663233344842462	1.87669144272918	2.29832292221255	LYN;NCR1	4	MSigDB_Hallmark_2020
IL-6/JAK/STAT3 Signaling	1/87	0.376303585818413	0.663233344842462	2.15235818300369	2.10362675390779	IL17RB	8	MSigDB_Hallmark_2020
Mitotic Spindle	1/199	0.661386455147799	0.663233344842462	0.929576135183612	0.384302537764679	MARCKS	9	MSigDB_Hallmark_2020
TNF-alpha Signaling via NF-kB	1/200	0.663233344842462	0.663233344842462	0.924857934532475	0.379772931768284	MARCKS	10	MSigDB_Hallmark_2020
Hypoxia	1/200	0.663233344842462	0.663233344842462	0.924857934532475	0.379772931768284	AK4	10	MSigDB_Hallmark_2020
G2-M Checkpoint	1/200	0.663233344842462	0.663233344842462	0.924857934532475	0.379772931768284	MARCKS	10	MSigDB_Hallmark_2020
Estrogen Response Early	1/200	0.663233344842462	0.663233344842462	0.924857934532475	0.379772931768284	IL17RB	10	MSigDB_Hallmark_2020
mTORC1 Signaling	1/200	0.663233344842462	0.663233344842462	0.924857934532475	0.379772931768284	AK4	10	MSigDB_Hallmark_2020
Inflammatory Response	1/200	0.663233344842462	0.663233344842462	0.924857934532475	0.379772931768284	LYN	10	MSigDB_Hallmark_2020
Glycolysis	1/200	0.663233344842462	0.663233344842462	0.924857934532475	0.379772931768284	AK4	10	MSigDB_Hallmark_2020
KRAS Signaling Dn	1/200	0.663233344842462	0.663233344842462	0.924857934532475	0.379772931768284	KCNQ2	10	MSigDB_Hallmark_2020
