p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_ref_annotations
8.71932727085835e-16	0.731173451811507	0.842	0.66	2.92428798010047e-11	IL7R	NK_CD56bright
9.28901319745723e-12	0.517351445208384	0.958	0.838	3.11534924616321e-07	FOS	NK_CD56bright
1.03673336673351e-10	3.41867316055131	0.029	0.003	3.47699636535083e-06	GPR27	NK_CD56bright
6.01005938455936e-10	0.511566482226727	0.758	0.569	2.01565371639352e-05	KLRB1	NK_CD56bright
6.32537604623416e-10	4.07968990148422	0.017	0.001	2.12140461838601e-05	GSC	NK_CD56bright
8.80865158026783e-10	0.528306096069684	0.875	0.749	2.95424556699023e-05	TXNIP	NK_CD56bright
1.18352760200787e-09	0.670260790226685	0.546	0.354	3.96931487161399e-05	CD40LG	NK_CD56bright
2.35686592953442e-09	1.3972108948488	0.162	0.065	7.90445695447253e-05	TTC39C-AS1	NK_CD56bright
3.01325869562846e-09	0.548908438914121	0.254	0.124	0.000101058670133987	IL2	NK_CD56bright
8.45113763930050e-09	2.41380740537949	0.046	0.009	0.00028343425414686	TRIQK	NK_CD56bright
3.79094187144003e-08	0.250738334928124	0.996	0.984	0.00127140608484356	EEF1B2	NK_CD56bright
2.58906852283551e-07	0.641447904678091	0.367	0.221	0.00868321801188572	CCR6	NK_CD56bright
2.93262549383169e-07	0.501064321743696	0.771	0.63	0.00983543938121274	FOSB	NK_CD56bright
3.48277761168681e-07	1.36133998548536	0.125	0.051	0.0116805395540752	TBXAS1	NK_CD56bright
4.91872305987401e-07	1.18346859752028	0.204	0.105	0.0164964133982055	TNFSF13B	NK_CD56bright
5.24033755955282e-07	0.871461649095803	0.321	0.189	0.0175750441072282	AC020571.1	NK_CD56bright
1.11128367539005e-06	0.160783162485362	1	1	0.0372702319052316	EEF1A1	NK_CD56bright
