Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Wnt-beta Catenin Signaling	3/42	0.00466973090168123	0.0795249687238235	9.63972736124635	51.7330797800452	WNT5B;TCF7;LEF1	1	MSigDB_Hallmark_2020
Myc Targets V1	6/200	0.00568035490884454	0.0795249687238235	3.9198536747589	20.2685503218524	RPL22;RPL18;RPL34;RPS6;RPS5;EEF1B2	2	MSigDB_Hallmark_2020
TGF-beta Signaling	2/54	0.0702256329452542	0.439266747535041	4.78640541848089	12.7128933080232	NOG;IFNGR2	3	MSigDB_Hallmark_2020
IL-2/STAT5 Signaling	4/199	0.0773324373363777	0.439266747535041	2.56658500734934	6.56953822242717	SH3BGRL2;SELL;IGF1R;TNFRSF21	4	MSigDB_Hallmark_2020
Allograft Rejection	4/200	0.0784404906312574	0.439266747535041	2.55336019758222	6.49936140557869	RPL9;RPL39;IFNGR2;RPS3A	5	MSigDB_Hallmark_2020
IL-6/JAK/STAT3 Signaling	2/87	0.155267456890977	0.589528903312564	2.92327044025157	5.44490141461332	TNFRSF21;IFNGR2	6	MSigDB_Hallmark_2020
Estrogen Response Early	3/200	0.218294573207366	0.589528903312564	1.89314399537364	2.88119454148737	MPPED2;IGF1R;SYNGR1	7	MSigDB_Hallmark_2020
Myogenesis	3/200	0.218294573207366	0.589528903312564	1.89314399537364	2.88119454148737	VIPR1;TCAP;SGCA	7	MSigDB_Hallmark_2020
Inflammatory Response	3/200	0.218294573207366	0.589528903312564	1.89314399537364	2.88119454148737	CCR7;IFNGR2;SELL	7	MSigDB_Hallmark_2020
p53 Pathway	3/200	0.218294573207366	0.589528903312564	1.89314399537364	2.88119454148737	RPL18;RPL36;RPS12	7	MSigDB_Hallmark_2020
Hedgehog Signaling	1/36	0.252655244276813	0.589528903312564	3.53642857142857	4.86516872268487	NRCAM	11	MSigDB_Hallmark_2020
Angiogenesis	1/36	0.252655244276813	0.589528903312564	3.53642857142857	4.86516872268487	TNFRSF21	11	MSigDB_Hallmark_2020
Apical Surface	1/44	0.299539825165391	0.645162700356227	2.87732558139535	3.46863871376305	LYPD3	13	MSigDB_Hallmark_2020
UV Response Dn	2/144	0.323010130083722	0.646020260167444	1.74479581893879	1.97174419189912	IGF1R;PLCB4	14	MSigDB_Hallmark_2020
Apoptosis	2/161	0.372614217324044	0.695546539004881	1.55690043906491	1.53699027386841	LEF1;BCL2L10	15	MSigDB_Hallmark_2020
TNF-alpha Signaling via NF-kB	2/200	0.480064526510197	0.730248621013629	1.24776062511912	0.915650111242374	IFNGR2;KLF2	16	MSigDB_Hallmark_2020
Apical Junction	2/200	0.480064526510197	0.730248621013629	1.24776062511912	0.915650111242374	ACTN1;LDLRAP1	16	MSigDB_Hallmark_2020
KRAS Signaling Dn	2/200	0.480064526510197	0.730248621013629	1.24776062511912	0.915650111242374	LYPD3;EDAR	16	MSigDB_Hallmark_2020
Interferon Alpha Response	1/97	0.544293019757504	0.730248621013629	1.2853515625	0.781837630232256	SELL	19	MSigDB_Hallmark_2020
Androgen Response	1/100	0.55526330873842	0.730248621013629	1.24621212121212	0.733162601722495	ACTN1	20	MSigDB_Hallmark_2020
Pperoxisome	1/104	0.56948312908681	0.730248621013629	1.19757281553398	0.674264776481747	EPHX2	21	MSigDB_Hallmark_2020
Bile Acid Metabolism	1/112	0.596581272256548	0.730248621013629	1.11081081081081	0.573777992033565	EPHX2	22	MSigDB_Hallmark_2020
Unfolded Protein Response	1/113	0.599847081546909	0.730248621013629	1.10083705357143	0.562616374146467	RPS14	23	MSigDB_Hallmark_2020
UV Response Up	1/158	0.722547753911759	0.803018273546687	0.783519108280255	0.254621588155999	PLCL1	24	MSigDB_Hallmark_2020
Mitotic Spindle	1/199	0.801403504811505	0.803018273546687	0.619981060606061	0.137258045599945	ARHGEF11	25	MSigDB_Hallmark_2020
Hypoxia	1/200	0.803018273546687	0.803018273546687	0.616834170854271	0.135319728732168	PLAC8	26	MSigDB_Hallmark_2020
Adipogenesis	1/200	0.803018273546687	0.803018273546687	0.616834170854271	0.135319728732168	EPHX2	26	MSigDB_Hallmark_2020
Xenobiotic Metabolism	1/200	0.803018273546687	0.803018273546687	0.616834170854271	0.135319728732168	SPINT2	26	MSigDB_Hallmark_2020
