Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
TNF-alpha Signaling via NF-kB	29/200	1.06702257092756e-26	5.01500608335955e-25	21.9218220991074	1310.97626499403	MYC;EGR1;EGR3;ABCA1;GADD45B;IER2;JUNB;JUN;DUSP1;BTG2;AREG;IFNGR2;FOS;FOSB;PTGER4;ZBTB10;CD69;PPP1R15A;TNF;ZFP36;MAFF;NR4A3;NR4A2;IL7R;SLC2A3;NR4A1;BCL2A1;TNFAIP3;KLF6	1	MSigDB_Hallmark_2020
IL-2/STAT5 Signaling	15/199	3.97097918975341e-10	9.33180109592051e-09	9.64264667365113	208.73281254134	MYC;GADD45B;DHRS3;SERPINB6;PTGER2;CAPG;NT5E;CISH;PRNP;HOPX;MAFF;SLC2A3;BCL2;ARL4A;KLF6	2	MSigDB_Hallmark_2020
Hypoxia	14/200	4.07259099134892e-09	6.3803925531133e-08	8.84881849204816	170.950204394447	PLAC8;JUN;DUSP1;CITED2;TPD52;FOS;CXCR4;PPP1R15A;ZFP36;MAFF;SLC2A3;BCL2;TNFAIP3;KLF6	3	MSigDB_Hallmark_2020
Inflammatory Response	12/200	2.92261153809523e-07	3.43406855726189e-06	7.41445297746443	111.555027711885	MYC;ABCA1;LYN;BTG2;TIMP1;IFNGR2;PTGER2;PTGER4;CD69;NLRP3;IL7R;KLF6	4	MSigDB_Hallmark_2020
Apoptosis	10/161	2.1436133444478e-06	1.70084518041868e-05	7.61705588474497	99.4255650881394	CD69;TNF;LMNA;EGR3;GADD45B;ANXA1;JUN;BTG2;TIMP1;TXNIP	5	MSigDB_Hallmark_2020
Allograft Rejection	11/200	2.17129171968342e-06	1.70084518041868e-05	6.72051042639278	87.6367214657664	RPL9;LYN;TIMP1;TPD52;IFNGR2;CD40LG;CAPG;TNF;NLRP3;RPS3A;IL2	6	MSigDB_Hallmark_2020
Estrogen Response Early	10/200	1.46594132982969e-05	8.61240531274941e-05	6.0415512465374	67.2450504503483	RETREG1;MYC;EGR3;MYBL1;AREG;FOS;DHRS3;CISH;BCL2;DYNLT3	7	MSigDB_Hallmark_2020
Estrogen Response Late	10/200	1.46594132982969e-05	8.61240531274941e-05	6.0415512465374	67.2450504503483	CD9;EGR3;AREG;FOS;ZFP36;PERP;CISH;BCL2;DYNLT3;LSR	7	MSigDB_Hallmark_2020
Epithelial Mesenchymal Transition	8/200	0.000486105864553234	0.00253855284822244	4.72711946050096	36.0635920542927	VIM;GADD45B;JUN;AREG;TIMP1;CAPG;NT5E;TNFAIP3	9	MSigDB_Hallmark_2020
UV Response Up	7/158	0.000599266569655259	0.00281655287737972	5.24000913450559	38.879840916375	NR4A1;JUNB;LYN;BTG2;DNAJB1;FOS;FOSB	10	MSigDB_Hallmark_2020
Apical Surface	4/44	0.000663982000790901	0.0028370140033793	11.1745762711864	81.7672298603953	LYN;CD160;MAL;CRYBG1	11	MSigDB_Hallmark_2020
Complement	7/200	0.00234152511465189	0.00786083431347419	4.0909415758442	24.7786400468319	LYN;TIMP1;FCER1G;CD40LG;MAFF;TNFAIP3;DPP4	12	MSigDB_Hallmark_2020
p53 Pathway	7/200	0.00234152511465189	0.00786083431347419	4.0909415758442	24.7786400468319	RPS12;JUN;BTG2;FOS;PPP1R15A;PERP;TXNIP	12	MSigDB_Hallmark_2020
KRAS Signaling Up	7/200	0.00234152511465189	0.00786083431347419	4.0909415758442	24.7786400468319	LAT2;FCER1G;CXCR4;PPP1R15A;IL7R;TNFAIP3;SPRY2	12	MSigDB_Hallmark_2020
IL-6/JAK/STAT3 Signaling	4/87	0.00806146635111731	0.0244881840794623	5.37363011367504	25.9044427206051	JUN;CD9;TNF;IFNGR2	15	MSigDB_Hallmark_2020
Coagulation	5/138	0.00846467108344182	0.0244881840794623	4.20497265892003	20.0655161078513	CD9;MAFF;ANXA1;DPP4;TIMP1	16	MSigDB_Hallmark_2020
Interferon Gamma Response	6/200	0.00984966082649439	0.0244881840794623	3.46833578792342	16.0248151666825	CD69;AUTS2;XCL1;ARL4A;TNFAIP3;TXNIP	17	MSigDB_Hallmark_2020
mTORC1 Signaling	6/200	0.00984966082649439	0.0244881840794623	3.46833578792342	16.0248151666825	CD9;SKAP2;BTG2;CXCR4;PPP1R15A;SLC2A3	17	MSigDB_Hallmark_2020
Reactive Oxygen Species Pathway	3/49	0.00989947867042095	0.0244881840794623	7.24462628236444	33.4359294002713	FES;PRNP;JUNB	19	MSigDB_Hallmark_2020
TGF-beta Signaling	3/54	0.0128974284525481	0.0303089568634881	6.53271645736946	28.4220680449169	PPP1R15A;IFNGR2;JUNB	20	MSigDB_Hallmark_2020
Myogenesis	5/200	0.0356096544182618	0.0760751708026501	2.85897435897436	9.53507541614815	GADD45B;SORBS3;PRNP;KIFC3;PTGIS	21	MSigDB_Hallmark_2020
Apical Junction	5/200	0.0356096544182618	0.0760751708026501	2.85897435897436	9.53507541614815	SKAP2;ICAM2;SORBS3;ADAM23;NECTIN3	21	MSigDB_Hallmark_2020
UV Response Dn	4/144	0.0420317749492287	0.0858910183745108	3.17659402744149	10.0676728440688	MYC;DUSP1;MGLL;CITED2	23	MSigDB_Hallmark_2020
Wnt-beta Catenin Signaling	2/42	0.0553884529281259	0.106352535196939	5.52486033519553	15.9855432577129	TCF7;MYC	24	MSigDB_Hallmark_2020
Protein Secretion	3/96	0.0565704974451803	0.106352535196939	3.57484595868068	10.2679144945871	TPD52;ABCA1;CD63	25	MSigDB_Hallmark_2020
Adipogenesis	4/200	0.108467101991887	0.196075145908411	2.26253891387063	5.02579660290823	ABCA1;MGST3;MGLL;ARL4A	26	MSigDB_Hallmark_2020
Androgen Response	2/100	0.229089640529241	0.397830841686266	2.24843233382739	3.31338411592039	ZBTB10;TPD52	27	MSigDB_Hallmark_2020
PI3K/AKT/mTOR  Signaling	2/105	0.245802854206634	0.397830841686266	2.13874274556598	3.00113829437956	PLCB1;CXCR4	28	MSigDB_Hallmark_2020
Myc Targets V1	3/200	0.271551764484016	0.397830841686266	1.67872012775908	2.18838374980515	MYC;EEF1B2;HSP90AB1	29	MSigDB_Hallmark_2020
Glycolysis	3/200	0.271551764484016	0.397830841686266	1.67872012775908	2.18838374980515	CITED2;CXCR4;NT5E	29	MSigDB_Hallmark_2020
heme Metabolism	3/200	0.271551764484016	0.397830841686266	1.67872012775908	2.18838374980515	MGST3;BTG2;YPEL5	29	MSigDB_Hallmark_2020
KRAS Signaling Dn	3/200	0.271551764484016	0.397830841686266	1.67872012775908	2.18838374980515	BTG2;CD40LG;NR4A2	29	MSigDB_Hallmark_2020
Angiogenesis	1/36	0.279328037779718	0.397830841686266	3.14031746031746	4.00506173392103	TIMP1	33	MSigDB_Hallmark_2020
Pancreas Beta Cells	1/40	0.30511203346757	0.421772516852229	2.81766381766382	3.34478178991455	DPP4	34	MSigDB_Hallmark_2020
Myc Targets V2	1/58	0.410243695561802	0.550898676897276	1.92612085769981	1.7161812277439	MYC	35	MSigDB_Hallmark_2020
Cholesterol Homeostasis	1/74	0.490326629933818	0.640148655746929	1.5027397260274	1.07097783495829	CD9	36	MSigDB_Hallmark_2020
Interferon Alpha Response	1/97	0.586864386266799	0.745476382555123	1.14137731481481	0.6083101821502	TXNIP	37	MSigDB_Hallmark_2020
Pperoxisome	1/104	0.612461094713202	0.755603269439282	1.06343042071197	0.521367880734562	DHRS3	38	MSigDB_Hallmark_2020
Bile Acid Metabolism	1/112	0.639788338417754	0.755603269439282	0.986386386386386	0.440537795319478	ABCA1	39	MSigDB_Hallmark_2020
Unfolded Protein Response	1/113	0.643066612288751	0.755603269439282	0.977529761904762	0.431586197413603	RPS14	40	MSigDB_Hallmark_2020
Spermatogenesis	1/135	0.708134132269999	0.811763517480243	0.816127694859038	0.281663418986099	ARL4A	41	MSigDB_Hallmark_2020
DNA Repair	1/150	0.745590106919323	0.834350833933528	0.733407904548844	0.215313367728833	NME4	42	MSigDB_Hallmark_2020
Fatty Acid Metabolism	1/158	0.763570039060312	0.83459981013569	0.695753715498938	0.187679859986816	MGLL	43	MSigDB_Hallmark_2020
G2-M Checkpoint	1/200	0.839166909046723	0.839166909046723	0.547738693467337	0.0960435995494691	MYC	44	MSigDB_Hallmark_2020
E2F Targets	1/200	0.839166909046723	0.839166909046723	0.547738693467337	0.0960435995494691	MYC	44	MSigDB_Hallmark_2020
Xenobiotic Metabolism	1/200	0.839166909046723	0.839166909046723	0.547738693467337	0.0960435995494691	SERTAD1	44	MSigDB_Hallmark_2020
Oxidative Phosphorylation	1/200	0.839166909046723	0.839166909046723	0.547738693467337	0.0960435995494691	MGST3	44	MSigDB_Hallmark_2020
