p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_ref_annotations
0	1.63791556897519	0.806	0.564	0	CD27	gdT
8.75137699239754e-263	1.74479515071725	0.565	0.266	2.93503681571029e-258	TIGIT	gdT
1.20179900912459e-179	0.579353822870362	0.968	0.888	4.03059351680203e-175	CD2	gdT
4.18833820919951e-145	0.983862021299128	0.495	0.252	1.40468486860133e-140	CD8B	gdT
8.9547880959035e-144	0.957821467307897	0.763	0.61	3.00325683160412e-139	CST7	gdT
3.74365329887928e-143	1.22722546497448	0.586	0.38	1.25554644337813e-138	NKG7	gdT
4.19097886286148e-141	0.984283426445888	0.521	0.296	1.40557049102648e-136	CD8A	gdT
3.04813697113046e-137	1.39110300572478	0.521	0.309	1.02228417737773e-132	LAG3	gdT
3.12000214306078e-132	1.16537645176601	0.394	0.185	1.04638631873973e-127	GZMB	gdT
1.26548446782427e-130	0.838634989600347	0.55	0.334	4.24418180818903e-126	GZMA	gdT
7.53215118860607e-122	1.04706507574111	0.573	0.372	2.5261328656347e-117	PRF1	gdT
1.19777258596717e-119	1.00269083817989	0.707	0.57	4.01708969881671e-115	CCL5	gdT
2.99507585485619e-112	0.52412471454947	0.987	0.982	1.00448854020167e-107	PTPRCAP	gdT
4.47418867624269e-112	0.753333161546559	0.626	0.43	1.50055339823827e-107	CYTOR	gdT
6.35689198454761e-110	1.24507956791377	0.303	0.128	2.13197443377758e-105	GZMH	gdT
2.89556057723451e-109	0.781006719833437	0.483	0.277	9.7111310639291e-105	MIR4435-2HG	gdT
3.54175323462325e-109	0.577860416806202	0.929	0.875	1.18783319982795e-104	CD74	gdT
9.17450249439333e-107	0.909671203426774	0.467	0.263	3.07694464656964e-102	CCL4	gdT
1.37245162786016e-104	0.767676320418514	0.436	0.236	4.60292826951742e-100	HLA-DRB1	gdT
4.23536197248125e-103	0.391067321123309	0.999	0.999	1.42045569833076e-98	HLA-A	gdT
1.59471240519038e-99	0.95093249133297	0.523	0.341	5.34834646452751e-95	CXCR6	gdT
1.87076051310504e-90	0.943923911406725	0.402	0.227	6.2741566088517e-86	HLA-DPB1	gdT
9.47974408737243e-89	0.871973122723418	0.42	0.241	3.17931657202297e-84	DUSP4	gdT
1.11795363154594e-88	0.500919512704724	0.919	0.856	3.74939288947878e-84	HCST	gdT
6.84586559195792e-85	1.17789036460004	0.296	0.142	2.29596640223085e-80	GZMK	gdT
4.19134681819589e-82	1.53978497859204	0.256	0.118	1.40569389588654e-77	HAVCR2	gdT
1.16468528064735e-81	1.02210421837157	0.39	0.226	3.9061214942351e-77	PTMS	gdT
7.78307247537041e-80	0.95569936463802	0.333	0.174	2.61028684678973e-75	LINC02446	gdT
7.06232568197466e-77	0.718291436498125	0.524	0.357	2.36856278722066e-72	GBP5	gdT
2.11686546179662e-76	0.812993554110226	0.293	0.143	7.0995433857735e-72	HLA-DRA	gdT
1.28689518556707e-75	0.541051005058856	0.743	0.613	4.31598907335484e-71	CTSC	gdT
1.87920269777663e-73	0.707078779156638	0.405	0.245	6.30247000780325e-69	CD38	gdT
3.59320454261388e-72	0.667521006834465	0.523	0.368	1.20508893950184e-67	APOBEC3G	gdT
1.17702943481259e-71	0.283656408740823	1	0.999	3.94752131847446e-67	HLA-B	gdT
3.30643323097654e-71	0.344268123363783	0.908	0.866	1.10891157700491e-66	COTL1	gdT
3.1847496978048e-70	0.622367624462848	0.491	0.327	1.06810135364977e-65	CTLA4	gdT
4.48757680908275e-70	0.713418594528528	0.413	0.259	1.50504351023017e-65	HLA-DPA1	gdT
3.28079908897687e-69	0.619992785688383	0.924	0.896	1.10031439846106e-64	CD7	gdT
6.65353068999193e-69	0.944681620228174	0.33	0.188	2.23146112280949e-64	CLIC3	gdT
2.05939318534444e-67	1.01182128338287	0.411	0.263	6.90679286500818e-63	ACP5	gdT
1.0678415425158e-65	0.279227122938552	0.861	0.795	3.58132696528949e-61	PSMB9	gdT
3.00257689308534e-65	0.612767424030732	0.893	0.864	1.00700423840296e-60	RARRES3	gdT
6.66014705647381e-64	0.191254746191847	1	1	2.23368011980018e-59	B2M	gdT
1.18309082042111e-63	1.14067569459004	0.198	0.085	3.96784999352832e-59	CCL3	gdT
2.44865369464295e-63	0.516768303105147	0.754	0.632	8.21229476109352e-59	RGS1	gdT
1.9175484097944e-62	0.331964554878717	0.931	0.892	6.43107385676846e-58	CLIC1	gdT
1.5537187935322e-60	0.845652336431729	0.347	0.209	5.21086208974829e-56	FASLG	gdT
7.90363425282889e-60	0.561449397161444	0.624	0.487	2.65072085571375e-55	IL2RB	gdT
2.47262269439779e-59	0.291926168438299	0.987	0.983	8.29268199247132e-55	RAC2	gdT
5.75316201837808e-59	0.389814699111859	0.983	0.971	1.92949547772364e-54	CD3D	gdT
5.9902156793616e-59	0.588798343718324	0.572	0.439	2.00899853454429e-54	GBP2	gdT
2.55100433238301e-58	0.355751333916235	0.925	0.889	8.55555832994615e-54	LSP1	gdT
7.80658838860467e-58	0.586193170957943	0.337	0.196	2.61817361377023e-53	IFNG	gdT
1.13371829186596e-57	0.23908477331885	0.993	0.99	3.80226440726005e-53	GAPDH	gdT
1.88365098902487e-56	0.291010509902294	0.978	0.966	6.31738868699161e-52	IL32	gdT
2.49680618922137e-56	0.939738822572759	0.303	0.176	8.37378859741062e-52	LYST	gdT
8.5638895307297e-56	0.264509432962301	0.988	0.98	2.87215727081613e-51	SH3BGRL3	gdT
1.86406636507392e-55	1.20757659008994	0.213	0.104	6.25170577518493e-51	ENTPD1	gdT
6.84576393743085e-55	0.434647129146673	0.764	0.662	2.29593230933556e-50	FYN	gdT
3.32114524081479e-54	0.672996337972113	0.585	0.465	1.11384569086446e-49	TNFRSF1B	gdT
4.75571277557085e-53	0.414655689798898	0.776	0.692	1.59497095067095e-48	PPP1R18	gdT
4.80749658771072e-52	0.49755883005583	0.786	0.727	1.61233820558642e-47	DUSP2	gdT
5.78976976812647e-51	0.728517858934286	0.235	0.124	1.94177298483426e-46	GNLY	gdT
8.72843363980928e-51	0.108423720595618	0.999	0.998	2.92734207411924e-46	PFN1	gdT
2.99693503912981e-50	0.639879164277648	0.328	0.198	1.00511207342336e-45	KLRD1	gdT
2.09252948840233e-49	0.666614995335691	0.442	0.316	7.01792539820375e-45	SLA2	gdT
2.53609739587323e-49	0.455758333121899	0.765	0.684	8.50556344627965e-45	ISG20	gdT
5.87995240356565e-49	0.323236434413229	0.413	0.278	1.97201843710785e-44	C12orf75	gdT
2.11658539338652e-48	0.570134943491493	0.524	0.397	7.09860409233972e-44	IKZF3	gdT
2.89303515222251e-48	0.386518215775016	0.894	0.855	9.70266129352385e-44	LIMD2	gdT
1.0946455564202e-47	0.48454917882517	0.613	0.499	3.67122226712205e-43	CASP4	gdT
1.86968970209723e-47	0.26544056827784	0.54	0.408	6.27056532289368e-43	MT2A	gdT
3.80978796142397e-47	0.646241893774189	0.579	0.478	1.27772668650237e-42	CBLB	gdT
8.16460402532319e-47	0.36646354988685	0.668	0.562	2.73824489801289e-42	TAP1	gdT
1.0561068276768e-46	0.386435703413384	0.8	0.729	3.54197107866246e-42	FKBP1A	gdT
1.85051172505265e-46	0.473742525351419	0.718	0.638	6.20624622348159e-42	UCP2	gdT
1.14885819190134e-45	0.865483617476867	0.238	0.133	3.85304060399873e-41	HLA-DMA	gdT
1.26744172305475e-45	0.741049424948585	0.355	0.237	4.25074605078103e-41	AOAH	gdT
1.385208898474e-45	0.253187879176295	0.94	0.91	4.64571360370209e-41	LCK	gdT
7.39096163526639e-45	0.483020354931097	0.594	0.478	2.47878071323564e-40	ABI3	gdT
