Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Oxidative Phosphorylation	79/200	1.28895625704279e-29	6.44478128521395e-28	0	0	6.33104732309094	421.148453094734	GPI;COX7B;ACADVL;ACAA2;ETFA;ETFB;TCIRG1;MRPL34;COX6A1;TOMM22;MPC1;UQCRFS1;ACADM;COX8A;CPT1A;ATP6V0E1;ECH1;SDHC;SDHD;SDHA;ATP1B1;SDHB;COX6B1;SUPV3L1;AFG3L2;COX7A2L;NDUFS8;NDUFS7;NDUFS6;FDX1;UQCRC1;SUCLG1;VDAC1;SLC25A5;SLC25A4;NDUFB8;ECHS1;NDUFB7;NDUFB6;MGST3;NDUFB4;COX17;NDUFB3;NDUFB2;DLST;UQCR11;COX7A2;TIMM10;PDHB;COX5B;COX5A;HSD17B10;MRPL11;ACAT1;LDHA;CYB5R3;RHOT1;CYC1;SLC25A20;NDUFV1;ATP6V1F;HSPA9;NDUFA9;TIMM8B;SURF1;PDHA1;NDUFA6;MDH1;MDH2;NDUFA4;IDH3G;NDUFA3;IDH2;NDUFA1;COX6C;GLUD1;UQCRQ;NDUFAB1;BAX
Myc Targets V1	65/200	2.7564552334008e-19	6.89113808350199e-18	0	0	4.6302253996624	197.873475373024	YWHAE;UBE2L3;PSMD8;PSMD7;YWHAQ;C1QBP;PSMD3;PSMD1;SNRPD3;ACP1;DDX18;CCT2;EIF1AX;VBP1;TUFM;PSMA6;PSMA4;PSMA1;PSMA2;CANX;SNRPG;NHP2;VDAC1;ERH;PPIA;PRPS2;HDAC2;PSMD14;GLO1;PHB;COX5A;PSMA7;LDHA;PSMB2;PSMB3;PCBP1;PGK1;EIF4H;SNRPB2;CYC1;BUB3;CCT7;EIF4E;CCT5;RANBP1;XRCC6;DUT;HNRNPA3;SSB;CBX3;PA2G4;EIF2S2;EIF2S1;LSM2;LSM7;COPS5;PSMC4;CDK4;APEX1;SERBP1;NDUFAB1;UBA2;SSBP1;EIF4G2;RAN
mTORC1 Signaling	57/200	2.97231183950186e-14	4.95385306583643e-13	0	0	3.81512401106635	118.829100091137	GPI;TES;PITPNB;ITGB2;SLC2A1;ENO1;IFI30;PNP;CTSC;PGM1;ACTR3;ACTR2;G6PD;TPI1;UCHL5;SYTL2;SLC7A5;ACLY;PSMA3;PSMA4;PPA1;CANX;TRIB3;PPIA;GAPDH;FKBP2;PSMD14;PSMD13;RPN1;SLC1A5;CORO1A;HSP90B1;GGA2;SLC9A3R1;STIP1;LDHA;EBP;PGK1;SSR1;HSPA9;XBP1;SDF2L1;GSR;CYP51A1;RPA1;M6PR;EIF2S2;CCT6A;SQLE;COPS5;PSMC4;PSMC2;BHLHE40;TCEA1;CD9;PSMG1;CALR
Allograft Rejection	55/200	4.22958097153542e-13	5.28697621441928e-12	0	0	3.62620689655172	103.316085693858	CSF1;GPR65;NCF4;ITGB2;PRF1;CD3G;FASLG;CD3E;CD3D;MRPL3;CCND3;CCND2;IL18RAP;SIT1;TIMP1;CCR5;CCR2;NCK1;MAP4K1;TPD52;EIF5A;CD96;TAP1;HLA-A;TAPBP;CD8B;IFNG;CD8A;LCK;HCLS1;LCP2;GCNT1;WAS;CAPG;IL2RG;PSMB10;CXCR3;CCL5;CCL4;ST8SIA4;STAT4;NLRP3;CSK;APBB1;CCR1;TGFB1;GZMB;IL2;CD2;CD7;IL2RB;UBE2N;KLRD1;DEGS1;PTPN6
Interferon Gamma Response	51/200	6.32525006700688e-11	6.32525006700688e-10	0	0	3.26452025388344	76.6636229651193	SAMD9L;IFITM2;EIF4E3;SPPL2A;UBE2L6;IFI35;IFI30;OASL;PNP;PIM1;ITGB7;RSAD2;DDX58;TAP1;HLA-A;TAPBP;VAMP8;PLSCR1;PSMA3;BANK1;PSMA2;IRF2;PSME1;PSME2;CMPK2;XCL1;LCP2;LAP3;RBCK1;LY6E;MVP;SRI;PSMB10;KLRK1;PSMB2;CCL5;ST8SIA4;STAT4;ISOC1;SLAMF7;AUTS2;MX1;LYSMD2;EIF2AK2;PSMB9;BST2;IL2RB;PTPN6;CD69;MYD88;PFKP
PI3K/AKT/mTOR  Signaling	30/105	3.35439939627624e-08	2.7953328302302e-07	0	0	3.78842105263158	65.2002720183162	ARF1;CLTC;SLC2A1;FASLG;IL2RG;HSP90B1;ARHGDIA;MKNK1;RPS6KA1;CFL1;PLCG1;RAC1;EIF4E;AP2M1;NCK1;ACTR3;ACTR2;TNFRSF1A;PPP1CA;CDK4;ARPC3;LCK;CAMK4;UBE2N;PIN1;TRIB3;GRB2;CALR;PFN1;MYD88
Adipogenesis	44/200	1.45846583827194e-07	1.04176131305138e-06	0	0	2.67903852951573	42.1699700813443	SLC25A1;COX7B;MTCH2;ECHS1;ACAA2;CD151;NDUFB7;MGST3;UQCR11;GHITM;SLC1A5;ETFB;COX6A1;LTC4S;TOB1;SAMM50;SCP2;G3BP2;STOM;ACADM;CYC1;PGM1;COX8A;MDH2;IDH3G;ECH1;TALDO1;RMDN3;CHCHD10;SDHC;SDHB;ACLY;DHRS7;REEP5;UQCRQ;NDUFAB1;CAT;UQCRC1;PDCD4;SUCLG1;ESYT1;TKT;CRAT;MGLL
Fatty Acid Metabolism	36/158	7.95001380555248e-07	4.9687586284703e-06	0	0	2.79626776533315	39.2733626153607	ACADVL;ACAA2;ECHS1;ECI2;RAP1GDS1;DLST;UBE2L6;PDHB;ENO2;LTC4S;HSD17B10;LDHA;LGALS1;ACADM;GLUL;S100A10;YWHAH;CPT1A;GABARAPL1;ADSL;PDHA1;MDH1;MDH2;IDH3G;ECH1;SDHC;SDHD;MIF;SDHA;PRDX6;OSTC;APEX1;PSME1;SUCLG1;CRAT;MGLL
IL-2/STAT5 Signaling	40/199	5.76790057458118e-06	3.20438920810066e-05	0	0	2.38408039665901	28.7596443521531	RNH1;ABCB1;AHNAK;CSF1;PTGER2;GPR65;RGS16;CAPG;AHR;SLC1A5;ITGAE;CCND3;PNP;CCND2;GLIPR2;PIM1;PHLDA1;PRNP;GABARAPL1;XBP1;CISH;ANXA4;SPRY4;FLT3LG;EMP1;RHOH;DHRS3;HOPX;ADAM19;MYO1E;PLSCR1;KLF6;MYO1C;BHLHE40;IL2RB;BCL2;CD48;CD44;BCL2L1;PLEC
Complement	40/200	6.54882245164636e-06	3.27441122582318e-05	0	0	2.36904761904762	28.2774861341417	WAS;GNAI3;CBLB;GATA3;CLU;PIK3CG;GNAI2;DOCK10;LGALS3;PPP4C;GNGT2;GNG2;CSRP1;CCL5;PIM1;STX4;TIMP1;PRSS3;CTSD;CTSC;USP8;APOBEC3F;APOBEC3G;ANXA5;GZMB;DUSP6;PSMB9;PLSCR1;RABIF;LCK;GNB2;FDX1;IRF2;CALM3;GRB2;LCP2;LAP3;PFN1;CALM1;CD46
DNA Repair	31/150	3.55715491533618e-05	0.000161688859788008	0	0	2.46251233510782	25.2258887463968	GTF2A2;TSG101;ELL;USP11;COX17;AK3;SNAPC5;NT5C;POLD4;PNP;GUK1;POLR2E;TMED2;POLR2G;STX3;POLR2J;POLR2K;BCAP31;SURF1;DUT;RPA2;GTF2H5;RBX1;DDB1;POLE4;DAD1;CMPK2;HCLS1;VPS28;ITPA;ADA
Protein Secretion	22/96	9.58902949846637e-05	0.000399542895769432	0	0	2.80406821916256	25.9440965931346	RAB2A;TPD52;CD63;ARF1;TMED10;TSG101;COPB1;CLTC;M6PR;CLTA;ATP1A1;ARCN1;RER1;RAB14;TMX1;PPT1;GNAS;TMED2;RAB5A;AP2M1;CTSC;COPE
Interferon Alpha Response	22/97	0.000112869462514848	0.000434113317364799	0	0	2.76652690426275	25.1457338038174	IFITM1;SAMD9L;IFITM2;CSF1;RSAD2;MX1;TAP1;EIF2AK2;UBE2L6;IFI35;IFI30;OASL;PSMB9;BST2;PLSCR1;PSMA3;IRF2;PSME1;CMPK2;PSME2;LAP3;LY6E
Cholesterol Homeostasis	18/74	0.000181743611779609	0.000649084327784319	0	0	3.02835475194262	26.0829578000471	ABCA2;ECH1;ANXA5;CYP51A1;ANTXR2;CLU;ACTG1;LGALS3;SQLE;PLSCR1;EBP;ETHE1;CD9;CTNNB1;FBXO6;TRIB3;S100A11;FDFT1
Mitotic Spindle	35/199	0.000348874513896056	0.00116291504632019	0	0	2.01657120792844	16.0535165621454	YWHAE;ROCK1;TUBGCP2;NEDD9;KLC1;CDC42;PREX1;ABR;CAPZB;KIF5B;ARHGDIA;ABL1;KIFAP3;PDLIM5;NCK1;DYNC1H1;SUN2;ARHGEF12;TBCD;MYO9B;ACTN4;RHOF;SMC1A;MYO1E;BIN1;RASA2;CDC42EP1;MYH9;EZR;MAPRE1;ARHGEF7;RAPGEF5;SOS1;RAB3GAP1;ARF6
Unfolded Protein Response	23/113	0.000434156893919705	0.00135397738170691	0	0	2.40948552117928	18.6544888949034	HSPA9;XBP1;DCTN1;LSM1;WIPI1;SDAD1;PDIA6;EIF2S1;LSM4;YWHAZ;YIF1A;HSP90B1;DNAJC3;SLC7A5;SPCS3;EXOSC10;SPCS1;KIF5B;NHP2;SSR1;BANF1;CALR;EIF4E
TGF-beta Signaling	14/54	0.000460352309780348	0.00135397738170691	0	0	3.29358037578288	25.3062856523889	TGFB1;SMURF2;HDAC1;TGFBR1;RHOA;PPP1CA;NCOR2;SKI;FKBP1A;FNTA;ID2;CTNNB1;SKIL;ENG
Apoptosis	29/161	0.000725581966612488	0.00201550546281247	0	0	2.07307955940255	14.985331288546	ROCK1;PRF1;NEDD9;FASLG;ENO2;CLU;ADD1;LGALS3;EBP;CCND2;TSPO;IGFBP6;TIMP1;BCAP31;DFFA;ANXA1;GSR;TAP1;EMP1;DNAJC3;CD2;PPT1;RARA;PDCD4;BAX;CTNNB1;CD69;CD44;BCL2L1
Reactive Oxygen Species Pathway	12/49	0.00196383163081982	0.00516797797584163	0	0	3.04929120987515	19.0057985032017	PRNP;G6PD;NDUFA6;NDUFB4;CAT;GSR;LSP1;TXN;PRDX6;HMOX2;PFKP;LAMTOR5
Glycolysis	32/200	0.003005165451756	0.00751291362939	0	0	1.79657785137237	10.4334869131776	TSTA3;CITED2;TGFA;AK3;ENO1;TXN;ENO2;CLN6;LDHA;CHST12;PGK1;PGM2;ME2;SLC16A3;G6PD;TPI1;MDH1;MDH2;CHPF2;PGAM1;TALDO1;SDHC;MIF;EXT2;GALE;PKM;PSMC4;RBCK1;PPIA;CD44;PFKP;GALK1
Pperoxisome	19/104	0.00474728460201718	0.0113030585762314	0	0	2.10370301966941	11.2551950539583	SLC35B2;GSTK1;ABCB1;MVP;ECI2;ECH1;PEX11B;IDH2;CLN6;DHRS3;PRDX5;SCP2;CAT;ISOC1;TSPO;ITGB1BP1;SLC25A4;CRAT;YWHAH
Androgen Response	18/100	0.0068942832084216	0.0156688254736854	0	0	2.06515971017451	10.2784294277132	TPD52;SRP19;XRCC6;UBE2I;XRCC5;TMEM50A;NCOA4;GSR;GNAI3;DBI;PA2G4;MYL12A;SPCS3;CCND3;VAPA;PTK2B;GPD1L;PDLIM5
Hypoxia	30/200	0.00998931987640606	0.0217159127747958	0	0	1.6625386996904	7.65805021360827	SLC25A1;GPI;TES;CITED2;SLC2A1;ENO1;ENO2;RBPJ;HK1;LDHA;PRDX5;STBD1;PIM1;PGK1;IDS;PGM2;PGM1;TPD52;TPI1;ANXA2;MIF;TPST2;KLF6;BHLHE40;BCL2;MYH9;S100A4;GAPDH;PFKP;GALK1
Estrogen Response Late	27/200	0.0464672221942265	0.0860504114707899	0	0	1.46777373116375	4.50460949045155	TSTA3;CLIC3;SNX10;ETFB;TOB1;SLC9A3R1;FAM102A;PERP;FDFT1;XBP1;CISH;DYNLT3;IDH2;ATP2B4;COX6C;NCOR2;SLC7A5;GALE;ID2;BCL2;PDCD4;BLVRB;CD9;PTPN6;NBL1;CD44;TJP3
Apical Junction	27/200	0.0464672221942265	0.0860504114707899	0	0	1.46777373116375	4.50460949045155	ACTB;MYL12B;GNAI2;ACTG1;CNN2;TSPAN4;RAC2;CTNNA1;STX4;RSU1;PLCG1;CD99;YWHAH;VASP;CAP1;MSN;ACTN4;RHOF;SORBS3;ARPC2;CLDN7;ZYX;PECAM1;MYH9;EVL;PFN1;CRAT
Inflammatory Response	27/200	0.0464672221942265	0.0860504114707899	0	0	1.46777373116375	4.50460949045155	PTGER4;IFITM1;CSF1;CD82;PTGER2;RGS16;GNAI3;CXCR6;AHR;SRI;IL18RAP;CCL5;NLRP3;TIMP1;SLAMF1;EIF2AK2;EMP3;TAPBP;BST2;KLF6;LCK;GPR183;IL2RB;CD48;LCP2;CD69;LY6E
p53 Pathway	27/200	0.0464672221942265	0.0860504114707899	0	0	1.46777373116375	4.50460949045155	CYFIP2;CD82;RGS16;TGFA;RPS27L;IFI30;TOB1;PITPNC1;CCND3;RXRA;CCND2;PERP;KIF13B;STOM;EPS8L2;CTSD;S100A10;JAG2;TGFB1;TAP1;DEF6;VAMP8;MAPKAPK3;BAX;TRIB3;S100A4;ADA
IL-6/JAK/STAT3 Signaling	13/87	0.073778529412629	0.131747373951123	0	0	1.64917029705762	4.29887163016443	CCR1;TGFB1;CSF1;IL10RB;IL2RG;CBL;TNFRSF1A;PIM1;CD9;GRB2;IL9R;CD44;MYD88
Myc Targets V2	9/58	0.102815663228507	0.175491974120639	0	0	1.72305028205973	3.91962505826183	SUPV3L1;DDX18;CBX3;CDK4;NDUFAF4;MPHOSPH10;PHB;PA2G4;DCTPP1
Wnt-beta Catenin Signaling	7/42	0.105295184472383	0.175491974120639	0	0	1.87571502860114	4.22221125624861	JAG2;NCOR2;HDAC2;CCND2;CTNNB1;RBPJ;WNT1
E2F Targets	24/200	0.155837200315766	0.251350323089944	0	0	1.28021558714109	2.37984832188613	BARD1;RANBP1;XRCC6;DUT;PRKDC;SHMT1;TUBB;RPA1;HMGA1;RPA2;PA2G4;SMC1A;EIF2S1;POLE4;PTTG1;CDK4;RAD21;MCM3;NAA38;RBBP7;DCTPP1;ASF1A;RAN;SNRPB
Estrogen Response Early	23/200	0.216680651919645	0.338563518624445	0	0	1.21923392556119	1.86461182349036	XBP1;CLIC3;MREG;CISH;DYNLT3;ENDOD1;SLC2A1;TOB1;DHRS3;NCOR2;SLC7A5;SLC9A3R1;SYNGR1;FAM102A;CLDN7;BHLHE40;RARA;BCL2;BLVRB;NBL1;CD44;TJP3;FDFT1
UV Response Up	18/158	0.263716269958297	0.37744612046182	0	0	1.20569336521219	1.6070463676411	ABCB1;RPN1;CLTB;TAP1;RAB27A;ARRB2;ENO2;CYB5R1;STIP1;CCND3;PSMC3;HYAL2;BSG;PPT1;TMBIM6;MGAT1;SLC25A4;ATP6V1F
Hedgehog Signaling	5/36	0.264212284323274	0.37744612046182	0	0	1.51143695014663	2.01172619550622	TLE3;CRMP1;MYH9;L1CAM;ETS2
Angiogenesis	5/36	0.264212284323274	0.37744612046182	0	0	1.51143695014663	2.01172619550622	JAG2;LRPAP1;CCND2;S100A4;TIMP1
G2-M Checkpoint	22/200	0.290407672469927	0.392442800635037	0	0	1.15899936400254	1.43306745222671	BARD1;TLE3;DR1;TGFB1;HMGA1;RPA2;PRPF4B;SMC1A;ORC5;SQLE;SLC7A5;PTTG1;EWSR1;CDK4;RAD21;KIF5B;CHMP1A;ABL1;MCM3;BUB3;E2F4;MNAT1
heme Metabolism	22/200	0.290407672469927	0.392442800635037	0	0	1.15899936400254	1.43306745222671	CAST;DMTN;ARHGEF12;MGST3;SLC10A3;NCOA4;ENDOD1;SLC2A1;RAD23A;ADIPOR1;ADD1;NUDT4;HEBP1;CCND3;TSPO2;ARL2BP;BSG;CAT;TCEA1;BLVRB;FBXO7;TMEM9B
Coagulation	15/138	0.353490005940334	0.465118428868861	0	0	1.14290263007069	1.18850452019517	ANXA1;WDR1;USP11;HTRA1;CRIP2;CLU;DUSP6;RABIF;CSRP1;GNB2;CAPN2;PECAM1;CD9;TIMP1;RAC1
Bile Acid Metabolism	12/112	0.396426902692729	0.508239618836832	0	0	1.12429614181439	1.04027030833406	SLC35B2;GSTK1;ABCA2;PRDX5;RXRA;SCP2;SOAT2;LCK;IDH2;CAT;ISOC1;PAOX
UV Response Dn	15/144	0.417793682458303	0.513979627562642	0	0	1.08938004736171	0.950775555984256	ANXA2;CITED2;ANXA4;GCNT1;ATP2B4;PIK3CD;SRI;TGFBR2;ARHGEF9;RXRA;BHLHE40;RASA2;AGGF1;PDLIM5;MGLL
Apical Surface	5/44	0.421463294601367	0.513979627562642	0	0	1.2008658008658	1.037575177259	SCUBE1;IL2RB;AKAP7;GATA3;IL2RG
Xenobiotic Metabolism	20/200	0.468145986037148	0.557316650044224	0	0	1.04072134962187	0.789881585957089	CYFIP2;GSTM4;GABARAPL1;ECH1;GSR;SLC1A5;COMT;ADH5;ETS2;PSMB10;CNDP2;TNFRSF1A;DHRS7;DDAH2;ID2;CAT;BLVRB;TMBIM6;PDLIM5;ACP1
KRAS Signaling Up	19/200	0.56415205280326	0.655990759073558	0	0	0.982653494887118	0.562501781286946	MAP4K1;ABCB1;MMD;RGS16;ITGB2;LAPTM5;EMP1;IL2RG;CBL;DUSP6;WDR33;CCND2;ID2;HKDC1;PECAM1;ADAM8;LCP1;TRIB2;ENG
Notch Signaling	3/32	0.608446228132128	0.691416168331964	0	0	0.968505627829573	0.481198862270828	APH1A;PSENEN;RBX1
