Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Ribosome	20/158	1.8691040565623e-12	4.20548412726517e-10	0	0	9.10154247635025	245.792268858084	RPL3;RPL21;RPS7;RPL36A;RPL23A;RPL6;MRPL10;RPS15;RPS26;RPS4X;RPS14;RPL7A;RPS19;RPL14;RPS3;RNR2;RPL26;RPS27A;RNR1;RPS23
Natural killer cell mediated cytotoxicity	16/131	5.4751541721156e-10	6.15954844363005e-08	0	0	8.63668737060041	184.182803569227	PRKCB;ITGB2;ICAM2;PRF1;HLA-C;GZMB;HLA-A;ITGAL;ZAP70;FCGR3A;TYROBP;KLRK1;MAPK1;KLRD1;CD247;HCST
Coronavirus disease	19/232	1.19955252267962e-08	8.99664392009714e-07	0	0	5.56253761887565	101.453633729831	RPL3;RPL21;RPS7;PRKCB;RPL36A;RPL23A;RPL6;RPS15;RPS26;RPS4X;RPS14;RPL7A;RPS19;RPL14;RPS3;MAPK1;RPL26;RPS27A;RPS23
Cell adhesion molecules	14/148	1.7592286414147e-07	9.89566110795769e-06	0	0	6.43839163802439	100.137722943778	ITGB1;ITGAM;SELPLG;ITGA4;ITGB2;ICAM2;HLA-C;HLA-A;ITGAL;SPN;PTPRC;SELL;ITGB7;CD99
Leukocyte transendothelial migration	12/114	4.22391783571323e-07	1.90076302607095e-05	0	0	7.21630094043887	105.91604873072	RAP1B;ITGB1;ITGAM;ITGA4;PRKCB;PXN;ITGB2;CYBA;ITGAL;VCL;MYL12A;CD99
Diabetic cardiomyopathy	15/203	1.55944675858316e-06	5.84792534468683e-05	0	0	4.91878198222462	65.7699165181245	PRKCB;ATP8;GFPT2;ATP6;ND4L;CYBA;COX3;COX2;COX1;ND1;CYTB;ND3;ND2;ND5;ND4
Oxidative phosphorylation	12/133	2.21659729890132e-06	7.12477703218283e-05	0	0	6.07725588745822	79.1230596244375	ATP8;ATP6;COX3;COX2;ND1;COX1;ND4L;CYTB;ND3;ND2;ND5;ND4
Focal adhesion	14/201	6.90624243937293e-06	0.000194238068607364	0	0	4.60108976197304	54.6751400623884	ITGB1;ITGA4;PRKCB;PXN;MYL12A;RAP1B;CCND3;PDGFD;COL6A2;ERBB2;FLNA;MAPK1;ITGB7;VCL
Leishmaniasis	8/77	4.03422913799361e-05	0.0010085572844984	0	0	7.03549154215462	71.1858789131596	ITGB1;FCGR3A;ITGAM;ITGA4;PRKCB;ITGB2;MAPK1;CYBA
Prion disease	15/273	5.39138216041531e-05	0.00121306098609345	0	0	3.57134972034148	35.0996667646858	ATP8;ATP6;ND4L;CYBA;CCL5;COX3;COX2;MAPK1;COX1;ND1;CYTB;ND3;ND2;ND5;ND4
Parkinson disease	14/249	7.45168847571227e-05	0.00152420900639569	0	0	3.65227196456138	34.712963435542	ATP8;ATP6;ND4L;COX3;COX2;COX1;ND1;CYTB;CALM1;RPS27A;ND3;ND2;ND5;ND4
Chemokine signaling pathway	12/192	8.94957666013631e-05	0.00167804562377556	0	0	4.07293625914316	37.9651390926147	RAP1B;FGR;CX3CR1;GNG2;PRKCB;CCL5;PXN;CCL4;CXCR2;MAPK1;ARRB2;RASGRP2
Human cytomegalovirus infection	13/225	0.000102050804932112	0.00176626393151732	0	0	3.75194315889403	34.4805068867174	PRKCB;PTGER2;PXN;HLA-C;HLA-A;CASP8;GNG2;CCL5;CXCR2;CCL4;MAPK1;CALM1;B2M
