Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
TNF-alpha Signaling via NF-kB	22/200	1.0713522136359e-11	4.92822018272515e-10	0	0	7.20332368969925	181.952458620965	PPP1R15A;JUN;BTG2;TNFAIP8;BTG1;DUSP1;IFNGR2;ZBTB10;SLC2A3;FOS;AREG;PNRC1;EIF1;NR4A2;SOCS3;GPR183;CD69;SGK1;IL6ST;IL7R;JUNB;CD44
p53 Pathway	16/200	6.32381006008073e-07	1.45447631381857e-05	0	0	4.9769820971867	71.0403164968434	PPP1R15A;APP;JUN;BTG2;BTG1;DGKA;DCXR;FOS;LDHB;SOCS1;DDIT4;RPL36;TXNIP;RPL18;ISCU;RPS12
Apoptosis	12/161	3.25576844581206e-05	0.000499217828357849	0	0	4.56414858748244	47.1590522062039	APP;JUN;BTG2;CDKN1B;GPX4;LEF1;TXNIP;HSPB1;SC5D;CD69;PTK2;CD44
Myc Targets V1	13/200	6.43103632844602e-05	0.000591655342217034	0	0	3.94351506836501	38.0619783902534	RPL34;RPS5;CNBP;RPL22;RPS6;RPL6;EEF1B2;RPS3;RPL14;PABPC1;RPS2;RPL18;RPS10
Allograft Rejection	13/200	6.43103632844602e-05	0.000591655342217034	0	0	3.94351506836501	38.0619783902534	RPS9;FYB1;TRAT1;IFNGR2;IL16;RPS3A;RPL9;CD4;CD40LG;SOCS1;CD28;LTB;RPL39
Apical Surface	6/44	0.000121621212103835	0.000932429292796071	0	0	8.84481203007519	79.732435114381	APP;GSTM3;CRYBG1;HSPB1;MAL;LYPD3
IL-6/JAK/STAT3 Signaling	8/87	0.00016021076629005	0.0010528136070489	0	0	5.69329259420922	49.7537996701055	SOCS3;JUN;SOCS1;IFNGR2;STAT3;LTB;IL6ST;CD44
Hypoxia	12/200	0.000257862628983031	0.00131796454813549	0	0	3.61009401286492	29.8305084900851	PLAC8;PPP1R15A;JUN;BTG1;CDKN1B;DUSP1;DDIT4;CXCR4;SLC2A3;FOS;NR3C1;PNRC1
Inflammatory Response	12/200	0.000257862628983031	0.00131796454813549	0	0	3.61009401286492	29.8305084900851	ADGRE1;IFITM1;BTG2;SELL;SEMA4D;GPR183;IFNGR2;KCNA3;CCR7;CD48;CD69;IL7R
UV Response Up	10/158	0.000548067159910964	0.00252110893559043	0	0	3.80721762224652	28.5888262900329	PPP1R2;DNAJB1;BTG2;BTG1;PLCL1;FOS;IL6ST;AQP3;JUNB;TUBA4A
IL-2/STAT5 Signaling	11/199	0.00091278236467168	0.00381708988862702	0	0	3.29966080789393	23.09436915282	TIAM1;ARL4A;SOCS1;SELL;GPX4;CD48;SLC2A3;LTB;ICOS;CCR4;CD44
Estrogen Response Early	10/200	0.00320697605787725	0.0122934082218628	0	0	2.95923334347429	16.993180929691	TIAM1;FCMR;ASB13;FOS;IL6ST;AQP3;RETREG1;AREG;CD44;FKBP5
Androgen Response	6/100	0.00896159639313945	0.0317102641603396	0	0	3.56534954407295	16.8099346277	INPP4B;TNFAIP8;ACTN1;ZBTB10;SGK1;FKBP5
Estrogen Response Late	9/200	0.00982917737387847	0.0322958685141721	0	0	2.64159512349684	12.2105093875736	TIAM1;DCXR;LSR;FOS;SGK1;IL6ST;AREG;CD44;FKBP5
Interferon Gamma Response	8/200	0.0271813081620291	0.0833560116968892	0	0	2.32902298850575	8.396653631488	SOCS3;ARL4A;BTG1;SOCS1;MX2;STAT3;TXNIP;CD69
Unfolded Protein Response	5/113	0.0515480219882311	0.148200563216165	0	0	2.57676479898702	7.64072976308368	EIF4A2;RPS14;FUS;DDIT4;NABP1
Myogenesis	7/200	0.06727034158026	0.154721785634598	0	0	2.02142316314563	5.45589354331951	EIF4A2;APP;VIPR1;FST;FXYD1;FHL1;PDE4DIP
Apical Junction	7/200	0.06727034158026	0.154721785634598	0	0	2.02142316314563	5.45589354331951	FYB1;ACTN1;AMIGO1;ICAM2;PIK3CB;LDLRAP1;PTK2
mTORC1 Signaling	7/200	0.06727034158026	0.154721785634598	0	0	2.02142316314563	5.45589354331951	PPP1R15A;BTG2;DDIT4;CXCR4;SC5D;SLC2A3;TUBA4A
KRAS Signaling Dn	7/200	0.06727034158026	0.154721785634598	0	0	2.02142316314563	5.45589354331951	NR4A2;BTG2;CD40LG;PLAG1;SLC16A7;LYPD3;SGK1
TGF-beta Signaling	3/54	0.0713949541005704	0.15638894707744	0	0	3.26495584069322	8.61794263124588	PPP1R15A;IFNGR2;JUNB
Interferon Alpha Response	4/97	0.0949770064126338	0.198588286135507	0	0	2.38892961876833	5.62382807975819	IFITM1;SELL;LPAR6;TXNIP
UV Response Dn	5/144	0.114899282987564	0.22582454655588	0	0	1.99891368956117	4.3250482197545	INPP4B;CDKN1B;DUSP1;NR3C1;FBLN5
PI3K/AKT/mTOR  Signaling	4/105	0.117821502550894	0.22582454655588	0	0	2.19880738073807	4.70233536101902	TIAM1;CDKN1B;CAMK4;CXCR4
Angiogenesis	2/36	0.13428681922059	0.247087747365886	0	0	3.25855766035228	6.54245818125531	APP;PTK2
