p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.71855479733987	0.618	0.172	0	c6	ZNF683
0	1.30868458443242	0.742	0.32	0	c6	CD8B
0	1.16617737157064	0.811	0.393	0	c6	CD8A
0	1.18735224581558	0.827	0.512	0	c6	FOSB
0	1.89595833217311	0.434	0.133	0	c6	XCL1
0	2.02040804559983	0.361	0.083	0	c6	KLRC1
0	2.72454361326876	0.287	0.041	0	c6	FXYD2
0	2.34013845862404	0.293	0.073	0	c6	SPRY1
0	1.00010895708937	0.981	0.868	0	c6	CD69
0	0.794904574770039	0.997	0.947	0	c6	FOS
2.43800168013114e-301	0.689048071084268	0.999	0.955	7.49124776253894e-297	c6	DUSP1
1.14645258388308e-288	0.658583560823581	0.995	0.772	3.52270485449755e-284	c6	CCL5
3.70483681018366e-281	0.751765763365358	0.996	0.953	1.13838520666513e-276	c6	JUN
6.72590606378181e-264	1.18240422218473	0.471	0.189	2.06666915621824e-259	c6	ITM2C
8.64121895415349e-258	0.752687593721218	0.985	0.889	2.65518734804274e-253	c6	ZFP36
6.74656394162606e-253	1.01813350635281	0.84	0.579	2.07301670234344e-248	c6	ANXA1
2.1904085665049e-243	1.14557452437038	0.725	0.451	6.73046840229961e-239	c6	NR4A1
5.8290291226349e-236	1.35335807474486	0.352	0.126	1.79108577851203e-231	c6	LOC100996919
2.40135111641e-230	0.680630578846867	0.953	0.856	7.37863157539301e-226	c6	VIM
4.20718231047955e-225	1.24101050291845	0.457	0.198	1.29274090854105e-220	c6	KLRK1
4.22981699982773e-215	0.775567804361573	0.932	0.813	1.29969586953707e-210	c6	KLF6
3.47013662903428e-202	0.947795217918457	0.574	0.296	1.06626888200336e-197	c6	HOPX
2.04097252642074e-201	0.72059279701809	0.925	0.742	6.271296281933e-197	c6	PPP1R15A
1.1153245047311e-197	0.609381780246057	0.98	0.922	3.42705760568724e-193	c6	ZFP36L2
