Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Parkinson disease	85/249	3.67461671929749e-29	1.12810733282433e-26	0	0	5.56056645037947	364.069852381612	COX7B;NDUFA13;NDUFA11;NDUFA12;UBE2L6;PARK7;COX6A1;UBE2L3;TXN2;PSMD8;PSMD7;PSMD4;CASP3;UQCRFS1;PRKACB;COX8A;DAXX;SDHC;NDUFC1;SDHA;COX6B1;PSMA5;PSMA6;COX7A2L;PSMA3;PSMA4;NDUFS8;PSMA1;ADORA2A;NDUFS7;PSMA2;NDUFS6;NDUFS5;UQCRC1;PPIF;NDUFS3;VDAC1;SLC25A5;CAMK2D;NDUFB8;NDUFB7;NDUFB10;PSMD14;NDUFB11;PSMD13;NDUFB4;NDUFB3;GNAI3;NDUFB2;HTRA2;UQCR11;COX7A2;UQCR10;COX5B;COX5A;PSMA7;UQCRH;PSMB6;PSMB7;PSMB2;UBB;PSMB3;PSMB1;UBC;CYC1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;COX6C;UQCRHL;PSMC3;PSMC4;UQCRQ;PSMC1;NDUFAB1;GNAS;BAX;CALM3;CALM2
Prion disease	88/273	4.49018914859594e-28	6.89244034309477e-26	0	0	5.10650996028747	321.559423033992	RYR2;COX7B;NDUFA13;NDUFA11;NDUFA12;PIK3CD;COX6A1;PSMD8;PSMD7;PSMD4;CASP3;RAC2;UQCRFS1;PRKACB;COX8A;CYBA;SDHC;NDUFC1;SDHA;COX6B1;PSMA5;PSMA6;COX7A2L;PSMA3;PSMA4;NDUFS8;PSMA1;NDUFS7;PSMA2;NDUFS6;NDUFS5;CSNK2B;UQCRC1;PPIF;NDUFS3;VDAC1;SLC25A5;NDUFB8;NOTCH1;NDUFB7;NDUFB10;PSMD14;NDUFB11;PSMD13;NDUFB4;NDUFB3;NDUFB2;UQCR11;COX7A2;UQCR10;COX5B;COX5A;PSMA7;UQCRH;PSMB6;PSMB7;STIP1;PSMB2;PSMB3;CCL5;PSMB1;MAPK1;NCAM1;CYC1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;BAD;NDUFA4;NDUFA3;HSPA6;ADRM1;NDUFA2;NDUFA1;COX6C;MAPK12;UQCRHL;SOD1;MAPK11;PSMC3;PSMC4;UQCRQ;PSMC1;NDUFAB1;BAX;HSPA1B;HSPA1A
Antigen processing and presentation	42/78	3.32364186658818e-24	3.4011935101419e-22	0	0	12.2915460335843	664.493037840494	KIR2DL1;IFI30;CTSS;KIR2DL4;HLA-DMA;HLA-DMB;KLRC1;HLA-DOA;B2M;PDIA3;CD74;HSP90AA1;HLA-DRB5;HLA-DRB4;KLRC2;HSPA4;KLRC3;NFYB;KLRC4;HSPA6;TAP2;KIR2DS5;HLA-C;TAP1;KIR3DL1;HLA-A;KIR3DL2;KIR3DL3;HLA-G;TAPBP;CD8B;IFNG;CD8A;PSME1;PSME2;KLRD1;CALR;HLA-DRB3;HLA-DRB1;HSPA1B;HLA-DQB1;HSPA1A
Huntington disease	87/306	1.66236361493803e-23	1.27586407446494e-21	0	0	4.25413320736892	223.134462665744	COX7B;NDUFA13;HIP1;NDUFA11;NDUFA12;CLTB;CLTA;COX6A1;PSMD8;ACTR1A;PSMD7;PSMD4;CASP3;UQCRFS1;AP2M1;COX8A;SDHC;NDUFC1;SDHA;COX6B1;PSMA5;PSMA6;COX7A2L;PSMA3;PSMA4;NDUFS8;PSMA1;NDUFS7;PSMA2;NDUFS6;NDUFS5;UQCRC1;PPIF;NDUFS3;VDAC1;SLC25A5;HDAC2;NDUFB8;NDUFB7;NDUFB10;PSMD14;DCTN2;NDUFB11;PSMD13;NDUFB4;DCTN3;NDUFB3;NDUFB2;UQCR11;COX7A2;UQCR10;COX5B;COX5A;PSMA7;UQCRH;PSMB6;PSMB7;PSMB2;PSMB3;PSMB1;AP2S1;POLR2E;POLR2G;CYC1;POLR2I;POLR2J;POLR2K;POLR2L;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;AP2B1;COX6C;UQCRHL;SOD1;PSMC3;PSMC4;UQCRQ;PSMC1;NDUFAB1;BAX
Oxidative phosphorylation	53/133	3.03926518634089e-22	1.86610882441331e-20	0	0	7.00759761072261	347.193219493144	NDUFA13;COX7B;NDUFA11;NDUFA12;TCIRG1;COX6A1;UQCRFS1;COX8A;ATP6V0B;ATP6V0E1;ATP6AP1;SDHC;NDUFC1;SDHA;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;UQCRC1;NDUFS3;ATP6V0D1;ATP6V0C;NDUFB8;NDUFB7;NDUFB10;NDUFB11;NDUFB4;NDUFB3;NDUFB2;COX7A2;UQCR11;UQCR10;COX5B;COX5A;UQCRH;ATP6V0A2;CYC1;ATP6V0E2;ATP6V1F;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRHL;UQCRQ;NDUFAB1
Amyotrophic lateral sclerosis	94/364	5.26841711693182e-22	2.69567342483012e-20	0	0	3.73318739635158	182.908046916978	COX7B;NDUFA13;NDUFA11;NDUFA12;WDR41;COX6A1;ACTB;ACTG1;GLE1;PSMD8;ACTR1A;PSMD7;PSMD4;CASP3;CASP1;UQCRFS1;RAB8A;COX8A;DAXX;GABARAPL1;ANXA11;SDHC;NDUFC1;SDHA;COX6B1;TNFRSF1A;PSMA5;PSMA6;COX7A2L;PSMA3;PSMA4;NDUFS8;PSMA1;NDUFS7;PSMA2;NDUFS6;NDUFS5;CAT;UQCRC1;NDUFS3;VDAC1;PFN1;NDUFB8;NDUFB7;NDUFB10;PSMD14;DCTN2;NDUFB11;PSMD13;NDUFB4;DCTN3;NDUFB3;DERL1;NDUFB2;UQCR11;COX7A2;UQCR10;COX5B;COX5A;GABARAP;PSMA7;UQCRH;PSMB6;PSMB7;PSMB2;PSMB3;PSMB1;TPR;CYC1;RAE1;NDUFA9;NDUFA8;HNRNPA3;NDUFA7;NDUFA6;BAD;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;CHCHD10;COX6C;MAPK12;UQCRHL;SOD1;MAPK11;CCS;PSMC3;PSMC4;UQCRQ;PSMC1;NDUFAB1;BAX
Non-alcoholic fatty liver disease	57/155	8.77621391900833e-22	3.84899667590794e-20	0	0	6.16048183292008	298.689895583804	NDUFA13;COX7B;NDUFA11;NDUFA12;PRKAG1;PIK3CD;FASLG;COX6A1;CASP7;CASP3;AKT1;UQCRFS1;COX8A;SDHC;NDUFC1;SDHA;COX6B1;TNFRSF1A;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;UQCRC1;NDUFS3;NDUFB8;NDUFB7;NDUFB10;NDUFB11;NDUFB4;NDUFB3;NDUFB2;COX7A2;UQCR11;UQCR10;COX5B;COX5A;UQCRH;CDC42;BCL2L11;RXRA;CYC1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;MAPK12;UQCRHL;MAPK11;UQCRQ;NDUFAB1;BAX
Pathways of neurodegeneration	108/475	1.89090849246473e-20	7.2563613398334e-19	0	0	3.16494938376311	143.735051005274	NDUFA13;CSF1;NDUFA11;NDUFA12;UBE2L6;PARK7;COX6A1;UBE2L3;PSMD8;PSMD7;PSMD4;DAXX;GABARAPL1;MAP2K2;SDHC;SDHA;COX6B1;COX7A2L;CSNK2B;UQCRC1;PPIF;VDAC1;PPID;NDUFB10;PSMD14;NDUFB11;PSMD13;HTRA2;COX7A2;GABARAP;UQCRH;UBB;UBC;CYC1;CDK5;UQCRQ;CALM3;CALM2;RYR2;COX7B;HIP1;WDR41;FASLG;ACTR1A;CASP7;CASP3;UQCRFS1;RAB8A;COX8A;NDUFC1;TNFRSF1A;PSMA5;PSMA6;PSMA3;PSMA4;NDUFS8;PSMA1;NDUFS7;PSMA2;NDUFS6;NDUFS5;CAT;NDUFS3;SLC25A5;NDUFB8;CAMK2D;NDUFB7;DCTN2;NDUFB4;NDUFB3;DCTN3;NDUFB2;DERL1;UQCR11;UQCR10;COX5B;HSD17B10;COX5A;PSMA7;PSMB6;PSMB7;PSMB2;PSMB3;PSMB1;MAPK1;BAK1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA4;BAD;NDUFA3;ADRM1;NDUFA2;NDUFA1;COX6C;MAPK12;UQCRHL;SOD1;MAPK11;CCS;PSMC3;PSMC4;PSMC1;NDUFAB1;BAX;KRAS
Diabetic cardiomyopathy	64/203	3.45207450499012e-20	1.17754097003552e-18	0	0	4.88570644950315	218.941826899218	RYR2;COX7B;NDUFA13;NDUFA11;NDUFA12;PIK3CD;COX6A1;PPP1CC;MPC1;MPC2;RAC2;AKT1;UQCRFS1;CTSD;COX8A;G6PD;CYBA;SDHC;NDUFC1;SDHA;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;UQCRC1;PPIF;NDUFS3;VDAC1;SLC25A5;GAPDH;CAMK2D;NDUFB8;NDUFB7;NDUFB10;NDUFB11;NDUFB4;NDUFB3;NDUFB2;UQCR11;COX7A2;UQCR10;PDHB;COX5B;COX5A;UQCRH;CYC1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA4;NDUFA3;GSR;NDUFA2;NDUFA1;COX6C;MAPK12;UQCRHL;PPP1CA;MAPK11;UQCRQ;NDUFAB1
Proteasome	29/46	9.03953842868888e-20	2.77513829760749e-18	0	0	17.856862745098	783.025105374035	PSMD14;PSMD13;POMP;PSMA7;PSMB10;PSMB6;PSMD8;PSMB7;PSMD7;PSMB2;PSMD4;PSMB3;PSMB1;PSMF1;ADRM1;PSMB8;PSMB9;PSMA5;PSMA6;PSMA3;PSMA4;IFNG;PSMA1;PSMC3;PSMA2;PSMC4;PSMC1;PSME1;PSME2
