Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Parkinson disease	106/249	3.95269707244593e-34	1.22533609245824e-31	5.60765773688584	431.304555379109	PSMC6;PSMC4;PSMC5;PSMC2;PSMC3;PSMC1;UQCRC1;CALM3;CALM1;UQCR10;UBE2L6;UBE2L3;PSMD9;PSMD8;PSMD6;PSMD3;PSMD4;PSMD1;PSMD2;COX8A;TXN;TUBB;ATP5F1E;COX6C;COX7B;ATP5PF;ATP5PD;ATP5PB;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;NDUFAB1;PSMA1;COX5A;NDUFA12;NDUFA10;COX5B;GNAI2;PSMA8;PSMB7;ATP5F1A;ATP5F1B;PSMB5;ATP5F1C;PSMB6;TUBA1B;PSMB3;PSMB4;PSMB1;PSMB2;SDHD;SDHB;UQCRQ;PPIF;NDUFB10;PARK7;COX6A1;TUBB6;TUBB3;NDUFV2;MFN1;EIF2S1;SEM1;UBA1;ATP5MC3;HTRA2;COX7A2;ATP5MC2;UQCRH;CYC1;HSPA5;NDUFC2;NDUFC1;NDUFS6;NDUFS5;NDUFS4;NDUFS3;PSMD11;NDUFB9;PSMD13;NDUFB8;NDUFB7;NDUFB6;PSMD14;NDUFB5;NDUFB4;NDUFB3;NDUFB1;KLC2;UQCRFS1;CASP3;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;NDUFA2;NDUFA1;VDAC3;SLC25A5;MAPK9	1	KEGG_2021_Human
Proteasome	40/46	6.02746942227513e-31	6.75887648982465e-29	49.4154019111861	3438.51196853591	ADRM1;PSMB9;PSMA6;PSMA7;PSMA4;PSMC6;PSMA5;SEM1;PSMA2;PSMC4;PSMA3;PSMC5;PSMC2;IFNG;PSMA1;PSMC3;PSME2;PSMC1;PSME1;PSMD11;PSMD13;POMP;PSMD14;PSMA8;PSMB10;PSMB7;PSMD9;PSMB8;PSMB5;PSMB6;PSMD8;PSMB3;PSMB4;PSMD6;PSMB1;PSMD3;PSMB2;PSMD4;PSMD1;PSMD2	2	KEGG_2021_Human
Huntington disease	115/306	6.54084821595934e-31	6.75887648982465e-29	4.56013648578729	316.938929937699	PSMC6;PSMC4;PSMC5;PSMC2;PSMC3;PSMC1;UQCRC1;UQCR10;PSMD9;PSMD8;CREB3L4;PSMD6;PSMD3;PSMD4;NRBF2;PSMD1;AP2S1;PSMD2;COX8A;TUBB;ATP5F1E;COX6C;COX7B;CLTA;ATP5PF;ATP5PD;ATP5PB;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;NDUFAB1;PSMA1;COX5A;NDUFA12;NDUFA10;COX5B;PSMA8;PSMB7;ATP5F1A;ATP5F1B;PSMB5;ATP5F1C;PSMB6;TUBA1B;PSMB3;PSMB4;PSMB1;PSMB2;SDHD;SDHB;UQCRQ;PPIF;NDUFB10;COX6A1;TUBB6;TUBB3;NDUFV2;SEM1;ATP5MC3;COX7A2;ATP5MC2;UQCRH;CYC1;AP2M1;NDUFC2;NDUFC1;NDUFS6;NDUFS5;NDUFS4;NDUFS3;PSMD11;NDUFB9;PSMD13;DNAH3;NDUFB8;NDUFB7;NDUFB6;PSMD14;NDUFB5;NDUFB4;NDUFB3;NDUFB1;KLC2;CASP8;UQCRFS1;CASP3;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;NDUFA2;NDUFA1;SOD1;VDAC3;SLC25A5;DCTN6;DCTN3;HDAC1;DCTN2;DCTN5;RB1CC1;DCTN1;MAPK9;POLR2C;POLR2E;POLR2F;POLR2G;POLR2J;POLR2K	3	KEGG_2021_Human
Prion disease	104/273	1.24524754200915e-28	9.65066845057088e-27	4.6444474070124	298.419903405895	PSMC6;PSMC4;PSMC5;PSMC2;PSMC3;PSMC1;UQCRC1;UQCR10;PSMD9;PSMD8;CREB3L4;PSMD6;PSMD3;PSMD4;PSMD1;PSMD2;COX8A;PRKCD;TUBB;ATP5F1E;COX6C;COX7B;STIP1;ATP5PF;ATP5PD;CSNK2A1;ATP5PB;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;NDUFAB1;PSMA1;COX5A;NDUFA12;NDUFA10;COX5B;PSMA8;PSMB7;ATP5F1A;ATP5F1B;PSMB5;ATP5F1C;PSMB6;TUBA1B;PSMB3;PSMB4;PSMB1;PSMB2;RAC2;SDHD;SDHB;UQCRQ;PPIF;ATF6B;NDUFB10;COX6A1;TUBB6;TUBB3;NDUFV2;EIF2S1;SEM1;ATP5MC3;COX7A2;ATP5MC2;UQCRH;CYC1;HSPA5;NDUFC2;NDUFC1;NDUFS6;NDUFS5;NDUFS4;NDUFS3;PSMD11;NDUFB9;PSMD13;NDUFB8;NDUFB7;NDUFB6;PSMD14;NDUFB5;NDUFB4;NDUFB3;NDUFB1;KLC2;UQCRFS1;CASP3;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;NDUFA2;NDUFA1;SOD1;VDAC3;SLC25A5;MAPK9;CCL5	4	KEGG_2021_Human
Amyotrophic lateral sclerosis	121/364	9.22843059229344e-27	5.72162696722193e-25	3.76988681780379	225.99532209248	NUP93;PSMC6;PSMC4;PSMC5;PSMC2;PSMC3;PSMC1;UQCRC1;PFN1;UQCR10;NXF1;PSMD9;ACTB;PSMD8;PSMD6;PSMD3;PSMD4;NRBF2;PSMD1;PSMD2;COX8A;GABARAPL2;GABARAPL1;GLE1;SEC13;TUBB;ATP5F1E;COX6C;COX7B;ATP5PF;ATP5PD;ATP5PB;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;HNRNPA2B1;PSMA2;PSMA3;NDUFAB1;PSMA1;COX5A;NDUFA12;NDUFA10;COX5B;PSMA8;PSMB7;ATP5F1A;ATP5F1B;PSMB5;ATP5F1C;PSMB6;TUBA1B;PSMB3;PSMB4;PSMB1;PSMB2;ALYREF;SDHD;SDHB;UQCRQ;SRSF3;RAB1A;NDUFB10;COX6A1;TUBB6;TUBB3;RAE1;NDUFV2;EIF2S1;SEM1;ACTG1;ATP5MC3;COX7A2;ATP5MC2;UQCRH;CYC1;HSPA5;NDUFC2;NDUFC1;NDUFS6;NDUFS5;NDUFS4;NDUFS3;PSMD11;NDUFB9;PSMD13;SEH1L;DNAH3;NDUFB8;NDUFB7;NDUFB6;PSMD14;NDUFB5;NDUFB4;NDUFB3;NDUFB1;KLC2;UQCRFS1;CASP3;PRPH;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;NDUFA2;NDUFA1;SOD1;NUP37;DCTN6;NXT2;DCTN3;DCTN2;DCTN5;RB1CC1;DCTN1;HNRNPA3;HNRNPA1	5	KEGG_2021_Human
Alzheimer disease	111/369	9.79699499357041e-21	5.06178074667804e-19	3.2402999706902	149.287784755001	PSMC6;PSMC4;PSMC5;PSMC2;PSMC3;PSMC1;UQCRC1;CALM3;CALM1;UQCR10;PSMD9;PSMD8;PSMD6;PSMD3;PSMD4;NRBF2;PSMD1;PSMD2;COX8A;PSENEN;TUBB;ATP5F1E;COX6C;COX7B;ATP5PF;ATP5PD;CSNK2A1;ATP5PB;COX6B1;PSMA6;PSMA7;PSMA4;ADAM17;PSMA5;PSMA2;PSMA3;NDUFAB1;PSMA1;COX5A;NDUFA12;NDUFA10;COX5B;PSMA8;PSMB7;ATP5F1A;ATP5F1B;PSMB5;ATP5F1C;PSMB6;TUBA1B;PSMB3;PSMB4;PSMB1;PSMB2;SDHD;SDHB;UQCRQ;PPIF;PPID;NDUFB10;COX6A1;NRAS;TUBB6;TUBB3;NDUFV2;EIF2S1;SEM1;ATP5MC3;COX7A2;ATP5MC2;UQCRH;CYC1;NDUFC2;NDUFC1;NDUFS6;NDUFS5;NDUFS4;NDUFS3;PSMD11;NDUFB9;PSMD13;NDUFB8;NDUFB7;NDUFB6;PSMD14;NDUFB5;NDUFB4;NDUFB3;NDUFB1;KLC2;CASP8;CASP7;UQCRFS1;CASP3;NDUFA9;NDUFA8;NDUFA7;NDUFA6;CHUK;ADRM1;NDUFA4;NDUFA2;NDUFA1;VDAC3;KRAS;SLC25A5;GAPDH;RB1CC1;ATP2A2;HSD17B10;MAPK9	6	KEGG_2021_Human
Pathways of neurodegeneration	129/475	1.24083568390867e-19	5.49512945730982e-18	2.81575809134619	122.579330908909	PSMC6;PSMC4;PSMC5;PSMC2;PSMC3;PSMC1;UQCRC1;PSMD9;PSMD8;PSMD6;PSMD3;PSMD4;NRBF2;PSMD1;PSMD2;GABARAPL2;GABARAPL1;PRKCB;ATXN1;CSNK2A1;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;PSMA1;NDUFA12;NDUFA10;PSMA8;PSMB7;PSMB5;PSMB6;TUBA1B;PSMB3;PSMB4;PSMB1;PSMB2;UQCRQ;RAB1A;PARK7;NRAS;TUBB6;TUBB3;MFN1;FASLG;UQCRH;NDUFC2;NDUFC1;NDUFB9;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB1;KLC2;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;NDUFA2;NDUFA1;SLC25A5;HSD17B10;BAK1;CALM3;CALM1;UQCR10;UBE2L6;UBE2L3;COX8A;TUBB;ATP5F1E;COX6C;COX7B;ATP5PF;ATP5PD;ATP5PB;NDUFAB1;COX5A;COX5B;ATP5F1A;ATP5F1B;ATP5F1C;SDHD;SDHB;PPIF;PPID;NDUFB10;COX6A1;NDUFV2;EIF2S1;SEM1;UBA1;ATP5MC3;HTRA2;COX7A2;ATP5MC2;CYC1;HSPA5;NDUFS6;NDUFS5;NDUFS4;NDUFS3;PSMD11;PSMD13;DNAH3;PSMD14;CASP8;CASP7;UQCRFS1;CASP3;PRPH;SOD1;VDAC3;KRAS;DCTN6;DCTN3;DCTN2;DCTN5;RB1CC1;ATP2A2;DCTN1;MAPK9	7	KEGG_2021_Human
Oxidative phosphorylation	57/133	3.96916657026473e-19	1.53805204597758e-17	5.57707006369427	236.303585250043	ATP6V1E1;SDHD;SDHB;UQCRQ;UQCRC1;NDUFB10;UQCR10;COX6A1;NDUFV2;COX8A;COX17;ATP5MC3;COX7A2;ATP5MC2;UQCRH;COX15;CYC1;COX11;NDUFC2;NDUFC1;ATP5F1E;COX6C;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFB9;COX7B;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB1;UQCRFS1;ATP5MG;ATP5MF;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;ATP5PB;NDUFA4;NDUFA2;NDUFA1;COX6B1;NDUFAB1;COX5A;NDUFA12;NDUFA10;COX5B;ATP5F1A;ATP5F1B;ATP5F1C	8	KEGG_2021_Human
Thermogenesis	79/232	1.30168406879404e-18	4.48357845917947e-17	3.85871651132235	158.913031296587	ACSL5;ACSL4;UQCRC1;SMARCB1;UQCR10;ACTB;CREB3L4;COX8A;ACTL6A;NDUFAF1;SIRT6;ATP5F1E;COX6C;COX7B;ATP5MG;ATP5MF;ATP5PF;ATP5PD;ATP5PB;COX6B1;NDUFAB1;COX5A;NDUFA12;NDUFA10;PRKAG1;COX5B;ATP5F1A;ATP5F1B;ATP5F1C;SDHD;SDHB;UQCRQ;COX20;NDUFB10;COX6A1;NRAS;NDUFV2;COX17;COX16;COX19;ACTG1;ATP5MC3;COX7A2;ATP5MC2;UQCRH;COX15;CYC1;COX11;COA5;COA4;COA3;COA1;SMARCE1;NDUFC2;NDUFC1;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFB9;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB1;CPT2;UQCRFS1;COA6;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA4;NDUFA2;NDUFA1;KRAS;SLC25A20	9	KEGG_2021_Human
Diabetic cardiomyopathy	67/203	3.15901536403032e-15	9.79294762849399e-14	3.66638655462185	122.415206176112	UQCRC1;PDHB;UQCR10;COX8A;PRKCD;PRKCB;PDHA1;ATP5F1E;COX6C;COX7B;ATP5PF;ATP5PD;ATP5PB;COX6B1;NDUFAB1;COX5A;NDUFA12;NDUFA10;COX5B;ATP5F1A;ATP5F1B;ATP5F1C;RAC2;G6PD;SDHD;SDHB;PPP1CA;UQCRQ;PPIF;NDUFB10;COX6A1;PTPA;NDUFV2;ATP5MC3;COX7A2;ATP5MC2;UQCRH;MPC1;CYC1;NDUFC2;NDUFC1;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFB9;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB1;CPT2;UQCRFS1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA4;NDUFA2;NDUFA1;VDAC3;SLC25A5;GAPDH;ATP2A2;MAPK9	10	KEGG_2021_Human
