p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
6.35871426279527e-241	1.26434316777112	0.991	0.62	2.13258558945628e-236	IL7R	c2
5.68769673794689e-195	1.03468534505956	0.984	0.605	1.90753973197263e-190	ANXA1	c2
6.27870987004096e-191	0.507413621406604	1	0.999	2.10575371621434e-186	RPLP1	c2
1.67798293938445e-184	1.31325401137748	0.758	0.309	5.62761918210756e-180	CD40LG	c2
1.20562007156655e-182	1.00552609740977	0.997	0.823	4.04340859601989e-178	FOS	c2
2.62499424600192e-171	0.435261238728126	1	0.999	8.80370570224124e-167	EEF1A1	c2
2.71298050955199e-160	0.46190747997625	1	0.998	9.09879403293548e-156	TPT1	c2
3.2997290808669e-154	0.430095021532633	1	0.998	1.10666313914114e-149	RPS14	c2
1.92908101949692e-149	0.408834182124577	1	0.999	6.46975192318878e-145	RPL10	c2
3.88185728886e-149	0.978036228655847	0.904	0.529	1.30189729753787e-144	KLRB1	c2
1.60388383951638e-147	0.766663270633313	0.997	0.912	5.37910562097005e-143	VIM	c2
1.35004859466059e-146	0.822126406260271	0.99	0.84	4.52779297677267e-142	S100A4	c2
2.31157786794472e-132	0.365256175831564	1	0.999	7.75256985351299e-128	RPS27A	c2
3.49083434446853e-131	-5.12096412507649	0.018	0.404	1.17075602244786e-126	CD8B	c2
5.3620388725664e-129	-3.92594540686015	0.06	0.445	1.79832059708132e-124	TIGIT	c2
3.22337978100933e-125	0.471984241574732	1	0.997	1.08105711095491e-120	RPLP0	c2
8.98680827394994e-124	0.864598223032946	0.928	0.723	3.01399575891733e-119	S100A11	c2
1.32519923708819e-121	-4.33809674805709	0.082	0.436	4.44445320134638e-117	CD8A	c2
7.74029946402315e-120	0.337960613777134	1	0.998	2.59594163424409e-115	RPS3	c2
5.33411296433738e-113	0.350835314896065	1	0.998	1.78895480597947e-108	RPL32	c2
6.96807198283062e-109	1.12304825769608	0.689	0.375	2.33695198160173e-104	LGALS3	c2
9.45117362352956e-109	0.377181774227773	1	0.998	3.16973460985934e-104	RPL34	c2
2.11370000815625e-107	0.352749844547913	1	0.997	7.08892708735445e-103	RPS25	c2
5.60445651295507e-106	-3.13029472435338	0.092	0.437	1.87962262531487e-101	CTLA4	c2
2.12309092127309e-105	0.353095923921493	1	0.998	7.12042233176569e-101	RPS12	c2
3.76857492354165e-104	1.62157383969432	0.42	0.157	1.2639046578574e-99	MYBL1	c2
5.28172639664372e-104	0.673628318945815	0.983	0.865	1.77138539890637e-99	IFITM2	c2
2.88691470226401e-102	0.464378348960486	0.999	0.98	9.68213452845302e-98	EEF1B2	c2
2.19507536813367e-101	-4.1313951182036	0.032	0.357	7.36184376964671e-97	DUSP4	c2
2.61134208463561e-100	-4.16667871775356	0.033	0.354	8.75791908345092e-96	CD38	c2
1.35051019975641e-99	-4.62419433243176	0.048	0.366	4.52934110794303e-95	HLA-DRB1	c2
1.4950431556762e-98	0.336831061019129	1	0.997	5.01407573550685e-94	RPL39	c2
2.77611460211733e-97	1.9240558057173	0.245	0.062	9.31053315258109e-93	PLCB1	c2
9.2395848055455e-97	0.367045782965486	1	0.996	3.09877195208385e-92	RPL3	c2
4.16383310800732e-94	1.24612695162504	0.324	0.104	1.39646634776349e-89	IL2	c2
6.10511780190703e-94	-7.48606600196321	0.015	0.313	2.04753440840358e-89	GZMB	c2
1.55783905435488e-91	-4.05023638374965	0.04	0.344	5.2246806204954e-87	HLA-DPB1	c2
1.90410050026775e-91	0.312611695307071	1	0.997	6.38597225779797e-87	RPLP2	c2
1.70465802715073e-90	0.616610733752057	0.89	0.605	5.71708209145812e-86	FOSB	c2
3.50135292284783e-89	0.365472870076701	1	0.996	1.1742837432647e-84	RPSA	c2
6.39002081412924e-89	0.336398227848148	1	0.997	2.14308518064266e-84	RPS18	c2
6.99546032184184e-88	0.274691178860667	1	0.998	2.34613748273932e-83	RPS23	c2
1.12813732977381e-87	0.294101676889745	1	0.997	3.78354697659541e-83	RPS3A	c2
2.22511990661902e-86	-0.707585583942486	0.981	0.978	7.46260714281887e-82	PTPRCAP	c2
3.06700244888954e-86	-1.62859309529457	0.882	0.902	1.02861128130857e-81	CD74	c2
3.7073624249262e-86	-0.907394180801246	0.782	0.878	1.24337521007175e-81	LIMD2	c2
1.72260714765489e-85	0.902642198504551	0.769	0.5	5.77727985180497e-81	AHNAK	c2
2.8144070529435e-85	-6.04178676919472	0.009	0.286	9.43895837416192e-81	KLRD1	c2
1.37063348231141e-84	0.349137969283803	1	0.993	4.59683057297599e-80	RPL9	c2
