p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
8.38304966117451e-263	1.6323207426608	0.98	0.629	2.81150719536471e-258	IL7R	c4
6.45327952596191e-210	1.40401587980909	0.998	0.826	2.16430088741711e-205	FOS	c4
8.27739947548866e-147	0.430967432310334	1	0.998	2.77607423608939e-142	RPS3	c4
1.06286445613479e-141	0.438512637779855	1	0.999	3.56463481298485e-137	RPS27A	c4
4.38238497127596e-137	3.05722176501233	0.212	0.031	1.46976427166653e-132	ADAM23	c4
3.30005645753923e-136	1.01982914984623	0.99	0.926	1.10677293472951e-131	DUSP1	c4
1.86403694948149e-133	0.444582505905789	1	0.999	6.25160712117103e-129	RPL10	c4
1.35077823235596e-132	0.430679712119482	1	0.999	4.53024003567543e-128	EEF1A1	c4
1.03476859005808e-130	1.09105198134072	0.953	0.615	3.47040689733679e-126	ANXA1	c4
1.56041336455159e-130	1.23410754078745	0.9	0.61	5.23331434203313e-126	FOSB	c4
9.39693034378231e-127	0.450194973980999	1	0.998	3.15154249869771e-122	RPS14	c4
3.31644082576379e-123	0.426247205410585	1	0.998	1.11226792414466e-118	RPL32	c4
3.14599419921348e-114	0.459101135060527	1	0.999	1.05510353453222e-109	RPL34	c4
3.87189450535473e-114	0.428622855343324	1	0.999	1.29855597920587e-109	RPS12	c4
1.26796960464035e-113	0.396797330606159	1	0.998	4.2525164600428e-109	RPL30	c4
2.53926168853917e-105	0.389468213673696	1	0.997	8.51617585102268e-101	RPS3A	c4
1.05714419610811e-100	0.398671418293636	1	0.999	3.54545020490739e-96	RPLP1	c4
7.12575206569385e-100	0.404977671975789	1	0.997	2.3898347277924e-95	RPL39	c4
6.67344923449733e-99	0.34751272284976	1	0.998	2.23814140426571e-94	RPL11	c4
7.96765400758693e-99	0.529788012426798	0.998	0.98	2.6721918010645e-94	EEF1B2	c4
3.45529377749116e-94	0.390100638497816	1	0.999	1.15883642709499e-89	TPT1	c4
4.28406643797315e-89	1.2314108341747	0.649	0.327	1.43679020196744e-84	CD40LG	c4
1.12388848165688e-87	0.329200653149031	1	0.998	3.76929718978086e-83	RPS23	c4
4.97031442165895e-87	0.336000337150548	1	0.998	1.66694405073598e-82	RPS13	c4
1.79641154551288e-86	0.308754971840798	1	0.998	6.02480504134111e-82	RPL19	c4
4.15465870655119e-86	0.944215517020328	0.956	0.883	1.39338943700314e-81	TSC22D3	c4
3.00500135612808e-84	0.348455028512916	1	0.997	1.00781735481823e-79	RPLP2	c4
1.89166373465857e-83	0.352494071637735	1	0.997	6.3442618332979e-79	RPS25	c4
1.84770905505715e-82	0.324421890298665	1	0.999	6.19684662885068e-78	RPL13	c4
2.48490128079792e-82	1.26327377498746	0.896	0.795	8.33386191554006e-78	JUN	c4
1.39246055366672e-79	0.369451791690038	1	0.996	4.67003420488744e-75	RPL5	c4
7.58979463872151e-79	0.319017561854816	1	0.998	2.54546532593442e-74	RPL18	c4
8.29117113148262e-79	0.389539508534917	0.997	0.996	2.78069297407664e-74	RPL3	c4
6.44054969218366e-75	0.887495175928884	0.941	0.872	2.16003155576456e-70	TNFAIP3	c4
1.30562944831351e-74	0.378523287347405	0.998	0.994	4.37882004375384e-70	RPL9	c4
2.29884305715831e-73	0.317893372990637	1	0.997	7.70985984509754e-69	RPL35A	c4
5.23312295797605e-72	0.882414551513094	0.906	0.737	1.75508477764601e-67	TXNIP	c4
