gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
RPL21	1.23925052074178e-18	1.16851229343956	0.953	0.602	3.80784507508326e-14
RPS12	9.87085906108798e-18	-0.635869083241401	1	0.999	3.0330188637005e-13
RPL21P28	2.99142558832005e-16	1.3184013058919	0.624	0.191	9.19175340523102e-12
MT1L	4.02254113436518e-16	7.94745281893263	0.082	0	1.23600621435639e-11
ND3	5.76368637602898e-16	-0.731865583671298	1	0.999	1.77100791276243e-11
RPS26	7.70894289689656e-15	0.759979402552238	1	0.867	2.3687268839294e-10
MT2A	8.99141492554595e-15	1.34812393058556	0.518	0.181	2.7627920641725e-10
LOC101929876	2.81885923972761e-14	1.06358819141124	0.929	0.65	8.66150878591102e-10
SMAD1	5.08495526496073e-14	7.36606156374278	0.071	0	1.56245420426448e-09
ZNF683	1.75996520330941e-12	-1.50927270709432	0.459	0.776	5.40784508020881e-08
EEF1A1	5.10431417996491e-11	0.385814239975266	1	1	1.56840261807782e-06
ND1	2.04131615711569e-10	-0.819487138020035	0.918	0.909	6.27235215596938e-06
RPL30	9.34908063378159e-10	0.343019792635748	1	0.999	2.87269200634207e-05
KLRB1	2.92846764334363e-09	1.46786025635707	0.435	0.171	8.99830252770197e-05
IFITM2	3.05635038626481e-09	-0.919760375869489	0.706	0.926	9.39124783187589e-05
B2M	1.45075391729187e-08	0.214708203513494	1	1	0.000445773156166274
ALOX5AP	1.90779692707854e-08	0.788092904556321	0.906	0.727	0.000586208761783423
HLA-DRB3	2.41948506914014e-08	2.40697873448551	0.141	0.024	0.000743435177194691
CORO1A	2.73320564705147e-08	-0.707984150092928	0.835	0.904	0.000839832099169506
TPT1	7.28465310148214e-08	0.385628586945424	1	0.989	0.00223835535849242
HERPUD1	7.36405855992394e-08	0.993589894934466	0.612	0.342	0.00226275427370783
RPL39	7.4586250917101e-08	0.297161526596525	1	0.999	0.00229181173192976
DNAJA1	8.68656086134445e-08	0.789776398865651	0.706	0.417	0.00266911955586531
RPL12	9.57371600055794e-08	0.400590249541665	0.988	0.986	0.00294171571549144
HLA-A	9.70456833122015e-08	-0.390175893804586	0.988	0.997	0.00298192271113401
DKK3	1.07147836907638e-07	7.09658282577893	0.035	0	0.00329233158466099
NATD1	1.07147836907638e-07	6.53760490079456	0.035	0	0.00329233158466099
LOC642131	1.07147836907638e-07	6.7625545739947	0.035	0	0.00329233158466099
CYTB	1.09434575193584e-07	-0.678418180382035	0.976	0.951	0.00336259619197325
ND2	1.5871601560746e-07	-0.757195238775888	0.871	0.909	0.00487686701157041
RPS23	2.29667596797657e-07	0.351138757846543	1	0.979	0.0070569962468016
BCL2L11	3.93209219106705e-07	2.7584413933252	0.118	0.02	0.0120821396754917
ERN1	5.2592346917001e-07	1.51489410108939	0.235	0.073	0.0161600504371869
HLA-C	6.13243624385273e-07	0.242452385374005	1	1	0.0188431368464863
S100A4	6.67910865601611e-07	-0.500711151994969	0.976	0.991	0.0205228971673407
RPS14P3	1.0270930204954e-06	-2.7363080193864	0.106	0.358	0.0315594872407621
SRGN	1.12703217182669e-06	0.611762036912864	0.965	0.855	0.0346303175437188
