Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Ribosome	35/158	9.57474277652403e-27	2.25963929525967e-24	15.312401742802	917.37622996117	RPL22;RPS8;RPS9;RPL24;RPS7;FAU;RPL26;RPL28;RPL29;RPL11;RPL12;RPL36AL;RPL15;RPL14;RPL18;RPL41;RPS26;RPS28;RPS24;RPL6;RPL31;RPL4;RPL34;RPL7;RPS15;RPS19;RPL37;RPS11;RPS13;RPL37A;RPS15A;RPL35A;RPLP0;RPLP1;RPL18A	1	KEGG_2021_Human
Coronavirus disease	40/232	5.34680562466177e-26	6.30923063710088e-24	11.327614379085	659.161958607994	RPL22;RPL24;MAPK13;RPL26;RPL28;RPL29;RPL11;RPL12;RPL36AL;RPL15;RPL14;RPL18;RPL41;RPS26;RPS28;RPS24;RPL6;RPL31;RPL4;RPL34;RPL7;RPS15;RPS19;RPL37;RPS11;RPS13;TLR3;RPS15A;STAT1;RPLP0;RPLP1;RPL18A;JAK1;RPS8;RPS9;RPS7;FAU;TNF;RPL37A;RPL35A	2	KEGG_2021_Human
Oxidative phosphorylation	21/133	2.04273693878503e-13	1.60695305851089e-11	9.71958111702128	283.999508776186	NDUFB11;COX8A;COX7A2L;UQCRB;ATP5MC2;UQCRH;ATP5F1D;ATP5F1E;COX6C;NDUFS5;COX7C;COX4I1;ATP5MG;ATP5MF;ATP6V1G1;ATP5PD;COX6B1;COX5A;COX5B;ATP5F1B;ATP5F1C	3	KEGG_2021_Human
Prion disease	28/273	1.27923736166025e-12	7.54750043379547e-11	5.99550909794812	164.185559899074	MAPK13;COX8A;COX7A2L;ATP5F1D;ATP5F1E;COX6C;COX7C;ATP5PD;COX6B1;PSMA1;COX5A;COX5B;ATP5F1B;ATP5F1C;TUBA1B;RAC2;NDUFB11;TNF;SEM1;UQCRB;ATP5MC2;UQCRH;NDUFS5;COX4I1;SLC25A6;SLC25A5;CCL5;FYN	4	KEGG_2021_Human
Parkinson disease	26/249	5.51835589658337e-12	2.60466398318735e-10	6.09043549732271	157.882000943456	CALM3;UBE2L6;COX8A;COX7A2L;ATP5F1D;ATP5F1E;COX6C;COX7C;ATP5PD;COX6B1;PSMA1;COX5A;COX5B;ATP5F1B;ATP5F1C;TUBA1B;NDUFB11;PARK7;SEM1;UQCRB;ATP5MC2;UQCRH;NDUFS5;COX4I1;SLC25A6;SLC25A5	5	KEGG_2021_Human
Diabetic cardiomyopathy	23/203	1.78792694348689e-11	7.03251264438178e-10	6.63590314913844	164.221211608443	MAPK13;COX8A;COX7A2L;ATP5F1D;ATP5F1E;COX6C;COX7C;ATP5PD;COX6B1;COX5A;COX5B;ATP5F1B;ATP5F1C;RAC2;NDUFB11;UQCRB;ATP5MC2;UQCRH;NDUFS5;COX4I1;SLC25A6;SLC25A5;GAPDH	6	KEGG_2021_Human
Thermogenesis	23/232	2.69402825274828e-10	9.08272382355135e-09	5.70659877696185	125.743838997701	MAPK13;COX8A;COX7A2L;BMP8B;ATP5F1D;ATP5F1E;COX6C;COX7C;ATP5MG;ATP5MF;ATP5PD;COX6B1;COX5A;COX5B;ATP5F1B;ATP5F1C;NDUFB11;UQCRB;ACTG1;ATP5MC2;UQCRH;NDUFS5;COX4I1	7	KEGG_2021_Human
Amyotrophic lateral sclerosis	27/364	4.90027451961031e-09	1.44558098328504e-07	4.17180206913145	79.8231548644883	MAPK13;COX8A;GABARAPL2;COX7A2L;GABARAP;ATP5F1D;ATP5F1E;COX6C;COX7C;ATP5PD;COX6B1;PSMA1;COX5A;COX5B;ATP5F1B;ATP5F1C;TUBA1B;NDUFB11;TNF;SEM1;UQCRB;ACTG1;ATP5MC2;UQCRH;NDUFS5;COX4I1;HNRNPA1	8	KEGG_2021_Human
Alzheimer disease	27/369	6.55793037437321e-09	1.71963507594675e-07	4.1097439544808	77.4382235262837	CALM3;COX8A;WNT10A;COX7A2L;ATP5F1D;ATP5F1E;COX6C;COX7C;ATP5PD;COX6B1;PSMA1;COX5A;COX5B;ATP5F1B;ATP5F1C;TUBA1B;NDUFB11;TNF;SEM1;UQCRB;ATP5MC2;UQCRH;NDUFS5;COX4I1;SLC25A6;SLC25A5;GAPDH	9	KEGG_2021_Human
Pathways of neurodegeneration	31/475	7.4248405253293e-09	1.75226236397772e-07	3.65485772657904	68.4132154389611	GABARAPL2;WNT10A;GABARAP;COX6B1;PSMA1;TUBA1B;PARK7;TNF;UQCRB;UQCRH;COX4I1;SLC25A6;SLC25A5;MAPK13;CALM3;UBE2L6;COX8A;COX7A2L;ATP5F1D;ATP5F1E;COX6C;COX7C;ATP5PD;COX5A;COX5B;ATP5F1B;ATP5F1C;NDUFB11;SEM1;ATP5MC2;NDUFS5	10	KEGG_2021_Human
