Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Ribosome	61/158	5.84296723528889e-70	1.13353564364604e-67	0	0	49.8891856922242	7953.12034526565	RPL5;RPL30;RPL3;RPL32;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPS3A;RPL24;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;MRPL10;RPS3;RPL13;RPL15;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;RPS20;FAU;RPS21;RPS23
Coronavirus disease	64/232	1.60276230511231e-62	1.55467943595895e-60	0	0	30.4824355971897	4337.30147576237	RPL5;RPL30;RPL3;CSF2;RPL32;RPL34;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPS3A;FOS;RPL24;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS3;RPL13;RPL15;RPL18;RPS27A;RPL17;RPL19;RPL41;STAT1;RPL35A;ISG15;RPL23A;RPS25;RPS28;RPS27;RPL27A;RPS20;FAU;RPS21;RPS23
Antigen processing and presentation	13/78	1.91440253778552e-10	1.23798030776797e-08	0	0	13.3064406779661	297.750842589609	CD74;HLA-B;TAP1;HLA-A;CD8B;IFNG;CD8A;PSME1;PSME2;HLA-DRA;B2M;HLA-DRB1;HLA-DPA1
Proteasome	9/46	2.89630755071944e-08	1.40470916209893e-06	0	0	15.9897857723945	277.538614384232	PSMA5;PSMB2;IFNG;PSMA1;PSME1;PSME2;PSMB10;PSMB8;PSMB9
Type I diabetes mellitus	8/43	2.62207602680077e-07	1.0173654983987e-05	0	0	14.9767619047619	226.959785955393	IFNG;ICA1;HLA-B;GZMB;HLA-DRA;HLA-A;HLA-DRB1;HLA-DPA1
Epstein-Barr virus infection	15/202	5.94951841115776e-07	1.80253698653387e-05	0	0	5.33983683451662	76.5454149548565	STAT1;HLA-B;TAP1;TNFAIP3;ISG15;HLA-A;RUNX3;RELB;BCL2L11;IRF7;HLA-DRA;VIM;B2M;HLA-DRB1;HLA-DPA1
Inflammatory bowel disease	9/65	6.50399943594695e-07	1.80253698653387e-05	0	0	10.5544672718586	150.355546073427	IL22;IL18RAP;IFNG;STAT1;TBX21;HLA-DRA;HLA-DRB1;HLA-DPA1;IL12RB2
Th1 and Th2 cell differentiation	10/92	1.53312412716864e-06	3.46578158803418e-05	0	0	8.02504501555083	107.440931682106	IFNG;STAT1;TBX21;NFATC2;HLA-DRA;FOS;RUNX3;HLA-DRB1;HLA-DPA1;IL12RB2
Allograft rejection	7/38	1.60783681919111e-06	3.46578158803418e-05	0	0	14.7494373593398	196.766651900418	IFNG;HLA-B;GZMB;HLA-DRA;HLA-A;HLA-DRB1;HLA-DPA1
Graft-versus-host disease	7/42	3.26053423637446e-06	6.32543641856645e-05	0	0	13.0611295681063	165.009341201348	IFNG;HLA-B;GZMB;HLA-DRA;HLA-A;HLA-DRB1;HLA-DPA1
