gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
HLA-B	3.10399950331886e-87	0.985497278529916	1	1	1.04101935342308e-82
RPS14	2.28861300259084e-48	-0.540309684638175	1	1	7.67555028808917e-44
RPL32	1.53719425436209e-41	-0.501381515321589	0.997	1	5.15544209027958e-37
PSMB9	1.82158058733366e-37	1.11029378402994	0.889	0.704	6.10921697379964e-33
RPL30	4.34596996356675e-36	-0.463934754159298	1	1	1.45755140638102e-31
DUSP4	4.76581387734692e-36	1.94835480704132	0.649	0.293	1.59835865818461e-31
CXCR3	7.11767524387059e-33	2.25743847201668	0.465	0.135	2.38712592328932e-28
ISG20	1.37351400555144e-32	1.06570486054435	0.933	0.751	4.60649127181843e-28
RPS3A	4.29496818838058e-31	-0.422714955560665	0.997	1	1.44044643101908e-26
CST7	6.8357324137282e-30	1.71656388693959	0.738	0.474	2.29256793691616e-25
RPL19	1.57733574192429e-29	-0.396687647664277	1	1	5.29006861126567e-25
RPS12	1.77159011913166e-29	-0.442870445115214	0.997	1	5.94155894154375e-25
DUSP1	1.93160583856227e-29	-0.956288655697572	0.933	0.976	6.47821966137013e-25
RPL21	2.2148715565407e-29	-0.532900128306813	0.992	0.994	7.4282362263262e-25
RPL13	3.2864287962661e-28	-0.386767128159089	0.997	1	1.10220248969172e-23
RPL10A	5.13226786366063e-28	-0.505178819870895	0.992	0.996	1.7212599961145e-23
GPR171	9.61465002253884e-27	3.24522503652895	0.259	0.038	3.22456132455908e-22
RPL34	1.51944943955105e-26	-0.433755628386593	0.997	1	5.09592953036633e-22
FOS	2.41666740498065e-26	-1.47299426395153	0.646	0.847	8.1050191428241e-22
PDE3B	1.53384508109712e-25	1.88656969446633	0.351	0.088	5.14420963298353e-21
RNF213	8.15136120679309e-25	1.09959863504485	0.822	0.581	2.73380352153427e-20
CCL5	8.1678482848392e-25	4.11618328257378	0.217	0.025	2.73933295776937e-20
FKBP5	1.26745391223179e-24	1.88252367839654	0.552	0.262	4.25078693084298e-20
RPS18	2.53697070017827e-24	-0.433522056097621	0.997	1	8.50849233425787e-20
RPL10	8.47187925272772e-24	-0.339076616819908	1	1	2.84129886377982e-19
RPS23	3.24338154469698e-23	-0.364708055424396	1	1	1.08776530246047e-18
