Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Yersinia infection	13/137	2.5188455316714e-10	5.01250260802608e-08	12.6706906788047	280.048242157875	CD4;TNF;ACTB;FYB1;ARPC5;PXN;ACTG1;ACTR3;NFKBIA;LCP2;LAT;FOS;LCK	1	KEGG_2021_Human
Regulation of actin cytoskeleton	15/218	9.54914076251167e-10	9.50139505869911e-08	9.00514028699936	187.031358443597	PFN1;CYFIP2;MYL12B;ACTB;MYL12A;TMSB4X;CXCR4;PPP1CA;ARPC5;PXN;ACTG1;ITGA1;ACTR3;ITGAE;ITGB2	2	KEGG_2021_Human
Th17 cell differentiation	11/107	2.67067369581384e-09	1.77154688488985e-07	13.7	270.450810538901	CD4;HLA-DRB1;HSP90AA1;NFKBIA;IRF4;LAT;CD3G;CD3E;STAT1;FOS;LCK	3	KEGG_2021_Human
T cell receptor signaling pathway	10/104	2.75612861843921e-08	1.37117398767351e-06	12.6441937964624	220.095631864972	CD4;TNF;NFKBIA;LCP2;LAT;CD3G;CD3E;FOS;LCK;CD40LG	4	KEGG_2021_Human
Salmonella infection	14/249	4.60222409211626e-08	1.76190251282533e-06	7.20372997110586	121.700830282944	PFN1;CYFIP2;MYL12B;ACTB;MYL12A;RIPK2;FOS;TNF;ARPC5;ACTG1;ACTR3;HSP90AA1;NFKBIA;GAPDH	5	KEGG_2021_Human
Viral myocarditis	8/60	5.31226888289046e-08	1.76190251282533e-06	18.1062271062271	303.291285192193	ACTB;HLA-C;HLA-B;CD40LG;HLA-DRB1;ITGB2;ACTG1;CD55	6	KEGG_2021_Human
Human T-cell leukemia virus 1 infection	13/219	7.51899994905062e-08	2.13754427123011e-06	7.59527071296682	124.587106096349	CD4;EGR1;HLA-C;HLA-B;HLA-DRB1;CD3G;CD3E;FOS;TNF;CCND3;NFKBIA;LCK;ITGB2	7	KEGG_2021_Human
Th1 and Th2 cell differentiation	9/92	1.19693129895564e-07	2.97736660615215e-06	12.8179063559628	204.296080634105	NFKBIA;CD4;LAT;CD3G;CD3E;STAT1;FOS;LCK;HLA-DRB1	8	KEGG_2021_Human
Hematopoietic cell lineage	9/99	2.26258284867107e-07	4.78149480759443e-06	11.8167664670659	180.815299496643	CD2;CD4;TNF;HLA-DRB1;IL7R;ITGA1;CD3G;CD3E;CD55	9	KEGG_2021_Human
Epstein-Barr virus infection	12/202	2.40276120984645e-07	4.78149480759443e-06	7.5612323491656	115.244349476983	VIM;HLA-C;HLA-B;HLA-DRB1;CD3G;CD3E;STAT1;TNF;CCND3;TAPBP;NFKBIA;TNFAIP3	10	KEGG_2021_Human
