p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	Diagnosis
2.61985586759818e-54	3.06664492349998	0.32	0.044	8.78647260875076e-50	AL157402.2	Colitis
3.33796945597442e-43	1.95769870429044	0.605	0.267	1.1194881961447e-38	FKBP5	Colitis
3.19818316324039e-40	0.566996787307139	1	1	1.07260666928756e-35	HLA-B	Colitis
1.55152307828311e-37	-0.614105541090253	1	1	5.20349809994591e-33	ACTB	Colitis
1.10420245901991e-34	-0.645372019951441	0.959	0.996	3.70327420706098e-30	IL32	Colitis
9.82043658274515e-33	1.13885014499258	0.815	0.574	3.29357802112107e-28	ISG20	Colitis
4.15302398428378e-30	0.799894074718513	0.966	0.806	1.3928411838491e-25	CXCR4	Colitis
2.22159502599742e-29	0.628365788745695	1	0.981	7.45078539819014e-25	SRGN	Colitis
5.77840307850486e-28	-0.726969402842045	0.991	1	1.93796082446896e-23	FOS	Colitis
9.822119458957e-27	0.640316694516844	0.994	0.993	3.294142424145e-22	BTG1	Colitis
4.62210984131396e-24	0.619371661564065	0.994	0.987	1.55016319857987e-19	ZFP36L2	Colitis
9.83312189873952e-24	-1.9645073445739	0.197	0.497	3.29783242239926e-19	LGALS1	Colitis
6.20648733794509e-21	4.35586885331464	0.063	0.001	2.08153172340002e-16	IGKV3D-20	Colitis
2.27931184106271e-20	1.76395887857257	0.464	0.23	7.64435605255613e-16	KLF2	Colitis
3.09443851155476e-20	1.13231717515335	0.592	0.352	1.03781278800523e-15	SMAP2	Colitis
4.95212544566888e-20	0.468161864451971	0.991	0.987	1.66084383196843e-15	IL7R	Colitis
2.61763740298128e-19	-1.08580514096739	0.636	0.78	8.77903232211863e-15	CCL5	Colitis
4.48385623084399e-18	1.10061624513209	0.552	0.319	1.50379570270046e-13	STAT1	Colitis
6.53969988472267e-18	3.40715808201149	0.088	0.009	2.19328454733829e-13	NPDC1	Colitis
2.05768211554445e-17	2.77912685939845	0.116	0.019	6.90105427911299e-13	SELL	Colitis
3.38441067080445e-17	2.05411864036491	0.176	0.045	1.1350636507744e-12	ZBTB16	Colitis
2.5085412160351e-16	0.702913817667238	1	0.999	8.41314553033852e-12	FTH1	Colitis
3.77982929188775e-16	-0.429378686838581	0.991	0.999	1.26767914791331e-11	ACTG1	Colitis
7.47739263059657e-16	2.1676921473161	0.132	0.027	2.50776794044948e-11	HLA-DRB1	Colitis
1.24575267573194e-15	-0.274956389242902	1	1	4.17800532386977e-11	RPS14	Colitis
3.00891909253575e-15	-0.549244997354403	0.837	0.928	1.00913128525464e-10	FYB1	Colitis
