p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	Diagnosis
6.25934241597644e-72	-0.979310330778554	0.983	0.994	2.09925825947018e-67	ZFP36L2	Control
1.13252921469053e-70	-1.58987726105333	0.695	0.883	3.79827648022908e-66	NFKBIA	Control
3.60649966733394e-48	0.597615154444751	0.994	0.996	1.20954785843046e-43	MT-ATP8	Control
1.85379986920472e-46	0.496370666844106	1	1	6.21727400133879e-42	ACTB	Control
1.2539037795449e-42	0.539259647236209	0.995	0.984	4.20534249583768e-38	IL32	Control
7.6129783824064e-41	-1.14838137689953	0.396	0.683	2.55324068989146e-36	PLP2	Control
1.16494033412381e-39	-1.91019078684731	0.185	0.463	3.90697689258444e-35	MT2A	Control
1.04624222393527e-36	-0.610503219775645	0.995	0.99	3.50888717063412e-32	BTG1	Control
1.72668925757924e-31	-0.511803547212639	0.973	0.995	5.79097043206924e-27	SRGN	Control
2.55036631200801e-31	0.752076977233227	0.681	0.397	8.55341853721245e-27	HSPA1B	Control
3.3400004860027e-31	0.394360478302714	0.991	0.985	1.12016936299559e-26	ITM2B	Control
1.15111826069243e-30	0.490891034855875	0.983	0.966	3.86062042271026e-26	CORO1A	Control
1.18688034936884e-30	-0.479168314503517	0.95	1	3.98055931571321e-26	RPS26	Control
6.31019484160219e-29	0.486605338026744	1	0.997	2.11631314597654e-24	FOS	Control
4.51514673683269e-28	-0.774078711247697	0.791	0.875	1.51428991259895e-23	CXCR4	Control
9.30782563530893e-28	0.699060668659068	0.776	0.59	3.12165856156991e-23	ANXA6	Control
3.65897791042779e-27	-0.39059124442385	0.997	0.998	1.22714801159927e-22	MT-ND3	Control
3.46307543528069e-24	0.614322609000778	0.759	0.525	1.16144623948444e-19	NR4A1	Control
4.34122076488909e-24	0.645269446377443	0.786	0.607	1.4559586201285e-19	EIF5A	Control
5.40329834607217e-24	0.364204655712006	1	0.997	1.81215819930569e-19	PFN1	Control
6.41649615679604e-24	-0.64345423396222	0.943	0.961	2.15196448106625e-19	TSC22D3	Control
7.47400428746936e-24	0.476815044505873	0.931	0.855	2.50663155793147e-19	LSP1	Control
9.22352384284862e-23	-0.309535262602401	0.993	0.998	3.09338542641457e-18	RPL41	Control
1.75003709470573e-22	-0.488467050810947	0.854	0.929	5.86927440822408e-18	RPL36A	Control
1.96675554975702e-21	0.323510047957916	1	0.996	6.59610476277511e-17	HLA-C	Control
5.08972966898365e-21	-0.669846799827831	0.93	0.965	1.70699353638374e-16	ZFP36	Control
1.47390084473618e-20	0.92803436058962	0.485	0.279	4.9431686530762e-16	ERAP2	Control
1.82061988518103e-20	1.3511952493322	0.394	0.206	6.10599497092015e-16	CISH	Control
1.97976944909219e-20	0.543402487189361	0.895	0.812	6.63975077836537e-16	EMP3	Control
4.52422675433971e-20	0.280579413820581	1	0.999	1.51733516887045e-15	RPS5	Control
5.2549129116159e-20	0.514799747667136	0.892	0.808	1.76239269229774e-15	LCP1	Control
1.054610238592e-19	-1.11008638993735	0.445	0.628	3.53695181818984e-15	RGS1	Control
1.38186822513878e-19	0.545561294490393	0.817	0.644	4.63450965347045e-15	SUN2	Control
2.27591947434478e-19	-2.66910414981984	0.024	0.142	7.63297873305752e-15	C20orf204	Control
3.19234087716954e-19	-0.768540233190323	0.525	0.691	1.07064728338512e-14	DDIT4	Control
5.774039035919e-19	-1.83093116112668	0.072	0.219	1.93649721186651e-14	KANSL1-AS1	Control
9.51198854046203e-19	0.567864472092171	0.789	0.648	3.19013071670015e-14	CDC42	Control
1.61577125763342e-18	0.361684985475338	0.999	0.982	5.41897364385098e-14	HSPA8	Control
2.16151467012984e-18	0.529767857796629	0.846	0.733	7.24928790068146e-14	ACTR3	Control
5.94041118145093e-18	0.435844688905246	0.971	0.982	1.99229510203501e-13	S100A4	Control
3.98809307003491e-17	0.339205866542371	0.994	0.988	1.33752665382831e-12	SH3BGRL3	Control
2.75903220011966e-16	-1.20248602514374	0.197	0.36	9.25324219276132e-12	AREG	Control
2.76728724677647e-16	-1.26156551545655	0.245	0.402	9.28092796823893e-12	FKBP5	Control
2.83740024254386e-16	0.383419754255759	0.919	0.827	9.51607293344359e-12	TMBIM6	Control
5.48533104145347e-16	0.527361696419786	0.797	0.676	1.83967032468266e-11	TUBA1B	Control
2.11107663251193e-15	0.494272065793538	0.836	0.726	7.0801288101185e-11	ENO1	Control
2.52422568301986e-15	-0.214131251411426	1	1	8.465748095712e-11	RPS27	Control
2.57131813768136e-15	0.756371478048988	0.505	0.329	8.62368677015574e-11	EIF4A1	Control
5.71903220431096e-15	0.316066506554932	0.983	0.954	1.91804902068181e-10	PTPRC	Control
1.06587077540581e-14	0.487343404934841	0.81	0.72	3.57471740655599e-10	CAP1	Control
1.45431657772324e-14	-0.884748534371764	0.314	0.47	4.87748693836821e-10	SMAP2	Control
2.35621530255823e-14	0.479526365741724	0.775	0.641	7.9022748817198e-10	PKM	Control
3.19428140280675e-14	0.87400269633643	0.492	0.34	1.07129809687333e-09	CXCR3	Control
5.58708384166006e-14	0.299027566226573	0.999	0.997	1.87379617881595e-09	ACTG1	Control
6.61941482524897e-14	0.318999934771354	0.973	0.939	2.220019344092e-09	PCBP1	Control
1.45355104570247e-13	1.43627613348387	0.245	0.114	4.87491949707695e-09	GZMA	Control
1.8868792714818e-13	0.523251132765304	0.746	0.644	6.32821570069568e-09	RBM3	Control
2.10191622947428e-13	0.84239242908779	0.378	0.223	7.04940665041084e-09	HTATSF1	Control
2.30593298445682e-13	0.411551935991421	0.857	0.758	7.73363804327128e-09	MBNL1	Control
3.47690940226053e-13	0.408490687485158	0.858	0.78	1.16608587533014e-08	CD3G	Control
4.92912903948007e-13	0.294877801064433	0.993	0.988	1.65313129726083e-08	CFL1	Control
6.79327740684055e-13	-0.646344041959015	0.454	0.596	2.27832937670618e-08	SYTL3	Control
7.58643007548446e-13	0.274933226939174	0.969	0.961	2.54433691871598e-08	LAPTM5	Control
9.36941148267525e-13	0.681194426827671	0.498	0.342	3.14231322305963e-08	ITGB7	Control
1.16007044928278e-12	-2.20790061957201	0.024	0.108	3.89064427280458e-08	RAB34	Control
1.92063452757172e-12	0.346505310417097	0.907	0.866	6.44142407857004e-08	HNRNPK	Control
2.22642198614383e-12	0.574858636543463	0.585	0.439	7.46697405712918e-08	CAPZA1	Control
2.78588096851839e-12	-0.412815459107153	0.93	0.964	9.34328759221698e-08	TNFAIP3	Control
2.81967119867214e-12	0.468484825293834	0.755	0.643	9.45661326610662e-08	SFPQ	Control
2.83164482341864e-12	0.372191735006926	0.866	0.803	9.49677040878145e-08	NCL	Control
2.92631675472463e-12	0.285026581777891	0.994	0.985	9.81428113199545e-08	CALM1	Control
3.30415270746443e-12	0.409408250049547	0.797	0.694	1.10814673502942e-07	ACAP1	Control
4.64611116917702e-12	0.347882578812015	0.884	0.843	1.55821276391859e-07	TPM3	Control
4.67292003799464e-12	-4.17106385139164	0.001	0.057	1.56720392234264e-07	AC108134.3	Control
5.31315056612662e-12	0.267236894496079	0.966	0.955	1.78192443686755e-07	YWHAZ	Control
5.74328870534754e-12	0.900659547479451	0.413	0.268	1.92618416599946e-07	EGR1	Control
6.17984631892083e-12	-1.82727228257184	0.045	0.138	2.07259685843967e-07	AL157402.2	Control
6.35045441157749e-12	0.727920117861309	0.465	0.323	2.12981540055486e-07	ESYT1	Control
8.24925514889142e-12	-0.887921139711515	0.245	0.384	2.7666351918352e-07	PRDM1	Control
