p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	Diagnosis
5.98052079862571e-72	-0.931601831358417	0.983	0.994	2.00574706544309e-67	ZFP36L2	Control
7.53813976123726e-72	-1.47349655979995	0.695	0.884	2.52814131312375e-67	NFKBIA	Control
9.39656228656574e-53	0.589111764965344	0.995	0.996	3.15141905966842e-48	MT-ATP8	Control
3.20602052289136e-48	0.478817813006418	1	1	1.07523516296731e-43	ACTB	Control
1.68225108104484e-43	0.531222952188124	0.996	0.985	5.64193367560817e-39	IL32	Control
1.8190520762257e-43	-1.97050072494375	0.195	0.479	6.10073685324575e-39	MT2A	Control
4.6183341602776e-41	-0.61066926510785	0.995	0.992	1.5488969106739e-36	BTG1	Control
1.74572238892703e-40	-1.1087120593498	0.397	0.676	5.85480374798347e-36	PLP2	Control
2.69439544926828e-33	0.509564838271343	1	0.995	9.03646345775594e-29	FOS	Control
8.07517067880486e-33	0.749747591750864	0.689	0.404	2.70825074225757e-28	HSPA1B	Control
8.39730829145588e-32	-0.503300252750724	0.975	0.995	2.81628925478847e-27	SRGN	Control
2.86127816501849e-31	0.381454243307898	0.991	0.985	9.59615470983901e-27	ITM2B	Control
5.01856137130967e-31	-0.766824063414178	0.798	0.883	1.68312511270984e-26	CXCR4	Control
9.26023102297021e-31	0.455941458971019	0.984	0.969	3.10569628048375e-26	CORO1A	Control
1.44659343766916e-29	-0.459175274366252	0.947	1	4.85158507125481e-25	RPS26	Control
2.57154257683261e-29	0.698161402652983	0.784	0.604	8.62443949418121e-25	ANXA6	Control
4.22754884382096e-28	0.692670863881963	0.789	0.607	1.41783533124067e-23	EIF5A	Control
3.48225341075107e-27	0.620515160230848	0.766	0.525	1.16787814889769e-22	NR4A1	Control
1.3930390354834e-25	-0.649784176258234	0.936	0.964	4.67197431720422e-21	TSC22D3	Control
2.19868423024813e-25	-0.360809161925492	0.997	0.998	7.37394717140618e-21	MT-ND3	Control
8.62681137001476e-25	0.352542192321546	1	0.997	2.89325999727555e-20	PFN1	Control
3.05944086033406e-23	0.446537054320681	0.933	0.863	1.02607527573884e-18	LSP1	Control
7.82211575475964e-23	0.333920952003312	1	0.996	2.62338118183129e-18	HLA-C	Control
2.09893787240555e-22	0.284971402755435	1	0.999	7.03941783647375e-18	RPS5	Control
4.42267798813039e-22	-0.468492781344046	0.848	0.927	1.48327774365917e-17	RPL36A	Control
4.57798152182866e-22	1.35394346016179	0.387	0.198	1.5353634427909e-17	CISH	Control
