Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Ribosome	27/158	2.47384765636295e-28	4.52714121114419e-26	30.3130910333827	1926.90037224777	RPL23;RPS7;RPSA;RPL29;RPL11;RPL13;RPL12;RPS5;RPS2;RPL41;RPS27;RPS26;RPS29;RPS28;RPS21;RPL5;RPL6;RPL4;RPL7;RPL37;RPL39;RPS11;RPL13A;RPL37A;RPL36A;RPS4X;RPL18A	1	KEGG_2021_Human
Coronavirus disease	28/232	5.31611318119533e-25	4.86424356079373e-23	20.2631578947368	1132.58661494841	RPL23;RPL29;RPL11;RPL13;RPL12;RPL41;RPS27;RPS26;RPS29;RPS28;RPS21;RPL5;RPL6;RPL4;RPL7;RPL37;RPL39;RPS11;RPL18A;RPS7;RPSA;RPS5;RPS2;RPL13A;NFKBIA;RPL37A;RPL36A;RPS4X	2	KEGG_2021_Human
Antigen processing and presentation	8/78	2.15340996346435e-07	1.31358007771325e-05	14.7667600373483	226.685168831439	HSP90AA1;HSPA8;HSPA1A;HSPA1B;KIR3DL2;HLA-B;PSME2;HSP90AB1	3	KEGG_2021_Human
Salmonella infection	9/249	0.000192124714534668	0.00878970568996107	4.83527960526316	41.3772565302978	ACTB;S100A10;PTPRC;TUBA1B;ARPC3;HSP90AA1;NFKBIA;CDC42;HSP90AB1	4	KEGG_2021_Human
Toxoplasmosis	6/112	0.000293596263771972	0.0107456232540542	7.20620815581254	58.6102887301452	HSPA1A;HSPA1B;HSPA8;NFKBIA;ITGA6;SOCS1	5	KEGG_2021_Human
Measles	6/139	0.000922588116079968	0.028138937540439	5.73543536260005	40.0811016314818	HSPA1A;HSPA1B;HSPA8;MSN;NFKBIA;RACK1	6	KEGG_2021_Human
Legionellosis	4/57	0.00114669656280519	0.0291817414960809	9.51135680807595	64.4001607030886	HSPA8;NFKBIA;HSPA1A;HSPA1B	7	KEGG_2021_Human
Cell adhesion molecules	6/148	0.00127570454627676	0.0291817414960809	5.36946842344389	35.78351574281	HLA-B;ITGA4;PTPRC;ITGA6;ICOS;SELPLG	8	KEGG_2021_Human
Prion disease	8/273	0.00169362545719892	0.0326825718627208	3.86217782710569	24.6441079561339	HSPA1A;HSPA1B;ATP5F1E;NDUFA11;ATP5F1B;TUBA1B;HSPA8;SLC25A6	9	KEGG_2021_Human
Lipid and atherosclerosis	7/215	0.00181634632992242	0.0326825718627208	4.28999125874126	27.0738272701838	HSPA1A;HSPA1B;HSP90AA1;HSPA8;NFKBIA;CDC42;HSP90AB1	10	KEGG_2021_Human
Regulation of actin cytoskeleton	7/218	0.00196452617754059	0.0326825718627208	4.22834984920293	26.3532081678429	ACTB;PPP1CC;ARPC3;ITGA4;MSN;ITGA6;CDC42	11	KEGG_2021_Human
Protein processing in endoplasmic reticulum	6/171	0.00264708381860748	0.0377382945894206	4.61560117302053	27.390346766774	HSPA1A;HSPA1B;HSP90AA1;HSPA8;DNAJB1;HSP90AB1	12	KEGG_2021_Human
MAPK signaling pathway	8/294	0.00268086245717196	0.0377382945894206	3.57475204534028	21.1683114953121	HSPA1A;HSPA1B;JUND;CDC25B;RASGRP2;NR4A1;HSPA8;CDC42	13	KEGG_2021_Human
Endocytosis	7/252	0.00438154193054027	0.0568827833227553	3.63525046382189	19.7406989969698	HSPA1A;HSPA1B;HLA-B;CAPZA1;ARPC3;HSPA8;CDC42	14	KEGG_2021_Human
Estrogen signaling pathway	5/137	0.00506123861418907	0.0568827833227553	4.78511072261072	25.2947845281452	HSPA1A;HSPA1B;HSP90AA1;HSPA8;HSP90AB1	15	KEGG_2021_Human
Yersinia infection	5/137	0.00506123861418907	0.0568827833227553	4.78511072261072	25.2947845281452	ACTB;ARPC3;ITGA4;NFKBIA;CDC42	15	KEGG_2021_Human
Pathogenic Escherichia coli infection	6/197	0.00528419298626688	0.0568827833227553	3.98203006248944	20.877924462945	ACTB;TUBA1B;ARPC3;NCL;NFKBIA;CDC42	17	KEGG_2021_Human
Pyruvate metabolism	3/47	0.00640555661119042	0.0651231588804359	8.54214614499425	43.1428731558761	MDH2;LDHB;LDHA	18	KEGG_2021_Human
IL-17 signaling pathway	4/94	0.00703923352201181	0.067798933396219	5.59065817409766	27.7087330603598	HSP90AA1;NFKBIA;JUND;HSP90AB1	19	KEGG_2021_Human
Cysteine and methionine metabolism	3/50	0.00760819903528589	0.0696150211728659	7.99569081605171	39.0072078641635	LDHB;LDHA;MDH2	20	KEGG_2021_Human
PI3K-Akt signaling pathway	8/354	0.00805759880333863	0.0702162181433795	2.94578563602705	14.202044024715	NR4A1;THEM4;HSP90AA1;ITGA4;ITGA6;YWHAZ;DDIT4;HSP90AB1	21	KEGG_2021_Human
Progesterone-mediated oocyte maturation	4/100	0.0087230121715486	0.0725596012451543	5.23964968152866	24.8453219644693	CDC25B;HSP90AA1;PDE3B;HSP90AB1	22	KEGG_2021_Human
T cell receptor signaling pathway	4/104	0.00998018798482559	0.0794075826618731	5.02904458598726	23.1695796251149	NFKBIA;PTPRC;ICOS;CDC42	23	KEGG_2021_Human
HIF-1 signaling pathway	4/109	0.0117096592449468	0.0875593351030151	4.78835304822566	21.2954397976873	ENO1;LDHB;LDHA;TIMP1	24	KEGG_2021_Human
Tight junction	5/169	0.0119616578009583	0.0875593351030151	3.84517667292058	17.0189400909399	ACTB;ARPC3;MSN;CDC42;TUBA1B	25	KEGG_2021_Human
Leukocyte transendothelial migration	4/114	0.0136208650079281	0.0958699344788786	4.56954255935148	19.631451553816	ACTB;ITGA4;MSN;CDC42	26	KEGG_2021_Human
Parkinson disease	6/249	0.015622575616172	0.105886345842944	3.12162485065711	12.9829571746487	ATP5F1E;NDUFA11;ATP5F1B;TUBA1B;UBB;SLC25A6	27	KEGG_2021_Human
Glycolysis / Gluconeogenesis	3/67	0.0168434381237464	0.110083899165914	5.86679193037975	23.9587704289626	LDHB;LDHA;ENO1	28	KEGG_2021_Human
Osteoclast differentiation	4/127	0.0194818730985311	0.122937337139007	4.08389001087463	16.0834649045322	JUND;JUNB;NFKBIA;SOCS1	29	KEGG_2021_Human
Focal adhesion	5/201	0.0234771298450964	0.131178292201375	3.21215986394558	12.0511518037716	ACTB;PPP1CC;ITGA4;ITGA6;CDC42	30	KEGG_2021_Human
Arrhythmogenic right ventricular cardiomyopathy	3/77	0.0242729227632309	0.131178292201375	5.07141635306192	18.8575233247488	ITGA4;ITGA6;ACTB	31	KEGG_2021_Human
Bacterial invasion of epithelial cells	3/77	0.0242729227632309	0.131178292201375	5.07141635306192	18.8575233247488	ACTB;CDC42;ARPC3	31	KEGG_2021_Human
Diabetic cardiomyopathy	5/203	0.024371923141239	0.131178292201375	3.17939005439005	11.8092831952244	ATP5F1E;NDUFA11;ATP5F1B;PPP1CC;SLC25A6	33	KEGG_2021_Human
Viral carcinogenesis	5/203	0.024371923141239	0.131178292201375	3.17939005439005	11.8092831952244	SP100;HLA-B;NFKBIA;YWHAZ;CDC42	33	KEGG_2021_Human
RNA degradation	3/79	0.0259389809659324	0.132630117048827	4.93745836109261	18.0316393359873	PABPC1;TOB1;ENO1	35	KEGG_2021_Human
