Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Antigen processing and presentation	23/78	1.47125341082382e-24	3.44273298132775e-22	0	0	32.1248579545455	1762.88137715209	CD74;HSPA8;HSP90AA1;HSP90AB1;HLA-DRB4;KLRC2;KLRC3;KLRC4;IFI30;CTSS;HLA-DMA;CD4;HLA-DMB;IFNG;CD8B;CD8A;KLRD1;KLRC1;HSPA1B;HLA-DRB1;CTSB;HLA-DQB1;HSPA1A
Apoptosis	19/142	1.18629703129977e-13	1.38796752662074e-11	0	0	11.6435897435897	346.545477594707	JUN;BCL2A1;PRF1;GZMB;CTSW;FOS;ACTB;TUBA4A;CTSS;ERN1;NFKBIA;TUBA1A;LMNA;PMAIP1;CYCS;CTSH;CTSC;CTSB;BIRC3
Graft-versus-host disease	12/42	3.26642571806918e-13	2.54781206009396e-11	0	0	29.4996254681648	848.111573538567	HLA-DMA;HLA-DMB;HLA-DRB4;IFNG;PRF1;CD28;GZMB;KLRD1;KLRC1;IL2;HLA-DRB1;HLA-DQB1
Allograft rejection	11/38	2.75492847131928e-12	1.61163315572178e-10	0	0	29.9383637368712	796.888277882362	HLA-DMA;HLA-DMB;HLA-DRB4;CD40LG;IFNG;PRF1;CD28;GZMB;IL2;HLA-DRB1;HLA-DQB1
Hematopoietic cell lineage	15/99	7.63825677211196e-12	3.5747041693484e-10	0	0	13.2826028138528	340.006097151496	HLA-DRB4;IL1R2;ITGA1;FLT3LG;HLA-DMA;CD4;HLA-DMB;CD8B;CD8A;CD7;IL7R;MS4A1;HLA-DRB1;CD55;HLA-DQB1
Type I diabetes mellitus	11/43	1.23806773164195e-11	4.82846415340361e-10	0	0	25.2540811567164	634.253322303846	HLA-DMA;HLA-DMB;HLA-DRB4;IFNG;PRF1;ICA1;CD28;GZMB;IL2;HLA-DRB1;HLA-DQB1
Th17 cell differentiation	15/107	2.42114521191184e-11	8.09354256553386e-10	0	0	12.1226531620553	296.3285022553	JUN;HSP90AA1;HLA-DRB4;HSP90AB1;FOS;FOXP3;IL2;NFKBIA;HLA-DMA;CD4;HLA-DMB;IFNG;IL6ST;HLA-DRB1;HLA-DQB1
Autoimmune thyroid disease	11/53	1.450174071212e-10	4.24175915829509e-09	0	0	19.2314321250888	435.672081388101	HLA-DMA;HLA-DMB;HLA-DRB4;CD40LG;PRF1;CD28;CTLA4;GZMB;IL2;HLA-DRB1;HLA-DQB1
Cytokine-cytokine receptor interaction	22/295	1.90848720024444e-10	4.96206672063556e-09	0	0	6.0982027052066	136.474971634365	CCL4L1;IL1R2;TNFRSF18;CXCR4;CXCR6;TNFRSF1B;IL2;TNFSF13B;CD4;CD40LG;IFNG;CXCR3;CCL5;XCL2;CD27;XCL1;CCR7;CCR6;LTB;IL6ST;IL7R;TNFRSF4
Th1 and Th2 cell differentiation	13/92	4.79005705697597e-10	1.07245329337601e-08	0	0	12.1512325116589	260.757048421916	JUN;HLA-DRB4;FOS;RUNX3;IL2;NFKBIA;HLA-DMA;CD4;MAF;HLA-DMB;IFNG;HLA-DRB1;HLA-DQB1
