p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.13871809864032	0.985	0.764	0	4	GZMA
0	2.02170073824607	0.965	0.695	0	4	GZMB
0	1.94483501522115	0.872	0.592	0	4	GNLY
0	1.92088263013484	0.954	0.681	0	4	CD8A
0	1.47572987475874	0.907	0.692	0	4	LAG3
0	1.41696241935441	0.926	0.7	0	4	CD8B
0	1.27711320811462	0.854	0.631	0	4	LOC101929531
0	1.26369998571313	0.831	0.615	0	4	IFNG
0	1.21074669728397	0.953	0.731	0	4	PRF1
0	1.18092727979184	0.954	0.838	0	4	ALOX5AP
0	1.18081856528972	0.836	0.539	0	4	KLRD1
0	1.17498547225594	0.809	0.572	0	4	LOC101060038
0	1.16683756713847	0.986	0.781	0	4	CCL5
0	1.16369756716749	0.926	0.747	0	4	CXCR6
0	1.09644212702179	0.98	0.753	0	4	NKG7
0	1.07866826821706	0.973	0.913	0	4	CD7
0	1.026624768839	0.784	0.587	0	4	CCL3
0	0.974725540342326	0.835	0.541	0	4	KLRC1
0	0.953575963601021	0.905	0.841	0	4	TIGIT
0	0.9452543499583	0.894	0.744	0	4	APOBEC3G
0	0.915142022323679	0.852	0.634	0	4	KLRC2
0	0.910122930024438	0.842	0.764	0	4	HAVCR2
0	0.906782791544077	0.916	0.825	0	4	SIRPG
0	0.894834752991727	0.879	0.595	0	4	GZMH
0	0.880441532678635	0.947	0.872	0	4	ENTPD1
0	0.870744019836895	0.889	0.783	0	4	PDCD1
0	0.865784944338602	0.948	0.863	0	4	CTSD
0	0.864843366149445	0.973	0.928	0	4	RGS1
0	0.851333119296952	0.949	0.878	0	4	FKBP1A
0	0.838440472661909	0.869	0.703	0	4	RAB27A
0	0.830163280845375	0.977	0.932	0	4	TPI1
0	0.823064325379778	0.8	0.611	0	4	KIR2DL4
0	0.82274684128294	0.883	0.827	0	4	ACP5
0	0.805664964064264	0.978	0.931	0	4	LSP1
0	0.802635068546263	0.86	0.748	0	4	CD63
0	0.793048672213509	0.772	0.573	0	4	ANKRD28
0	0.781241113421107	0.8	0.599	0	4	PELO
0	0.767376411277181	0.816	0.688	0	4	AMICA1
0	0.766026529746759	0.861	0.772	0	4	ITGAE
0	0.736551004577878	0.766	0.688	0	4	CLIC3
0	0.730000459309673	0.922	0.84	0	4	CLEC2B
0	0.72911837047737	0.823	0.673	0	4	ABI3
0	0.709363262042815	0.785	0.568	0	4	KLRC3
0	0.694390839570346	0.958	0.898	0	4	PGAM1
0	0.693753566318329	0.862	0.774	0	4	DUSP4
0	0.69173680013728	0.812	0.678	0	4	RUNX3
0	0.689568308876708	0.789	0.626	0	4	HOPX
0	0.689197109252263	0.927	0.869	0	4	BST2
0	0.68498441196812	0.88	0.784	0	4	RBPJ
0	0.682930122128716	0.919	0.842	0	4	CTLA4
0	0.680927267142735	0.927	0.763	0	4	CTSW
0	0.678452988325982	0.888	0.803	0	4	ISG15
0	0.645682349124787	0.716	0.522	0	4	FASLG
0	0.640056669563595	0.837	0.686	0	4	CXCL13
0	0.634324608295902	0.769	0.7	0	4	GALNT2
0	0.609185674001806	0.74	0.608	0	4	KLRC4
0	0.596336259758109	0.948	0.879	0	4	POMP
0	0.595626291059805	0.763	0.638	0	4	FAM3C
0	0.594197251787458	0.857	0.756	0	4	IDH2
0	0.566287042991714	0.984	0.964	0	4	IFITM1
0	0.563856028207689	0.998	0.995	0	4	GAPDH
0	0.5558426479865	0.784	0.63	0	4	GABARAPL1
0	0.551106036765877	0.796	0.768	0	4	LAYN
0	0.536584526299289	0.911	0.829	0	4	ANXA5
0	0.535887335059425	0.699	0.532	0	4	IFITM10
0	0.535598421725499	0.981	0.957	0	4	CORO1A
