p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.61384365728768	0.992	0.733	0	19	STMN1
0	2.61709423444934	0.985	0.827	0	19	TUBA1B
0	2.44790336595053	0.952	0.658	0	19	TYMS
0	2.41739366257385	0.988	0.867	0	19	TUBB
0	2.2668729573026	0.879	0.444	0	19	RRM2
0	2.25025641618265	0.934	0.636	0	19	KIAA0101
0	2.19969889184008	0.986	0.809	0	19	HMGB2
0	2.16642383450069	0.997	0.85	0	19	HMGN2
0	2.07764611076067	0.995	0.827	0	19	H2AFZ
0	1.94763898088907	0.82	0.447	0	19	UBE2C
0	1.68395256332185	0.97	0.801	0	19	DUT
0	1.68284966162009	0.844	0.52	0	19	NUSAP1
0	1.65158331721936	0.838	0.722	0	19	BIRC5
0	1.57558882875225	0.896	0.671	0	19	PCNA
0	1.48526252567821	0.852	0.554	0	19	CDK1
0	1.46646874806293	0.852	0.527	0	19	MKI67
0	1.45918782637311	0.891	0.488	0	19	ASF1B
0	1.45912664426713	0.866	0.547	0	19	CKS1B
0	1.45279285542693	0.873	0.578	0	19	MCM7
0	1.43724315929377	0.963	0.75	0	19	RANBP1
0	1.4295625523189	0.878	0.662	0	19	TK1
0	1.42930512163971	0.916	0.716	0	19	PTTG1
0	1.41000728136698	0.926	0.616	0	19	TMEM106C
0	1.40933697240922	0.827	0.553	0	19	TOP2A
0	1.40257917215195	0.911	0.773	0	19	FABP5
0	1.35187139526237	0.913	0.68	0	19	CENPU
0	1.3392256511524	0.896	0.548	0	19	MAD2L1
0	1.3226434223803	0.917	0.626	0	19	CARHSP1
0	1.28544813044358	0.774	0.514	0	19	CCNA2
0	1.28382205123336	0.957	0.78	0	19	DEK
0	1.27876062883151	0.957	0.812	0	19	CKS2
0	1.25329549792282	0.882	0.761	0	19	SMC4
0	1.24537547287925	0.999	0.954	0	19	HMGB1
0	1.2413243069285	0.855	0.622	0	19	MCM5
0	1.23459917776097	0.894	0.712	0	19	CENPM
0	1.1944972896254	0.845	0.7	0	19	GINS2
0	1.17462098893004	0.877	0.683	0	19	SMC2
0	1.15975167138456	0.752	0.296	0	19	PLK1
0	1.15105124595646	0.852	0.704	0	19	UBE2T
0	1.14770085837145	0.93	0.771	0	19	NASP
0	1.14317488537845	0.807	0.54	0	19	CCNB2
0	1.13353586351414	0.835	0.536	0	19	ZWINT
0	1.12502136116284	0.951	0.756	0	19	RPA3
0	1.10294173254319	0.909	0.705	0	19	NUDT1
0	1.09169954458806	0.877	0.624	0	19	FEN1
0	1.08745398188073	0.812	0.461	0	19	UHRF1
0	1.08090277834527	0.877	0.577	0	19	RRM1
0	1.0747615435232	0.941	0.704	0	19	H2AFV
0	1.05354335271114	0.808	0.489	0	19	CDKN3
0	1.05353248466576	0.978	0.871	0	19	PKM
0	1.04860498640889	0.982	0.843	0	19	CALM3
0	1.03840164313066	0.842	0.498	0	19	CLSPN
0	1.0359337865577	0.88	0.534	0	19	CENPW
0	1.02387486832251	0.82	0.433	0	19	DHFR
0	1.00021571446194	0.955	0.75	0	19	SNRPD1
0	0.994997559805638	0.932	0.787	0	19	PRDX3
0	0.989936981203887	0.912	0.656	0	19	ANP32E
0	0.985063648049814	0.834	0.518	0	19	CDCA8
0	0.982073494011932	0.963	0.817	0	19	HN1
0	0.981329373218294	0.992	0.928	0	19	SLC25A5
0	0.972617098841323	0.87	0.625	0	19	RFC4
0	0.963140193320821	0.866	0.658	0	19	CDK4
0	0.961692477442446	0.929	0.877	0	19	ENTPD1
0	0.960557440661136	0.984	0.901	0	19	PGAM1
0	0.946995209327977	0.994	0.935	0	19	TPI1
0	0.919424804464362	0.992	0.941	0	19	RAN
0	0.893487431415721	0.974	0.856	0	19	SNRPG
0	0.890223043475394	0.893	0.704	0	19	DNMT1
0	0.888651972487472	0.81	0.613	0	19	AURKB
0	0.888357787297914	0.817	0.567	0	19	KIFC1
0	0.878628679422456	0.872	0.617	0	19	GMNN
0	0.863441759636105	0.765	0.525	0	19	TROAP
0	0.861721431583003	0.855	0.63	0	19	DTYMK
0	0.855133566580112	0.79	0.449	0	19	PKMYT1
0	0.838718516719903	0.856	0.681	0	19	EZH2
0	0.830868244348398	0.887	0.725	0	19	SAE1
0	0.809978035425273	1	0.998	0	19	ACTB
0	0.807610229820114	0.811	0.458	0	19	NUF2
0	0.789847698665074	0.799	0.526	0	19	CENPK
0	0.78623112069153	1	0.985	0	19	PFN1
0	0.775195763145296	1	0.995	0	19	GAPDH
0	0.746837139854004	0.879	0.692	0	19	SKA2
0	0.716621158195391	0.781	0.498	0	19	WDR34
0	0.715763985893693	0.762	0.486	0	19	DTL
0	0.682778989508974	0.772	0.429	0	19	KIF11
0	0.682557195209073	1	0.994	0	19	PTMA
0	0.6682881201459	0.785	0.34	0	19	FAM111B
0	0.662225675312544	0.816	0.532	0	19	HIRIP3
0	0.64051228233027	0.765	0.42	0	19	RAD51AP1
0	0.621979676379873	0.76	0.392	0	19	HJURP
0	0.617146143885539	0.75	0.335	0	19	SGOL1
0	0.616957904681714	0.805	0.615	0	19	ATAD5
0	0.611788718057586	0.771	0.517	0	19	SPC25
0	0.595976229413627	0.802	0.537	0	19	CDK2
0	0.573599705509495	0.806	0.619	0	19	RBBP8
0	0.566543001528477	0.8	0.408	0	19	CENPA
0	0.561134558578708	0.765	0.543	0	19	MND1
0	0.539125199530949	0.772	0.534	0	19	HIST1H3B
0	0.538438372910329	0.76	0.434	0	19	CEP55
0	0.532482713225914	0.722	0.327	0	19	CKAP2L
0	0.511948776604631	0.787	0.36	0	19	KIF2C
0	0.464060088502332	0.755	0.527	0	19	MCM10
0	0.383263918642232	0.685	0.22	0	19	KIF15
0	0.280793248488441	0.767	0.615	0	19	MYBL2
