Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Allograft rejection	16/38	4.84844295474077e-15	9.17233716520465e-13	0	0	23.9209754591758	788.438192510129	CD86;CD40;HLA-DRB4;CD80;PRF1;GZMB;FASLG;HLA-DMA;HLA-DMB;CD40LG;CD28;HLA-DOA;HLA-DRB3;HLA-DOB;HLA-DRB1;HLA-DQB1
Viral myocarditis	19/60	6.62262611206112e-15	9.17233716520465e-13	0	0	15.3053358861234	499.692959000109	CD86;CD40;HLA-DRB4;CD80;PRF1;ACTB;ICAM1;HLA-DMA;HLA-DMB;CD40LG;CCND1;CD28;HLA-DOA;BID;HLA-DRB3;HLA-DOB;CD55;HLA-DRB1;HLA-DQB1
Hematopoietic cell lineage	23/99	1.68145220789285e-14	1.5525408719544e-12	0	0	10.0456004702478	318.611623565254	HLA-DRB4;FLT3;IL1R2;FLT3LG;CD1C;CSF2RA;HLA-DMA;HLA-DMB;CD8B;CD8A;ANPEP;CD7;CD38;CD9;CD59;HLA-DOA;HLA-DRB3;IL7R;HLA-DOB;HLA-DRB1;CD33;CD55;HLA-DQB1
Antigen processing and presentation	20/78	1.16233818532627e-13	7.74655963412325e-12	0	0	11.3981727085175	339.473744595739	CD74;HSPA8;CIITA;HLA-DRB4;KLRC2;KLRC3;KLRC4;IFI30;HLA-DMA;HLA-DMB;CD8B;CD8A;CALR;HLA-DOA;HLA-DRB3;HLA-DOB;HLA-DRB1;CTSB;HLA-DQB1;LGMN
Autoimmune thyroid disease	17/53	1.39829596283813e-13	7.74655963412325e-12	0	0	15.547193877551	460.171315181834	CD86;CD40;HLA-DRB4;CD80;PRF1;GZMB;FASLG;HLA-DMA;HLA-DMB;CD40LG;CD28;CTLA4;HLA-DOA;HLA-DRB3;HLA-DOB;HLA-DRB1;HLA-DQB1
Cytokine-cytokine receptor interaction	37/295	2.37400234359916e-13	1.09599774862828e-11	0	0	4.83178431051425	140.455277884316	CD40;CXCL9;CCL4L1;CCL4L2;CXCR4;CSF2RB;FASLG;CXCR6;CXCL13;CSF2RA;CXCL16;CCL5;CCL4;CCR7;CCR6;CCL17;TNFRSF4;IL13RA1;IL32;CCL22;IFNGR1;CD70;IL1R2;IFNGR2;IL18;TNFRSF1B;CXCL10;CD40LG;IL2RB;CD27;XCL1;TNFSF8;TNFRSF25;LTB;IL6ST;IL7R;TNFRSF21
Influenza A	28/172	3.33437929726749e-13	1.31946152191871e-11	0	0	6.48743500866551	186.379594167515	TPSD1;TPSB2;CIITA;FASLG;PIK3R1;ACTB;ICAM1;PYCARD;DNAJB1;HLA-DMA;HLA-DMB;CCL5;NLRP3;HLA-DOA;BID;HLA-DOB;HLA-DRB4;IFNGR1;IFNGR2;IL18;NFKB1;CXCL10;VDAC1;HLA-DRB3;SLC25A5;MYD88;HLA-DRB1;HLA-DQB1
Intestinal immune network for IgA production	15/48	5.94231280784256e-12	2.05752580971549e-10	0	0	14.9167950693374	385.583082630504	CD86;CD40;HLA-DRB4;CD80;CXCR4;HLA-DMA;HLA-DMB;CD40LG;CD28;ICOS;HLA-DOA;HLA-DRB3;HLA-DOB;HLA-DRB1;HLA-DQB1
Graft-versus-host disease	14/42	1.12038813859086e-11	3.44830571544076e-10	0	0	16.3849407783418	413.142363191105	CD86;HLA-DRB4;CD80;PRF1;GZMB;FASLG;HLA-DMA;HLA-DMB;CD28;HLA-DOA;HLA-DRB3;HLA-DOB;HLA-DRB1;HLA-DQB1
Type I diabetes mellitus	14/43	1.61553952210761e-11	4.47504447623807e-10	0	0	15.8191259700099	393.08577620502	CD86;HLA-DRB4;CD80;PRF1;GZMB;FASLG;HLA-DMA;HLA-DMB;CD28;HLA-DOA;HLA-DRB3;HLA-DOB;HLA-DRB1;HLA-DQB1
