p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.30373134481587	0.914	0.894	0	3	SELL
0	1.10393621994244	0.992	0.892	0	3	IL7R
0	0.924279535275358	0.84	0.801	0	3	CCR7
0	0.834900872006537	0.876	0.784	0	3	NOSIP
0	0.765462225763549	0.762	0.612	0	3	TCF7
0	0.725273107657381	0.827	0.74	0	3	LEF1
0	0.701710690329904	0.862	0.869	0	3	MAL
0	0.699988203796882	0.994	0.985	0	3	PABPC1
0	0.686747958753561	0.955	0.902	0	3	LTB
0	0.681434009018524	1	0.999	0	3	RPS12
0	0.661765210874317	0.813	0.807	0	3	PASK
0	0.627597555801774	0.999	0.997	0	3	RPS18
0	0.593280438365893	0.985	0.972	0	3	LDHB
0	0.564549492294428	1	1	0	3	EEF1A1
0	0.529928908090587	0.999	0.998	0	3	RPS8
0	0.523144309430267	0.998	0.993	0	3	RPLP0
0	0.461936655218242	0.776	0.711	0	3	S1PR1
0	0.452690235734146	0.797	0.685	0	3	PLAC8
0	0.430615869040094	0.728	0.577	0	3	FXYD7
0	0.422983629896018	0.877	0.805	0	3	IMPDH2
0	0.407140099405212	0.788	0.63	0	3	TNFSF8
0	0.392518940962851	1	1	0	3	RPLP1
0	0.351522821922361	0.886	0.839	0	3	CDO1
0	-0.253198452830042	0.583	0.765	0	3	GK
0	-0.254627549818642	0.415	0.636	0	3	CPNE7
0	-0.257557705971301	0.612	0.738	0	3	ASB2
0	-0.257733154153467	0.602	0.821	0	3	LAYN
0	-0.270008368630048	0.807	0.855	0	3	OAS1
0	-0.327302256623245	0.428	0.686	0	3	KIR2DL4
0	-0.330512707964717	0.557	0.725	0	3	CD70
0	-0.333947945558226	0.581	0.78	0	3	TNFRSF9
0	-0.336131418179131	0.382	0.658	0	3	LOC102724850
0	-0.337994304144368	0.461	0.674	0	3	HSH2D
0	-0.344082598486384	0.466	0.74	0	3	SKA2
0	-0.345509517413187	0.458	0.731	0	3	USP11
0	-0.345909832893333	0.661	0.78	0	3	IKZF2
0	-0.346047178868325	0.572	0.799	0	3	LAIR2
0	-0.347814551825925	0.639	0.786	0	3	COMT
0	-0.349857397735623	0.557	0.721	0	3	IL21R
0	-0.355801104907614	0.641	0.764	0	3	EIF4EBP1
0	-0.355813041228331	0.626	0.755	0	3	HSBP1
0	-0.382633992044402	0.71	0.808	0	3	LAP3
0	-0.389803278540174	0.49	0.693	0	3	APOBEC3H
0	-0.394386534011749	0.287	0.71	0	3	TNIP3
0	-0.397333363048764	0.685	0.803	0	3	HAVCR2
0	-0.403450142919302	0.722	0.788	0	3	JAKMIP1
0	-0.404414467745833	0.661	0.797	0	3	SMS
0	-0.413897690649836	0.627	0.786	0	3	APOBEC3C
0	-0.413986816685075	0.827	0.905	0	3	EPSTI1
0	-0.479589436144678	0.764	0.873	0	3	MT1E
0	-0.524511246009445	0.675	0.817	0	3	AP2S1
0	-0.534472984826851	0.762	0.909	0	3	DNPH1
0	-0.546142919668436	0.616	0.766	0	3	TOX
0	-0.56019737587876	0.532	0.706	0	3	HLA-DMA
0	-0.568438275050623	0.588	0.744	0	3	TYMP
0	-0.568689447864287	0.732	0.85	0	3	RNF19A
0	-0.584537873921973	0.718	0.835	0	3	HN1
0	-0.591582179716226	0.798	0.881	0	3	PDIA6
0	-0.596905541258077	0.691	0.814	0	3	BTG3
0	-0.599809970806381	0.696	0.817	0	3	TPM4
0	-0.610302869681093	0.634	0.746	0	3	PTTG1
0	-0.611858726447124	0.51	0.736	0	3	CLIC3
0	-0.630413649809219	0.61	0.739	0	3	IL2RB
0	-0.633186475695457	0.765	0.888	0	3	VDAC1
0	-0.635919175258548	0.999	0.999	0	3	TMSB4X
0	-0.648278893469807	0.713	0.785	0	3	FABP5
0	-0.66153394264927	0.85	0.905	0	3	ENTPD1
0	-0.670052347167082	0.556	0.71	0	3	LYST
0	-0.670355294513891	0.601	0.74	0	3	RAB27A
0	-0.670679857541719	0.548	0.707	0	3	RUNX3
0	-0.67787853058045	0.696	0.809	0	3	ITGAE
0	-0.684459553710861	0.523	0.703	0	3	LOC101928173
0	-0.690587798337292	0.765	0.843	0	3	ANXA5
0	-0.692464016008369	0.47	0.708	0	3	ABI3
0	-0.693776670047786	0.649	0.849	0	3	ACP5
0	-0.695326752266272	0.812	0.917	0	3	COX5A
0	-0.695697601585374	0.795	0.906	0	3	PMAIP1
0	-0.697565159898944	0.806	0.877	0	3	TXN
0	-0.70726154187959	0.68	0.799	0	3	CD97
0	-0.708127227092216	0.965	0.981	0	3	SH3BGRL3
0	-0.709439721219253	0.738	0.832	0	3	LGALS3
0	-0.715076917195446	0.74	0.846	0	3	CARD16
0	-0.71817383864099	0.637	0.799	0	3	CDK2AP2
0	-0.730757236444288	0.701	0.791	0	3	TNFRSF1B
0	-0.734987712098597	0.93	0.965	0	3	CORO1A
0	-0.736974631394163	0.631	0.819	0	3	RBPJ
0	-0.748816417351554	0.835	0.91	0	3	PGAM1
0	-0.768212564793725	0.823	0.895	0	3	HERPUD1
0	-0.773843948757537	0.761	0.861	0	3	SH2D2A
0	-0.774061455948372	0.726	0.835	0	3	PDCD1
0	-0.780900146160634	0.68	0.885	0	3	SIRPG
0	-0.781195669113586	0.872	0.933	0	3	MT2A
0	-0.784523665093444	0.704	0.866	0	3	CALM3
0	-0.799318756565348	0.567	0.776	0	3	CXCR3
0	-0.815135981995864	0.607	0.737	0	3	C12orf75
0	-0.815146451543823	0.944	0.971	0	3	UBC
0	-0.821418570779463	0.532	0.708	0	3	KLRC2
0	-0.831990580519148	0.833	0.911	0	3	LY6E
0	-0.84989612144342	0.762	0.857	0	3	ANXA2
0	-0.853723401214172	0.756	0.883	0	3	BST2
0	-0.854099095017954	0.938	0.967	0	3	S100A4
0	-0.864194212600688	0.731	0.898	0	3	POMP
0	-0.867305915385788	0.834	0.933	0	3	PSME2
0	-0.869901027057077	0.966	0.984	0	3	CFL1
0	-0.876203569398589	0.881	0.942	0	3	CRIP1
0	-0.879660092890898	0.753	0.899	0	3	FKBP1A
0	-0.885148911915328	0.586	0.754	0	3	MIR4435-1HG
0	-0.890167350382913	0.994	0.995	0	3	GAPDH
0	-0.902107531069891	0.88	0.941	0	3	TPI1
0	-0.904173459774349	0.777	0.893	0	3	DBI
0	-0.904364796794667	0.352	0.704	0	3	CMC1
0	-0.914655916703908	0.481	0.648	0	3	AOAH
0	-0.920938264962032	0.797	0.862	0	3	ALOX5AP
0	-0.921094370431481	0.973	0.986	0	3	PFN1
0	-0.928227261351804	0.998	0.998	0	3	ACTB
0	-0.942914336394676	0.636	0.762	0	3	CD63
0	-0.950739345659696	0.733	0.868	0	3	GSTP1
0	-0.983630961175108	0.962	0.978	0	3	IL32
0	-0.992297870708709	0.739	0.818	0	3	LOC100996809
0	-1.00051487685716	0.568	0.82	0	3	CXCR6
0	-1.00295574861382	0.673	0.903	0	3	CTLA4
0	-1.01448945984683	0.784	0.926	0	3	UCP2
0	-1.0747096341758	0.607	0.82	0	3	HLA-DRB4
0	-1.07820101134322	0.957	0.985	0	3	MYL6
0	-1.09001745862849	0.753	0.797	0	3	LINC00152
0	-1.10362245374431	0.976	0.993	0	3	SRGN
0	-1.11689798747669	0.764	0.878	0	3	TIGIT
0	-1.12552245461977	0.737	0.886	0	3	CTSD
0	-1.12897860581915	0.73	0.862	0	3	CLEC2B
0	-1.1316354775576	0.742	0.865	0	3	CTSC
0	-1.13580185862226	0.862	0.94	0	3	LSP1
0	-1.15051012306824	0.347	0.609	0	3	XCL1
0	-1.15977570023637	0.574	0.794	0	3	APOBEC3G
0	-1.19176528768832	0.889	0.949	0	3	CD7
0	-1.26202708743	0.447	0.767	0	3	LAG3
