Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Antigen processing and presentation	16/78	3.28098480889299e-14	8.03841278178782e-12	0	0	17.8446160835984	554.040490958666	CD74;HLA-DRB4;KLRC2;KLRC3;KLRC4;TNF;KIR2DL4;CD4;IFNG;CD8B;CD8A;PSME2;KLRD1;KLRC1;CALR;HLA-DRB1
Cytokine-cytokine receptor interaction	23/295	1.27593589369923e-10	1.56302146978156e-08	0	0	5.93071777447441	135.114626409728	IL32;TNFRSF18;FASLG;CXCR6;CXCL13;TNF;CD4;CD40LG;IFNG;CXCR3;CCL5;IL2RA;IL2RB;XCL2;CCL3;CD27;XCL1;TNFSF8;CCR7;CCR6;LTB;IL7R;TNFRSF4
Graft-versus-host disease	10/42	4.77952321448329e-10	3.90327729182802e-08	0	0	21.1939655172414	454.854505735045	HLA-DRB4;IFNG;PRF1;CD28;GZMB;FASLG;KLRD1;KLRC1;TNF;HLA-DRB1
Natural killer cell mediated cytotoxicity	15/131	1.23656580175179e-09	7.57396553572969e-08	0	0	8.88566243194192	182.25318072333	KLRC2;KLRC3;SH2D1A;PRF1;ICAM2;GZMB;FASLG;TNF;PPP3CA;FCGR3A;KLRK1;IFNG;KLRD1;PTPN6;KLRC1
Allograft rejection	9/38	3.79534695071291e-09	1.85972000584932e-07	0	0	20.9786704585851	406.765721220342	HLA-DRB4;CD40LG;IFNG;PRF1;CD28;GZMB;FASLG;TNF;HLA-DRB1
T cell receptor signaling pathway	13/104	5.41946567583718e-09	2.21294848430018e-07	0	0	9.76057740169238	185.775691476556	FOS;TNF;PPP3CA;CD4;CD40LG;CD8B;IFNG;CD8A;CD28;CTLA4;PTPN6;PDCD1;ICOS
Type I diabetes mellitus	9/43	1.22944186184749e-08	4.30304651646623e-07	0	0	17.8890236506974	325.832831478238	HLA-DRB4;IFNG;PRF1;ICA1;CD28;GZMB;FASLG;TNF;HLA-DRB1
Rheumatoid arthritis	12/93	1.46916905720382e-08	4.4993302376867e-07	0	0	10.0920781893004	182.020558429748	HLA-DRB4;IFNG;CCL5;CCL3;CD28;ACP5;CTLA4;FOS;LTB;TNF;HLA-DRB1;ATP6V1F
Apoptosis	14/142	3.0966086877465e-08	8.42965698330992e-07	0	0	7.48492132867133	129.41708316767	GADD45B;PRF1;GZMB;FASLG;CTSW;FOS;TNF;ACTB;TUBA4A;DDIT3;PMAIP1;BAX;CTSD;BIRC3
Salmonella infection	18/249	4.44314052241961e-08	1.0885694279928e-06	0	0	5.37966289030119	91.0740307568652	ANXA2;AHNAK;ARPC1B;TCF7;LEF1;TXN;FOS;DYNLL1;TNF;ACTB;TUBA4A;RHOB;HSP90B1;FLNA;BAX;PFN1;S100A10;BIRC3
Th1 and Th2 cell differentiation	11/92	1.31716472194457e-07	2.93368506251291e-06	0	0	9.21906104489726	146.054027073994	PPP3CA;CD4;MAF;HLA-DRB4;IFNG;IL2RA;IL2RB;FOS;RBPJ;RUNX3;HLA-DRB1
Human T-cell leukemia virus 1 infection	16/219	2.18466863924122e-07	4.46036513845082e-06	0	0	5.41094844931659	82.9857223592511	EGR1;CDKN1A;HLA-DRB4;FOS;TNF;PPP3CA;ZFP36;CD4;PTTG1;IL2RA;IL2RB;TSPO;BAX;VDAC1;CALR;HLA-DRB1
Hematopoietic cell lineage	11/99	2.81465537107411e-07	5.30454281471659e-06	0	0	8.48269896193772	127.946718510431	CD4;HLA-DRB4;CD8B;CD8A;IL2RA;ITGA1;CD7;IL7R;TNF;HLA-DRB1;CD55
Viral protein interaction with cytokine and cytokine receptor	11/100	3.12083313212766e-07	5.4614579812234e-06	0	0	8.38696007153688	125.636625432419	CXCR3;CCL5;IL2RA;IL2RB;XCL2;CCL3;XCL1;CCR7;CCR6;CXCL13;TNF
Cell adhesion molecules	13/148	3.75253173614182e-07	6.12913516903164e-06	0	0	6.56458897922313	97.1274588027904	HLA-DRB4;ICAM2;CD4;CD40LG;CD8B;SELL;CD8A;CD28;CTLA4;PDCD1;ICOS;TIGIT;HLA-DRB1
Human immunodeficiency virus 1 infection	15/212	7.89387420511728e-07	1.20874948765858e-05	0	0	5.21052631578947	73.2183606487206	APOBEC3G;APOBEC3H;FASLG;FOS;SAMHD1;TNF;GNAI2;BST2;PPP3CA;CD4;GNG5;CFL1;BAX;CALR;CALM2
Autoimmune thyroid disease	8/53	1.15167450146695e-06	1.6597661932906e-05	0	0	11.9665144596651	163.633631927667	HLA-DRB4;CD40LG;PRF1;CD28;CTLA4;GZMB;FASLG;HLA-DRB1
Fluid shear stress and atherosclerosis	11/139	8.20852908152597e-06	0.000111727201387437	0	0	5.81996107266436	68.1537043957413	IFNG;DUSP1;MGST3;GSTP1;TXN;FOS;TNF;CALM2;ACTB;KLF2;HSP90B1
Tuberculosis	12/180	1.83866711302808e-05	0.000223042710148889	0	0	4.84424603174603	52.8210994665257	PPP3CA;CD74;FCGR3A;HLA-DRB4;IFNG;BAX;LSP1;TNF;CORO1A;CALM2;CTSD;HLA-DRB1
Pathways in cancer	22/531	1.8697392898239e-05	0.000223042710148889	0	0	2.98371754462834	32.4841102323618	CDKN1A;GADD45B;MGST3;GSTP1;TCF7;LEF1;FASLG;FOS;GNAI2;HSP90B1;IFNG;GNG5;LPAR6;IL2RA;IL2RB;CKS2;PMAIP1;BAX;PIM2;IL7R;CALM2;BIRC3
Primary immunodeficiency	6/38	1.99697370407205e-05	0.000223042710148889	0	0	12.5433673469388	135.735447978806	CD4;CD40LG;CD8B;CD8A;ICOS;IL7R
Leishmaniasis	8/77	2.00283249929614e-05	0.000223042710148889	0	0	7.79471907881676	84.3261007637148	EEF1A1;FCGR3A;HLA-DRB4;IFNG;PTPN6;FOS;TNF;HLA-DRB1
Viral myocarditis	7/60	3.11548688858698e-05	0.000331867081610352	0	0	8.85626891622126	91.8974288407963	HLA-DRB4;CD40LG;PRF1;CD28;ACTB;CD55;HLA-DRB1
Th17 cell differentiation	9/107	3.3801828652996e-05	0.000345060334166001	0	0	6.18619819061645	63.6868834919989	PPP3CA;CD4;HLA-DRB4;IFNG;IL2RA;IL2RB;FOS;FOXP3;HLA-DRB1
Kaposi sarcoma-associated herpesvirus infection	12/193	3.66573578767762e-05	0.000359242107192407	0	0	4.4933241252302	45.8943470580137	PPP3CA;GABARAPL1;CDKN1A;ZFP36;CLEC2B;GNG5;TCF7;LEF1;BAX;FOS;CALM2;GABARAP
