p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.0244779640803	0.974	0.674	0	0	GZMK
0	1.66978907480671	0.95	0.801	0	0	CLDND1
0	1.49092076222706	0.987	0.784	0	0	CCL5
0	1.36589304395857	0.966	0.846	0	0	CST7
0	1.33111537746945	0.897	0.637	0	0	CMC1
0	1.31936149501696	0.97	0.755	0	0	NKG7
0	1.15733583322454	0.925	0.648	0	0	CCL4
0	1.14042722249696	0.843	0.609	0	0	KLRG1
0	1.11774588479534	0.884	0.668	0	0	LYST
0	1.08245243627568	0.968	0.774	0	0	GZMA
0	0.968502553699345	0.847	0.596	0	0	ITM2C
0	0.880129674620979	0.941	0.867	0	0	CD27
0	0.85744453271101	0.805	0.624	0	0	IFNG
0	0.794876835875888	0.905	0.731	0	0	TRAT1
0	0.734278359550896	0.75	0.596	0	0	CCL3
0	0.696275690990859	0.806	0.689	0	0	LYAR
0	0.662644445639361	0.867	0.586	0	0	DKK3
0	0.654190237005383	0.856	0.643	0	0	PPP1R14B
0	0.635759219108463	0.943	0.845	0	0	FAIM3
0	0.628722424342285	0.939	0.766	0	0	DUSP4
0	0.626199992533838	0.977	0.958	0	0	CXCR4
0	0.616032114301931	0.867	0.781	0	0	LINC00152
0	0.578813394037146	0.731	0.578	0	0	DTHD1
0	0.492714023980437	0.809	0.652	0	0	SRRT
0	0.49253453686059	0.825	0.562	0	0	CPNE7
0	0.474193885888105	0.705	0.548	0	0	CRTAM
0	0.461845796968225	0.842	0.599	0	0	GZMH
0	0.460866455814384	0.866	0.753	0	0	APOBEC3G
0	0.456454366601641	0.903	0.69	0	0	CHI3L2
0	0.448079120001262	0.933	0.754	0	0	CXCR6
0	0.434492967840906	0.701	0.542	0	0	C1orf21
0	0.377381457854301	0.883	0.725	0	0	TOX
0	0.376537550537785	0.775	0.614	0	0	AOAH
0	0.370719285422574	0.765	0.594	0	0	LOC102724850
0	0.366334497364681	0.956	0.878	0	0	PMAIP1
0	0.346683473669009	0.73	0.645	0	0	TNIP3
0	0.337192158499062	0.87	0.737	0	0	EIF4EBP1
0	0.32572356281641	0.778	0.59	0	0	PECAM1
0	0.280281394875442	0.863	0.765	0	0	FABP5
0	0.270212937053454	0.675	0.538	0	0	SLAMF7
0	0.254362517473946	0.605	0.402	0	0	ENC1
0	0.252159422095567	0.834	0.582	0	0	LOC100130476
0	-0.252695900839728	0.645	0.703	0	0	CCL20
0	-0.253124607535448	0.561	0.67	0	0	RGS16
0	-0.253730545819387	0.661	0.735	0	0	TBC1D4
0	-0.266330704185926	0.64	0.749	0	0	SHMT2
0	-0.26803071491178	0.56	0.705	0	0	SLC16A3
0	-0.271945303692859	0.518	0.671	0	0	TMIGD2
