Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Apoptosis	21/142	2.82860256755106e-13	7.15636449590417e-11	0	0	9.50742873061566	274.705966840856	JUN;GADD45B;PRF1;ITPR1;GZMB;CTSW;PIK3R1;FOS;PTPN13;TNF;ACTB;TUBA3D;BCL2L11;TUBA1A;DDIT3;LMNA;CTSH;CTSD;CTSC;CTSB;BIRC3
Antigen processing and presentation	14/78	1.93020689277198e-10	2.44171171935656e-08	0	0	11.7865874655647	263.645025495316	CD74;KLRC2;KLRC3;KLRC4;TNF;CD4;CD8B;CD8A;PSME2;KLRD1;KLRC1;CALR;HSPA1B;CTSB
Cytokine-cytokine receptor interaction	25/295	4.23854572717344e-10	3.57450689658293e-08	0	0	5.09075126262626	109.866713778346	IL21;CCL4L1;CCL4L2;EBI3;CXCR4;CXCL13;TNF;TNFSF13B;CXCR3;CCL5;CCL4;CCL3;CCR7;CCR4;TNFRSF4;IFNGR1;TNFRSF18;CD4;CD40LG;XCL1;TNFSF8;TNFRSF25;LTB;IL6ST;IL7R
Kaposi sarcoma-associated herpesvirus infection	19/193	4.78375071035106e-09	3.02572232429705e-07	0	0	5.9322384896937	113.650067796203	GABARAPL1;JUN;CDKN1A;IFNGR1;TCF7;ITPR1;PIK3R1;FOS;HIF1A;ZFP36;CDK6;CLEC2B;GNG5;GNG4;MYC;CALM3;IL6ST;CALM2;CCR4
Viral protein interaction with cytokine and cytokine receptor	13/100	4.99598345823593e-08	2.52796762986738e-06	0	0	8.01970443349754	134.827643553051	CCL4L1;CCL4L2;CXCR4;CXCL13;TNF;CXCR3;CCL5;CCL4;CCL3;XCL1;CCR7;IL6ST;CCR4
Human cytomegalovirus infection	18/225	2.93304266251428e-07	1.23676632269352e-05	0	0	4.70291873561826	70.7415637648924	CDKN1A;CCL4L1;PTGER2;CCL4L2;ITPR1;CXCR4;PIK3R1;TNF;CDK6;GNG5;GNG4;MYC;CCL5;CCL4;CCL3;CALM3;CALR;CALM2
T cell receptor signaling pathway	12/104	6.14806752254911e-07	2.22208726172132e-05	0	0	6.97951161405599	99.8206808654284	JUN;CD4;CD40LG;CD8B;CD8A;CD28;CTLA4;PIK3R1;FOS;PDCD1;ICOS;TNF
Salmonella infection	18/249	1.29152288131681e-06	3.96989200415096e-05	0	0	4.20909452664327	57.0740106808048	JUN;RALA;ARPC1B;TCF7;TXN;FOS;DYNLL1;TUBB4B;TNF;ACTB;TUBA3D;TUBA1A;TUBB2A;MYC;SNX9;PFN1;GAPDH;BIRC3
Rheumatoid arthritis	11/93	1.41221454693117e-06	3.96989200415096e-05	0	0	7.16216846594695	96.4769266312111	JUN;CCL5;ATP6V1B2;CCL3;CD28;ACP5;CTLA4;FOS;LTB;TNF;TNFSF13B
Pathways in cancer	27/531	3.35408453871095e-06	8.4858338829387e-05	0	0	2.92637755102041	36.8879596794381	ITGB1;CDKN1A;RALA;PTGER2;TCF7;CXCR4;PIK3R1;HIF1A;BCL2L11;GNG5;GNG4;MYC;PIM1;PIM2;JUN;GADD45B;GSTO1;IFNGR1;DAPK2;FLT3LG;FOS;CDK6;CALM3;IL6ST;IL7R;CALM2;BIRC3
Chemokine signaling pathway	15/192	3.85079213988671e-06	8.85682192173944e-05	0	0	4.55239254611855	56.7557325717138	CCL4L1;CCL4L2;CXCR4;PIK3R1;CXCL13;TIAM1;GNG5;GNG4;CXCR3;CCL5;CCL4;CCL3;XCL1;CCR7;CCR4
Colorectal cancer	10/86	4.98389665269093e-06	0.000105077154427567	0	0	7.00810268177255	85.5640176480867	CDKN1A;RALA;JUN;BCL2L11;GADD45B;MYC;TCF7;FOS;PIK3R1;AREG
Natural killer cell mediated cytotoxicity	12/131	7.15476880876167e-06	0.000139242808355131	0	0	5.38846552319558	63.8410924858546	NCR3;KLRK1;KLRC2;KLRC3;IFNGR1;PRF1;ICAM2;GZMB;KLRD1;PIK3R1;KLRC1;TNF
Hematopoietic cell lineage	10/99	1.76547689826371e-05	0.0003190468966148	0	0	5.98046719529743	65.4532508114038	CD4;TFRC;CD8B;CD8A;CD7;FLT3LG;CD59;IL7R;TNF;CD55
PD-L1 expression and PD-1 checkpoint pathway in cancer	9/89	4.5996359567232e-05	0.000775805264700647	0	0	5.97442255434783	59.66624919921	JUN;CD4;IFNGR1;CD28;FOS;PIK3R1;PDCD1;HIF1A;BATF
Human immunodeficiency virus 1 infection	14/212	5.29619057788606e-05	0.000837460135128233	0	0	3.78370481676267	37.2541217562425	JUN;APOBEC3H;ITPR1;CXCR4;PIK3R1;FOS;TNF;BST2;CD4;GNG5;GNG4;CALM3;CALR;CALM2
Fluid shear stress and atherosclerosis	11/139	6.6924198680029e-05	0.000995989545061608	0	0	4.57746328551913	43.9983479618999	JUN;DUSP1;GSTO1;CALM3;PIK3R1;TXN;FOS;TNF;CALM2;ACTB;KLF2
Primary immunodeficiency	6/38	7.14615195653094e-05	0.0010014118184325	0	0	9.90111185983828	94.5194934710374	CD4;CD40LG;CD8B;CD8A;ICOS;IL7R
Human T-cell leukemia virus 1 infection	14/219	7.52048401194371e-05	0.0010014118184325	0	0	3.6531882013035	34.6880995369181	EGR1;RANBP1;JUN;CDKN1A;PIK3R1;FOS;TNF;ZFP36;CD4;MYC;TSPO;VDAC1;CALR;RAN
Parkinson disease	15/249	8.22724858173371e-05	0.00104074694558931	0	0	3.43338291542711	32.2925931315532	XBP1;DUSP1;ITPR1;TXN;TUBB4B;COX5A;TUBA3D;TUBA1A;TUBB2A;PSMA4;DDIT3;COX3;VDAC1;CALM3;CALM2
Cell adhesion molecules	11/148	0.000117751780365006	0.00140185348357397	0	0	4.27477962586255	38.6736393304265	ITGB1;CD4;CD40LG;CD8B;CD8A;ICAM2;CD28;CTLA4;PDCD1;ICOS;TIGIT
Epstein-Barr virus infection	13/202	0.000126262894236104	0.00140185348357397	0	0	3.67233560090703	32.9670868367466	ENTPD1;JUN;CDKN1A;GADD45B;PIK3R1;RBPJ;RUNX3;TNF;BCL2L11;CDK6;MYC;CALR;VIM
Graft-versus-host disease	6/42	0.000127441225779452	0.00140185348357397	0	0	8.79919137466307	78.9098747755556	PRF1;CD28;GZMB;KLRD1;KLRC1;TNF
Chagas disease	9/102	0.000133756627197289	0.00141001777837142	0	0	5.13586956521739	45.8093301627273	JUN;GNA15;IFNGR1;CCL5;CCL3;PIK3R1;CALR;FOS;TNF
Osteoclast differentiation	10/127	0.000148770821130327	0.00145473463908349	0	0	4.54272339830923	40.035491705348	SOCS3;JUN;IFNGR1;SIRPG;ACP5;FOSB;PIK3R1;FOS;TNF;JUNB
NF-kappa B signaling pathway	9/104	0.000155248360692704	0.00145473463908349	0	0	5.02723112128146	44.0912521060525	CD40LG;GADD45B;CCL4L1;CCL4L2;CCL4;LTB;TNF;TNFSF13B;BIRC3
Toll-like receptor signaling pathway	9/104	0.000155248360692704	0.00145473463908349	0	0	5.02723112128146	44.0912521060525	JUN;CCL4L1;CCL4L2;CCL5;CCL4;CCL3;PIK3R1;FOS;TNF
Th17 cell differentiation	9/107	0.000192834799913512	0.00174240015636138	0	0	4.87258762200532	41.6785391847376	IL21;JUN;CD4;IFNGR1;AHR;FOS;IL6ST;FOXP3;HIF1A
Prion disease	15/273	0.000226329447493345	0.00197195751251514	0	0	3.11014390337916	26.1050515970403	EGR1;ITPR1;PIK3R1;TUBB4B;COX5A;TNF;TUBA3D;TUBA1A;TUBB2A;PSMA4;DDIT3;CCL5;COX3;VDAC1;HSPA1B
Lipid and atherosclerosis	13/215	0.000233828954053179	0.00197195751251514	0	0	3.43369872701556	28.708882680063	XBP1;JUN;ITPR1;PIK3R1;FOS;TNF;CD40LG;DDIT3;CCL5;CCL3;CALM3;CALM2;HSPA1B
Yersinia infection	10/137	0.000276359360534246	0.00225544897468272	0	0	4.18288313415864	34.273743413614	ITGB1;JUN;CD4;CD8B;CD8A;ARPC1B;PIK3R1;FOS;TNF;ACTB
Central carbon metabolism in cancer	7/70	0.000345629231594251	0.00273263111229205	0	0	5.87387387387387	46.8156202745826	LDHA;PKM;MYC;PGAM1;PIK3R1;SLC16A3;HIF1A
Glioma	7/75	0.000528096990506884	0.00404874359388611	0	0	5.44058028616852	41.0558734208431	CDKN1A;CDK6;GADD45B;CALM3;PIK3R1;CAMK1;CALM2
Allograft rejection	5/38	0.000697332122321364	0.00501746773310213	0	0	7.97898338220919	57.9932360584982	CD40LG;PRF1;CD28;GZMB;TNF
Oxytocin signaling pathway	10/154	0.000697875643727117	0.00501746773310213	0	0	3.68585376930064	26.7868303361044	MYL6;JUN;CDKN1A;ITPR1;CALM3;MYL6B;FOS;CAMK1;CALM2;ACTB
Lysosome	9/128	0.000726102767483815	0.00501746773310213	0	0	4.00840336134454	28.9720139753878	NPC2;PSAP;ACP5;CTSH;CTSW;LITAF;CTSD;CTSC;CTSB
Non-alcoholic fatty liver disease	10/155	0.000733779866105845	0.00501746773310213	0	0	3.66024617119233	26.4171001241374	SOCS3;XBP1;JUN;BCL2L11;DDIT3;COX3;PIK3R1;FOS;TNF;COX5A
HIF-1 signaling pathway	8/109	0.00107507596193316	0.00715774258866026	0	0	4.1905068555636	28.6436395247442	LDHA;CDKN1A;TFRC;IFNGR1;ENO1;PIK3R1;HIF1A;GAPDH
Type I diabetes mellitus	5/43	0.00123828838017775	0.0080329989791018	0	0	6.92734861346916	46.3718461287015	PRF1;ICA1;CD28;GZMB;TNF
TNF signaling pathway	8/112	0.00128170070450046	0.0081067569559654	0	0	4.06900145924536	27.0977894993358	SOCS3;JUN;CCL5;PIK3R1;FOS;TNF;JUNB;BIRC3
Pathogenic Escherichia coli infection	11/197	0.0013329273777773	0.00822513723360139	0	0	3.14071038251366	20.7926890399741	ITGB1;JUN;TUBA3D;TUBA1A;TUBB2A;ARPC1B;FOS;TUBB4B;TNF;GAPDH;ACTB
Inflammatory bowel disease	6/65	0.00139559670250841	0.00834264681297847	0	0	5.36269359038787	35.2566708433766	IL21;JUN;MAF;IFNGR1;TNF;FOXP3
Tight junction	10/169	0.00141792020932045	0.00834264681297847	0	0	3.33556115366819	21.8764917102797	VASP;ITGB1;TIAM1;MYL6;JUN;TUBA3D;TUBA1A;ARPC1B;MYL6B;ACTB
Influenza A	10/172	0.00161694377913867	0.00918656112246684	0	0	3.27328691088909	21.0381268101765	SOCS3;DNAJB1;CDK6;IFNGR1;CCL5;MX1;VDAC1;PIK3R1;TNF;ACTB
Glycolysis / Gluconeogenesis	6/67	0.0016339733221779	0.00918656112246684	0	0	5.18633732490831	33.2793813266519	LDHA;TPI1;PKM;PGAM1;ENO1;GAPDH
Small cell lung cancer	7/92	0.0017753928199618	0.00955690177553904	0	0	4.34868044515103	27.5433833359578	ITGB1;CDKN1A;CDK6;GADD45B;MYC;PIK3R1;BIRC3
Th1 and Th2 cell differentiation	7/92	0.0017753928199618	0.00955690177553904	0	0	4.34868044515103	27.5433833359578	JUN;CD4;MAF;IFNGR1;FOS;RBPJ;RUNX3
Alzheimer disease	16/369	0.00182375893637375	0.00961272939380333	0	0	2.4194674848744	15.2592319547191	XBP1;ITPR1;PIK3R1;TUBB4B;COX5A;TNF;TUBA3D;TUBA1A;TUBB2A;PSMA4;DDIT3;COX3;VDAC1;CALM3;CALM2;GAPDH
Intestinal immune network for IgA production	5/48	0.00203998860035083	0.0105330023650767	0	0	6.1202800700175	37.913978663176	CD40LG;CD28;CXCR4;ICOS;TNFSF13B
Phagosome	9/152	0.00241174590708845	0.0122034342898675	0	0	3.33155974460322	20.0806577001922	ITGB1;TUBA3D;TUBA1A;TUBB2A;TFRC;ATP6V1B2;CALR;TUBB4B;ACTB
Cellular senescence	9/156	0.00287255741522883	0.014250137765743	0	0	3.24023957409051	18.9636724161258	CDKN1A;CDK6;GADD45B;MYC;ITPR1;VDAC1;CALM3;PIK3R1;CALM2
Pertussis	6/76	0.00310821649387575	0.0151173824995735	0	0	4.51744320369657	26.0823897968682	ITGB1;JUN;CALM3;FOS;TNF;CALM2
Autoimmune thyroid disease	5/53	0.00316688249991066	0.0151173824995735	0	0	5.48135080645161	31.5452156233927	CD40LG;PRF1;CD28;CTLA4;GZMB
Leishmaniasis	6/77	0.00331852030794281	0.0155478821835098	0	0	4.45358946129608	25.4221409649461	ITGB1;EEF1A1;JUN;IFNGR1;FOS;TNF
C-type lectin receptor signaling pathway	7/104	0.00355543211992368	0.016247473033453	0	0	3.80835887433826	21.4763969692566	JUN;ITPR1;CALM3;PIK3R1;LSP1;TNF;CALM2
Transcriptional misregulation in cancer	10/192	0.00359627861610028	0.016247473033453	0	0	2.91059077162619	16.3803848234964	ETV7;FUT8;CDKN1A;MAF;GADD45B;MYC;DDIT3;GZMB;RUNX2;BIRC3
JAK-STAT signaling pathway	9/162	0.00369132585894805	0.0163843060055063	0	0	3.11221227621483	17.4338960370362	IL21;SOCS3;CDKN1A;IFNGR1;MYC;PIM1;PIK3R1;IL6ST;IL7R
RNA degradation	6/79	0.00377068654480388	0.0164479947557824	0	0	4.33113022929513	24.1698643910587	BTG3;BTG2;ENO1;NUDT16;PABPC1;TOB1
Parathyroid hormone synthesis, secretion and action	7/106	0.003951004723568	0.0167021573751511	0	0	3.73104013104013	20.6467752995555	NR4A2;EGR1;CDKN1A;PDE4D;ITPR1;FOS;RUNX2
MAPK signaling pathway	13/294	0.00402269741184181	0.0167021573751511	0	0	2.45831215048297	13.5595645596016	DUSP4;JUN;GADD45B;DUSP1;FLT3LG;FOS;AREG;TNF;NR4A1;MAPKAPK3;MYC;DDIT3;HSPA1B
Amyotrophic lateral sclerosis	15/364	0.00402700237108387	0.0167021573751511	0	0	2.28838512561541	12.6198329879716	GABARAPL1;XBP1;GPX1;TUBB4B;COX5A;TNF;ACTB;TUBA3D;TUBA1A;TUBB2A;PSMA4;DDIT3;COX3;VDAC1;PFN1
Apelin signaling pathway	8/137	0.00449896514096151	0.0177849715728635	0	0	3.27623369256948	17.7044650592434	EGR1;GABARAPL1;GNG5;GNG4;ITPR1;CALM3;CALM2;KLF2
Autophagy	8/137	0.00449896514096151	0.0177849715728635	0	0	3.27623369256948	17.7044650592434	GABARAPL1;DAPK2;DDIT4;ITPR1;PIK3R1;HIF1A;CTSD;CTSB
Estrogen signaling pathway	8/137	0.00449896514096151	0.0177849715728635	0	0	3.27623369256948	17.7044650592434	JUN;ITPR1;CALM3;PIK3R1;FOS;CALM2;CTSD;HSPA1B
Endometrial cancer	5/58	0.0046848639113661	0.018234931839625	0	0	4.96297423412457	26.6185073828441	CDKN1A;GADD45B;MYC;TCF7;PIK3R1
Thyroid cancer	4/37	0.00502248838449125	0.0192528721405498	0	0	6.3660736046795	33.7009099917527	CDKN1A;GADD45B;MYC;TCF7
Viral carcinogenesis	10/203	0.00531090257000336	0.020054602241953	0	0	2.74314918609084	14.3685975586913	RANBP1;JUN;CDKN1A;CDK6;PKM;YWHAQ;PIK3R1;RBPJ;IL6ST;CCR4
Viral myocarditis	5/60	0.00541627180080116	0.0201517171412161	0	0	4.78201368523949	24.9542094455165	CD40LG;PRF1;CD28;ACTB;CD55
Breast cancer	8/147	0.00682852745070428	0.0250379339859157	0	0	3.03897369908951	15.1542867360911	JUN;CDKN1A;CDK6;GADD45B;MYC;TCF7;PIK3R1;FOS
Shigellosis	11/246	0.00723086818027409	0.0255151667282347	0	0	2.4795721427741	12.2227934232375	ITGB1;GABARAPL1;JUN;ARPC1B;CCL5;ITPR1;VDAC1;PIK3R1;PFN1;TNF;ACTB
Bladder cancer	4/41	0.00726123321910236	0.0255151667282347	0	0	5.67669009492066	27.9588658431552	CDKN1A;MYC;DAPK2;TYMP
Ferroptosis	4/41	0.00726123321910236	0.0255151667282347	0	0	5.67669009492066	27.9588658431552	MAP1LC3A;TFRC;FTH1;FTL
NOD-like receptor signaling pathway	9/181	0.00753505080937921	0.0260060153684691	0	0	2.76571979271992	13.5193630143981	GABARAPL1;JUN;CCL5;ITPR1;VDAC1;TXN;TNF;CTSB;BIRC3
PI3K-Akt signaling pathway	14/354	0.00760650251884076	0.0260060153684691	0	0	2.1873440285205	10.6715086227462	ITGB1;CDKN1A;FLT3LG;PIK3R1;AREG;NR4A1;BCL2L11;CDK6;YWHAQ;GNG5;GNG4;MYC;DDIT4;IL7R
Acute myeloid leukemia	5/67	0.00861021978944805	0.0290451414230714	0	0	4.24059139784946	20.1631870203356	MYC;TCF7;PIM1;PIM2;PIK3R1
Amphetamine addiction	5/69	0.00972008179734506	0.0319374116198481	0	0	4.10765288978495	19.0330612387611	JUN;FOSB;CALM3;FOS;CALM2
