Gene	Top10_Clones_Tumor	Top10_Clones_Normal
NKG7	TRUE	TRUE
GZMA	TRUE	TRUE
CCL5	TRUE	TRUE
GZMB	TRUE	TRUE
CD8A	TRUE	FALSE
CCL4	TRUE	TRUE
LTB	TRUE	TRUE
PRF1	TRUE	TRUE
GZMH	TRUE	TRUE
CD8B	TRUE	FALSE
IL7R	TRUE	TRUE
CTSW	TRUE	TRUE
CST7	TRUE	TRUE
EEF1A1	TRUE	TRUE
GNLY	TRUE	FALSE
SELL	TRUE	TRUE
PON2	TRUE	FALSE
KLRD1	TRUE	FALSE
IFNG	TRUE	FALSE
LEF1	TRUE	TRUE
LAG3	TRUE	FALSE
GSTP1	TRUE	TRUE
CCL3	TRUE	TRUE
KLRC2	TRUE	FALSE
CTSD	TRUE	FALSE
APOBEC3G	TRUE	TRUE
MAL	TRUE	TRUE
FABP5	TRUE	FALSE
KIR2DL4	TRUE	FALSE
KLRC1	TRUE	TRUE
JUNB	TRUE	TRUE
CCR7	TRUE	TRUE
CXCR6	TRUE	FALSE
RPS8	TRUE	TRUE
STMN1	TRUE	FALSE
NFKBIA	TRUE	TRUE
CLEC2B	TRUE	TRUE
TNFSF13B	TRUE	TRUE
LOC101929531	TRUE	FALSE
RPLP0	TRUE	TRUE
TOB1	TRUE	TRUE
ABI3	TRUE	FALSE
CMC1	TRUE	TRUE
CD63	TRUE	FALSE
BIRC3	TRUE	TRUE
HAVCR2	TRUE	FALSE
CD7	TRUE	FALSE
CCR6	TRUE	TRUE
ALOX5AP	TRUE	TRUE
THEM4	TRUE	FALSE
AQP3	TRUE	TRUE
RAB27A	TRUE	FALSE
LOC101060038	TRUE	FALSE
KLRC3	TRUE	FALSE
GZMK	TRUE	TRUE
LYST	TRUE	FALSE
LOC101927369	TRUE	FALSE
TNFRSF4	TRUE	TRUE
FBLN7	TRUE	FALSE
FOS	TRUE	TRUE
RUNX3	TRUE	TRUE
RPS18	TRUE	FALSE
SAMHD1	TRUE	FALSE
S1PR1	TRUE	FALSE
LOC100996809	TRUE	FALSE
TIGIT	TRUE	FALSE
LOC102724246	TRUE	FALSE
FAM3C	TRUE	FALSE
ITGAE	TRUE	FALSE
FLT3LG	TRUE	TRUE
SOCS3	TRUE	TRUE
PABPC1	TRUE	TRUE
GFOD1	TRUE	FALSE
IFITM10	TRUE	FALSE
SESN3	TRUE	FALSE
TCF7	TRUE	FALSE
FOXP3	TRUE	FALSE
TIMP1	TRUE	TRUE
XAF1	TRUE	FALSE
C10orf54	TRUE	FALSE
FAAH2	TRUE	FALSE
ASB2	TRUE	FALSE
S100A10	TRUE	FALSE
TPI1	TRUE	FALSE
GADD45B	TRUE	FALSE
NOSIP	TRUE	TRUE
FKBP1A	TRUE	FALSE
LY96	TRUE	FALSE
TNFRSF18	TRUE	TRUE
BST2	TRUE	FALSE
SIRPG	TRUE	FALSE
TMSB10	TRUE	FALSE
UPP1	TRUE	FALSE
RGS1	TRUE	FALSE
AMICA1	TRUE	TRUE
LITAF	TRUE	TRUE
TESPA1	TRUE	TRUE
