statistic	p.value	sumsq	meansq	gene	method	p_adjust
358.498442480698	2.91957756919851e-126	473.572717083855	236.786358541927	RPS26	anova	4.49439771002419e-122
207.006162682001	2.06830983179216e-79	319.404996005816	159.702498002908	HLA-B	anova	1.59197807753043e-75
154.670852818683	2.26097301062501e-61	253.361447294902	126.680723647451	FTH1	anova	1.16018061751871e-57
147.766765862679	6.55519440955537e-59	244.036188587427	122.018094293713	RPL36A	anova	2.52276656851738e-55
125.586293333239	7.34375049588469e-51	213.014819838661	106.50740991933	RPL41	anova	2.26099390267298e-47
111.880503544338	8.89886259541048e-46	192.992985006634	96.496492503317	HSPA1B	anova	2.28315151322915e-42
108.622482751821	1.48056961410574e-44	188.133039172399	94.0665195861994	KLF2	anova	3.25598409136339e-41
102.136583161869	4.1317751776422e-42	178.339772715776	89.169886357888	RPS28	anova	7.950568385578e-39
95.2502310874908	1.71687314082426e-39	167.765790027381	83.8828950136906	RPL28	anova	2.93661612553873e-36
87.5883679101717	1.49694583217665e-36	155.78216575271	77.891082876355	RPS4Y1	anova	2.30439841405274e-33
85.388774356666	1.05849526872807e-35	152.298364889405	76.1491824447025	RPL35A	anova	1.2534212436e-32
85.4639943722125	9.89918438622281e-36	152.417825732371	76.2089128661853	NPDC1	anova	1.2534212436e-32
85.4646253076882	9.89362457695936e-36	152.418827656571	76.2094138282853	KANSL1-AS1	anova	1.2534212436e-32
84.654181975361	2.03667720007789e-35	151.130507737493	75.5652538687464	MT-ATP8	anova	2.09017392119994e-32
84.71983666227	1.92091327917829e-35	151.234975359456	75.6174876797279	MT-ATP6	anova	2.09017392119994e-32
80.3478581271224	9.56229779625973e-34	144.239762015953	72.1198810079767	RPS21	anova	9.20012576722639e-31
75.5045246128725	7.44383448833315e-32	136.397631935097	68.1988159675483	RPL34	anova	6.74061106549415e-29
73.965048604056	2.98831633710721e-31	133.884270722705	66.9421353613524	FKBP5	anova	2.5556745385238e-28
73.8482621722279	3.32099303716948e-31	133.693193228754	66.846596614377	RPS27	anova	2.69070351653616e-28
73.0282146567991	6.97191518461234e-31	132.349853266346	66.1749266331728	AL157402.2	anova	5.36628311759612e-28
72.9579395873691	7.42967014036201e-31	132.234600401156	66.1173002005781	TMSB10	anova	5.44630200670156e-28
71.5956952451314	2.55163699507107e-30	129.996308168931	64.9981540844657	SYTL3	anova	1.78544999555109e-27
71.4659875182242	2.87005421864745e-30	129.782771373363	64.8913856866815	RPL39	anova	1.92093976703734e-27
69.4119734402379	1.85265229050376e-29	126.391598001212	63.1957990006059	RPL37	anova	1.18832205666729e-26
68.9470232696462	2.82766133526426e-29	125.621433373779	62.8107166868895	RPS8	anova	1.74116074380232e-26
65.1197810643206	9.27408863290811e-28	119.24599348052	59.62299674026	RAB34	anova	5.4909738621149e-25
64.8352178004383	1.20304585845274e-27	118.76939966205	59.3846998310248	ISG20	anova	6.85914368334126e-25
64.7446149229041	1.3069920151179e-27	118.617580668523	59.3087903342617	TSC22D3	anova	7.18565538597318e-25
64.6413572539256	1.43646770261115e-27	118.444512449523	59.2222562247616	MT-ND3	anova	7.62516683241241e-25
64.0374262623119	2.49655778540567e-27	117.431331463495	58.7156657317475	RNPEPL1	anova	1.2810670182845e-24
63.9759429938025	2.64113273715076e-27	117.328093957894	58.6640469789471	MALAT1	anova	1.31153539857093e-24
63.6506843439777	3.55763321247403e-27	116.781668540053	58.3908342700266	HLA-DRB1	anova	1.71144392727579e-24
62.955320767541	6.72863288782262e-27	115.61190315346	57.8059515767298	CD55	anova	3.1388052931861e-24
58.9816711630076	2.59652702648268e-25	108.885866408812	54.4429332044059	RPL37A	anova	1.17561579546101e-22
57.883204033741	7.1520135514403e-25	107.014000816694	53.5070004083471	FAM129A	anova	3.14565990316777e-22
54.5339313066268	1.58522777412226e-23	101.272713126884	50.6363565634418	RPS14	anova	6.77861009856612e-21
53.8764305528674	2.91720738825429e-23	100.139597987706	50.069798993853	SRGN	anova	1.21371596039964e-20
52.479160009106	1.06815538156307e-22	97.7249640696489	48.8624820348244	ITGB1	anova	4.32715366941629e-20
51.2383296660867	3.3890445686771e-22	95.5730900910508	47.7865450455254	CREM	anova	1.33771672026193e-19
51.1045853369903	3.83862493465846e-22	95.340720271489	47.6703601357445	MT2A	anova	1.47729480610331e-19
50.95467835272	4.41390789257632e-22	95.0801700584362	47.5400850292181	IL7R	anova	1.65726092922731e-19
50.8341520391772	4.93847904404144e-22	94.8706097701782	47.4353048850891	HSP90AA1	anova	1.81007015247557e-19
50.8080107156701	5.06025171199985e-22	94.8251486491251	47.4125743245625	IL32	anova	1.81157011289595e-19
50.3288942385247	7.90910527723206e-22	93.9913749685557	46.9956874842779	RPL8	anova	2.76710833267523e-19
49.6728442711331	1.45851543419184e-21	92.8479544947921	46.423977247396	RPS15A	anova	4.98941924309983e-19
48.7661389252691	3.40116703421011e-21	91.2643475769446	45.6321737884723	DUSP4	anova	1.13820794183979e-18
48.5450998961423	4.1815661789834e-21	90.8777057610262	45.4388528805131	LITAF	anova	1.36959637785682e-18
46.4672428115241	2.92392382474781e-20	87.2318383543861	43.615919177193	SELL	anova	9.37726736628494e-18
45.1380012288962	1.01749422268615e-19	84.8887693778241	42.4443846889121	SMAP2	anova	3.19659307429197e-17
44.9336941117527	1.23270173885508e-19	84.5278880407656	42.2639440203828	RPLP1	anova	3.79524211358701e-17
44.4880138537447	1.87373129193909e-19	83.7399607442163	41.8699803721081	MT-CO1	anova	5.65572931531577e-17
44.0427128903512	2.84781264545882e-19	82.9517542603851	41.4758771301925	MT-CO3	anova	8.43062074311407e-17
43.8499614660986	3.41381908375808e-19	82.6102791123986	41.3051395561993	KLF3	anova	9.91553414629657e-17
43.3655266761403	5.38515345657209e-19	81.7512750300736	40.8756375150368	PLP2	anova	1.53516763537909e-16
42.7148793973424	9.93758151178243e-19	80.5957650912783	40.2978825456392	RPL26	anova	2.7814387234978e-16
41.9838231969503	1.97936967484497e-18	79.2950180676823	39.6475090338412	HSPA1A	anova	5.44114585260063e-16
41.9490732297061	2.04530769421274e-18	79.2331241678688	39.6165620839344	BTG2	anova	5.52376607801945e-16
41.9274068955895	2.08752829617362e-18	79.194530846723	39.5972654233615	S100A10	anova	5.54058803298219e-16
39.2979627105773	2.50320992174458e-17	74.4938919269979	37.246945963499	DNAJB1	anova	6.5312565314129e-15
39.0594424700639	3.13728273472202e-17	74.0658238859438	37.0329119429719	ANXA6	anova	8.04922173638513e-15
38.4528202846995	5.57290441592924e-17	72.9758744843097	36.4879372421548	FYB1	anova	1.40638181276745e-14
38.382976854029	5.95421131491274e-17	72.8502673552866	36.4251336776433	TNFAIP3	anova	1.47837304809301e-14
38.3271885893853	6.27747138946108e-17	72.7499199783473	36.3749599891736	S1PR1	anova	1.53389515189467e-14
38.0254237835913	8.3562396533788e-17	72.2068651348293	36.1034325674146	MT-CO2	anova	2.00993676912677e-14
37.511240670195	1.36081862863461e-16	71.2805116550798	35.6402558275399	TUBA1B	anova	3.22283722603095e-14
36.8629040262966	2.51801840171406e-16	70.1106102296035	35.0553051148018	PTPRC	anova	5.87308716302821e-14
34.6909179673687	1.98668459457957e-15	66.17617650412	33.08808825206	RPS24	anova	4.49750333072911e-13
34.7005942648633	1.96845963450724e-15	66.1937565630844	33.0968782815422	IL16	anova	4.49750333072911e-13
34.3009132288654	2.88065307667777e-15	65.4672207941768	32.7336103970884	IFITM2	anova	6.42677876266341e-13
34.2306352855798	3.0801878396948e-15	65.3393879393885	32.6696939696943	SH3BP5	anova	6.7737730863231e-13
33.7884216706028	4.69529074492332e-15	64.5344524851803	32.2672262425901	SSBP2	anova	1.01801839052605e-12
33.6226899781466	5.49929944872365e-15	64.2325289450953	32.1162644725477	SRSF2	anova	1.17578077380072e-12
33.4134562149716	6.7141773857005e-15	63.8511586757908	31.9255793378954	RASGRP2	anova	1.41586365308868e-12
33.0459332703698	9.53493466227738e-15	63.1807437538137	31.5903718769068	GPR171	anova	1.98352411069051e-12
32.8052345483228	1.19983162194623e-14	62.7413073481532	31.3706536740766	B2M	anova	2.46269439843203e-12
32.6642549573978	1.37274853751992e-14	62.4837900597882	31.2418950298941	ATP5F1E	anova	2.78053828770812e-12
32.4270219756561	1.72190010572785e-14	62.0502281584577	31.0251140792289	SLC2A3	anova	3.44245847111357e-12
31.8802317962873	2.9038101844713e-14	61.0498475694644	30.5249237847322	LCP1	anova	5.73092999740400e-12
31.7100341011703	3.4170262549296e-14	60.7381547534262	30.3690773767131	MRPL23	anova	6.65844331245395e-12
31.4213921115386	4.50354082339565e-14	60.2092139756568	30.1046069878284	ACTB	anova	8.66593842941909e-12
31.2888824317109	5.11230065273964e-14	59.9662470947327	29.9831235473664	SH3BGRL3	anova	9.71589583312024e-12
30.6138105511585	9.75636162544379e-14	58.7270713328347	29.3635356664173	RPL23A	anova	1.83157842514734e-11
30.5807815866411	1.00699402304438e-13	58.6663834806589	29.3331917403294	STK17A	anova	1.8676706012946e-11
30.2638809950965	1.36420401483186e-13	58.083825047104	29.041912523552	FAU	anova	2.50006626241924e-11
30.1551292588438	1.51405206148817e-13	57.8837892749792	28.9418946374896	RPS23	anova	2.74203734524105e-11
30.0800736233029	1.62698011488765e-13	57.7456984164416	28.8728492082208	SAT1	anova	2.91229440564889e-11
29.7370383458484	2.26052715316455e-13	57.1142017723239	28.5571008861619	HLA-C	anova	3.99983390756495e-11
29.5900605034746	2.60271544692146e-13	56.8434458715175	28.4217229357588	CST7	anova	4.55297745339875e-11
29.0560471770572	4.34460588002477e-13	55.8587849289253	27.9293924644627	ANXA2	anova	7.51470369855071e-11
28.5764913900686	6.88527987201877e-13	54.9732981183895	27.4866490591948	FLNA	anova	1.17768887055397e-10
28.3390775238106	8.64909185956639e-13	54.5344850068956	27.2672425034478	SAMHD1	anova	1.46312219874907e-10
27.5047037098247	1.92898558614758e-12	52.9900188513765	26.4950094256883	CDC25B	anova	3.22769609925607e-10
27.4463196704346	2.04042156738338e-12	52.8818135384395	26.4409067692197	PDE3B	anova	3.37744619444083e-10
27.2599890312428	2.44104556432285e-12	52.5363629443546	26.2681814721773	ERAP2	anova	3.99760164012617e-10
27.0586874646444	2.96285143603025e-12	52.1629562739684	26.0814781369842	PNRC1	anova	4.80106684276313e-10
27.0283770928624	3.05056391375081e-12	52.1067136508933	26.0533568254467	SMCHD1	anova	4.89170634252916e-10
26.6613467180327	4.34357526947512e-12	51.4252926249578	25.7126463124789	NSA2	anova	6.89329873178351e-10
26.634808865682	4.45601568034482e-12	51.3759961059714	25.6879980529857	SLC16A7	anova	6.99958218196206e-10
26.4965808113021	5.09057322169973e-12	51.1191660119222	25.5595830059611	S1PR4	anova	7.91558426008541e-10
26.4537178790655	5.30515712988893e-12	51.0395059450301	25.5197529725151	LAT	anova	8.16675888575102e-10
26.3875932713225	5.65409822286515e-12	50.9165958507414	25.4582979253707	S100A6	anova	8.61774139037486e-10
26.1156538522571	7.34790561398802e-12	50.4108872937937	25.2054436468969	ZFP36L2	anova	1.10895744138953e-09
26.0718746765242	7.66457596065395e-12	50.3294382553101	25.164719127655	MBNL1	anova	1.13880277971311e-09
26.0679513273443	7.69361368651188e-12	50.3221385707499	25.161069285375	C20orf204	anova	1.13880277971311e-09
25.7810386422752	1.01449771540756e-11	49.7881005156033	24.8940502578017	SPINK2	anova	1.48038397668331e-09
25.7760770197691	1.01936274865812e-11	49.778861576038	24.889430788019	GSTP1	anova	1.48038397668331e-09
25.7045610126958	1.09213861613364e-11	49.6456788865428	24.8228394432714	PXN	anova	1.57125064081881e-09
