statistic	p.value	sumsq	meansq	gene	method	p_adjust
277.593448873889	1.74645057243915e-106	430.044791448884	215.022395724442	RPS26	anova	2.75345397250757e-102
213.894550883358	1.67364212395263e-84	349.506142108474	174.753071054237	NFKBIA	anova	1.31933208631186e-80
200.649156921155	8.81846646716295e-80	331.63876616506	165.81938308253	ZFP36L2	anova	4.63439807737637e-76
196.142198051682	3.66813971841975e-78	325.464895698113	162.732447849057	ACTB	anova	1.44579727001514e-74
194.891085118099	1.03518436084518e-77	323.742431785261	161.87121589263	HLA-B	anova	3.26414332661702e-74
153.786831773042	1.25546433242488e-62	264.979839132797	132.489919566398	RPL36A	anova	3.29894177750176e-59
151.994067577578	5.88044060937712e-62	262.317093636662	131.158546818331	FKBP5	anova	1.18048522988612e-58
151.972647194776	5.99003034319987e-62	262.285226104378	131.142613052189	RPL41	anova	1.18048522988612e-58
147.528086611886	2.78434228184483e-60	255.646045959819	127.82302297991	RPS27	anova	4.87754893506285e-57
146.253500034248	8.39665582807233e-60	253.732161071277	126.866080535638	AL157402.2	anova	1.32381675785388e-56
145.815274105121	1.22759745966893e-59	253.073103815068	126.536551907534	IL32	anova	1.75948195901276e-56
139.748816945162	2.39493988511453e-57	243.895147628265	121.947573814132	MT-ND3	anova	3.14655185239298e-54
135.442266731503	1.03009975996549e-55	237.317465594053	118.658732797027	BTG1	anova	1.24927329350892e-52
131.476300791428	3.33439634138305e-54	231.21362385236	115.60681192618	SRGN	anova	3.75500662273179e-51
123.673568633558	3.23846112221385e-51	219.073093900126	109.536546950063	RNPEPL1	anova	3.40383853685491e-48
123.40983599756	4.08968013696895e-51	218.659658398262	109.329829199131	HSPA1B	anova	4.02986856496578e-48
121.405189678638	2.41477468218441e-50	215.510455830687	107.755227915343	RPS28	anova	2.23949044937173e-47
115.562373093238	4.35382244403196e-48	206.264043120989	103.132021560494	CXCR4	anova	3.81346470292266e-45
114.566331859333	1.05849958061875e-47	204.677650578445	102.338825289223	RPL28	anova	8.78331809896591e-45
114.493655912633	1.12942163370174e-47	204.561783503516	102.280891751758	MT2A	anova	8.90323073847081e-45
114.142592642402	1.54503043890923e-47	204.00186125882	102.00093062941	RPL8	anova	1.15994999523061e-44
104.397680071843	9.64597822582376e-44	188.31049120731	94.155245603655	PLP2	anova	6.91265875946988e-41
96.7543994348854	9.67964558720077e-41	175.798652244677	87.8993261223387	MT-ATP8	anova	6.63518662294815e-38
96.6488054028735	1.06531875037629e-40	175.624517393688	87.8122586968438	RPL39	anova	6.99825642434688e-38
94.4461412602311	7.88176542035525e-40	171.984077951531	85.9920389757654	ISG20	anova	4.97055654469284e-37
93.3939934755626	2.0532194510944e-39	170.239720151581	85.1198600757905	RPL37	anova	1.24504068715209e-36
89.5233392116778	7.01048187208924e-38	163.792151166229	81.8960755831146	MT-ATP6	anova	4.09360211834663e-35
87.0470517618946	6.75612950467726e-37	159.642000928071	79.8210004640355	KANSL1-AS1	anova	3.8041834918122e-34
83.6275722427807	1.55702474312235e-35	153.878397116448	76.9391985582238	RPS14	anova	8.46484555174724e-33
73.8386113581632	1.31247230239521e-31	137.165937680759	68.5829688403795	SMAP2	anova	6.89747943985427e-29
69.9153802911147	5.03530923996343e-30	130.377803300804	65.1889016504019	ACTG1	anova	2.56086082184721e-27
69.0892912533722	1.08723142458077e-29	128.941805888268	64.4709029441338	TSC22D3	anova	5.35665332498139e-27
68.8979267508579	1.29957306520392e-29	128.60882304744	64.30441152372	FOS	anova	6.20880877151665e-27
68.332541577407	2.20189248034269e-29	127.6242959744	63.8121479872	PFN1	anova	1.02103049544361e-26
66.3853978603864	1.35648027993948e-28	124.22527343969	62.1126367198449	RGS1	anova	6.11036231243596e-26
66.2401262582428	1.55376577326083e-28	123.971158332387	61.9855791661936	HSP90AA1	anova	6.80463088367505e-26
65.1645798914365	4.24873057680618e-28	122.087504411433	61.0437522057167	RPS29	anova	1.81041854794395e-25
62.8109074850849	3.85398112457098e-27	117.951445792266	58.9757228961329	RPL34	anova	1.59899648447332e-24
62.30913012243	6.17103709581714e-27	117.067194628306	58.5335973141529	FTH1	anova	2.49468130391418e-24
61.7979519854977	9.97106044147572e-27	116.165474768128	58.0827373840642	ATP5F1E	anova	3.93009347300766e-24
61.1030846849982	1.91502703640429e-26	114.938263841127	57.4691319205637	LGALS1	anova	7.36397957462198e-24
60.5631960957982	3.1807376182693e-26	113.98359649488	56.99179824744	MT-CO3	anova	1.19398831641985e-23
58.8702696265304	1.56405546186733e-25	110.983421398851	55.4917106994255	ZFP36	anova	5.73462753762798e-23
58.5568411022985	2.10109375584442e-25	110.42686324488	55.2134316224401	AREG	anova	7.52860094423708e-23
58.3687429645387	2.50840304659293e-25	110.092689301202	55.0463446506011	RPL37A	anova	8.78832942946315e-23
57.6805044203903	4.79823600335676e-25	108.868905247787	54.4344526238936	RAB34	anova	1.64454323541136e-22
56.4654880404546	1.5095143513026e-24	106.704349245615	53.3521746228075	KLF2	anova	5.06361771545465e-22
56.2403743989775	1.86691927049757e-24	106.302734238293	53.1513671191467	ANXA6	anova	6.13205192055515e-22
54.3684293405988	1.09485102607813e-23	102.956105756177	51.4780528780887	NR4A1	anova	3.5227390361526e-21
53.9268987829709	1.66250900766391e-23	102.164925726792	51.0824628633961	DNAJB1	anova	5.24222340296586e-21
53.0158517728391	3.93851743144531e-23	100.530215100283	50.2651075501415	IL7R	anova	1.21754246714053e-20
52.9343612800249	4.25454809163394e-23	100.383850235175	50.1919251175875	STAT1	anova	1.2899462540904e-20
52.8012327605542	4.82637410937875e-23	100.144687242735	50.0723436213675	RPS21	anova	1.43570970204652e-20
52.7539413128467	5.04751818892398e-23	100.059713713232	50.0298568566158	C20orf204	anova	1.47368836604769e-20
52.3248962003464	7.57948981904597e-23	99.2884365861941	49.6442182930971	NFKBIZ	anova	2.17269520885598e-20
52.0713978501799	9.63820155491382e-23	98.8324222573288	49.4162111286644	ERAP2	anova	2.71349795919235e-20
52.0379121711423	9.94907746498338e-23	98.772168117823	49.3860840589115	RPS5	anova	2.75187991777067e-20
51.0698839226526	2.49196104124696e-22	97.0285543238151	48.5142771619076	CORO1A	anova	6.77383754763787e-20
50.6405588441677	3.74555342484787e-22	96.2541729874613	48.1270864937306	TMSB10	anova	1.00088805586698e-19
50.4409615145487	4.52708988554548e-22	95.8939292715053	47.9469646357527	ZBTB16	anova	1.18956831892517e-19
50.10710334289	6.21614107430788e-22	95.2910429870761	47.645521493538	TNFAIP3	anova	1.60661770782849e-19
48.5920295175839	2.62422067239008e-21	92.5500308399163	46.2750154199581	EIF5A	anova	6.56721636839714e-19
48.5998878755505	2.60467581498593e-21	92.5642693418889	46.2821346709445	SUN2	anova	6.56721636839714e-19
48.4973401922477	2.87159499178233e-21	92.3784463069844	46.1892231534922	CISH	anova	7.0739947875688e-19
46.4181256349943	2.0803203231648e-20	88.6025211920529	44.3012605960265	HIST1H4C	anova	5.04589695615634e-18
46.2157862652625	2.52300371726153e-20	88.2342239644464	44.1171119822232	DDIT4	anova	6.0269206979311e-18
45.7106697515739	4.08468278730108e-20	87.314159543158	43.657079771579	CREM	anova	9.61180728725206e-18
44.290299450925	1.58527627838548e-19	84.7219572406042	42.3609786203021	SERF2	anova	3.67550967720962e-17
43.4614417955086	3.50085437301452e-19	83.2058500719475	41.6029250359737	PDE3B	anova	7.99919855723869e-17
43.1081291669071	4.90824022604174e-19	82.5588176625851	41.2794088312926	SYTL3	anova	1.10547593433963e-16
42.9325574824726	5.80591416381502e-19	82.2371164255378	41.1185582127689	HLA-C	anova	1.28924003812264e-16
42.5264609528848	8.56329819567978e-19	81.4925865926811	40.7462932963406	LCP1	anova	1.87512443545955e-16
42.4896728172447	8.87019840246132e-19	81.4251097959395	40.7125548979697	MT-CO2	anova	1.91571983579733e-16
42.4499135930169	9.21427721902777e-19	81.3521778010197	40.6760889005098	CKLF	anova	1.96313911669178e-16
42.3377911484608	1.025827245877e-18	81.1464754534413	40.5732377267206	RPS2	anova	2.15642564779958e-16
42.2244515313351	1.14340097787237e-18	80.9384927810584	40.4692463905292	TMSB4X	anova	2.37195523909681e-16
42.1896899427901	1.18209616057026e-18	80.8746943672177	40.4373471836088	RPS25	anova	2.42038026851308e-16
41.3370772970406	2.67508228786548e-18	79.3084814266758	39.6542407133379	RPS24	anova	5.40709581416502e-16
41.311305722245	2.74197061474921e-18	79.2610981772576	39.6305490886288	CCL5	anova	5.47214034330836e-16
41.2593462795782	2.88196165846977e-18	79.1655587928668	39.5827793964334	RPL35A	anova	5.6796259384293e-16
