statistic	p.value	sumsq	meansq	gene	method	p_adjust
166.35164377406	2.475104091901e-53	182.74338844788	91.3716942239398	CTSW	anova	3.40079302227197e-49
117.562669812231	6.60900701150971e-41	148.957298139699	74.4786490698494	RPS26	anova	4.54038781690717e-37
110.549417115858	5.77616399657425e-39	143.229379790468	71.6146898952339	HLA-B	anova	2.64548311043101e-35
97.4846226752456	3.1482196518535e-35	131.840034513927	65.9200172569636	TRDV3	anova	1.08141345041168e-31
92.5340149821183	9.05454112566592e-34	127.25897380913	63.6294869045651	S100A4	anova	2.48818790133299e-30
88.7189660754265	1.25304119474765e-32	123.621710614485	61.8108553072424	KIR3DL2	anova	2.86946433597212e-29
86.4176420882142	6.21732157623292e-32	121.380858660629	60.6904293303143	GZMB	anova	1.22037140653486e-28
82.7196756718556	8.37889302039274e-31	117.703790235187	58.8518951175935	CHI3L2	anova	1.43907487625245e-27
63.3224289853446	1.26163525795069e-24	96.7277080240644	48.3638540120322	HSPA1B	anova	1.92609649380472e-21
63.1425224267327	1.44654924077032e-24	96.5187114117562	48.2593557058781	TRGV9	anova	1.98755865681841e-21
62.7822494916761	1.90285547528762e-24	96.0993253210008	48.0496626605004	GNLY	anova	2.37683947549562e-21
61.4436057177582	5.28771940660395e-24	94.5309317110689	47.2654658555344	SRGN	anova	6.05443872056152e-21
60.3841931309036	1.19166850947e-23	93.2782838994913	46.6391419497457	LITAF	anova	1.25950194770137e-20
59.0673755862656	3.28689859420689e-23	91.7070271543193	45.8535135771596	AREG	anova	3.22585619174305e-20
58.7875919997705	4.08032561918155e-23	91.3711272999462	45.6855636499731	TRGV8	anova	3.7375782671703e-20
57.4886889444203	1.11686104845659e-22	89.8021604722079	44.901080236104	TXNIP	anova	9.59104425362098e-20
57.3554527971596	1.23874088282772e-22	89.6403284340781	44.8201642170391	PRF1	anova	1.00119410176782e-19
56.665414951893	2.11989297054438e-22	88.7995076238567	44.3997538119283	TSC22D3	anova	1.61818496751554e-19
56.3933507611644	2.62109919781029e-22	88.4667520175649	44.2333760087824	CLECL1	anova	1.89546857778492e-19
54.1347096893967	1.53976067683483e-21	85.6768035726094	42.8384017863047	RPS14	anova	1.05781558498553e-18
48.9054793590312	9.86918915088437e-20	79.0235572704385	39.5117786352193	XCL1	anova	6.4572694730072e-17
48.5357287505576	1.3288315552029e-19	78.5425399986143	39.2712699993071	HSPA1A	anova	8.01779268757629e-17
48.523356803928	1.34213414711976e-19	78.5264203444973	39.2632101722487	FKBP5	anova	8.01779268757629e-17
46.6699745915288	6.00194673163264e-19	76.0933838807406	38.0466919403703	RPS27	anova	3.43611450385969e-16
44.8456129771371	2.65084343023235e-18	73.6625440760189	36.8312720380095	AL157402.2	anova	1.4569035492557e-15
44.235942499471	4.36548591955591e-18	72.8421197361534	36.4210598680767	ISG20	anova	2.3069914051807e-15
43.4981880680443	7.99685135782694e-18	71.8438523262037	35.9219261631019	S100A6	anova	4.06950880209415e-15
42.9790734027993	1.22567039911949e-17	71.1378039157963	35.5689019578982	HSP90AA1	anova	6.01453974425064e-15
42.4556983306116	1.88690973736241e-17	70.4229065002372	35.2114532501186	NR4A2	anova	8.75893048498584e-15
42.4394197811202	1.91243023689647e-17	70.4006216331656	35.2003108165828	RPL41	anova	8.75893048498584e-15
41.6365144087096	3.71402787657429e-17	69.2977486179028	34.6488743089514	DNAJB1	anova	1.64615300077841e-14
40.28242772875	1.14330575106787e-16	67.4211092886489	33.7105546443244	C20orf204	anova	4.90906906864766e-14
40.2365632899108	1.18781904917063e-16	67.3571757618991	33.6785878809495	KIR2DL3	anova	4.94564658654682e-14
39.7173181732637	1.83133416595837e-16	66.6316623028837	33.3158311514418	GZMA	anova	7.40074454125529e-14
38.9233275304448	3.55677893130853e-16	65.5161765420483	32.7580882710241	CXCR3	anova	1.39628978617655e-13
36.6641445251754	2.38013629566201e-15	62.3013663099365	31.1506831549682	HLA-A	anova	9.08418686177669e-13
36.5113298263827	2.70848614737773e-15	62.0816985028128	31.0408492514064	XCL2	anova	1.00579999094514e-12
36.2911789979043	3.26321612136108e-15	61.7647380195901	30.8823690097951	RPL37	anova	1.1799102501974e-12
35.4709720112265	6.54315174278907e-15	60.5786449014762	30.2893224507381	CD8A	anova	2.30520269092107e-12
35.3899821541722	7.00935933898584e-15	60.4610788380576	30.2305394190288	CD55	anova	2.40771493294164e-12
35.2485336162756	7.90511275203644e-15	60.2555563313942	30.1277781656971	TUBB	anova	2.6491768100727e-12
35.0755123965636	9.15880102042083e-15	60.0038236233136	30.0019118116568	BTG1	anova	2.99623633382338e-12
34.9564896693779	1.01354782747789e-14	59.8304398258063	29.9152199129031	PCSK1N	anova	3.23863887198749e-12
34.8951726690814	1.06788215559514e-14	59.7410491735496	29.8705245867748	NR4A1	anova	3.33470473133572e-12
34.5342419480246	1.45257722942547e-14	59.2139229999159	29.6069614999579	CXCR6	anova	4.43520247384576e-12
34.4901097439453	1.50831125163548e-14	59.1493584217456	29.5746792108728	CAPG	anova	4.5052601298851e-12
34.4402152788384	1.57391554674217e-14	59.0763345513202	29.5381672756601	CREM	anova	4.60119140685902e-12
34.2196744282669	1.90002367205035e-14	58.7531864475472	29.3765932237736	PLPP1	anova	5.43881776124413e-12
33.5433207333044	3.38870806657767e-14	57.7583594915984	28.8791797457992	RPL39	anova	9.5022140479137e-12
32.2656690235831	1.01551871735296e-13	55.863326714158	27.931663357079	RPL37A	anova	2.79064543528595e-11
31.9812730011913	1.29760821263358e-13	55.4386719114965	27.7193359557483	GADD45B	anova	3.49590918462459e-11
31.654810286435	1.71991263285077e-13	54.9499212602734	27.4749606301367	RPS4Y1	anova	4.54453837987877e-11
31.5612004636427	1.86476626758252e-13	54.8095233560629	27.4047616780315	CD52	anova	4.83431858803468e-11
31.5268910687617	1.92087555162923e-13	54.7580370628062	27.3790185314031	RPS29	anova	4.88756112581215e-11
30.2566155500758	5.7746194682209e-13	52.8410248937565	26.4205124468783	UBB	anova	1.44260493624282e-10
30.0139936004837	7.13058176421467e-13	52.4724735017976	26.2362367508988	RPS21	anova	1.74953916857696e-10
29.7063463177744	9.31999157865662e-13	52.0040292439962	26.0020146219981	EEF1B2	anova	2.20787386708176e-10
29.7169039751932	9.23468646628496e-13	52.020125782307	26.0100628911535	TRDV1	anova	2.20787386708176e-10
29.6490962449729	9.79655036888018e-13	51.9167182564379	25.9583591282189	TRBC1	anova	2.28143393336294e-10
29.2925451913348	1.33683413499927e-12	51.3719698882255	25.6859849441127	PRDM1	anova	3.02422336249909e-10
29.2875854273174	1.34263191493773e-12	51.3643803047933	25.6821901523966	FOS	anova	3.02422336249909e-10
29.0350493460177	1.67380932052339e-12	50.9775083142357	25.4887541571178	NFKBIZ	anova	3.70937742967603e-10
29.0160878505665	1.70176458385538e-12	50.9484259394997	25.4742129697498	RPS28	anova	3.71146752097983e-10
28.3880648480829	2.94775597359506e-12	49.9824669380232	24.9912334690116	MT-ATP8	anova	6.32846360581189e-10
28.2113811932058	3.44138584694448e-12	49.7097545454361	24.8548772727181	ARID5B	anova	7.27456023646417e-10
28.0481138810106	3.97114224570778e-12	49.4573755263286	24.7286877631643	GSTP1	anova	8.26719612970074e-10
27.4837958703016	6.51905335133006e-12	48.5822674083056	24.2911337041528	PLEK	anova	1.33689243354142e-09
26.7312802766527	1.26495606384811e-11	47.4085519316502	23.7042759658251	CEBPD	anova	2.55595534077545e-09
26.0179763354883	2.37600104949646e-11	46.288796292584	23.144398146292	PTMS	anova	4.73134122030165e-09
25.8184608624144	2.83515236856489e-11	45.9743305424758	22.9871652712379	EEF1A1	anova	5.56499907772594e-09
25.1350568052926	5.19892985154187e-11	44.8929702500704	22.4464851250352	CST7	anova	9.92129113335908e-09
25.1465094745968	5.1462906241537e-11	44.9111459417606	22.4555729708803	EMP3	anova	9.92129113335908e-09
25.0770860604462	5.47379634545156e-11	44.8009408174188	22.4004704087094	B2M	anova	1.0302734491302e-08
24.76441761045	7.22881214156416e-11	44.3037582361093	22.1518791180546	NFKBIA	anova	1.34221457871745e-08
24.6957920514941	7.68419213318736e-11	44.1944501097799	22.09722505489	TRGV4	anova	1.40774399879992e-08
24.017178687121	1.40731901521782e-10	43.1099440475241	21.5549720237621	CD8B	anova	2.5442846406701e-08
23.9125677060869	1.54516196035317e-10	42.9421795938554	21.4710897969277	BCL3	anova	2.75721108250032e-08
23.5672069956859	2.10418194419291e-10	42.3872129554606	21.1936064777303	VIM	anova	3.7065974247706e-08
23.4253995617739	2.38896252149953e-10	42.1588441591262	21.0794220795631	GFOD1	anova	4.15498038549412e-08
23.2782799752883	2.72544443087728e-10	41.921614694139	20.9608073470695	TIGIT	anova	4.68095081003173e-08
23.00959667207	3.46776389173451e-10	41.4875584624191	20.7437792312096	LAYN	anova	5.88235504597927e-08
22.9461896509953	3.67075556036742e-10	41.384972568987	20.6924862844935	MT-ND5	anova	6.15075382920102e-08
22.9071286770149	3.80170744946757e-10	41.3217470342378	20.6608735171189	RPL36A	anova	6.21850718520052e-08
22.918416807701	3.76338889119201e-10	41.3400206906539	20.670010345327	KLRC2	anova	6.21850718520052e-08
22.8419387760691	4.03079837263554e-10	41.2161789997955	20.6080894998978	ANXA6	anova	6.51566701647204e-08
22.8017763592394	4.1787935308329e-10	41.15110959973	20.575554799865	TNFRSF18	anova	6.67635152484234e-08
22.669843684209	4.70449464380856e-10	40.9371931884481	20.468596594224	IRF8	anova	7.42985705815283e-08
22.5840735455498	5.08141965344042e-10	40.7979892701674	20.3989946350837	PDCD4	anova	7.93394386798539e-08
22.2038625090714	7.15350410131882e-10	40.1796201033167	20.0898100516584	SYTL3	anova	1.1043724309227e-07
22.111758240198	7.77210333235956e-10	40.0295053650525	20.0147526825263	TYROBP	anova	1.18654110874023e-07
21.3849759181643	1.49723268621319e-09	38.840598645123	19.4202993225615	IER2	anova	2.2606568251175e-07
21.2777880743047	1.64954444224231e-09	38.6645960733987	19.3322980366993	RPS4X	anova	2.4635587648271e-07
21.1517463150678	1.84869616808519e-09	38.4574175781842	19.2287087890921	ZFP36L2	anova	2.73129949994521e-07
21.0743149195481	1.98284987119356e-09	38.3300244690438	19.1650122345219	RPL35A	anova	2.89833587555314e-07
20.8707741915441	2.38405162771334e-09	37.994726403742	18.997363201871	TRGV2	anova	3.44809151208224e-07
20.4975174342137	3.34395069407873e-09	37.3782457915941	18.689122895797	CD7	anova	4.78602943090018e-07
20.4339017785649	3.54265541521219e-09	37.2729687497902	18.6364843748951	FCRL6	anova	5.01815313453768e-07
20.3768593298802	3.73090156434152e-09	37.1785180885666	18.5892590442833	PHYKPL	anova	5.23087627490331e-07
20.3349285941315	3.87565997882286e-09	37.1090582255508	18.5545291127754	HSPH1	anova	5.35400001884233e-07
20.3289790295084	3.89665212433939e-09	37.099200407919	18.5496002039595	ATP5F1E	anova	5.35400001884233e-07
19.9440027964303	5.52873503544527e-09	36.4602031581853	18.2301015790926	PTP4A3	anova	7.52126924623941e-07
