statistic	p.value	sumsq	meansq	gene	method	p_adjust
1159.36998084164	2.0741873235361e-255	674.312308122639	337.156154061319	HLA-J	anova	3.07539754460697e-251
944.876021870963	1.98273607839407e-226	632.636119675753	316.318059837876	HLA-H	anova	1.46990139171744e-222
776.475684513802	2.01959756632837e-200	589.897036322556	294.948518161278	RNR2	anova	9.98152437198357e-197
715.995273364463	3.23960384517531e-190	571.59513564548	285.79756782274	RPS26	anova	1.20084015531036e-186
493.36923467342	1.40668651874341e-147	484.510728830425	242.255364415212	RPL21	anova	4.17138820268172e-144
488.196057825219	1.78648855339816e-146	482.008059752624	241.004029876312	CYTB	anova	4.4147109635391e-143
459.060966393297	3.81578355930512e-140	467.394879628699	233.697439814349	ND4	anova	8.08237469054528e-137
434.692190645892	1.06997291451215e-134	454.452657747692	227.226328873846	IFITM3	anova	1.98306105043395e-131
383.671633631833	8.40926170699375e-123	424.973891705859	212.486945852929	ND4L	anova	1.38537914810663e-119
370.417435768552	1.35152744248109e-119	416.732944008722	208.366472004361	HLA-G	anova	2.00390973896672e-116
342.296349276193	1.26780090974904e-112	398.362104768349	199.181052384174	H3F3A	anova	1.70888037171355e-109
330.281388636918	1.43064837628387e-109	390.121322758493	195.060661379247	ATP6	anova	1.76768528959674e-106
296.604527132214	9.13642675183548e-101	365.65357567288	182.82678783644	UQCRB	anova	1.04204461114973e-97
245.251414809929	1.43704502823112e-86	323.932409825016	161.966204912508	RPL17	anova	1.5219333309702e-83
237.158358728757	3.06830667435345e-84	316.807695539231	158.403847769615	LOC101929876	anova	3.03291887070924e-81
229.014609554746	7.20828424388911e-82	309.472770722081	154.73638536104	ATP5E	anova	6.67982690525899e-79
204.945313651971	1.06964859840874e-74	286.765434644674	143.382717322337	EEF1A1	anova	9.32922339329785e-72
188.351004343676	1.32778433383179e-69	270.148988909283	135.074494454641	ND5	anova	1.09372546209578e-66
172.656776510805	1.14693048031438e-64	253.649143785821	126.824571892911	RNR1	anova	8.95028327980067e-62
170.434366333613	5.86453747635441e-64	251.247693288152	125.623846644076	ATP8	anova	4.34767485809534e-61
169.457292822767	1.20387983640125e-63	250.186655707032	125.093327853516	GNLY	anova	8.49996492110541e-61
164.312341707887	5.40975326050452e-62	244.545991708128	122.272995854064	PABPC1	anova	3.64592779970457e-59
164.223174857955	5.78010535914585e-62	244.447431965754	122.223715982877	SARAF	anova	3.72615748521981e-59
163.237498974102	1.20255838011617e-61	243.356086663223	121.678043331611	RPL21P28	anova	7.42930545915933e-59
163.014855433541	1.41919586950502e-61	243.109107018339	121.554553509169	CCNI	anova	8.41696686286036e-59
156.410486113618	1.98348464564478e-59	235.703506018707	117.851753009354	HLA-C	anova	1.13112026311443e-56
155.678683482035	3.43979088454649e-59	234.873361902766	117.436680951383	ZFP36L2	anova	1.88895479426559e-56
146.226900106463	4.46632554019912e-56	223.975379135111	111.987689567556	ND1	anova	2.36507888516187e-53
135.344341804103	1.96777268885633e-52	211.008974553232	105.504487276616	TPT1	anova	1.00607467785079e-49
122.217358065098	5.98612903465212e-48	194.738527134874	97.369263567437	NPM1	anova	2.95854450655957e-45
119.101386048017	7.17491709178527e-47	190.770615964225	95.3853079821126	RPL36A	anova	3.43169341031936e-44
116.293921337365	6.80071433049876e-46	187.159686517177	93.5798432585885	RPS14P3	anova	3.15106848057204e-43
115.128194580462	1.73574161211267e-45	185.650230047683	92.8251150238416	SOCS3	anova	7.79873966145289e-43
114.608131220789	2.63808022893616e-45	184.974890567574	92.4874452837868	CNBP	anova	1.15043575160107e-42
111.264504002416	3.92643292100613e-44	180.604287598926	90.3021437994632	MALAT1	anova	1.66334916913594e-41
106.805315669328	1.4737976485422e-42	174.697178466646	87.3485892333232	ND2	anova	6.06999937081535e-40
103.710184339518	1.8551657560044e-41	170.543427817847	85.2717139089237	TMSB10	anova	7.43420072007493e-39
103.019184108101	3.27155586492372e-41	169.610001882296	84.8050009411482	LCP2	anova	1.276509442348e-38
101.501737528257	1.1397956288645e-40	167.552318896534	83.7761594482669	HIST1H4C	anova	4.33326917671127e-38
99.3823919928545	6.55105245431394e-40	164.660222761756	82.3301113808778	PNRC1	anova	2.42831136850282e-37
94.9837569853786	2.5211358201176e-38	158.589007205048	79.2945036025242	LOC100996809	anova	9.11728800119114e-36
90.80755730262	8.28127849419065e-37	152.73729666345	76.3686483317251	C8orf59	anova	2.92348848174678e-34
84.7812588367228	1.33753672013759e-34	144.139042999689	72.0695214998444	VIM	anova	4.61201324406514e-32
84.4902682799317	1.71212257542911e-34	143.719164728048	71.8595823640239	EEF2	anova	5.76946396042896e-32
81.9981941296291	1.42610452246143e-33	140.105283156704	70.0526415783519	ZFP36	anova	4.69885594545237e-31
80.9188504687395	3.58229547804288e-33	138.529999260915	69.2649996304577	SNHG9	anova	1.1546672837596e-30
80.4364380375591	5.41000247058101e-33	137.823943184817	68.9119715924087	RPS12	anova	1.70668311981499e-30
80.213327101603	6.54715381150164e-33	137.496983598434	68.7484917992171	CTLA4	anova	2.02238853256531e-30
80.0577564956783	7.47903222770702e-33	137.268845674012	68.6344228370058	GNG8	anova	2.26309409877984e-30
79.689219056295	1.02522221136331e-32	136.727889035859	68.3639445179293	COX1	anova	3.04019394557676e-30
78.9653621208777	1.90597040575997e-32	135.663278667417	67.8316393337085	RPS29	anova	5.54114180513785e-30
78.2650505865714	3.47528455604599e-32	134.630641533938	67.315320766969	ENTPD1	anova	9.90923925240268e-30
78.1955031490844	3.68905947829175e-32	134.527948105318	67.2639740526592	BTG2	anova	1.03203179027607e-29
76.9880258184747	1.04123736324168e-31	132.740860237218	66.3704301186092	JUNB	anova	2.85896784903414e-29
76.1899640852045	2.06981296991478e-31	131.555409232683	65.7777046163415	EML4	anova	5.57983943725936e-29
75.6570776048679	3.27649224679657e-31	130.761936219973	65.3809681099865	EIF4B	anova	8.67509831129512e-29
75.4045412593234	4.0738954430411e-31	130.385369644306	65.192684822153	PBXIP1	anova	1.05971311813983e-28
75.1265499002974	5.17840979222017e-31	129.970445643615	64.9852228218076	CALM1	anova	1.32379796533187e-28
75.0428722286343	5.56631452172086e-31	129.845467855405	64.9227339277027	IFITM2	anova	1.39884314260263e-28
74.5827754882538	8.28221685620809e-31	129.157603701245	64.5788018506227	CSRNP1	anova	2.04667382211662e-28
74.1492712459319	1.2047121536231e-30	128.508439906383	64.2542199531913	PTPRC	anova	2.92824050848684e-28
73.0734182929255	3.05712507152537e-30	126.892927086267	63.4464635431336	KLF6	anova	7.31096668314623e-28
72.5583500253568	4.77767961996211e-30	126.117243512776	63.058621756388	COX3	anova	1.12442310674886e-27
70.9911478699971	1.86352618094356e-29	123.748047541838	61.874023770919	MT2A	anova	4.31726604450784e-27
70.2854848136665	3.44392146457988e-29	122.676816553067	61.3384082765334	LCP1	anova	7.85584977774243e-27
69.7426757592442	5.52653414289378e-29	121.850913906596	60.9254569532982	SRGN	anova	1.24154426873767e-26
69.5546194718857	6.51120572610536e-29	121.564395060227	60.7821975301133	CCL5	anova	1.44092010896961e-26
68.9179367141731	1.1348224497336e-28	120.5928842114	60.2964421056999	ATP5EP2	anova	2.47441359738237e-26
68.3364186956495	1.88598171939596e-28	119.703555805827	59.8517779029135	TNFAIP3	anova	4.05267405122955e-26
66.9106913392379	6.56773895919462e-28	117.515068180471	58.7575340902353	IL2RB	anova	1.39114093639969e-25
66.3459584696995	1.07758068523668e-27	116.6450115121	58.3225057560498	FKBP5	anova	2.25032236901469e-25
65.235875047072	2.85623051359348e-27	114.929447691715	57.4647238458573	HNRNPA1	anova	5.88185136459035e-25
64.7872003374366	4.23787388008984e-27	114.23404320299	57.117021601495	NR4A2	anova	8.60752822193042e-25
63.9392668477628	8.94077155075495e-27	112.916656672629	56.4583283363146	MYH9	anova	1.79141648355464e-24
63.6929425472758	1.11085810823685e-26	112.533177640865	56.2665888204325	ARID5B	anova	2.19609242277703e-24
62.5825735259343	2.95939257748755e-26	110.800178356452	55.400089178226	PRNP	anova	5.77354128242208e-24
62.3028717021431	3.78909863002333e-26	110.362504547446	55.1812522737228	JAK1	anova	7.29622927108519e-24
61.724634219895	6.31840558231358e-26	109.45623696078	54.7281184803902	RAP1A	anova	1.20106409703799e-23
61.6376668228108	6.82382665709148e-26	109.319764289543	54.6598821447713	SH3BGRL	anova	1.28071997271766e-23
60.8827319121508	1.33158305580572e-25	108.133225968571	54.0666129842855	CD5	anova	2.46792274605392e-23
60.6293654118839	1.66687213069727e-25	107.734256416902	53.8671282084512	CAPN2	anova	3.05119914590721e-23
60.3862321797336	2.06795202782368e-25	107.351045210784	53.6755226053918	MCL1	anova	3.73921033128557e-23
59.6261777575409	4.06009382334262e-25	106.150843475676	53.0754217378379	EIF4G2	anova	7.25289290586759e-23
58.7644729899501	8.73418455363393e-25	104.785983620769	52.3929918103846	TMBIM6	anova	1.54168755210393e-22
58.2973013712287	1.32377028136298e-24	104.044180122648	52.0220900613238	GTF3C6	anova	2.30912258373752e-22
58.2039550282448	1.43851921567018e-24	103.895803017657	51.9479015088286	EIF5	anova	2.48010748962113e-22
58.1767386879346	1.47381567380318e-24	103.8525319423	51.9262659711501	RN7SL2	anova	2.51175459718158e-22
