Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Ribosome	95/158	1.97536556277397e-20	6.26190883399347e-18	0	0	4.5013979348183	204.232693354596	RPL4;MRPS17;RPL30;RPL3;MRPS16;RPL32;RPL31;RPL34;RPLP1;MRPS12;RPLP0;MRPS10;RPL8;MRPL34;RPL9;RPL6;RPL7;MRPL33;RPS15;RPS4X;RPS14;MRPL3;RPL7A;MRPL2;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;MRPL9;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPSA;RPS3A;MRPS7;MRPS6;MRPS5;MRPS9;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;MRPL18;RPL12;MRPL19;RPL11;MRPL16;RPL36A;MRPL14;MRPL15;MRPL13;MRPL10;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;MRPL23;MRPL24;RPS26;RPS25;RPS27;RPS29;RPL27A;RNR2;RPS20;RPL22L1;FAU;RNR1;RPS21;RPS24;RPS23
Amyotrophic lateral sclerosis	171/364	2.30995497123029e-19	3.66127862940001e-17	0	0	2.66236807537735	114.247242623585	NDUFA13;NUP107;NDUFA11;NDUFA12;TNF;ACTB;ACTG1;GLE1;PSMD6;PSMD7;TBK1;TUBB3;PSMD2;KIF5B;PSMD1;NUP214;MAP2K3;GABARAPL2;DAXX;GABARAPL1;ANXA11;SDHC;SDHD;ATG14;SDHA;ATG13;SDHB;TUBA4A;ATXN2L;ERN1;COX7A2L;DDIT3;UQCRC1;SRSF3;VDAC1;MATR3;ND1;NUP98;UQCRC2;PFN1;ND3;ATF6;ND2;SQSTM1;SRSF7;OPTN;ND5;ND4;ND6;POM121;PSMD12;VCP;PSMD11;UQCRB;ATP8;PSMD13;ATP6;NUP160;UQCRH;POM121C;TPR;COX3;COX2;COX1;NUP88;NRBF2;CYC1;NDUFV2;MAP2K6;XBP1;HSPA5;FUS;CHCHD10;NUP153;EIF2S1;SETX;CHMP2B;BCL2;CYCS;CYTB;DNAL4;RAB5A;DNAL1;BCL2L1;COX7B;COX7C;PPP3CA;TUBA1C;ACTR1A;TUBA1B;ACTR1B;TUBA1A;CASP3;RB1CC1;NUP62;CASP1;ANXA7;RAC1;RAB8A;SEC13;GPX1;NUP133;TUBB;SIGMAR1;GPX7;NDUFC2;NDUFC1;TRAF2;WIPI2;TNFRSF1B;TOMM40L;TNFRSF1A;PSMA5;PSMA6;PSMA3;TUBB2A;PSMA1;PSMA2;NDUFS5;NUP50;CAT;NDUFS2;NUP54;DCTN6;BECN1;RAB1A;NDUFB8;TOMM40;NDUFB7;NDUFB6;DCTN1;NDUFB5;NDUFB4;NDUFB3;DERL1;NDUFB2;NDUFB1;UQCR11;UQCR10;AMBRA1;TANK;PSMA7;HDAC6;PSMB7;PSMB1;UBQLN1;HNRNPA1;UBQLN2;HNRNPA3;NDUFA7;NDUFA4;NDUFA3;ADRM1;NDUFA1;ND4L;TUBB4B;MAPK14;MAPK12;MTOR;UQCRHL;MAPK11;PINK1;PSMC6;PSMC3;PSMC4;VAPB;PSMC1;HNRNPA2B1;NDUFAB1;PSMC2;ACTR10
Salmonella infection	128/249	8.20668464342949e-19	8.67173010655716e-17	0	0	3.16649567393971	131.866077007126	CYFIP2;CSE1L;GCC2;TNF;ACTB;ACTG1;PYCARD;TUBB3;AKT2;KIF5B;AKT3;KPNA4;KPNA3;VPS39;SKP1;MAP2K3;VPS18;MAP2K1;TUBA4A;DYNC1LI1;DYNC1LI2;ELMO1;PFN1;RAF1;RAB5B;RAB5C;TCF7;TXN;MYL12A;MYL12B;HSP90B1;DYNC2LI1;VPS11;NLRP3;SNX9;MAP2K7;S100A10;MAP2K6;JUN;M6PR;TNFRSF10B;ARPC4;TNFRSF10A;ARPC5;NFKB1;NFKBIA;PTPRC;ARPC2;ARPC3;BCL2;CYCS;TAB1;RAB5A;MYD88;ARF1;HSP90AB1;ARPC1B;ARPC1A;BRK1;PIK3CD;PIK3C2A;PIK3CG;IKBKB;TUBA1C;ACTR1A;TUBA1B;ACTR1B;TUBA1A;CASP8;CASP3;CASP1;RAC1;HRAS;ACTR3;ACTR2;HSP90AA1;ANXA2;EXOC7;TUBB;DYNLT3;RHOG;RHOH;TRAF2;FOS;IRAK4;DYNLL1;RHOA;RHOB;DNM2;TNFRSF1A;TUBB2A;TRAF6;EXOC4;EXOC5;GAPDH;EXOC2;ARF6;RAB7A;BIRC3;DCTN6;RALA;AHNAK;DCTN1;SNX33;RELA;STX10;CDC42;CYTH3;CYTH2;PAK1;CYTH4;RPS3;FLNA;MAPK1;BAK1;CYTH1;DYNC1H1;TCF7L2;TUBB4B;MAPK14;MAPK12;MAPK11;SNX18;ABI1;VPS41;CTNNB1;PKN1;ACTR10
Spliceosome	87/150	1.93831852255809e-17	1.53611742912729e-15	0	0	4.11571991940951	158.381651385999	TCERG1;RBM25;DDX46;EIF4A3;HNRNPU;PRPF19;EFTUD2;SART1;SNRPD2;MAGOH;DHX15;BCAS2;RBM17;THOC3;PRPF40A;THOC2;PLRG1;WBP11;CRNKL1;CDC40;PRPF4;PRPF6;DDX39B;SYF2;SNRPG;SRSF2;SRSF3;SNRPE;SRSF4;SNRPF;SRSF5;SNRNP200;SNRPC;SRSF7;SLU7;SNRPB;SRSF9;RBM22;SF3B4;DDX5;SF3B2;SF3B3;DHX8;SF3B6;DDX23;U2AF1;U2AF1L4;ZMAT2;PUF60;PCBP1;TRA2B;DHX38;SNRPB2;HNRNPA1;SF3B1;SF3A3;HSPA8;PRPF38B;HNRNPA3;PPIL1;SF3A1;PRPF38A;SF3A2;CCDC12;FUS;HSPA6;CDC5L;CWC15;LSM4;LSM3;U2SURP;CHERP;HNRNPM;LSM8;XAB2;LSM7;HNRNPK;SNW1;PHF5A;RNU5A-1;ACIN1;PRPF31;HNRNPC;RBMX;HSPA1B;HSPA1A;RNU4-2
Yersinia infection	81/137	5.11569858689092e-17	3.24335290408885e-15	0	0	4.30770936453893	161.589211093459	ITGB1;GSK3B;WIPF1;ARPC1B;WIPF3;ARPC1A;PIK3CD;TNF;ACTB;ACTG1;CRKL;PYCARD;IKBKB;TBK1;AKT2;AKT3;RPS6KA1;CASP1;RAC2;RAC1;MAP2K3;ACTR3;ACTR2;MAP2K1;ARHGEF12;ITGA4;RHOG;TRAF2;FOS;IRAK4;TICAM1;RHOA;VAV1;ZAP70;CD8B;CD8A;LCK;TRAF6;ELMO1;ARHGEF1;LCP2;ITGA5;ARF6;ROCK1;WAS;PIK3R3;PIK3R1;RELA;CDC42;NLRP3;PIP5K1A;MAPK1;PTK2B;PIP5K1B;PIP5K1C;PLCG1;MAP2K7;WASF2;MAP2K6;GIT2;JUN;LIMK1;NFATC3;NFATC2;ARPC4;NFATC1;ARPC5;BAIAP2;MAPK14;IL2;NFKB1;MAPK12;NFKBIA;MAPK11;ARPC2;ARPC3;PKN2;TAB1;PKN1;LAT;MYD88
Endocytosis	125/252	8.33371204573396e-17	4.40297786416278e-15	0	0	2.94320971547581	108.968329887291	VPS29;WIPF1;WIPF3;CBLB;KIF5B;VPS35;VPS36;AP2M1;SH3GLB1;USP8;PRKCI;HLA-C;HLA-A;HLA-F;HLA-G;RUFY1;ACAP3;ACAP2;ACAP1;BIN1;RAB35;STAMBP;RAB5B;RAB5C;TSG101;AGAP2;VPS26A;VPS26B;PRKCZ;SNX3;SNX4;SNX1;RAB11FIP1;SNX2;PIP5K1A;PIP5K1B;PIP5K1C;RAB11FIP4;SNX5;SNX6;SMAD2;HSPA8;RAB4A;SMURF2;IQSEC1;VTA1;IQSEC3;HSPA6;ARPC4;ARPC5;EHD1;EHD3;ARPC2;ARPC3;CHMP2B;MDM2;RAB5A;ARF3;ARF1;SH3KBP1;ARPC1B;ARPC1A;CLTC;CLTB;CLTA;AP2A1;ARRB1;ARRB2;RAB22A;EEA1;CAPZB;CHMP1B;PSD4;CHMP1A;CCR5;LDLRAP1;HRAS;RAB8A;ACTR3;ACTR2;PDCD6IP;ARAP2;VPS37A;ARAP1;VPS37B;ARFGAP3;RHOA;EPN1;TGFBR1;ARFGAP2;DNM2;EPN2;TGFBR2;RABEP1;TRAF6;CHMP6;CHMP7;ARF5;ARF6;RAB7A;VPS4B;VPS4A;CXCR4;IL2RG;CDC42;CYTH3;CYTH2;CYTH4;MVB12B;AP2S1;EPS15;CYTH1;GIT2;GBF1;PML;RAB11B;RAB10;CAPZA1;NEDD4;IL2RB;SMAP2;SMAP1;HSPA1B;SPG21;HSPA1A
Protein processing in endoplasmic reticulum	93/171	4.63545842923857e-16	2.09920046009804e-14	0	0	3.5541828177845	125.489759044249	HSP90AB1;UBXN1;UBXN2A;UBE2D2;UBE2D3;NGLY1;HERPUD1;SEC61A1;MAN1A2;SEC61G;CAPN2;MAN1A1;CAPN1;SEC61B;SEC62;UBXN4;SEC63;SKP1;PDIA3;HSP90AA1;SEC13;SSR2;SSR3;RAD23A;TRAF2;PDIA6;RAD23B;DDOST;PDIA4;ERN1;DNAJC3;DNAJC1;DAD1;DDIT3;CANX;PLAA;PREB;ATF6;PPP1R15A;VCP;SEC23A;RPN2;ATF6B;SAR1B;RPN1;CUL1;DERL1;DERL2;RRBP1;RNF5;HSP90B1;UBE2J1;DNAJB1;ERLEC1;LMAN1;GANAB;HSPH1;OS9;LMAN2;BAG1;UBQLN1;SSR1;BAK1;MAP2K7;SEC23B;UBQLN2;BCAP31;HSPA8;MBTPS1;XBP1;SEC24B;SEC24A;HSPA5;EIF2AK1;HSPA6;SYVN1;EIF2AK2;EIF2AK4;UBE2G2;EIF2S1;DNAJA1;DNAJC10;DNAJA2;BCL2;HYOU1;CALR;P4HB;SEC24D;RNF185;SEC24C;HSPA1B;NFE2L2;HSPA1A
Epstein-Barr virus infection	104/202	1.30678538706383e-15	5.17813709624045e-14	0	0	3.16616433293639	108.508270642607	RBPJ;TNF;PSMD6;CCND3;PSMD7;TBK1;CCND2;AKT2;PSMD2;AKT3;PSMD1;CIR1;B2M;IFNAR2;MAP2K3;PDIA3;ENTPD1;TAP2;HLA-C;TAP1;HLA-A;HLA-F;HLA-G;IFNAR1;PSMD12;PSMD11;PSMD13;PIK3R3;PIK3R1;BCL2L11;PLCG2;MAP2K7;MAP2K6;LYN;HLA-DRB5;JUN;HLA-DRB4;GADD45B;GADD45A;EIF2AK2;ISG15;NFKB1;GADD45G;NFKB2;NFKBIA;MAVS;SNW1;CDK4;CDK2;BCL2;MDM2;CYCS;CALR;TAB1;HLA-DRB3;HLA-DRB1;MYD88;CDKN1B;PIK3CD;TNFAIP3;CD3G;CD3E;ITGAL;CD3D;IKBKB;CASP8;CASP3;RAC1;POLK;IKBKE;JAK3;JAK1;DDX58;TRAF2;IRAK4;DDB2;TAPBP;NCOR2;OAS2;TRAF6;TRAF5;IRF7;CD44;IRF9;HLA-DQB1;HDAC2;HDAC1;RELA;RELB;CD58;BAK1;ADRM1;MAPK14;MAPK12;MAPK11;PSMC6;PSMC3;PSMC4;NEDD4;PSMC1;PSMC2;FAS;CD247;VIM
T cell receptor signaling pathway	63/104	3.03087257268481e-14	1.06754067282343e-12	0	0	4.5643730135166	142.076794083894	GSK3B;ITK;CSF2;PIK3CD;CBLB;CD3G;CD3E;TNF;CD3D;IKBKB;PPP3CA;AKT2;GRAP2;AKT3;CTLA4;MAP3K8;HRAS;MAP2K1;PDPK1;FOS;RHOA;VAV1;ZAP70;CD8B;CD8A;LCK;PRKCQ;LCP2;RAF1;SOS2;PIK3R3;BCL10;PIK3R1;MALT1;RELA;CDC42;NRAS;PAK1;MAPK1;FYN;PLCG1;ICOS;MAP2K7;PAK2;PAK4;JUN;NFATC3;NFATC2;NFATC1;MAPK14;IL2;NFKB1;MAPK12;NFKBIA;MAPK11;PTPRC;CDK4;GRB2;KRAS;PTPN6;CD247;PDCD1;LAT
Parkinson disease	117/249	1.0749147619437e-13	3.40747979536154e-12	0	0	2.64532250077943	78.9929403197377	NDUFA13;NDUFA11;NDUFA12;UBE2L6;PARK7;UBE2L3;PSMD6;PSMD7;TUBB3;PSMD2;KIF5B;PSMD1;PRKACB;DAXX;SDHC;SDHD;SDHA;SDHB;TUBA4A;ERN1;COX7A2L;DDIT3;UQCRC1;VDAC3;VDAC2;VDAC1;ND1;UQCRC2;ND3;ATF6;UBA52;ND2;ND5;ND4;ND6;PSMD12;PSMD11;UQCRB;ATP8;PSMD13;ATP6;ITPR2;TXN;UQCRH;UBE2J1;UBB;UBC;COX3;COX2;COX1;PLCG1;CYC1;NDUFV2;XBP1;HSPA5;EIF2S1;GNAS;CYCS;CALM3;UBA1;CYTB;CALM1;BCL2L1;NFE2L2;COX7B;COX7C;TUBA1C;TUBA1B;UCHL1;TUBA1A;CASP3;DUSP1;TUBB;NDUFC2;NDUFC1;PSMA5;PSMA6;PSMA3;TUBB2A;PSMA1;PSMA2;NDUFS5;NDUFS2;SLC25A5;CAMK2D;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;PSMA7;PSMB7;PSMB1;MFN2;RPS27A;CAMK2G;NDUFA7;NDUFA4;NDUFA3;ADRM1;NDUFA1;ND4L;UBE2G2;TUBB4B;UQCRHL;PINK1;PSMC6;PSMC3;PSMC4;PSMC1;NDUFAB1;PSMC2
