Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Amyotrophic lateral sclerosis	51/364	4.41788536467661e-10	8.64439475407482e-08	0	0	2.93732818188573	63.2706064622646	ACTG1;PSMD6;TUBA1A;ANXA7;RAB8A;GABARAPL2;WIPI1;SDHD;TNFRSF1B;TNFRSF1A;PSMA3;UQCRC1;SRSF3;MATR3;ND1;ND3;ND2;SQSTM1;SRSF7;ND5;ND4;ND6;BECN1;PSMD12;VCP;UQCRB;ATP8;ATP6;DERL1;TANK;NXF1;PSMB5;TPR;COX3;UBQLN1;COX2;COX1;NUP43;HNRNPA1;UBQLN2;HSPA5;ND4L;EIF2S1;MTOR;SETX;PSMC6;HNRNPA2B1;NDUFAB1;CHMP2B;CYTB;DNAL1
Antigen processing and presentation	21/78	5.98228010662617e-10	8.64439475407482e-08	0	0	6.54276935276043	138.94911429497	CD74;HSPA8;HSP90AA1;HSP90AB1;HLA-DRB4;HSPA5;KLRC2;KLRC3;KLRC4;KIR2DS5;HLA-C;TAP1;HLA-A;HLA-G;TAPBP;CD8B;CD8A;CANX;KLRC1;HLA-DRB3;HSPA1A
Ribosome	30/158	1.55240117209251e-09	1.49547979578246e-07	0	0	4.18202457264957	84.8259405230626	MRPS17;RPL32;RPL10;RPLP1;RPL12;RPL11;RPL36A;RPL9;RPL7;RPS15;RPS4X;MRPL3;RPS15A;RPL18A;RPS19;RPS3;RPL13;RPL39;RPL17;RPS12;RPL21;RPS3A;RPL23A;RPS26;RPS27;RPS29;RNR2;RPL28;RNR1;RPS23
Protein processing in endoplasmic reticulum	27/171	5.26142238875959e-07	3.80137767587881e-05	0	0	3.33327414772727	48.1914584614391	VCP;HSP90AB1;UBE2D2;RPN1;DERL1;HSP90B1;HERPUD1;ATXN3;ERLEC1;HSPH1;OS9;CAPN2;UBQLN1;SEC62;SKP1;UBQLN2;HSPA8;HSP90AA1;HSPA5;PDIA6;EIF2S1;DDOST;PDIA4;DNAJA1;DNAJC1;CANX;HSPA1A
Human cytomegalovirus infection	31/225	1.65700218238706e-06	9.57747261419722e-05	0	0	2.84393496922896	37.8541978368557	PTGER4;CCL3L1;ROCK1;PTGER2;CCL4L2;CXCR4;FASLG;AKAP13;GNGT2;AKT2;CCL5;RAC2;CCL3;FADD;JAK1;IL10RA;NFATC3;HLA-C;TAP1;NFATC1;HLA-A;HLA-G;RHOA;MTOR;TAPBP;TNFRSF1A;SP1;MDM2;CTNNB1;FAS;CALM1
T cell receptor signaling pathway	19/104	2.77600758469688e-06	0.00013152185186067	0	0	3.9563025210084	50.6188998779489	NFATC3;CBLB;NFATC1;CD3G;FOS;CD3E;RHOA;CDC42;PAK1;PTPRC;CD8B;CD8A;AKT2;GRAP2;CTLA4;PRKCQ;LCP2;FYN;PDCD1
Coronavirus disease	31/232	3.18565039108889e-06	0.00013152185186067	0	0	2.74386622022965	34.7287143792046	RPL32;RPL10;RPLP1;RPL12;RPL11;RPL36A;RPL9;RPL7;RPS15;IFIH1;RPS4X;RPS15A;RPL18A;RPS19;RPS3;RPL13;RPL39;RPL17;RPS12;JAK1;RPL21;ISG15;RPS3A;RPL23A;FOS;TNFRSF1A;RPS26;RPS27;RPS29;RPL28;RPS23
Epstein-Barr virus infection	28/202	4.62225672626563e-06	0.000166979024236346	0	0	2.85887672277605	35.1202356169989	PSMD12;CDKN1B;TNFAIP3;CD3G;CD3E;PSMD6;CCND3;AKT2;CIR1;FADD;CD58;JAK1;ENTPD1;HLA-DRB4;HLA-C;TAP1;ISG15;HLA-A;HLA-G;RUNX3;TAPBP;SNW1;PSMC6;MDM2;FAS;VIM;HLA-DRB3;CD44
RNA transport	26/186	8.57949304239189e-06	0.000275497054361251	0	0	2.88364474929044	33.6409910486058	EIF4A2;SNORD3A;CASC3;NXF1;TPR;SUMO2;SAP18;NUP43;EIF4B;PAIP1;UPF2;EIF5B;EIF2S1;EIF1;EEF1A1;DDX19B;EIF2S3;EIF5;EIF3H;RNPS1;PABPC1;EIF3F;EIF1B;EIF3D;KPNB1;EIF4G2
Shigellosis	31/246	1.07095022679034e-05	0.000283963853484601	0	0	2.56327703598904	29.3351142616551	BECN1;ARF1;ROCK1;UBE2D2;U2AF1;ACTR3B;ACTG1;CDC42;CYTH2;AKT2;CCL5;CAPN2;CYTH1;SKP1;ATG5;ACTR3;GABARAPL2;FNBP1;BNIP3;ARPC4;WIPI1;RHOA;MTOR;TNFRSF1A;TNIP1;MDM2;PRKCQ;ATM;ARHGEF2;SQSTM1;CD44
