Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Ribosome	53/158	5.76112598048072e-30	1.59583189659316e-27	0	0	10.1386873133951	682.601518804667	RPL5;RPL30;RPL3;RPL32;RPL34;RPLP1;RPL8;RPL9;RPL6;MRPL33;RPS15;RPS16;RPL18A;RPS19;RPS18;RPL37;RPL39;RPS13;RPS12;RPS9;RPL21;RPS8;RPL22;RPS6;RPSA;RPS3A;MRPS6;RPL26;RPL28;RPL10;MRPL18;RPL12;RPL11;RPL36A;RPS3;RPL13;RPL15;RPS2;RPS27A;RPL17;RPL19;RPL35A;RPL23A;MRPL23;RPS26;RPS25;RPS27;RPS29;RNR2;RPL22L1;RNR1;RPS21;RPS23
Coronavirus disease	53/232	3.69818023642628e-21	5.1219796274504e-19	0	0	5.92399028728501	278.702689642259	RPL5;RPL30;RPL3;RPL32;RPL34;RPLP1;PIK3CD;RPL8;RPL9;TNF;RPL6;RPS15;RPS16;RPL18A;RPS19;RPS18;RPL37;RPL39;IKBKE;RPS13;RPS12;JAK1;RPS9;RPL21;RPS8;RPL22;RPS6;RPSA;RPS3A;TNFRSF1A;RPL26;RPL28;RPL10;RPL12;RPL11;RPL36A;RPS3;RPL13;RPL15;RPS2;RPS27A;RPL17;RPL19;RPL35A;ISG15;RPL23A;RPS26;RPS25;RPS27;RPS29;RPL22L1;RPS21;RPS23
Antigen processing and presentation	25/78	2.61123304490153e-14	2.41103851145907e-12	0	0	9.22610354966217	288.559016847749	CIITA;HSP90AB1;TNF;B2M;HSP90AA1;HLA-DRB5;HLA-DRB4;HSPA5;KLRC2;KLRC3;KLRC4;HSPA6;HLA-C;HLA-A;HLA-G;TAPBP;CD4;CD8B;IFNG;CD8A;PSME2;KLRD1;CALR;HSPA1B;HSPA1A
Natural killer cell mediated cytotoxicity	27/131	2.37499861185912e-10	1.64468653871244e-08	0	0	5.07471561530507	112.460032232716	ITGB2;PRF1;PIK3CD;TNF;KLRK1;RAC2;FYN;RAC1;KLRC2;KLRC3;SH2D1B;HLA-C;NFATC2;GZMB;TNFRSF10A;HLA-A;HLA-G;ZAP70;IFNG;LCK;FAS;GRB2;KLRD1;LCP2;CD247;RAF1;LAT
Amyotrophic lateral sclerosis	46/364	5.99786025252516e-09	2.58390840035526e-07	0	0	2.85157763447709	53.9856772691965	COX7B;VCP;PSMD11;UQCRB;ATP8;ATP6;TNF;PSMA7;TUBA1B;PSMD2;KIF5B;NUP62;COX3;UBQLN1;COX2;COX1;NRBF2;RAC1;HNRNPA1;DAXX;GABARAPL1;XBP1;HNRNPA3;HSPA5;NDUFA5;NDUFA4;TUBB;ND4L;SDHD;TNFRSF1B;COX6B1;TNFRSF1A;PSMA6;NDUFS8;HNRNPA2B1;CAT;SRSF3;MATR3;ND1;CYTB;ND3;ND2;SQSTM1;ND5;ND4;BCL2L1
Protein processing in endoplasmic reticulum	29/171	6.22164052085262e-09	2.58390840035526e-07	0	0	3.99223527694665	75.4342126173683	PPP1R15A;VCP;HSP90AB1;UBE2D3;RPN1;DERL2;HSP90B1;HERPUD1;SEC61A1;HSPH1;BAG1;CAPN2;UBQLN1;CAPN1;SEC62;UBXN4;XBP1;HSP90AA1;HSPA5;HSPA6;UBE2G1;PDIA6;DNAJA1;NSFL1C;CALR;P4HB;RNF185;HSPA1B;HSPA1A
T cell receptor signaling pathway	22/104	6.52973241967034e-09	2.58390840035526e-07	0	0	5.22342667871123	98.4453996001958	NFATC2;PIK3CD;CBLB;CD3E;TNF;RHOA;CDC42;ZAP70;CD4;PTPRC;CD40LG;CD8B;IFNG;CD8A;LCK;CTLA4;GRB2;LCP2;FYN;CD247;RAF1;LAT
Parkinson disease	36/249	8.24183190288397e-09	2.84413987032005e-07	0	0	3.3155341233203	61.7154954006448	COX7B;PSMD11;UQCRB;ATP8;ATP6;PSMA7;TUBA1B;PSMD2;KIF5B;UBC;COX3;COX2;COX1;RPS27A;DAXX;XBP1;HSPA5;NDUFA5;DUSP1;NDUFA4;TUBB;ND4L;UBE2G1;SDHD;COX6B1;PSMA6;NDUFS8;CALM3;ND1;CYTB;CALM1;ND3;ND2;ND5;ND4;BCL2L1
Prion disease	38/273	9.24088766529982e-09	2.84413987032005e-07	0	0	3.17501112792664	58.7365244076447	COX7B;PSMD11;UQCRB;ATP8;ATP6;PIK3CD;TNF;PSMA7;TUBA1B;PSMD2;KIF5B;CCL5;COX3;RAC2;COX2;COX1;FYN;RAC1;PRNP;HSPA5;NDUFA5;NDUFA4;TUBB;HSPA6;ND4L;CYBA;SDHD;COX6B1;PSMA6;NDUFS8;ND1;CYTB;ND3;ND2;HSPA1B;ND5;HSPA1A;ND4
Yersinia infection	25/137	1.50786950592893e-08	4.17679853142315e-07	0	0	4.35233303847855	78.385444088354	WIPF1;ARPC1B;PIK3CD;TNF;CDC42;RPS6KA1;RAC2;RAC1;WASF2;ACTR3;GIT2;ARHGEF12;ITGA4;NFATC2;RHOA;ZAP70;CD4;CD8B;CD8A;ARPC3;LCK;ARHGEF1;LCP2;LAT;SKAP2
